Ticker,Expiry,Days_to_Expiry,Zscore,RMSE,MKTIV,MODELRV
MS,2026-02-06,3,-0.813,0.6927,0.74,0.177
MS,2026-02-13,10,-0.441,0.5348,0.5134,0.2776
MS,2026-02-20,17,-0.255,0.4679,0.4541,0.3346
MS,2026-02-27,24,-0.332,0.4306,0.4255,0.2827
MS,2026-03-06,31,-0.267,0.3307,0.3689,0.2805
MS,2026-03-13,38,-0.219,0.3162,0.3385,0.2692
MS,2026-03-20,45,-0.917,0.3457,0.5791,0.2621
MS,2026-04-17,73,-0.253,0.4157,0.3834,0.2783
MS,2026-05-15,101,-0.2,0.4994,0.3547,0.2549
MS,2026-06-18,135,-0.19,0.6477,0.3901,0.2669
MS,2026-07-17,164,-0.108,0.6518,0.3252,0.2548
MS,2026-08-21,199,-0.188,0.5683,0.3556,0.2488
MS,2026-09-18,227,-0.389,0.3095,0.3596,0.2393
MS,2026-12-18,318,-0.908,0.0658,0.358,0.2983
MS,2027-01-15,346,-1.103,0.0579,0.3731,0.3093
MS,2027-12-17,682,-2.508,0.0256,0.3539,0.2898
MS,2028-01-21,717,-1.799,0.0309,0.3423,0.2867
MS,2028-12-15,1046,-2.13,0.0312,0.3421,0.2756
