Ticker,Expiry,Days_to_Expiry,Zscore,RMSE,MKTIV,MODELRV
MS,2026-02-06,3,-0.976,0.6986,0.8633,0.1816
MS,2026-02-13,10,-0.274,0.5426,0.4236,0.2749
MS,2026-02-20,17,-0.353,0.4654,0.5,0.3356
MS,2026-02-27,24,-0.417,0.4261,0.4565,0.2788
MS,2026-03-06,31,-0.145,0.3307,0.3276,0.2798
MS,2026-03-13,38,-0.277,0.3458,0.3645,0.2686
MS,2026-03-20,45,-1.044,0.3235,0.5991,0.2614
MS,2026-04-17,73,-0.321,0.4076,0.4044,0.2736
MS,2026-05-15,101,-0.29,0.4864,0.3956,0.2545
MS,2026-06-18,135,-0.228,0.6372,0.4111,0.2658
MS,2026-07-17,164,-0.147,0.6518,0.3504,0.2549
MS,2026-08-21,199,-0.212,0.5612,0.3659,0.2471
MS,2026-09-18,227,-0.436,0.3103,0.3757,0.2403
MS,2026-12-18,318,-1.179,0.0726,0.3843,0.2987
MS,2027-01-15,346,-1.334,0.0576,0.3861,0.3093
MS,2027-12-17,682,-2.391,0.0269,0.354,0.2897
MS,2028-01-21,717,-1.752,0.0321,0.343,0.2868
MS,2028-12-15,1046,-2.195,0.0316,0.3444,0.2751
