,AAPL,ABBV,ABT,ADBE,AEP,AMAT,AMD,AMGN,AMT,AMZN,APD,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,C,CAT,CCI,CL,CMCSA,COP,COST,CRM,CSCO,CVS,CVX,D,DE,DIS,DOW,DUK,EOG,EQIX,F,FCX,FDX,GE,GILD,GM,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MCD,META,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NEM,NFLX,NKE,NOC,NVDA,ORCL,OXY,PEP,PFE,PG,PLD,PM,PSX,QCOM,RTX,SBUX,SCHW,SLB,SO,SPG,T,TGT,TMO,TSLA,TXN,UNH,UPS,USB,VZ,WFC,WMT,XOM
AAPL,1.0,0.357351724254596,0.5764279839907044,0.4152592204097703,0.4185448314246235,0.3144778286247514,0.520965781986556,0.43621928399053916,0.45442354214421987,0.37979983093442804,0.3858762409940951,0.291457615793854,0.5269447169903073,0.4596320612712726,0.46815657088096274,0.38433181378779097,0.5143291916655165,0.6210347240416345,0.2948821977115353,0.3601719175994395,0.3736398996507791,0.4102797559916957,0.45774175106539805,0.5193673565553139,0.5668827689309865,0.4556803647373386,0.47121188368636563,0.5225499123141011,0.3560193678867721,0.39821959521551675,0.49874334445686425,0.3097729030479233,0.5194324360816057,0.3036217726310564,0.2631371301710906,0.5885145193280809,0.3996989511969974,0.5112234141448774,0.42112049719968997,0.5398548210381775,0.3877706470314124,0.4985266713695458,0.581977095265577,0.3648754236472746,0.4531082300960908,0.5631386729450104,0.41220627096116524,0.4478098028873487,0.43365109367181637,0.449371309553858,0.4476617214731855,0.4846650419168651,0.5103026174078228,0.5384199124287545,0.49504391033730205,0.5426319527740648,0.2569195174457759,0.5736264503044586,0.41916807519522586,0.24771940828772987,0.48176281813517474,0.519403452873965,0.5017566077393008,0.413722539595304,0.47402117593523474,0.4907752360057458,0.45347776320952543,0.5432696539047879,0.5099258669698999,0.5294222758844311,0.4387635784040968,0.4084801791869474,0.4633757133792189,0.44934528404644214,0.5539063202317375,0.5471474101067519,0.49470630689476425,0.5240424427771055,0.5998718168895008,0.1471465313790364,0.6896675355577593,0.5458954930068797,0.3459095229799076,0.4522379978476929,0.5786620394843502,0.3446755819512497,0.416900121374953,0.5406923013652158,0.5525760692351126,0.4992451057825235,0.47084002905689853,0.6118840837726081,0.5887416221003322,0.5608611577568376,0.5370939539699101,0.33091403777959705,0.5044719940724085
ABBV,0.357351724254596,1.0,0.37531062853255515,0.31462386538044995,0.20044674455708672,0.36047064071272467,0.3268353007951557,0.5721036292011893,0.2999775695085496,0.5347650152893444,0.34332213684404317,0.4416367162206937,0.39540698175776107,0.5274201842563986,0.3963038789823003,0.398949993038967,0.31115483746213124,0.44218540096328596,0.3522864169489214,0.1751934217988801,0.38613905662875336,0.5041713343049268,0.35029903705163684,0.33394919772272263,0.2959767793012116,0.241188114266578,0.398928882717428,0.43256962727754483,0.32395929849806676,0.4246998574412872,0.35430895952089153,0.41840926350522073,0.4030736709607747,0.3854939668666782,0.3639764677552287,0.4460296219825926,0.49125733453153037,0.23497929780656643,0.4784151625981552,0.3679526110166211,0.3806918433015994,0.4809052743812508,0.4867955734540393,0.2939857872876292,0.39414608227183956,0.3076110063579238,0.31453751883384895,0.514923726705725,0.4054272919852813,0.2517815106550609,0.40139285220488513,0.29603547565796356,0.30699980190637016,0.3871948021604609,0.3717355007080265,0.4095015978500473,0.21274412818828625,0.4300952315728466,0.5745542399736905,0.2862376040280172,0.43951781921372973,0.39586849725359635,0.255733438098512,0.314758461397438,0.4338922400639205,0.4345936906128541,0.5458452149779311,0.3388868571555096,0.3247794374606968,0.21564950500354038,0.38651607352462886,0.20275977239139598,0.3930456104173489,0.42795327333152183,0.40109374733465186,0.2846728955330007,0.3160682768038756,0.6116504550811122,0.46007784451755945,0.19028374422036395,0.3375599110031494,0.4460624692987734,0.37023346437457005,0.33205880834075596,0.2384203798868363,0.2433792375521502,0.36246665433763214,0.4734068653434816,0.3573029472025362,0.38844558738263457,0.47524211305468067,0.4008338438602447,0.37906928808384194,0.40924195378681194,0.2927538236912873,0.4522852601968664,0.4851789162780211
ABT,0.5764279839907044,0.37531062853255515,1.0,0.5336276044673759,0.5101190123333625,0.5426284121977993,0.6709343572964794,0.6242238912056665,0.6493241683839779,0.33192807292458554,0.6443188134566288,0.385891972258211,0.6261581350915991,0.5789975148470369,0.4904441298467753,0.3947973231779695,0.6140864644490003,0.721979738684832,0.451367880363773,0.5375227451120986,0.5329783631587953,0.47229869061967406,0.5649136656905328,0.6136985635383587,0.6851874567824648,0.5326660559072497,0.5453838903120232,0.6140021568991575,0.7175039616400214,0.6405530508403838,0.6252220414818779,0.48186546955857534,0.6452779998726638,0.4813779921435842,0.5426516725416061,0.5345255424842734,0.5172571315205114,0.5821388575006641,0.6312472005858213,0.630580528389547,0.5968668351428977,0.4711542263164765,0.6020145263060274,0.41003975870879916,0.5075549593062968,0.5405079228211216,0.5741489319562283,0.6094294749631386,0.659144151615536,0.4761781716219971,0.5496692312015269,0.5405689176592592,0.6221991817359639,0.6353632328398295,0.4536040722075526,0.5400055386683138,0.3196960215599562,0.6858721249123966,0.45718620039676694,0.36708325830299854,0.7813967670736595,0.46757752373185957,0.31071696334543486,0.297185831134452,0.49445600457741695,0.4820388412245014,0.5108547153731058,0.6249155202895942,0.48974292441266143,0.44749338031874797,0.6746113469779185,0.2880755485995503,0.5896484501570183,0.5947682633063259,0.672116261651878,0.6610132639459058,0.6179725920729935,0.3641743891025881,0.590585544044853,0.09476201823428407,0.5882399591549888,0.7032000930595914,0.567430548246905,0.42686552980254167,0.6108482029997558,0.509212402940451,0.5370176413055769,0.8101915426760318,0.5057292982589241,0.6666671542830466,0.5165732021247582,0.573911605726418,0.3422339414002592,0.42727605003359653,0.5749634279614634,0.5689393748356306,0.533232963808162
ADBE,0.4152592204097703,0.31462386538044995,0.5336276044673759,1.0,0.5666719491439183,0.5622071088595686,0.5687238498293398,0.47058327352574547,0.5515890195182065,0.5229830178222261,0.5029172886476152,0.45800793102309906,0.5350976626812669,0.46783153049168896,0.42112603952409955,0.3231689749645325,0.5844402639594597,0.5244134356346528,0.457252740518282,0.4195557444362805,0.3416998039535137,0.4208769479844523,0.4200529560991826,0.4533084062368683,0.5363984621672386,0.6848288622275841,0.45479894341131855,0.3995097451347127,0.5031406471313419,0.5121316060655181,0.38899303097085064,0.4569354867219592,0.45934514086296346,0.4156241197401067,0.3789400503430625,0.5405009233662622,0.45338301326726,0.46495254235917866,0.561511482016758,0.6329816636852261,0.446231992181404,0.45968479535374884,0.49526891741878215,0.46701136613133504,0.32892018218702673,0.49722429179723326,0.39863273395087295,0.4846871624227995,0.49972083559404273,0.4715171705285705,0.44442041323616993,0.5249021157282624,0.4780234786113147,0.48600706512260616,0.4695119675872202,0.48748308183732797,0.4724255233248495,0.5750143033471543,0.4106427658291346,0.33712212275201475,0.5170107166958812,0.5839982722622037,0.3547048859083794,0.503441477115714,0.4377600515542708,0.5193210354766982,0.48632935909426567,0.4892450701707019,0.3692474669041297,0.3696875153808603,0.5582038044056947,0.2697441674626832,0.45478483432889605,0.42221648811970486,0.45491349170917944,0.5103386438078042,0.4724814042425728,0.19816897438712913,0.566735041030739,0.13383944224085823,0.5447655445704604,0.6081711134158128,0.4802569384195805,0.3273977330980591,0.5533624999813035,0.409558276181265,0.5368649357499614,0.6172546492090617,0.5097737891051515,0.7286248298053856,0.48329153957492504,0.5507363038771642,0.4126934538114006,0.49569657996519273,0.7017994291200798,0.43363075103195636,0.4494462265614598
AEP,0.4185448314246235,0.20044674455708672,0.5101190123333625,0.5666719491439183,0.9999999999999999,0.5018496164141001,0.5041315105577984,0.5093509778204831,0.4842743089998131,0.29646525120303974,0.4882276470675306,0.5999409964438084,0.47578213882942927,0.2918395360329337,0.33069410685270023,0.4707540503767269,0.35862884031102693,0.4521028806444151,0.28730340292945605,0.36627926024575475,0.22601700602879896,0.33172014917630427,0.2778219827110901,0.6011192266020785,0.5665968683364614,0.5476311790467712,0.5026962429206884,0.39083014621913736,0.5968299559355716,0.6795544266668451,0.4141374950772318,0.3036465966637848,0.3977665945644892,0.6166074854528527,0.4156669815063795,0.23865096732148242,0.1954553553026904,0.5152027475609948,0.4986431065545301,0.5489040660826994,0.3000950158218449,0.3337927266072761,0.590738292056917,0.441034531014007,0.4522030775787881,0.43969903482097317,0.33345596520975396,0.5379726471159888,0.6239253794987346,0.3897828685574126,0.33855846734344236,0.41105752608962126,0.45455303006332776,0.5511640332439837,0.2913040217745225,0.5253844382750538,0.3463426220409212,0.47810980963445976,0.3262026588240816,0.1429916714086079,0.5683864595538813,0.33746158774447066,0.230035686964562,0.3487869607363212,0.5882134888286245,0.48265310565651864,0.40444040100912043,0.48717393448618884,0.33656688182590244,0.37457503887396537,0.4242590291206438,0.19185408442275043,0.483415190771867,0.41281260251816054,0.4527271631349426,0.4778702739903329,0.3784149876519006,0.21966587181907699,0.5213888027110842,0.02890075725749796,0.42229027629783356,0.4221212182560778,0.2951951871964441,0.6004928697681106,0.5465090548450919,0.45153591058593057,0.5757236793526405,0.5033557742693704,0.44724536234458834,0.5464126245809797,0.4315154187564062,0.4556084060210464,0.47113798708921656,0.3530463205168233,0.6030669742037547,0.3408377857106179,0.4256404090879471
AMAT,0.3144778286247514,0.36047064071272467,0.5426284121977993,0.5622071088595686,0.5018496164141001,1.0,0.5226901959069139,0.5755362084133855,0.5767889343415595,0.5151340640283308,0.6452637855460382,0.491132794117769,0.49410588463128297,0.6097066387126546,0.3611799104190115,0.42210741623908304,0.5701499889062368,0.511473086165995,0.5045909099680708,0.5345130636639462,0.46377800116617046,0.5368430310757594,0.6098969254755384,0.6016884442254633,0.6157377556900548,0.5541514824308171,0.5220662564677209,0.5820235520307617,0.7028165240471085,0.662890985744302,0.6656011922420217,0.6161970503782872,0.609549734754949,0.5824173749945601,0.5595944822825893,0.3858375652529789,0.5839823154663101,0.5285961479698876,0.5366938420348035,0.6450612833453496,0.5139835003594324,0.4149347829976781,0.4714815477617301,0.496213004180512,0.3636735039549997,0.49704397981254506,0.6679828389109721,0.6960496112853313,0.6287304985483217,0.5275581162579355,0.7121569037382468,0.37336025769686465,0.4769968099149153,0.5831837056366088,0.43773599559559145,0.658883102615262,0.345378439340203,0.5787337895920022,0.5385154788865516,0.22245452200168392,0.5512990441056027,0.5441151743420268,0.4308205952584521,0.5245543491811447,0.6650957937429919,0.6414900313225675,0.5894380446602222,0.5952388572355778,0.5365121268730806,0.5777783321786292,0.6234262553808347,0.42946343926905284,0.6254073782227776,0.562334474847441,0.6932966765769826,0.5624944101641853,0.6049052870190265,0.33894028840101714,0.5902970414384906,-0.09641392169683878,0.5069997266233536,0.48974981388365835,0.5523412173629467,0.4733363300981067,0.6423013023493201,0.5822038033299524,0.6013515458213664,0.5824152202703393,0.44523411065906937,0.6684730139711992,0.5824755756606071,0.49318770223115416,0.39953377724161443,0.584048625080203,0.5780486576517595,0.5563483896402373,0.6445562187863597
AMD,0.520965781986556,0.3268353007951557,0.6709343572964794,0.5687238498293398,0.5041315105577984,0.5226901959069139,1.0,0.537202177375725,0.6351210912353622,0.35050112173229686,0.6015203316900666,0.40400951854632533,0.5288846648515886,0.5032279458054065,0.5785235499634055,0.31486020417063826,0.5697682289359982,0.559272412740242,0.3927620995474623,0.5369313544045832,0.3436365867152212,0.405915896052036,0.6321424279497381,0.5670629891309691,0.6085014197744633,0.49361183232849226,0.4505925909369053,0.5888409866992702,0.6068425915414196,0.4252069351930093,0.5729023025949436,0.543938185412844,0.6214100993599154,0.3949486437056281,0.5286309197902744,0.5355470868087607,0.4344713490569273,0.513735434257121,0.5147649877452837,0.6863416050141622,0.553697047227478,0.4036520534502419,0.602823991195485,0.41970587023003625,0.4615781299940609,0.713878289543195,0.4517348455918182,0.466507647600416,0.5028561578177967,0.5067023232654034,0.3906433733107915,0.5241801477418376,0.5815837124775001,0.6669006458437757,0.45952263354894834,0.6183112728793041,0.3716590578994194,0.6947884434239052,0.41953153348427696,0.39786554692970905,0.6013543921324895,0.4540863619468915,0.4943999881486357,0.41897779179903466,0.45081677092343736,0.5550359987875376,0.6081079710197189,0.38834693604716003,0.5492491905489951,0.5752126605795088,0.6072539696241132,0.46798233621172425,0.47445668339496894,0.591142081436648,0.6520981780519436,0.6044724005772377,0.54867536405715,0.43010946345320794,0.5022250123689302,0.17990119694746387,0.5313969099235005,0.6480085443034054,0.609388273153829,0.35464136459510337,0.542473977186358,0.5257485530654596,0.6304260948582954,0.7098520298629722,0.5343814134733672,0.6962399857800065,0.5568763039006677,0.690457567767463,0.4738802306394345,0.5051160974773362,0.6116077626797554,0.44948353963024784,0.5546517602891392
AMGN,0.43621928399053916,0.5721036292011893,0.6242238912056665,0.47058327352574547,0.5093509778204831,0.5755362084133855,0.537202177375725,1.0,0.6171399278154626,0.38625390737958926,0.6117590283718173,0.5173868861582606,0.6005486815218607,0.6554253957481561,0.5742420161508212,0.4267210009108298,0.5976404379753837,0.7248831540031438,0.4807618858668603,0.45918646458624834,0.4104267206630144,0.6054114560998319,0.49995715655036804,0.6139260628725257,0.49219932326548355,0.34333641007849225,0.43608441650719615,0.640327515958915,0.6706044222947164,0.7084446246204986,0.6597421112546152,0.5740728549930881,0.6150923531676109,0.6691793605291978,0.4814843081602101,0.3619452299406101,0.4737309426169228,0.5431849717092677,0.6001862395171735,0.6586633110473032,0.4615712203912665,0.49210992419341737,0.7191310480905997,0.42026855393269513,0.6148583633482076,0.607762757356613,0.48871032511483475,0.6564542368395647,0.5774568404132645,0.5282757348078438,0.5114221702742635,0.5095350314724375,0.4922219083370122,0.765015919841446,0.39747621172205955,0.550024023131961,0.2877210693872267,0.6028395062666356,0.531163209779855,0.37036119099361436,0.7697656874751134,0.5850241016541949,0.4352128978297322,0.3225559261161256,0.5881194196628061,0.4745645316022413,0.5069630653093847,0.5902588354154308,0.5828120336426891,0.5869247803340004,0.5501107669789786,0.3064873502111757,0.6458238258068526,0.4879426456903949,0.6380271489053811,0.5881431970116984,0.5967820095645746,0.41548895826260523,0.6011081709342112,0.10374344639813093,0.4797395275839638,0.6233836991033759,0.5160805566051588,0.5065955854196393,0.5389462921905768,0.464194299786885,0.6557034089318394,0.6472114274812816,0.5496029994027742,0.5942287327833757,0.6121601833085047,0.48409166271989573,0.566245992373895,0.6013462280922983,0.5480826716041626,0.49153984920508953,0.7009346132580034
AMT,0.45442354214421987,0.2999775695085496,0.6493241683839779,0.5515890195182065,0.4842743089998131,0.5767889343415595,0.6351210912353622,0.6171399278154626,1.0,0.42112541079304444,0.8003671597791608,0.33897599059765193,0.622853088271628,0.6700418929512181,0.5933480761547832,0.30607985124049863,0.7089224566143368,0.6505126087601067,0.5612666652707395,0.6531214612780027,0.5125223523676549,0.6695999647270892,0.5827898633255255,0.549320141325125,0.693095744073509,0.5658593341140268,0.3743804096772028,0.651144959608602,0.6764186890669069,0.5761747300469178,0.564329562568575,0.5073504177662933,0.6125076308750701,0.5994114808737869,0.4788544363034313,0.6740612011183903,0.33303684519132665,0.5882421622474489,0.6284058222806388,0.6658090850579637,0.4604027653951402,0.4165292486124128,0.4879750758721662,0.518249577936369,0.49789453653338694,0.5906343729842244,0.56227452388437,0.6343718948200349,0.5908925540240713,0.5841590801503332,0.4797725128032105,0.46774463556197926,0.5808680456859555,0.6984931218451967,0.5631555473150132,0.5465261440363242,0.40287024809103095,0.6033079150812235,0.6099356588527337,0.40948243469221146,0.6643985464032299,0.528933892628645,0.43369576560428763,0.3758426621142382,0.5473408060981998,0.5990946521565746,0.4841734252639114,0.6248057600450727,0.49668796710273905,0.5808673933420555,0.5510605133960819,0.3422861962668235,0.7345909844822994,0.6184741544850499,0.6987387019718618,0.6803072573424522,0.6409867800040097,0.34096616481302155,0.5501762383690589,0.060812280431104794,0.5622653326471154,0.6572527483490894,0.5983427763892386,0.33958630366313103,0.6443602760654216,0.4976179783216636,0.6659460276442491,0.5955106010272184,0.6670056469393439,0.5638154124142759,0.6668838417642763,0.6191567484660556,0.6178047434432575,0.549350300117639,0.6772130316269128,0.49395298458935777,0.6818755640000357
AMZN,0.37979983093442804,0.5347650152893444,0.33192807292458554,0.5229830178222261,0.29646525120303974,0.5151340640283308,0.35050112173229686,0.38625390737958926,0.42112541079304444,1.0,0.49168520371864666,0.3760427325576824,0.5014745657172214,0.5158861786251221,0.49588764426557336,0.33814907754126955,0.5198870134082275,0.40640697540483406,0.4346101234275877,0.4283996349176737,0.36228542335326985,0.500054661681477,0.47481599570832045,0.5942463430147372,0.41348519836165604,0.4359154126596623,0.45742660613850705,0.3704532035568464,0.4845554327240464,0.40692951794718296,0.396451433718393,0.48733192455642127,0.5830246771861288,0.3713518452637711,0.4286436271478013,0.6302058402643456,0.42424680596162423,0.4081588925459879,0.589020349515471,0.526794120081616,0.26819822763017265,0.47608527298070913,0.3761001151664671,0.5347332523096086,0.36736219741734405,0.47154709160646296,0.501704868840105,0.47510159197187785,0.3913920659281804,0.4922333456465878,0.4590416356361011,0.36392922316482107,0.519168989282051,0.5216254843824513,0.48244095369411266,0.5055300172121668,0.3536186124058707,0.5504178578625448,0.529901683350441,0.3577095387535586,0.39293284978509263,0.5960281071308315,0.37017520121342284,0.4271358105032086,0.5147812354983607,0.549108766567126,0.5896025763070365,0.37209736973618723,0.4279357335180714,0.31461619999342044,0.478956942615111,0.41846478735570153,0.4456144474425231,0.6012399054755923,0.4639167021313861,0.5478247683554115,0.3464864509194859,0.4487981287904672,0.6063669293584364,0.1269277378590804,0.5636300667289688,0.4238351925422408,0.4946593739607467,0.3759119768459436,0.5876693727301613,0.33232372863594795,0.4830256399394672,0.44012710657429205,0.43994888941762367,0.5058073688693052,0.5955379645044212,0.48390094481649043,0.38585443762281557,0.42857170599802824,0.6184098762249899,0.37692748087506983,0.6543891959346307
