horizon,regime,n,mean_bias,rmse,qlike,mean_y_true
21,covid,15792,-0.09205868735442756,0.22843125458202027,0.18243735361532173,0.3818809836632693
21,normal,169730,-0.008440000351029807,0.05455692433546929,0.02652492194163363,0.20657115747911517
21,post_norm,42716,0.0038460313499357507,0.04282958532464569,0.015032599112338972,0.20948860575387523
21,rate_shock,23845,-0.021934062543139368,0.06007725577123097,0.022625522228727744,0.27950918066724006
63,covid,15792,-0.08252346813970553,0.16826317673243882,0.12978420558410478,0.34552873584994476
63,normal,169730,-0.01622843545426842,0.06636248618890521,0.030833443392751382,0.21736922428232258
63,post_norm,42716,0.009197201362132357,0.03330486310426463,0.009757752889575805,0.21069952080429505
63,rate_shock,23845,-0.024526809534629844,0.050019898808981146,0.01778624960182645,0.2793075159607147
126,covid,15792,-0.044378390653054926,0.1047624354603053,0.054627896956631686,0.3135026878470017
126,normal,169730,-0.018314629587827296,0.06232235704951109,0.024942293367910012,0.22625466993959462
126,post_norm,42716,0.006374317450226851,0.028193246114479955,0.007124949694927018,0.21462442681400043
126,rate_shock,23845,-0.019428049020281998,0.04226828755703354,0.013042098592495433,0.27209921957582517
