ticker,regime,mean_bias,n
AAPL,covid,-0.10035958498484711,168
AAPL,normal,-0.005827324662247735,1721
AAPL,post_norm,0.009477143844289233,376
AAPL,rate_shock,-0.032528495644115134,251
ABBV,covid,-0.05869864479769126,168
ABBV,normal,-0.00032633625655233687,1220
ABBV,post_norm,0.013101828736903274,376
ABBV,rate_shock,-0.014118767336483769,251
ABT,covid,-0.10160582466368766,168
ABT,normal,-0.009945009113317511,1721
ABT,post_norm,0.002136813677632868,376
ABT,rate_shock,-0.02006410819507706,251
ADBE,covid,-0.10250156821696675,168
ADBE,normal,-0.010642992503075249,1721
ADBE,post_norm,0.005383999747730198,376
ADBE,rate_shock,-0.028222605074970857,251
AEP,covid,-0.12818832903890934,168
AEP,normal,-0.004405347690308535,1721
AEP,post_norm,-0.0045024835321166605,376
AEP,rate_shock,-0.02113424799301469,251
AMAT,covid,-0.11706984615352065,168
AMAT,normal,-0.01742083600750141,1721
AMAT,post_norm,0.005574339048623794,376
AMAT,rate_shock,-0.029102344572294103,251
AMD,covid,-0.023452051494410923,168
AMD,normal,-0.02006163072272735,1721
AMD,post_norm,0.0023511383609823365,376
AMD,rate_shock,-0.02946637305820698,251
AMGN,covid,-0.0702196376080234,168
AMGN,normal,-0.005519708759776178,1721
AMGN,post_norm,0.00454638228413388,376
AMGN,rate_shock,-0.001443781891481977,251
AMT,covid,-0.08913874944740427,168
AMT,normal,-0.00855155794121914,1721
AMT,post_norm,0.0016317643122966531,376
AMT,rate_shock,-0.031437873131907434,251
AMZN,covid,-0.06164221194443899,168
AMZN,normal,-0.0031658607022368055,1721
AMZN,post_norm,0.003204767092406862,376
AMZN,rate_shock,-0.034679178880466156,251
APD,covid,-0.10167400001903057,168
APD,normal,-0.0064091539787062704,1721
APD,post_norm,0.0028477263011441067,376
APD,rate_shock,-0.014843734399222201,251
AVGO,covid,-0.11109146461692264,168
AVGO,normal,0.0010298211422351238,1721
AVGO,post_norm,-0.02021121846871826,376
AVGO,rate_shock,-0.01753697902128004,251
AXP,covid,-0.16890988388546652,168
AXP,normal,-0.008582775288943214,1721
AXP,post_norm,0.005413246349316665,376
AXP,rate_shock,-0.02958850688327509,251
BA,covid,-0.19219512504676695,168
BA,normal,-0.01878176570117943,1721
BA,post_norm,0.0021133713809448795,376
BA,rate_shock,-0.033052425864174,251
BAC,covid,-0.08748952022778099,168
BAC,normal,-0.0031355005461086182,1908
BAC,post_norm,0.01086703835966743,502
BAC,rate_shock,-0.018150855749649537,251
BKNG,normal,-0.013834887269721192,278
BKNG,post_norm,0.010521591955461729,502
BKNG,rate_shock,-0.022890795066497736,251
BLK,covid,-0.10781296803713233,168
BLK,normal,-0.004917475730179521,1721
BLK,post_norm,0.015445534350178074,376
BLK,rate_shock,-0.02292115444530686,251
BMY,covid,-0.05951795670779527,168
BMY,normal,-0.007768371064277926,1721
BMY,post_norm,-0.0025155691252194425,376
BMY,rate_shock,-0.003153954006775496,251
C,covid,-0.13126015379200512,168
C,normal,-0.008352236741600147,1721
C,post_norm,0.001150986278028677,376
C,rate_shock,-0.01597457135828691,251
CAT,covid,-0.08312157322184496,168
CAT,normal,-0.009237326135117851,1721
CAT,post_norm,-0.0012647802571872859,376
CAT,rate_shock,-0.01814936417370453,251
CCI,covid,-0.09038196767761099,168
CCI,normal,-0.004619894327255197,1721
CCI,post_norm,0.0016603797475222258,376
CCI,rate_shock,-0.03093412885568873,251
CL,covid,-0.07229386500277372,168
CL,normal,-0.010596304530600993,1908
CL,post_norm,0.005887062114942852,502
CL,rate_shock,-0.0249979330622978,251
CMCSA,covid,-0.09078715515416215,168
CMCSA,normal,-0.009507265317849655,1721
CMCSA,post_norm,0.0050905026684913545,376
CMCSA,rate_shock,-0.025880599934165374,251
COP,covid,-0.11552368461490506,168
COP,normal,-0.017690220876615537,1721
COP,post_norm,0.013289967423068774,376
COP,rate_shock,-0.03953669044686184,251
COST,covid,-0.053195335585175606,168
COST,normal,-0.010635585597345848,1721
COST,post_norm,0.006883709555379682,376
COST,rate_shock,-0.02386583337229796,251
CRM,covid,-0.09616474104367785,168
CRM,normal,0.00280977492748383,1721
CRM,post_norm,0.01436094389557384,376
CRM,rate_shock,-0.02462182373243502,251
CSCO,covid,-0.07283380568559288,168
CSCO,normal,-0.0037483411099476075,1721
CSCO,post_norm,0.015343474278321808,376
CSCO,rate_shock,-0.009216413459060022,251
CVS,covid,-0.05010149313946473,168
CVS,normal,-0.016563601550756753,1721
CVS,post_norm,-0.007747080140630383,376
CVS,rate_shock,-0.014310166330023771,251
CVX,covid,-0.07638169356289094,168
CVX,normal,-0.01049340057281954,1908
CVX,post_norm,0.006759358971175194,502
CVX,rate_shock,-0.029916796379882694,251
D,covid,-0.11560060508788145,168
D,normal,-0.005152752479761604,1721
D,post_norm,-0.009535047314048327,376
D,rate_shock,-0.029484156725548324,251
DE,covid,-0.07809589937940874,168
DE,normal,-0.011080263476382395,1721
DE,post_norm,0.006187092262577905,376
DE,rate_shock,-0.013093534269746378,251
DIS,covid,-0.11013783462814018,168
DIS,normal,-0.006639351544530199,1721
DIS,post_norm,0.007964514499985304,376
DIS,rate_shock,-0.023716708807860937,251
DOW,covid,-0.15537383255758547,168
DOW,normal,-0.005530301180256315,1721
DOW,post_norm,0.012235555777372184,376
DOW,rate_shock,-0.011056477595658424,251
DUK,covid,-0.08693929222537407,168
DUK,normal,-0.00733700592637284,1721
DUK,post_norm,-0.0011467921223400127,376
DUK,rate_shock,-0.020881879269590658,251
EOG,covid,-0.17231551774765408,168
EOG,normal,-0.01655521676449009,1721
EOG,post_norm,0.021882829423766112,376
EOG,rate_shock,-0.030618392046320664,251
EQIX,covid,-0.08549767449725414,168
EQIX,normal,-0.0031295199145132528,1721
EQIX,post_norm,0.017128912382850362,376
EQIX,rate_shock,-0.012581811033091108,251
F,covid,-0.12315422909118896,168
F,normal,-0.016496488655497066,1721
F,post_norm,0.007242595150449804,376
F,rate_shock,-0.006093464097686882,251
FCX,covid,0.013368005539132775,168
FCX,normal,-0.02535663128358856,1721
FCX,post_norm,0.020452471925559306,376
FCX,rate_shock,-0.011907556993161646,251
FDX,covid,-0.09353190612324484,168
FDX,normal,-0.005110120674939211,1908
FDX,post_norm,0.005670039750086934,502
FDX,rate_shock,-0.022118333632141867,251
GE,covid,-0.05771311613875457,168
GE,normal,-0.02556671593342297,1908
GE,post_norm,0.001007238102795022,502
GE,rate_shock,-0.015113032041711731,251
GILD,covid,-0.06475616791800921,168
GILD,normal,0.002386861069619856,1721
GILD,post_norm,0.005243289293138001,376
GILD,rate_shock,-0.003185055842572767,251
GM,covid,-0.16690037206361674,168
GM,normal,-0.01005681523415662,1721
GM,post_norm,0.0016077767169676263,376
GM,rate_shock,-0.0010808003319520223,251
GOOGL,covid,-0.06108733107023542,168
GOOGL,normal,-0.015337293400478453,1092
GOOGL,post_norm,-0.003485881918345272,502
GOOGL,rate_shock,-0.039579585170768365,251
GS,covid,-0.08798494493515806,168
GS,normal,-0.007921812626489826,1721
GS,post_norm,0.01328032458379664,376
GS,rate_shock,-0.0099194165211692,251
HD,covid,-0.11262832239592861,168
HD,normal,-0.012127510125512716,1721
HD,post_norm,0.005594680480833536,376
HD,rate_shock,-0.037025305974042445,251
HON,covid,-0.10591060433862469,168
HON,normal,-0.003576014269361504,1721
HON,post_norm,0.0031508801978058073,376
HON,rate_shock,-0.012187604426209612,251
IBM,covid,-0.0790066832049933,168
IBM,normal,-0.00822526328328375,1721
IBM,post_norm,0.003852689369612899,376
IBM,rate_shock,-0.020929817613619176,251
INTC,covid,-0.049506669651402636,168
INTC,normal,-0.006444976699572163,1721
INTC,post_norm,-0.008653686583389306,376
INTC,rate_shock,-0.032058780056065724,251
JNJ,covid,-0.06849191570976679,168
JNJ,normal,-0.010435124397927098,1721
JNJ,post_norm,0.004767651636045175,376
JNJ,rate_shock,-0.008179321785422824,251
JPM,covid,-0.12198694464058343,168
JPM,normal,-0.006100765973578763,1908
JPM,post_norm,0.005599119930365119,502
