ticker,horizon,n,median_delta,p95_delta,seam_median_delta,off_seam_median_delta,seam_ratio,p_mw
AAPL,21,2639,0.002916898151676617,0.019877640540540982,0.0031238576360062,0.002875358438171091,1.086423728790199,0.059628918680876074
AAPL,63,2639,0.0010849344129369165,0.010644553172958477,0.0011517412567787766,0.001049365339063399,1.0975598429873359,0.10346495996368271
AAPL,126,2639,0.0008859265074665224,0.00818038454481967,0.000871576875048824,0.0008918645692157362,0.9772524945298003,0.650010679858375
ABBV,21,2138,0.004335586455829904,0.024641160938762886,0.004468546754987118,0.004251025310992085,1.0511691716896103,0.07000095563473527
ABBV,63,2138,0.0018494696740892491,0.01602152519050878,0.0019493402278022987,0.0018064504708242002,1.0790997369072093,0.03671198215406327
ABBV,126,2138,0.0013778148946966967,0.01695701560302925,0.0014874107161945982,0.0013393826817527932,1.1105195971685158,0.25477904067691953
ABT,21,2639,0.0025449200746860967,0.01593923465630225,0.002748506073735002,0.0024876461825293628,1.1048621355551476,0.02141904828202261
ABT,63,2639,0.0011822994925365926,0.008722286541966662,0.001213208699531787,0.0011749916823532436,1.0325253512450432,0.249970650465143
ABT,126,2639,0.0007092455576666878,0.006805806454478943,0.0007329323532226095,0.0007003230977190855,1.046563158647388,0.37386535801445614
ADBE,21,2639,0.0033640388612674044,0.02151597536596249,0.0032212021951593672,0.0033923172264952173,0.9495580690392454,0.394216746328373
ADBE,63,2639,0.0016383955933763072,0.013713429049216753,0.001744602713721899,0.0016009561632538,1.0897254739168811,0.28082125043724426
ADBE,126,2639,0.0009207846863575897,0.010364837648731286,0.0009083126681930787,0.0009243067192604565,0.98269616488326,0.291874039815194
AEP,21,2639,0.0022701799824156876,0.01415761951187873,0.0023743573029186005,0.0022512829724499056,1.05466852988932,0.0254255203400568
AEP,63,2639,0.0013828767589524893,0.009261398342215822,0.0014840014513025912,0.0013598021150450085,1.0913363311348223,0.14857202135953235
AEP,126,2639,0.0010125018489476056,0.007856698964483131,0.001043566321676792,0.0010026821357271565,1.040774822341864,0.26516348192968653
AMAT,21,2639,0.0031990927630261012,0.020350143135031272,0.0033870706043949983,0.003099347927435714,1.0928332938720229,0.07627576321976132
AMAT,63,2639,0.0017622085184738068,0.01711882210754891,0.0017815691268344147,0.0017264477792496152,1.031927607801006,0.4492648560651702
AMAT,126,2639,0.0010255377184237857,0.01114723774119323,0.0010385555531948198,0.0009953387450358508,1.0434191961023405,0.2643984421237062
AMD,21,2639,0.004198965874508298,0.030463697569547053,0.004687373914752491,0.004053587186729629,1.1563520651776558,0.020009488150365233
AMD,63,2639,0.002238968673132835,0.016210517602994662,0.0024510747672453204,0.002179189650249519,1.124764320978062,0.018187691302806053
AMD,126,2639,0.0014559278116709762,0.013227337565865319,0.0015368297274855336,0.001439508314779403,1.067607398795084,0.4744163810091215
AMGN,21,2639,0.003117170547159903,0.01787798796390146,0.003142129517895692,0.0030903670672502576,1.0167496124308273,0.4346662125145054
AMGN,63,2639,0.0012720106094735173,0.009749543443085509,0.0012771230933779076,0.001262896717053305,1.011264877113464,0.3271238069726264
AMGN,126,2639,0.000933478819238831,0.00958430161716474,0.0008847394293775845,0.0009550824396751117,0.9263487554839186,0.8672844742496976
AMT,21,2639,0.00328765802510389,0.018637261577400754,0.0034539262795015013,0.0032594183642214586,1.0596756517712334,0.1025859204089215
AMT,63,2639,0.0014486746934075923,0.010596068007686206,0.001448689605190484,0.0014467422682115927,1.001346015127697,0.27289409973495393
AMT,126,2639,0.000711185427504285,0.008632483064320772,0.0007501261814397142,0.0007050062346713459,1.0639993585154632,0.15425434802393262
AMZN,21,2639,0.0033209867539961135,0.027194183387185572,0.0031770251073572064,0.003405757000152207,0.9328396321919684,0.614506861333753
AMZN,63,2639,0.0016949380388587842,0.012090782253139412,0.001727964755941308,0.0016705048279186951,1.034396744662033,0.17972913326205175
AMZN,126,2639,0.0010071540454351102,0.009600781940766393,0.001074244314540701,0.0009712997353431008,1.1059864174278151,0.12692859886395225
APD,21,2639,0.003067753987650995,0.019704200473516387,0.003119977268020213,0.0030481692095570972,1.023557766490775,0.3110845067698985
APD,63,2639,0.001380875768732609,0.010643287188562917,0.001326232005986,0.0013915654777841568,0.9530503789859821,0.22616961676975744
APD,126,2639,0.0007394935427167126,0.007801740038565861,0.0007827146368294957,0.0007267443358065367,1.077015118337102,0.04067630221928893
AVGO,21,2639,0.0028441869634592,0.01934384074616519,0.00297121940741249,0.0027879047552731295,1.0657535562477998,0.061800909050223
AVGO,63,2639,0.0017144732147051922,0.011940111042641323,0.001669788992711807,0.0017286925268463482,0.9659259624139181,0.16244815525737916
AVGO,126,2639,0.0011877065345411997,0.01307399703842472,0.001198833544134692,0.0011794333011118097,1.0164487835001728,0.4811471838792114
AXP,21,2639,0.0023366018649028097,0.018071810708210213,0.002396039181713605,0.0023171230189681508,1.034057821746813,0.08989776565766122
AXP,63,2639,0.0011704718064086128,0.011809143280652247,0.0012334239419390103,0.0011462619948851421,1.0760401613617154,0.17516451046134712
AXP,126,2639,0.000742327375246099,0.008856237090273526,0.0007237717517399045,0.0007464580110185595,0.9696081240421024,0.42219575243565716
BA,21,2639,0.0033723610908868995,0.024258432994899166,0.003481423888654911,0.0033397040954538937,1.0424348352879318,0.14376621545195412
BA,63,2639,0.0018709543828225872,0.018147570746040866,0.0017755377917560988,0.0019072255703999758,0.9309532230022168,0.8482164442023545
BA,126,2639,0.0016434589297992797,0.015724228965066884,0.0016285655797786958,0.0016536101514136453,0.9848546094050407,0.6981575612816948
BAC,21,2639,0.0029752850134163733,0.018613950657120695,0.003085129141203291,0.0029257705746386503,1.0544672121409664,0.21600027459590915
BAC,63,2639,0.0016587170558939046,0.01377286870020324,0.001712467569487286,0.001637889173930679,1.0455332367681693,0.24568038072437515
BAC,126,2639,0.0010961704885909251,0.01179814669042973,0.0010904690207080014,0.0011000268897586873,0.9913112405345086,0.7942075493488967
BKNG,21,1154,0.004437287141246943,0.029123080437935007,0.005054653488951399,0.004238084380138923,1.1926741035735842,0.029707872112085445
BKNG,63,1154,0.0015688419679039112,0.01853495621660576,0.0014677349336727902,0.001597179298269566,0.9189543937008076,0.5923741502108435
BKNG,126,1154,0.0007598919386967995,0.00838697102724086,0.0007372125778161848,0.0007720107640181995,0.954925257750429,0.6980533353038517
BLK,21,2639,0.0032019446155505116,0.018469836272684406,0.0030232422024900063,0.003276682408785786,0.9226534113845671,0.7198794887097488
BLK,63,2639,0.0012661223565472168,0.011078567816081571,0.0012699632853213072,0.0012658356189270137,1.003260823390159,0.21115662351742898
BLK,126,2639,0.0008764700162542938,0.008146421914395744,0.0008871917625244974,0.0008680802570656537,1.0220158278031177,0.31267704634613613
BMY,21,2639,0.0035049003023004954,0.022677879024453926,0.00343738249177461,0.0035306425518536882,0.9735855276456366,0.6143760951513813
BMY,63,2639,0.0015073851090572077,0.010509515977787504,0.0014375792236217821,0.0015167745465517468,0.9477870174509401,0.6289378432658891
BMY,126,2639,0.0008248495917942134,0.008271753925448993,0.0008384121269268963,0.0008244768788470136,1.016901927073286,0.6428921159687
C,21,2639,0.0025994184954279964,0.01721590118825642,0.0028368310675105923,0.0024925379020529076,1.1381295607076296,0.02044127107367349
C,63,2639,0.0015020923421912025,0.011952188212523876,0.001477959182840688,0.001525595476346453,0.9687752787391282,0.5696813220972601
C,126,2639,0.001100884397163493,0.009661959865605493,0.001056757581440193,0.0011137117498210003,0.9488609432467952,0.6756888822620521
CAT,21,2639,0.0033910214704026,0.021125493999962622,0.0032655182274552996,0.0034306391648259438,0.9518687540608715,0.6238869567292483
CAT,63,2639,0.0015928653605919996,0.01198957120182855,0.0015685002816361038,0.0016077959972706363,0.9755592651671977,0.43213289007364497
CAT,126,2639,0.0011253604734711986,0.009452246746310214,0.0011049699721817907,0.0011303816984252896,0.9775193403441516,0.28511163858601507
CCI,21,2639,0.0021224437818222197,0.013889147191276615,0.0022284838023264864,0.0021036119847742396,1.0593606703403755,0.10186430236211236
CCI,63,2639,0.0009515078045244096,0.009466513527614517,0.0010287997320996833,0.000912500677103037,1.1274509246019049,0.12946582072326973
CCI,126,2639,0.0006134488674592042,0.007353718323106104,0.0005959830258678023,0.0006257231240669597,0.9524708340553913,0.7822342479486755
CL,21,2639,0.0017913243211641061,0.012042515462618322,0.001827344295767086,0.0017801066022185563,1.026536440845541,0.11646121835215029
CL,63,2639,0.0009050071558281969,0.009159211408993924,0.000859275906223117,0.0009207156647703107,0.9332695631256355,0.7537899981292493
CL,126,2639,0.0007415523122404899,0.009550342643434228,0.0007089105691731046,0.0007534093522039431,0.9409367790555472,0.9214516979623528
CMCSA,21,2639,0.002870076251261705,0.01782562438109812,0.002936074354718987,0.0028284914978336656,1.038035418161136,0.22640968714772042
CMCSA,63,2639,0.0014311688765347996,0.013634808421490762,0.0013329841474317983,0.001475033684440602,0.9036974283996265,0.7650276748622643
CMCSA,126,2639,0.0007467555137050941,0.009897661781655614,0.0007499504501007059,0.0007448911932080443,1.0067919408079893,0.20624717286117866
COP,21,2639,0.003938201265462293,0.023521361615625347,0.0042848221194730085,0.0038190910455319638,1.121948146401462,0.020783804585698642
COP,63,2639,0.0019834909434599812,0.01599032425640726,0.002000292306455098,0.00197058591580411,1.0150749025519479,0.32669202200920844
COP,126,2639,0.001439466139766421,0.014662988543946655,0.00149858163599631,0.001419123948361592,1.0559906608062344,0.21658513814360802
COST,21,2639,0.0019199225261775088,0.012073463817064754,0.001959754179212597,0.0019095110021600525,1.0263120647096085,0.6868989888426855
COST,63,2639,0.0011419900553911178,0.008622761486040052,0.0011649506108818986,0.001140371576541413,1.0215535311876418,0.17445249117615452
