ticker,n,vrp_nan_rate
DOW,2640,0.1481060606060606
RTX,626,0.027156549520766772
BKNG,1155,0.01471861471861472
GOOGL,2137,0.007955077211043519
PSX,2620,0.0064885496183206106
MPC,2829,0.006009190526687876
PEP,2953,0.005756857433118863
ORCL,2953,0.005756857433118863
NVDA,2953,0.005756857433118863
NEM,2953,0.005756857433118863
NFLX,2953,0.005756857433118863
LMT,2953,0.005756857433118863
MRK,2953,0.005756857433118863
SLB,2953,0.005756857433118863
JPM,2953,0.005756857433118863
MO,2953,0.005756857433118863
LOW,2953,0.005756857433118863
LLY,2953,0.005756857433118863
MCD,2953,0.005756857433118863
GE,2953,0.005756857433118863
KO,2953,0.005756857433118863
MMM,2953,0.005756857433118863
PFE,2953,0.005756857433118863
PLD,2953,0.005756857433118863
PG,2953,0.005756857433118863
PM,2953,0.005756857433118863
QCOM,2953,0.005756857433118863
TSLA,2953,0.005756857433118863
TXN,2953,0.005756857433118863
UNH,2953,0.005756857433118863
SO,2953,0.005756857433118863
SPG,2953,0.005756857433118863
T,2953,0.005756857433118863
TGT,2953,0.005756857433118863
TMO,2953,0.005756857433118863
USB,2953,0.005756857433118863
WFC,2953,0.005756857433118863
WMT,2953,0.005756857433118863
UPS,2953,0.005756857433118863
XOM,2953,0.005756857433118863
MS,2953,0.005756857433118863
SCHW,2953,0.005756857433118863
SBUX,2953,0.005756857433118863
NEE,2953,0.005756857433118863
NKE,2953,0.005756857433118863
NOC,2953,0.005756857433118863
AMZN,2640,0.0
ABT,2640,0.0
AMAT,2640,0.0
AEP,2640,0.0
ADBE,2640,0.0
AAPL,2640,0.0
ABBV,2139,0.0
AMT,2640,0.0
AMGN,2640,0.0
AMD,2640,0.0
BA,2640,0.0
AVGO,2640,0.0
APD,2640,0.0
CSCO,2640,0.0
CRM,2640,0.0
COST,2640,0.0
COP,2640,0.0
CMCSA,2640,0.0
CL,2640,0.0
CCI,2640,0.0
CAT,2640,0.0
C,2640,0.0
BMY,2640,0.0
BLK,2640,0.0
BAC,2640,0.0
AXP,2640,0.0
IBM,2640,0.0
GS,2640,0.0
HON,2640,0.0
CVS,2640,0.0
DE,2640,0.0
DIS,2640,0.0
HD,2640,0.0
JNJ,2640,0.0
INTC,2640,0.0
D,2640,0.0
CVX,2640,0.0
EOG,2640,0.0
DUK,2640,0.0
EQIX,2640,0.0
F,2640,0.0
FDX,2640,0.0
FCX,2640,0.0
GILD,2640,0.0
GM,2640,0.0
