ticker,horizon,rmse,mz_beta,mz_r2,qlike,n
AAPL,21,0.064475,1.1547,0.4156,0.167992,2973
AAPL,63,0.053067,1.3564,0.4274,0.11687,2973
AAPL,126,0.040362,1.0651,0.4654,0.093895,2973
ABBV,21,0.072026,0.8371,0.2873,0.164743,2472
ABBV,63,0.056853,0.9707,0.2833,0.09962,2472
ABBV,126,0.043885,1.1497,0.3672,0.062262,2472
ABT,21,0.054392,1.0964,0.4374,0.142638,2973
ABT,63,0.048833,1.2169,0.4197,0.121395,2973
ABT,126,0.03971,1.2242,0.4904,0.07735,2973
ADBE,21,0.070732,0.9833,0.4431,0.159127,2973
ADBE,63,0.061195,1.0568,0.4371,0.131918,2973
ADBE,126,0.046369,1.1417,0.577,0.071226,2973
AEP,21,0.068331,0.9822,0.4337,0.213386,2973
AEP,63,0.065022,1.1028,0.3305,0.249043,2973
AEP,126,0.056476,1.0818,0.3542,0.178419,2973
AMD,21,0.097158,0.9983,0.3243,0.101129,2973
AMD,63,0.069705,1.1101,0.4168,0.050663,2973
AMD,126,0.056009,0.9993,0.407,0.035007,2973
AMGN,21,0.053762,1.0403,0.3684,0.107104,2973
AMGN,63,0.043106,1.1347,0.3526,0.068814,2973
AMGN,126,0.03104,1.1109,0.4694,0.036132,2973
AMT,21,0.066659,1.027,0.4925,0.153275,2973
AMT,63,0.060813,1.0006,0.4224,0.157311,2973
AMT,126,0.047731,1.0615,0.5564,0.09018,2973
APD,21,0.065076,1.0288,0.4506,0.186579,2973
APD,63,0.058522,1.1249,0.4175,0.163628,2973
APD,126,0.047003,1.2275,0.5354,0.100563,2973
AVGO,21,0.0918,0.9067,0.3631,0.193763,2973
AVGO,63,0.075474,1.0496,0.4023,0.138669,2973
AVGO,126,0.059878,1.0558,0.4666,0.08569,2973
AXP,21,0.081555,1.0994,0.5515,0.252515,2973
AXP,63,0.077206,1.1658,0.5005,0.252183,2973
AXP,126,0.059428,1.2147,0.6687,0.128403,2973
