scope,bin_low,bin_high,count,current_value,current_percentile
stock,0.0854,0.1037,36,0.2121,0.6485
stock,0.1037,0.1221,135,0.2121,0.6485
stock,0.1221,0.1405,217,0.2121,0.6485
stock,0.1405,0.1588,401,0.2121,0.6485
stock,0.1588,0.1772,365,0.2121,0.6485
stock,0.1772,0.1956,342,0.2121,0.6485
stock,0.1956,0.214,230,0.2121,0.6485
stock,0.214,0.2323,172,0.2121,0.6485
stock,0.2323,0.2507,162,0.2121,0.6485
stock,0.2507,0.2691,138,0.2121,0.6485
stock,0.2691,0.2875,143,0.2121,0.6485
stock,0.2875,0.3058,104,0.2121,0.6485
stock,0.3058,0.3242,60,0.2121,0.6485
stock,0.3242,0.3426,33,0.2121,0.6485
stock,0.3426,0.361,16,0.2121,0.6485
stock,0.361,0.3793,8,0.2121,0.6485
stock,0.3793,0.3977,7,0.2121,0.6485
stock,0.3977,0.4161,3,0.2121,0.6485
stock,0.4161,0.4344,3,0.2121,0.6485
stock,0.4344,0.4528,4,0.2121,0.6485
stock,0.4528,0.4712,21,0.2121,0.6485
stock,0.4712,0.4896,9,0.2121,0.6485
stock,0.4896,0.5079,10,0.2121,0.6485
stock,0.5079,0.5263,1,0.2121,0.6485
stock,0.5263,0.5447,2,0.2121,0.6485
stock,0.5447,0.5631,0,0.2121,0.6485
stock,0.5631,0.5814,3,0.2121,0.6485
stock,0.5814,0.5998,6,0.2121,0.6485
stock,0.5998,0.6182,4,0.2121,0.6485
stock,0.6182,0.6365,5,0.2121,0.6485
sector,0.0814,0.1166,1072,0.2121,0.434
sector,0.1166,0.1518,4076,0.2121,0.434
sector,0.1518,0.1869,6075,0.2121,0.434
sector,0.1869,0.2221,5872,0.2121,0.434
sector,0.2221,0.2573,5136,0.2121,0.434
sector,0.2573,0.2924,3968,0.2121,0.434
sector,0.2924,0.3276,2804,0.2121,0.434
sector,0.3276,0.3627,1786,0.2121,0.434
sector,0.3627,0.3979,1196,0.2121,0.434
sector,0.3979,0.4331,1026,0.2121,0.434
sector,0.4331,0.4682,756,0.2121,0.434
sector,0.4682,0.5034,574,0.2121,0.434
sector,0.5034,0.5386,270,0.2121,0.434
sector,0.5386,0.5737,252,0.2121,0.434
sector,0.5737,0.6089,199,0.2121,0.434
sector,0.6089,0.6441,99,0.2121,0.434
sector,0.6441,0.6792,107,0.2121,0.434
sector,0.6792,0.7144,46,0.2121,0.434
sector,0.7144,0.7496,49,0.2121,0.434
sector,0.7496,0.7847,49,0.2121,0.434
sector,0.7847,0.8199,34,0.2121,0.434
sector,0.8199,0.8551,57,0.2121,0.434
sector,0.8551,0.8902,19,0.2121,0.434
sector,0.8902,0.9254,13,0.2121,0.434
sector,0.9254,0.9606,19,0.2121,0.434
sector,0.9606,0.9957,1,0.2121,0.434
sector,0.9957,1.0309,2,0.2121,0.434
sector,1.0309,1.066,2,0.2121,0.434
sector,1.066,1.1012,1,0.2121,0.434
sector,1.1012,1.1364,12,0.2121,0.434
market,0.0639,0.1177,15293,0.2121,0.5825
market,0.1177,0.1715,73204,0.2121,0.5825
market,0.1715,0.2253,71626,0.2121,0.5825
market,0.2253,0.2791,42333,0.2121,0.5825
market,0.2791,0.3329,20968,0.2121,0.5825
market,0.3329,0.3868,10396,0.2121,0.5825
market,0.3868,0.4406,5397,0.2121,0.5825
market,0.4406,0.4944,3288,0.2121,0.5825
market,0.4944,0.5482,1703,0.2121,0.5825
market,0.5482,0.602,1165,0.2121,0.5825
market,0.602,0.6558,702,0.2121,0.5825
market,0.6558,0.7096,482,0.2121,0.5825
market,0.7096,0.7634,413,0.2121,0.5825
market,0.7634,0.8172,324,0.2121,0.5825
market,0.8172,0.8711,353,0.2121,0.5825
market,0.8711,0.9249,207,0.2121,0.5825
market,0.9249,0.9787,120,0.2121,0.5825
market,0.9787,1.0325,106,0.2121,0.5825
market,1.0325,1.0863,51,0.2121,0.5825
market,1.0863,1.1401,51,0.2121,0.5825
market,1.1401,1.1939,61,0.2121,0.5825
market,1.1939,1.2477,39,0.2121,0.5825
market,1.2477,1.3015,61,0.2121,0.5825
market,1.3015,1.3554,25,0.2121,0.5825
market,1.3554,1.4092,13,0.2121,0.5825
market,1.4092,1.463,12,0.2121,0.5825
market,1.463,1.5168,15,0.2121,0.5825
market,1.5168,1.5706,10,0.2121,0.5825
market,1.5706,1.6244,3,0.2121,0.5825
market,1.6244,1.6782,5,0.2121,0.5825
