date,fwd_premium_21d,fwd_premium_63d,fwd_premium_126d,fwd_premium_21_to_63d,fwd_premium_63_to_126d,fwd_premium_ewma_21d,fwd_premium_ewma_63d,fwd_premium_ewma_126d
1/6/2014,0.010302,0.003055,0.019565,-0.00071,0.036847,0.010302,0.003055,0.019565
1/7/2014,-0.001783,-0.002904,0.013268,-0.003468,0.030193,0.009203,0.002513,0.018993
1/8/2014,0.008378,-0.002033,0.015663,-0.007544,0.034035,0.009128,0.0021,0.01869
1/9/2014,0.010957,0.000742,0.016671,-0.004652,0.033327,0.009294,0.001977,0.018506
1/10/2014,0.003914,-0.000997,0.011024,-0.003518,0.023493,0.008805,0.001706,0.017826
1/13/2014,0.001245,-0.017954,-0.010496,-0.028058,-0.003397,0.008118,-8.10E-05,0.015251
1/14/2014,0.009689,0.002206,0.018612,-0.00169,0.035664,0.008261,0.000127,0.015557
1/15/2014,0.004316,-0.000484,0.016645,-0.002948,0.034206,0.007902,7.10E-05,0.015656
1/16/2014,0.001158,0.000536,0.016135,0.000224,0.032253,0.007289,0.000114,0.015699
1/17/2014,0.000797,-0.00043,0.015655,-0.001047,0.032219,0.006699,6.40E-05,0.015695
1/21/2014,-0.008436,-0.004296,0.011223,-0.002272,0.026873,0.005323,-0.000332,0.015289
1/22/2014,-0.010616,-0.007813,0.007817,-0.006433,0.023405,0.003874,-0.001012,0.01461
1/23/2014,0.001299,-0.004372,0.013737,-0.007297,0.031479,0.00364,-0.001318,0.01453
1/24/2014,0.033804,0.018424,0.025078,0.010158,0.032065,0.006382,0.000477,0.015489
1/27/2014,0.022597,0.007318,0.006755,-0.000995,0.006201,0.007856,0.001099,0.014695
1/28/2014,0.011143,0.006314,-0.027443,0.003806,-0.056365,0.008155,0.001573,0.010864
1/29/2014,0.026467,0.008154,-0.14258,-0.002041,-0.240033,0.00982,0.002171,-0.003085
1/30/2014,0.029183,0.022558,0.032818,0.01914,0.044205,0.01158,0.004025,0.000179
1/31/2014,0.02998,0.027616,0.041866,0.026421,0.057431,0.013253,0.006169,0.003969
2/3/2014,0.048132,0.040347,0.050927,0.036324,0.062986,0.016424,0.009276,0.008237
2/4/2014,0.03895,0.03331,0.049939,0.030418,0.067952,0.018471,0.011461,0.012029
2/5/2014,0.046669,0.038934,0.053975,0.034934,0.070422,0.021035,0.013959,0.015842
2/6/2014,0.037991,0.040766,0.050515,0.042137,0.061627,0.022576,0.016396,0.018994
2/7/2014,0.022912,0.029135,0.043531,0.032159,0.059191,0.022607,0.017554,0.021225
2/10/2014,0.024118,0.032384,0.046188,0.036367,0.061363,0.022744,0.018902,0.023494
2/11/2014,0.013411,0.019332,0.040182,0.022208,0.06246,0.021896,0.018941,0.025011
2/12/2014,0.013022,0.020629,0.039027,0.024295,0.058856,0.021089,0.019095,0.026285
2/13/2014,0.012271,0.0173,0.037209,0.019753,0.058381,0.020287,0.018931,0.027278
2/14/2014,0.017511,0.016841,0.03571,0.016506,0.055998,0.020035,0.018741,0.028045
2/18/2014,0.018137,0.016811,0.035719,0.016144,0.056173,0.019862,0.018566,0.028742
2/19/2014,0.018471,0.016615,0.03617,0.015678,0.057236,0.019736,0.018389,0.029418
2/20/2014,0.018971,0.018083,0.036172,0.017637,0.055835,0.019666,0.018361,0.030032
2/21/2014,0.022774,0.021497,0.036348,0.020854,0.05224,0.019949,0.018646,0.030606
2/24/2014,0.017902,0.014434,0.02971,0.012668,0.045929,0.019763,0.018263,0.030524
2/25/2014,0.012803,0.01504,0.029271,0.016146,0.044514,0.01913,0.01797,0.030411
2/26/2014,0.017301,0.018779,0.031849,0.019513,0.045937,0.018964,0.018044,0.030541
2/27/2014,0.011024,0.019672,0.029907,0.023813,0.041222,0.018242,0.018192,0.030484
2/28/2014,0.016528,0.018342,0.033697,0.019241,0.049964,0.018086,0.018205,0.030776
3/3/2014,0.02335,0.023601,0.036619,0.023727,0.050625,0.018565,0.018696,0.031307
3/4/2014,0.018545,0.022296,0.037131,0.024137,0.052881,0.018563,0.019023,0.031836
3/5/2014,0.024867,0.02637,0.039958,0.027116,0.054606,0.019136,0.019691,0.032575
3/6/2014,0.021416,0.024044,0.038904,0.025342,0.054784,0.019343,0.020087,0.03315
3/7/2014,0.02056,0.024889,0.038959,0.027009,0.054463,0.019454,0.020523,0.033678
3/10/2014,0.02457,0.029739,0.038853,0.032262,0.04946,0.019919,0.021361,0.034149
3/11/2014,0.030649,0.02502,0.040773,0.022128,0.058119,0.020894,0.021694,0.034751
3/12/2014,0.021984,0.021655,0.038329,0.02149,0.056475,0.020993,0.02169,0.035076
3/13/2014,0.030429,0.026287,0.040494,0.024175,0.056217,0.021851,0.022108,0.035569
3/14/2014,0.03661,0.028597,0.04331,0.024435,0.059712,0.023193,0.022698,0.036272
3/17/2014,0.024573,0.023566,0.039418,0.02306,0.056881,0.023318,0.022777,0.036558
3/18/2014,0.019746,0.020624,0.03697,0.021062,0.054824,0.022994,0.022581,0.036596
3/19/2014,0.017878,0.017892,0.036118,0.0179,0.055844,0.022529,0.022155,0.036552
3/20/2014,0.016849,0.026896,0.036467,0.031688,0.047525,0.022012,0.022586,0.036545
3/21/2014,0.022219,0.020362,0.035981,0.019425,0.053132,0.022031,0.022384,0.036493
3/24/2014,0.016621,0.015764,0.033942,0.015333,0.053463,0.021539,0.021782,0.036261
3/25/2014,0.0143,0.015356,0.03154,0.015881,0.049142,0.020881,0.021198,0.035832
3/26/2014,0.01272,0.010204,0.030457,0.008928,0.051828,0.020139,0.020198,0.035344
3/27/2014,0.017493,0.015588,0.031132,0.014626,0.048157,0.019899,0.019779,0.034961
3/28/2014,0.010839,0.006447,0.02671,0.004198,0.048082,0.019075,0.018567,0.034211
3/31/2014,0.00852,0.003415,0.024423,0.000788,0.04639,0.018115,0.01719,0.033321
4/1/2014,0.002995,-0.000601,0.022276,-0.002436,0.04577,0.016741,0.015572,0.032317
4/2/2014,0.00739,0.004408,0.028152,0.002891,0.052655,0.015891,0.014557,0.031938
4/3/2014,0.008985,0.003217,0.027245,0.000235,0.052004,0.015263,0.013526,0.031512
4/4/2014,0.014027,0.004843,0.028428,1.00E-06,0.052895,0.01515,0.012737,0.031231
4/7/2014,0.025855,0.017225,0.034726,0.012708,0.053294,0.016124,0.013145,0.031549
4/8/2014,0.021066,0.011412,0.032696,0.00632,0.05473,0.016573,0.012987,0.031653
4/9/2014,0.02839,0.009256,0.031096,-0.001414,0.053589,0.017647,0.012648,0.031603
4/10/2014,0.033675,0.022596,0.039227,0.016739,0.057873,0.019104,0.013553,0.032296
4/11/2014,0.036703,0.024821,0.038617,0.018516,0.053853,0.020704,0.014577,0.03287
4/14/2014,0.022971,0.01627,0.034628,0.012798,0.054063,0.02091,0.014731,0.03303
4/15/2014,0.026719,0.017022,0.038285,0.01192,0.061193,0.021438,0.014939,0.033508
4/16/2014,0.013572,0.013972,0.033881,0.014172,0.055453,0.020723,0.014851,0.033542
4/17/2014,0.01873,0.013173,0.031057,0.01031,0.050819,0.020542,0.014699,0.033316
4/21/2014,0.017228,0.003912,0.031404,-0.003277,0.059795,0.020241,0.013718,0.033142
4/22/2014,0.021245,0.005626,0.032096,-0.002911,0.059495,0.020332,0.012982,0.033047
4/23/2014,0.015945,0.005506,0.031218,-3.30E-05,0.057898,0.019933,0.012303,0.032881
4/24/2014,0.019302,0.008124,0.033427,0.002175,0.059787,0.019876,0.011923,0.03293
4/25/2014,0.0207,0.010862,0.035121,0.00567,0.060708,0.019951,0.011826,0.03313
4/28/2014,0.027211,0.014982,0.035019,0.008457,0.0568,0.020611,0.012113,0.033301
4/29/2014,0.029793,0.016219,0.035114,0.008928,0.055917,0.021446,0.012486,0.033466
4/30/2014,0.025011,0.02093,0.037177,0.018847,0.055431,0.02177,0.013254,0.033803
5/1/2014,0.015726,0.013489,0.029599,0.012357,0.046118,0.02122,0.013275,0.033421
5/2/2014,0.002011,0.005823,0.026643,0.007689,0.04715,0.019474,0.012598,0.032805
