feature,vif,flag,group
sector_wedge,30.45229027598249,DROP,sector
corr_sector_252d,28.33150723694283,DROP,corr
corr_sector_21d,26.161487966744538,DROP,corr
rv_21d,10.615123121069274,DROP,rv
rv_126d,7.239177178969047,REVIEW,rv
ewma_vol,6.766206372604983,REVIEW,ewma
mom21_SPY,4.799272731227847,OK,mom21
vrp_wedge,4.22414855697287,OK,vrp
res_vol,4.153845794200892,OK,res
mom21_HYG,4.100789626081543,OK,mom21
ret_SPY,3.37510726368194,OK,ret
macro_breakeven_5y,3.3077698793160857,OK,macro
macro_inflation_fwd_zscore,3.1016177978538977,OK,macro
term_structure_slope,3.0295135994586495,OK,term
iv_atm_z_score,2.8333464830390653,OK,iv
vol_chg_21d,2.8322909243703482,OK,vol
macro_hy_spread,2.7941316309586597,OK,macro
vol_regime_zscore,2.764636551977813,OK,vol
macro_inflation_fwd_chg_63d,2.736029353720316,OK,macro
ret_HYG,2.7329994710721426,OK,ret
price_regime,2.7119866315210666,OK,price
tech_MACD_hist,2.694765926466555,OK,tech
vol_of_vol,2.481927585279489,OK,vol
macro_inflation_fwd_5y5y,2.3147267665231643,OK,macro
put_call_skew_30d,2.2689729827489993,OK,put_call
macro_dollar_ret,2.008206112655803,OK,macro
macro_inflation_fwd_chg_21d,1.9370064321525648,OK,macro
ret_UUP,1.8465190851670614,OK,ret
mom21_TLT,1.7257299106245798,OK,mom21
macro_yield_curve_slope,1.7229346098019167,OK,macro
macro_hy_spread_chg_5d,1.7156274503839224,OK,macro
res_vol_vel,1.6343302725836786,OK,res
tech_RSI,1.5825210749495067,OK,tech
vol_vel,1.5688841492825472,OK,vol
mom21_USO,1.5348455013800146,OK,mom21
mom21_VIXY,1.4650921109513684,OK,mom21
beta_spy,1.4500949718263665,OK,beta
ret_TARGET,1.3590156184636606,OK,ret
ret_VIXY,1.3482935580253461,OK,ret
mom21_UUP,1.3107042413664334,OK,mom21
ret_TLT,1.2752460668826888,OK,ret
macro_inflation_fwd_abs_chg_21d,1.2556436471915546,OK,macro
ret_USO,1.1408225058133739,OK,ret
event_earn_gravity,1.1054948228914732,OK,event
event_fed_gravity,1.0824045291756075,OK,event
event_div_gravity,1.0180049266118016,OK,event
