trial,objective,qlike,mz_beta_dev,xgb_max_depth,xgb_lr,xgb_n_est,xgb_reg_alpha,xgb_reg_lambda,xgb_gamma,xgb_colsample,xgb_min_child,xgb_subsample,rf_n_est,rf_min_leaf,rf_max_feat
61,0.020924537501926858,0.019093706519490484,0.30255834003018106,3,0.017850608954825764,300,0.22782148419003184,0.23527423781671095,0.2185997211039674,0.5298336424806827,8,0.8548722328872956,150,15,sqrt
1,0.020952260211867888,0.0191081302248985,0.3036552310573118,2,0.024878734419814436,200,0.02666020367873237,0.31245650712608714,0.30592644736118974,0.569746930326021,3,0.7465447373174767,100,12,0.3
29,0.02100120980781701,0.019056221153421992,0.3118484130467093,3,0.02688959895956626,250,0.13026333968285908,0.32694150161569924,0.19735397577596409,0.5478854207990519,8,0.8151305021436178,150,14,sqrt
72,0.02101359578936972,0.01919361738805111,0.3016602726013659,3,0.02519542659083105,300,0.5912160753027014,0.3081603880470327,0.23333429252693322,0.930557579622074,8,0.8809524258628548,150,14,sqrt
37,0.02108555557046778,0.019180861208140634,0.30860122831310516,3,0.038445905272037215,200,0.09059205020737825,0.25241590998493413,0.18438219606134093,0.6484501751281224,10,0.7719936640799693,150,13,sqrt
51,0.021108531422154207,0.01909452341537762,0.3173332638391842,3,0.018609983584892072,300,0.3004136742723464,0.2802998667567095,0.22218979863299695,0.5330973600319282,8,0.8544562452511473,150,15,sqrt
93,0.021132800872978107,0.019151021407663227,0.314784010498856,3,0.06985069294433588,200,0.20810868001899824,0.2140975565974756,0.208354637039229,0.6389198869971824,8,0.8520954164457979,100,11,sqrt
91,0.02115220290774453,0.01910640558129934,0.3198278698335398,3,0.054899634844462135,200,0.12430298232565935,0.3926058662835603,0.2047461903093689,0.6003674368905232,8,0.8484050460606547,100,11,sqrt
31,0.0211624804970607,0.019140726142408932,0.31794294729178746,3,0.025166570422447913,250,0.3087781643591461,0.2264387527887177,0.19094424483050282,0.6047514744260244,7,0.7661188142487927,150,12,sqrt
34,0.02117475525809664,0.019185774888215823,0.31535538443800337,3,0.022092918284139538,250,0.4806378884214962,0.2520730532582465,0.2198052812920609,0.5277116335567932,8,0.8839459066117197,150,15,sqrt
33,0.02119832554129435,0.019083730736142255,0.3251610989303684,3,0.01764751584611841,300,0.32183334920164236,0.24762750512051862,0.2234992214602185,0.531725319955209,8,0.850233124790757,150,15,sqrt
47,0.0212109595566742,0.0190774743249673,0.32661025946124994,3,0.05002444238288348,200,0.10382707118185759,0.3764602503229778,0.20439256155564878,0.5976903335762256,8,0.8426572296046855,100,10,sqrt
99,0.021226277790772637,0.019231293064798937,0.3158310249147238,3,0.09212348761015578,200,0.09432936906504959,0.23009147820512674,0.15135598655142782,0.6017031431191632,8,0.818080880052223,100,13,sqrt
50,0.02125665424979931,0.019202327091178913,0.32049392807199933,3,0.020676392303608945,150,1.2078165968214434,0.1506810894750616,0.2894534619112588,0.5002075422350208,7,0.8885848202829215,50,15,0.3
43,0.021273856720583642,0.019110201235301796,0.3289114991363062,2,0.03414475641806208,200,0.21688554822557607,0.13062941224075636,0.20987862818818015,0.6350835264323215,8,0.8725653670264012,150,5,sqrt
65,0.021281808134967547,0.019160760670654902,0.3256568335159454,3,0.01749450956652703,250,0.03967586190349669,0.1735636132528905,0.23979707172192316,0.5134228095536221,8,0.7417882593559141,150,13,sqrt
73,0.021300719285451724,0.019304368436576676,0.31593914357634184,3,0.023779763145040794,300,0.6537330186884144,0.3036572308865926,0.24970631311002536,0.835882051416841,8,0.9159701076889698,150,14,sqrt
82,0.02132924743300673,0.01922293168541869,0.3245239396090865,3,0.01854903019494714,300,0.20235190774361259,0.198624001794164,0.21900385285166768,0.5515473780899318,8,0.8419812771106878,150,15,sqrt
40,0.02136797189744643,0.019193234652004704,0.3297527289835313,3,0.0917083843117998,150,0.12698133243956003,0.21338902974287194,0.25953880007407076,0.6592508141315648,10,0.7528212734111468,100,13,sqrt
41,0.021374464474170584,0.01920604831129635,0.32927315126458717,3,0.024241133790863525,250,0.4746176858383243,0.26340111396632276,0.22774417451840392,0.5390819876840651,9,0.7721928572418997,150,14,sqrt
66,0.02140476118078013,0.019216756697607033,0.330757047027958,2,0.021994420207699386,300,0.11786727038237121,0.3252271824338392,0.2649863360731919,0.5319668168871978,3,0.8632888856319447,150,14,sqrt
71,0.021452994295502056,0.01926657855165811,0.33063694166290214,3,0.01797811744939197,300,0.35346552906361056,0.253810671526706,0.21576005647225507,0.5332335818050881,8,0.8443815046200539,150,15,sqrt
86,0.02146102906863045,0.019315145885627903,0.3275578714519426,3,0.016042477472990035,300,0.9803725836223035,0.3021333455218008,0.33346963968113175,0.5791747547511998,9,0.8500629520501918,150,15,0.3
44,0.021474057904680197,0.01915355252676259,0.340624821315007,3,0.021801596657041296,250,0.3230643307688767,0.21931723334030176,0.15958450643225822,0.5183704018718627,7,0.7395962382119721,150,15,sqrt
94,0.021484417970070932,0.01923537115600286,0.3353391428142614,3,0.05480625982084853,200,0.14079033438387312,3.459252464015398,0.20796703883372622,0.6401835632567302,7,0.8594777052974123,100,11,sqrt
97,0.02149102867907489,0.019176744654112166,0.3401679015547118,4,0.04999121741540583,200,0.2947259899038646,0.3900494168259713,0.20532532444228266,0.6724731530374063,7,0.8074770448491256,100,11,sqrt
63,0.021500423692974446,0.019252493011365175,0.3352559232593268,3,0.01520707949682772,300,0.22602786785418952,0.27452399613189626,0.21533008370569257,0.5705101856393859,7,0.7860967996012157,150,14,sqrt
60,0.021514848769486936,0.01921736046454837,0.33893128396022715,4,0.036223838097814785,250,0.5856387892608609,0.15714602766328073,0.22337794862863058,0.6479848569077907,9,0.7256715675304299,150,12,sqrt
80,0.021539482601903092,0.01940025659113627,0.3270493854731133,3,0.031402682311927305,300,0.38215641626594193,0.5509586970434676,0.1614712445144576,0.9132251709567887,6,0.8756514038918018,150,15,sqrt
83,0.021555428140342912,0.01920278072774524,0.34297575807902736,3,0.014593769508950905,300,0.32014808507169323,0.40341809851031185,0.2006526004477586,0.5707453925556518,9,0.7753506005182077,150,14,sqrt
84,0.021558087960437306,0.01922786808561512,0.3413370676341923,3,0.022754713697461498,300,0.020534035634556837,0.2725072327468778,0.26272877379822646,0.5336883741804717,8,0.8203624534464801,150,14,sqrt
48,0.021560598455478277,0.019160879927676497,0.34638984741197154,4,0.025189902590744325,250,0.30611154034743815,0.10741347510175024,0.23459196356360232,0.6307848670579466,9,0.9438761642520724,150,14,sqrt
62,0.021561459775193997,0.01926751215258282,0.33867001805674946,3,0.02819079883154698,300,0.397922869330181,0.19246402766173887,0.180407324401377,0.5190777171330894,8,0.8901554780080111,150,15,sqrt
57,0.02158024606783231,0.019482048091652018,0.3238979759260849,3,0.015912599870899612,200,0.042688303339881245,0.41980664884383373,0.3332605910091149,0.5535823218303975,8,0.8039766030005754,150,11,0.5
79,0.021582120817687244,0.01913729973674576,0.3496298815134001,2,0.016782358121137823,250,0.7051809199843899,0.3302224348185626,0.18475725119700745,0.5091280000845878,9,0.9354950619464857,50,14,sqrt
92,0.021593757227926114,0.019373444017620096,0.3331901266773985,3,0.07858035057781235,200,0.12479794478332555,0.30385783603481026,0.1952841495679861,0.6168927240080967,8,0.8655818977460163,100,12,sqrt
14,0.021597692722185393,0.01931291470888327,0.337992456521009,4,0.01566946227934907,300,0.006728165808534385,1.3779583277919942,0.3184176617422394,0.6004445065105627,4,0.7938863093296036,200,12,sqrt
90,0.021635365439576698,0.019260537876947995,0.3445887086534251,3,0.026116997368260713,200,0.4665115193284443,0.16737448282485132,0.2346642632083637,0.6813287583883255,8,0.7333577091529844,150,15,sqrt
53,0.021651176382227265,0.01926714487326646,0.34525581160646707,3,0.013958475675014608,300,0.07817191189063948,0.291114847914515,0.20413160670162495,0.5227697105494084,9,0.863311968248727,150,13,sqrt
18,0.021671551463845216,0.019182142375751953,0.35280370520257165,2,0.029622072231014096,200,0.0010049546776781915,0.46026497494070523,0.39649739976798565,0.7972366796457822,6,0.6709526431462935,150,11,sqrt
55,0.021690676404535425,0.019158091730173316,0.35585001576240716,3,0.011723276237595445,250,0.26995689365111636,0.2636842394681798,0.15329788734645172,0.5669204240202518,1,0.7779832842307162,100,12,sqrt
69,0.021714455715463456,0.01928228952400671,0.34872382994690404,3,0.033202389737101504,300,0.25812615750857093,0.19719724950183345,0.17194230681736364,0.5896601074024513,9,0.798060389836136,100,10,log2
68,0.021715236332771587,0.019202743158344835,0.3544356905298021,4,0.012365700547785383,200,0.029124322751955176,0.23595659696533902,0.13328543074346147,0.5697084744395589,7,0.8299420820258351,150,13,sqrt
32,0.021718006948030062,0.01922123790142469,0.3533248538247326,4,0.027307149309974056,250,0.8733726237996231,0.2054374971884694,0.17361034161929378,0.6106110891279074,8,0.7938531639603201,150,13,sqrt
85,0.021721304494441943,0.019162568314925122,0.3576825533568013,4,0.024780134349286245,250,0.10334661834638004,0.18146547737666874,0.17343604570604734,0.5002225293879875,7,0.8689670480400898,150,13,sqrt
35,0.021729640753458023,0.01944415608855066,0.33804472077724884,3,0.02197297189842922,250,1.9152280107489277,0.16409651256532504,0.10333457439855029,0.5042814860349829,9,0.8711506940269588,150,15,0.3
9,0.02174007858580255,0.019197628245256892,0.35654244772156213,3,0.047311003556264795,250,0.015861791058006697,4.477427984113195,0.4812236474710556,0.6258911479126821,5,0.7203513239267079,100,2,sqrt
67,0.021741748106755995,0.019471436843944697,0.33692070749742425,3,0.02006547026911496,250,0.06655634501428861,0.41612562191334157,0.19130566230610802,0.5504810020317971,8,0.9793478247439736,200,15,0.3
75,0.02178001708812492,0.019430523443679373,0.3427457982561964,3,0.025074909491608406,250,0.08606461550301567,0.4723373652067745,0.20103828939797533,0.763625570187957,7,0.8799553678319769,150,12,sqrt
20,0.021780852590222922,0.019440821556520656,0.3420548957186746,4,0.020387432644636615,300,0.17334718532906945,0.10579248993606635,0.3532705233244291,0.5189445429207712,2,0.9871013003751492,200,13,0.3
52,0.02181009217021256,0.019351910318931836,0.3505839308411556,3,0.017508998283925437,300,0.18662358977721924,0.3222841461508011,0.2527020491388761,0.5415547491985385,8,0.8989994069115712,150,14,sqrt
45,0.021815012817619113,0.019591763767377576,0.33341033654054114,2,0.030178102825338074,250,0.8312857734730448,0.18139844994214654,0.12313116104501792,0.5571740765345516,9,0.7038974390372936,150,13,0.3
76,0.021816603898084985,0.01926217382723203,0.35738145383140374,3,0.029333286789063065,300,1.2390406189221603,0.14674798478954643,0.275982065115733,0.6047245771019181,10,0.9038209598773085,150,14,sqrt
54,0.021817060839692204,0.019367524850002187,0.3499668548369986,2,0.026870105485454286,300,0.02046032708527262,0.37219314311594226,0.11904426275307405,0.6111221235438256,7,0.8335653664328351,150,15,sqrt
59,0.02181824729859668,0.01940105868912634,0.3476484294132753,6,0.023201610890353216,200,0.010495726930770562,0.7300566020533487,0.27835815547699816,0.5946407834577203,7,0.8381428830634001,100,15,0.3
12,0.021856779151162607,0.019396243789473407,0.35075171857663073,4,0.05584831526411583,150,0.0014064895360269307,0.6069731688229942,0.007899095487574337,0.502496762699377,7,0.7205875801909404,50,5,sqrt
11,0.021867754303865047,0.01934869190255453,0.3548987462157706,2,0.0533223081224837,300,0.0169118038724383,0.9418986507624856,0.35790134921236594,0.6364274084599681,3,0.7422946841949962,100,10,sqrt
