[MONITOR] Logging to /mnt/c/Users/Caleb Solomon/Documents/GitHub/volarbmodel/model/pipeline/results/monitoring
[MONITOR] Interval: 60s | RAM warn: 85% | RAM crit: 90%
[MONITOR] Press Ctrl+C to stop

[2026-04-07 06:07:52 UTC] RAM 18.3% | CPU 12.3% | GPU 5.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:08:53 UTC] RAM 26.2% | CPU 83.8% | GPU 9.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:09:54 UTC] RAM 26.1% | CPU 73.0% | GPU 3.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:10:55 UTC] RAM 26.1% | CPU 82.3% | GPU 11.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:11:56 UTC] RAM 26.2% | CPU 66.1% | GPU 3.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:12:57 UTC] RAM 26.3% | CPU 73.9% | GPU 90.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:13:58 UTC] RAM 26.4% | CPU 93.9% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:14:59 UTC] RAM 26.4% | CPU 88.5% | GPU 21.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:16:00 UTC] RAM 26.5% | CPU 89.2% | GPU 34.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:17:01 UTC] RAM 26.5% | CPU 62.6% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:18:02 UTC] RAM 26.6% | CPU 85.4% | GPU 6.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:19:02 UTC] RAM 27.0% | CPU 97.2% | GPU 11.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:20:03 UTC] RAM 27.0% | CPU 94.8% | GPU 16.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:21:03 UTC] RAM 26.8% | CPU 90.0% | GPU 21.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:22:03 UTC] RAM 26.8% | CPU 68.6% | GPU 11.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:23:04 UTC] RAM 27.0% | CPU 95.3% | GPU 53.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:24:04 UTC] RAM 27.0% | CPU 95.1% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:25:05 UTC] RAM 27.1% | CPU 85.5% | GPU 60.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:26:05 UTC] RAM 27.2% | CPU 93.4% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:27:05 UTC] RAM 27.2% | CPU 90.9% | GPU 61.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:28:05 UTC] RAM 27.3% | CPU 96.2% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:29:05 UTC] RAM 27.3% | CPU 98.9% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:30:05 UTC] RAM 27.4% | CPU 98.6% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:31:05 UTC] RAM 27.4% | CPU 98.9% | GPU 18.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:32:06 UTC] RAM 27.5% | CPU 68.6% | GPU 32.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:33:06 UTC] RAM 27.6% | CPU 95.2% | GPU 3.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:34:07 UTC] RAM 27.7% | CPU 79.8% | GPU 83.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:35:07 UTC] RAM 27.8% | CPU 97.7% | GPU 14.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:36:07 UTC] RAM 27.9% | CPU 77.1% | GPU 61.0% | Batch 0/27 (0 tickers)
