ticker,horizon,ew_alpha,ew_beta,ew_beta_raw,ew_r2,n,beta_capped
AAPL,21,-0.031486827317949634,1.1824688265235468,1.182469,0.3982067324298908,2640,False
AAPL,63,0.06351304174682973,0.6877833837066245,0.687783,0.14113664520894853,2640,False
AAPL,126,0.006317469700963335,0.9658539526383959,0.965854,0.3678622304379665,2640,False
ABBV,21,0.03303898613274245,0.8069552448918986,0.806955,0.1950132249633989,2139,False
ABBV,63,0.21635308154055913,-0.07475014046400684,-0.07475,0.004498982501420334,2139,False
ABBV,126,0.1426135945923522,0.26085732552958707,0.260857,0.041870102659699815,2139,False
ABT,21,-0.04577810622494086,1.3006382464068023,1.300638,0.3614161543552582,2640,False
ABT,63,0.10071461358783335,0.4582291678434221,0.458229,0.039141940923139606,2640,False
ABT,126,0.01653411869285265,0.9252153529882586,0.925215,0.17075501372140034,2640,False
ADBE,21,0.01679125042434268,0.9434737953722522,0.943474,0.33118464133946746,2640,False
ADBE,63,0.06594113525805295,0.7456509476373028,0.745651,0.1824285076680019,2640,False
ADBE,126,0.052421783211409556,0.7892641938050445,0.789264,0.19040993091988934,2640,False
AEP,21,0.06492483078791271,0.6876326934932886,0.687633,0.09885883493639225,2640,False
AEP,63,0.15773879700942084,0.18555085124586182,0.185551,0.006619017527781934,2640,False
AEP,126,0.21466517209988523,-0.13437389203101394,-0.134374,0.009726719848238918,2640,False
AMAT,21,0.003710615864643052,1.0092967955783292,1.009297,0.34665375168909085,2640,False
AMAT,63,0.0511317646722208,0.8763690080602469,0.876369,0.14578956888591255,2640,False
AMAT,126,0.03815613322500472,0.9109806147004355,0.910981,0.20724133197353933,2640,False
AMD,21,0.06748652328889321,0.846643786311355,0.846644,0.21190800550973632,2640,False
AMD,63,0.23834069712814526,0.4247238420902241,0.424724,0.04562077496905126,2640,False
AMD,126,0.14820480684430304,0.6170433330428521,0.617043,0.11732963767117954,2640,False
AMGN,21,0.025402670025289648,0.8719546430289572,0.871955,0.2044828178487037,2640,False
AMGN,63,0.12642892536665204,0.37186443642130074,0.371864,0.058465023727456544,2640,False
AMGN,126,0.12326476562794328,0.39617266969936765,0.396173,0.10750969000038868,2640,False
AMT,21,0.04365728224564233,0.8456261731614684,0.845626,0.2391725151985703,2640,False
AMT,63,0.1708302639032462,0.26630356440391795,0.266304,0.02858289744299969,2640,False
AMT,126,0.17144111340367685,0.25905078529224573,0.259051,0.029135906092748853,2640,False
AMZN,21,0.1268226007667589,0.4976192777812325,0.497619,0.39976440930872414,2640,False
AMZN,63,0.021703478908157547,0.9048679158933264,0.904868,0.3698471113213374,2640,False
AMZN,126,0.04395762153367733,0.8239565161186807,0.823957,0.21614593075871524,2640,False
APD,21,0.04040271108678767,0.8163199596359555,0.81632,0.17793348890400407,2640,False
APD,63,0.1775634896100469,0.08546734820902441,0.085467,0.0019480994928982032,2640,False
APD,126,0.12884489429989904,0.34218636811966546,0.342186,0.05123972475464322,2640,False
AVGO,21,0.07354802317329118,0.800416603831609,0.800417,0.098135793942422,2640,False
AVGO,63,-0.0438110039994139,1.2935347188814723,1.293535,0.14764187286995778,2640,False
AVGO,126,0.014989905916680535,1.0380829627346149,1.038083,0.22001210223030487,2640,False
AXP,21,-0.023602948649464023,1.1599848719820818,1.159985,0.35709232856029394,2640,False
AXP,63,0.055836439318588116,0.7731111713384494,0.773111,0.1388825407343678,2640,False
AXP,126,0.014486412783262126,0.9547276105528152,0.954728,0.22513176057734274,2640,False
BA,21,0.0785937863303407,0.7330324999164946,0.733032,0.2545811436650839,2640,False
BA,63,0.22161829779272918,0.21236645524436795,0.212366,0.06067237171333384,2640,False
BA,126,0.13506157215599793,0.5081423132130416,0.508142,0.16679310567111272,2640,False
BAC,21,0.06580125869381273,0.7091023675737622,0.709102,0.2120254191884896,2640,False
BAC,63,0.11022398717703294,0.5192095300577206,0.51921,0.1136176608484809,2640,False
BAC,126,0.08823358165197148,0.5944858848561659,0.594486,0.1820325491215029,2640,False
BKNG,21,0.08176203418541994,0.6572794967712697,0.657279,0.2785847518692004,1155,False
BKNG,63,0.18322680491757154,0.2324943894677795,0.232494,0.034872902903474445,1155,False
BKNG,126,0.06530564677397219,0.7254228274913949,0.725423,0.17997842943472908,1155,False
BLK,21,-0.08760944634256584,1.4079558822690479,1.407956,0.4853051311563734,2640,False
BLK,63,-0.026738697853666976,1.1073930539001886,1.107393,0.24427846350515858,2640,False
BLK,126,0.057107795507284675,0.668632905395125,0.668633,0.16616105089221334,2640,False
BMY,21,0.031783577574094946,0.8660724629460487,0.866072,0.24221697355523997,2640,False
BMY,63,0.03756798604274342,0.8612740200060317,0.861274,0.13312210701636862,2640,False
BMY,126,0.05190672168459959,0.7723472843505353,0.772347,0.18420733794576138,2640,False
C,21,0.027138367002627672,0.8920524513002731,0.892052,0.2331396806274666,2640,False
C,63,0.04598372741824222,0.8253237570797846,0.825324,0.16100251863989046,2640,False
C,126,0.0021147208571264675,0.9920680101426134,0.992068,0.2821839974396565,2640,False
CAT,21,0.06316988137263918,0.7393591632869488,0.739359,0.23111942712758105,2640,False
CAT,63,0.14688847381950662,0.3768692211778846,0.376869,0.023568322246951268,2640,False
CAT,126,0.1438576303439407,0.38685765009242284,0.386858,0.025724393149607283,2640,False
CCI,21,0.04997786587142866,0.7977712799088289,0.797771,0.1739677634681449,2640,False
CCI,63,0.1510149995249407,0.32964556605437023,0.329646,0.05421688143272574,2640,False
CCI,126,0.1433620534008883,0.359946416827931,0.359946,0.04693274394406133,2640,False
CL,21,-0.026746834518996204,1.1912205303627996,1.191221,0.2721982227580698,2640,False
CL,63,0.13199331432215358,0.12063140201535558,0.120631,0.007185372447294447,2640,False
CL,126,0.07981250993682962,0.46936166481738545,0.469362,0.05446346940108937,2640,False
CMCSA,21,0.008288837621801715,0.9797913226677945,0.979791,0.2742653025490033,2640,False
CMCSA,63,0.1320616412731595,0.39775722142148723,0.397757,0.046023169833874666,2640,False
CMCSA,126,0.09961068222533201,0.5607905771753474,0.560791,0.0896450999238535,2640,False
COP,21,-0.036593079244083754,1.1381365028369355,1.138137,0.546926716240508,2640,False
COP,63,-0.0562671399568867,1.18054056132514,1.180541,0.4854044975634447,2640,False
COP,126,-0.06500588703895882,1.2190164279245117,1.219016,0.5194555383428696,2640,False
COST,21,-0.01687196731017454,1.1225644120515983,1.122564,0.4665938679398597,2640,False
COST,63,-0.01221743613872095,1.099752617931816,1.099753,0.21815201145512642,2640,False
COST,126,-0.007874027396254063,1.0651745476496675,1.065175,0.19272017727081636,2640,False
CRM,21,-0.00014826656588151632,0.986929252165712,0.986929,0.4175604260834501,2640,False
CRM,63,-0.005875875452969581,0.9925961058373335,0.992596,0.307544821191857,2640,False
CRM,126,0.030096257077551147,0.8662285557452138,0.866229,0.3086895269918333,2640,False
CSCO,21,-0.008547921398876807,1.0094962578512934,1.009496,0.31341228015015876,2640,False
