ticker,sector,ks_stat,ks_p,calibrated
LIN,Materials,0.270935961,4.02E-132,FALSE
CSCO,Tech,0.19058296,1.36E-85,FALSE
CRM,Tech,0.180119581,1.96E-76,FALSE
BLK,Financials,0.174887892,4.71E-72,FALSE
MU,Semicon,0.172272048,6.50E-70,FALSE
AVGO,Tech,0.171150972,5.25E-69,FALSE
VZ,Comm,0.17077728,1.05E-68,FALSE
GILD,Health Care,0.168908819,3.28E-67,FALSE
LOW,Consumer Disc,0.164798206,5.57E-64,FALSE
ABBV,Health Care,0.181149425,6.32E-63,FALSE
KO,Staples,0.163303438,7.95E-63,FALSE
MSFT,Tech,0.161434978,2.13E-61,FALSE
AAPL,Tech,0.150501672,1.37E-59,FALSE
LMT,Industrials,0.158071749,7.17E-59,FALSE
DOW,Materials,0.156203288,1.72E-57,FALSE
TMO,Health Care,0.155082212,1.14E-56,FALSE
SCHW,Financials,0.15470852,2.13E-56,FALSE
IBM,Tech,0.152092676,1.64E-54,FALSE
CCI,REIT,0.151345291,5.58E-54,FALSE
AMGN,Health Care,0.150597907,1.89E-53,FALSE
COST,Staples,0.149850523,6.38E-53,FALSE
MRK,Health Care,0.148355755,7.10E-52,FALSE
CL,Staples,0.14387145,8.47E-49,FALSE
PFE,Health Care,0.143124066,2.70E-48,FALSE
DUK,Utilities,0.14200299,1.52E-47,FALSE
AMD,Tech,0.139013453,1.42E-45,FALSE
RTX,Industrials,0.378223496,2.27E-45,FALSE
NEM,Materials,0.137518685,1.32E-44,FALSE
JPM,Financials,0.128428094,1.87E-43,FALSE
WMT,Staples,0.13303438,9.24E-42,FALSE
MCD,Staples,0.132286996,2.70E-41,FALSE
APD,Materials,0.132286996,2.70E-41,FALSE
EQIX,REIT,0.131165919,1.33E-40,FALSE
QCOM,Tech,0.130044843,6.44E-40,FALSE
SBUX,Staples,0.128550075,5.18E-39,FALSE
INTC,Tech,0.127802691,1.46E-38,FALSE
PEP,Staples,0.127428999,2.44E-38,FALSE
MS,Financials,0.126681614,6.78E-38,FALSE
GS,Financials,0.124408876,1.52E-37,FALSE
CMCSA,Comm,0.12593423,1.88E-37,FALSE
NOC,Industrials,0.125560538,3.12E-37,FALSE
SPG,REIT,0.125186846,5.17E-37,FALSE
PLD,REIT,0.124439462,1.41E-36,FALSE
T,Comm,0.123318386,6.32E-36,FALSE
PM,Staples,0.121823617,4.55E-35,FALSE
D,Utilities,0.119581465,8.42E-34,FALSE
UNH,Health Care,0.119207773,1.36E-33,FALSE
AEP,Utilities,0.116591928,3.78E-32,FALSE
SO,Utilities,0.115844544,9.63E-32,FALSE
ORCL,Tech,0.11509716,2.44E-31,FALSE
ABT,Health Care,0.11509716,2.44E-31,FALSE
BAC,Financials,0.114723468,3.88E-31,FALSE
AMAT,Tech,0.114723468,3.88E-31,FALSE
BMY,Health Care,0.114723468,3.88E-31,FALSE
GOOGL,Comm,0.134505949,5.84E-31,FALSE
TSLA,Consumer Disc,0.113976084,9.73E-31,FALSE
JNJ,Health Care,0.111733931,1.48E-29,FALSE
AMT,REIT,0.111733931,1.48E-29,FALSE
PG,Staples,0.10985813,2.38E-29,FALSE
COP,Energy,0.109865471,1.38E-28,FALSE
F,Auto/Other,0.109491779,2.15E-28,FALSE
MO,Staples,0.109118087,3.33E-28,FALSE
AMZN,Consumer Disc,0.106947981,7.79E-28,FALSE
NFLX,Comm,0.106502242,6.93E-27,FALSE
AXP,Financials,0.106502242,6.93E-27,FALSE
EOG,Energy,0.105381166,2.49E-26,FALSE
UPS,Industrials,0.10426009,8.82E-26,FALSE
USB,Financials,0.103886398,1.34E-25,FALSE
MMM,Industrials,0.102765321,4.66E-25,FALSE
CVS,Health Care,0.102391629,7.04E-25,FALSE
HD,Consumer Disc,0.102017937,1.06E-24,FALSE
BA,Industrials,0.09930884,4.72E-24,FALSE
NKE,Consumer Disc,0.100149477,8.10E-24,FALSE
LLY,Health Care,0.099028401,2.69E-23,FALSE
DIS,Comm,0.098281016,5.95E-23,FALSE
CAT,Industrials,0.096038864,6.20E-22,FALSE
C,Financials,0.093488541,2.32E-21,FALSE
HON,Industrials,0.093049327,1.29E-20,FALSE
WFC,Financials,0.093049327,1.29E-20,FALSE
NEE,Utilities,0.091928251,3.95E-20,FALSE
XOM,Energy,0.086287625,8.10E-20,FALSE
ADBE,Tech,0.090807175,1.19E-19,FALSE
TXN,Tech,0.088938714,7.22E-19,FALSE
CVX,Energy,0.086940706,1.58E-18,FALSE
DE,Industrials,0.087443946,2.98E-18,FALSE
NVDA,Tech,0.08445441,4.71E-17,FALSE
FDX,Industrials,0.084080717,6.61E-17,FALSE
GE,Industrials,0.083333333,1.29E-16,FALSE
GM,Auto/Other,0.081464873,6.77E-16,FALSE
TGT,Consumer Disc,0.073617339,4.66E-13,FALSE
FCX,Materials,0.072496263,1.12E-12,FALSE
SLB,Energy,0.071375187,2.67E-12,FALSE
META,Comm,0.567567568,8.64E-12,FALSE
OXY,Energy,0.063901345,6.07E-10,FALSE
