ticker,horizon,delta,coverage_raw,coverage_adj,n
AAPL,21,0.013621,0.739,0.85,2640
AAPL,63,0.015089,0.6735,0.85,2640
AAPL,126,0.01516,0.6515,0.85,2640
ABBV,21,0.016349,0.6999,0.8499,2139
ABBV,63,0.028638,0.5563,0.8499,2139
ABBV,126,0.021998,0.5788,0.8499,2139
ABT,21,0.004782,0.7848,0.85,2640
ABT,63,0.005645,0.7864,0.85,2640
ABT,126,0.004558,0.7795,0.85,2640
ADBE,21,0.013008,0.7545,0.85,2640
ADBE,63,0.011889,0.7682,0.85,2640
ADBE,126,0.009585,0.7277,0.85,2640
AEP,21,0.005877,0.7826,0.85,2640
AEP,63,0.004944,0.8042,0.85,2640
AEP,126,0.005026,0.7689,0.85,2640
AMAT,21,0.004611,0.8193,0.85,2640
AMAT,63,0.003212,0.8303,0.85,2640
AMAT,126,0.003447,0.817,0.85,2640
AMD,21,0.018743,0.7769,0.85,2640
AMD,63,0.02544,0.7167,0.85,2640
AMD,126,0.026099,0.7019,0.85,2640
AMGN,21,0.014651,0.7432,0.85,2640
AMGN,63,0.01252,0.7527,0.85,2640
AMGN,126,0.012923,0.703,0.85,2640
AMT,21,0.006304,0.7928,0.85,2640
AMT,63,0.006856,0.7905,0.85,2640
AMT,126,0.001256,0.836,0.85,2640
AMZN,21,0.021028,0.7064,0.85,2640
AMZN,63,0.022704,0.6511,0.85,2640
AMZN,126,0.023501,0.6284,0.85,2640
APD,21,0.008635,0.758,0.85,2640
APD,63,0.008336,0.7284,0.85,2640
APD,126,0.004091,0.7871,0.85,2640
AVGO,21,0.018792,0.7167,0.85,2640
AVGO,63,0.016583,0.7436,0.85,2640
AVGO,126,0.010726,0.7303,0.85,2640
AXP,21,0.006584,0.7697,0.85,2640
AXP,63,0.004972,0.7807,0.85,2640
AXP,126,0.005061,0.7398,0.85,2640
BA,21,0.003847,0.808,0.85,2640
BA,63,0.006165,0.7928,0.85,2640
BA,126,0.009412,0.7318,0.85,2640
BAC,21,0.012576,0.7375,0.85,2640
BAC,63,0.010078,0.7489,0.85,2640
BAC,126,0.008338,0.7227,0.85,2640
BKNG,21,0.010766,0.7688,0.8494,1155
BKNG,63,0.012952,0.7411,0.8494,1155
BKNG,126,0.007102,0.7515,0.8494,1155
BLK,21,0.012638,0.6917,0.85,2640
BLK,63,0.014711,0.6625,0.85,2640
BLK,126,0.012947,0.6068,0.85,2640
BMY,21,0.002472,0.8299,0.85,2640
BMY,63,0.004564,0.7769,0.85,2640
BMY,126,0.008894,0.7072,0.85,2640
C,21,0.008911,0.7739,0.85,2640
C,63,0.009622,0.7492,0.85,2640
C,126,0.006773,0.7246,0.85,2640
CAT,21,0.008371,0.7765,0.85,2640
CAT,63,0.006257,0.7909,0.85,2640
CAT,126,0.004515,0.7913,0.85,2640
CCI,21,0.010154,0.7428,0.85,2640
CCI,63,0.007417,0.7591,0.85,2640
CCI,126,0.005172,0.7754,0.85,2640
CL,21,0.001946,0.8216,0.85,2640
CL,63,0.003307,0.8019,0.85,2640
CL,126,0.005389,0.7398,0.85,2640
CMCSA,21,0.008504,0.7693,0.85,2640
CMCSA,63,0.007047,0.7648,0.85,2640
CMCSA,126,0.008582,0.7746,0.85,2640
COP,21,0.000863,0.8409,0.85,2640
COP,63,0.010276,0.7352,0.85,2640
COP,126,0.012901,0.7167,0.85,2640
COST,21,0.007405,0.7701,0.85,2640
COST,63,0.007982,0.7492,0.85,2640
COST,126,0.004671,0.7553,0.85,2640
CRM,21,0.027575,0.6473,0.85,2640
CRM,63,0.021536,0.6515,0.85,2640
CRM,126,0.025136,0.5629,0.85,2640
CSCO,21,0.012519,0.6989,0.85,2640
CSCO,63,0.012301,0.6352,0.85,2640
CSCO,126,0.012315,0.633,0.85,2640
CVS,21,0.00658,0.8008,0.85,2640
CVS,63,0.008058,0.7576,0.85,2640
CVS,126,0.00389,0.8015,0.85,2640
CVX,21,0.003739,0.8205,0.85,2640
CVX,63,1.9e-05,0.8492,0.85,2640
CVX,126,0.002761,0.7917,0.85,2640
D,21,0.003433,0.8133,0.85,2640
D,63,0.003182,0.8091,0.85,2640
D,126,0.004379,0.7739,0.85,2640
DE,21,0.007511,0.775,0.85,2640
DE,63,0.005465,0.7716,0.85,2640
DE,126,0.002026,0.8064,0.85,2640
DIS,21,0.011818,0.7356,0.85,2640
DIS,63,0.012398,0.7152,0.85,2640
DIS,126,0.009085,0.7511,0.85,2640
DOW,21,0.006557,0.7777,0.85,2640
DOW,63,0.014122,0.6928,0.85,2640
DOW,126,0.0121,0.6155,0.85,2640
DUK,21,0.003942,0.8057,0.85,2640
DUK,63,0.005047,0.8061,0.85,2640
DUK,126,0.002989,0.8182,0.85,2640
EOG,21,0.007592,0.8068,0.85,2640
EOG,63,0.010449,0.7299,0.85,2640
EOG,126,0.010738,0.703,0.85,2640
EQIX,21,0.016467,0.7208,0.85,2640
EQIX,63,0.019775,0.689,0.85,2640
EQIX,126,0.012152,0.6311,0.85,2640
F,21,0.014015,0.728,0.85,2640
F,63,0.010766,0.7602,0.85,2640
F,126,0.011535,0.747,0.85,2640
FCX,21,0.018373,0.7568,0.85,2640
FCX,63,0.020628,0.7311,0.85,2640
FCX,126,0.018858,0.6826,0.85,2640
FDX,21,0.008818,0.7504,0.85,2640
FDX,63,0.012687,0.6962,0.85,2640
FDX,126,0.012441,0.678,0.85,2640
GE,21,0.008329,0.7772,0.85,2953
GE,63,0.009442,0.7741,0.85,2953
GE,126,0.014859,0.699,0.85,2953
GILD,21,0.016509,0.6856,0.85,2640
GILD,63,0.020731,0.6258,0.85,2640
GILD,126,0.020239,0.5553,0.85,2640
GM,21,0.01308,0.7697,0.85,2640
GM,63,0.01243,0.7322,0.85,2640
GM,126,0.018189,0.7155,0.85,2640
GOOGL,21,0.000334,0.846,0.8498,2137
GOOGL,63,0.00199,0.8311,0.8498,2137
GOOGL,126,0.005505,0.789,0.8498,2137
GS,21,0.010672,0.7432,0.85,2640
GS,63,0.005725,0.7799,0.85,2640
GS,126,0.002731,0.7977,0.85,2640
HD,21,0.007967,0.7723,0.85,2640
HD,63,0.006802,0.7455,0.85,2640
HD,126,0.004502,0.7439,0.85,2640
HON,21,0.008339,0.7527,0.85,2640
HON,63,0.005481,0.7587,0.85,2640
HON,126,0.007327,0.7288,0.85,2640
IBM,21,0.006935,0.7705,0.85,2640
IBM,63,0.004714,0.7678,0.85,2640
IBM,126,0.005429,0.7667,0.85,2640
INTC,21,0.00863,0.7705,0.85,2640
INTC,63,0.006633,0.7864,0.85,2640
INTC,126,0.007725,0.7557,0.85,2640
JNJ,21,0.002437,0.8178,0.85,2640
JNJ,63,0.002523,0.8129,0.85,2640
JNJ,126,0.00474,0.753,0.85,2640
JPM,21,0.011338,0.7321,0.85,2953
JPM,63,0.010559,0.7017,0.85,2953
JPM,126,0.008987,0.702,0.85,2953
KO,21,0.006671,0.7609,0.85,2953
KO,63,0.007719,0.7365,0.85,2953
KO,126,0.008156,0.7389,0.85,2953
LLY,21,-0.000986,0.8588,0.85,2953
LLY,63,-0.000514,0.8554,0.85,2953
LLY,126,-0.003552,0.8774,0.85,2953
LMT,21,0.010833,0.7518,0.85,2953
LMT,63,0.00783,0.7315,0.85,2953
LMT,126,0.007834,0.7111,0.85,2953
LOW,21,0.009103,0.7484,0.85,2953
LOW,63,0.010464,0.7101,0.85,2953
LOW,126,0.010443,0.7145,0.85,2953
MCD,21,0.000696,0.8402,0.85,2953
MCD,63,0.003071,0.8039,0.85,2953
MCD,126,0.001953,0.8127,0.85,2953
MMM,21,0.004468,0.7975,0.85,2953
MMM,63,0.003884,0.8026,0.85,2953
MMM,126,0.002268,0.8131,0.85,2953
MO,21,0.006032,0.7745,0.85,2953
MO,63,0.006878,0.7514,0.85,2953
MO,126,0.006563,0.7545,0.85,2953
MPC,21,0.018083,0.7444,0.8498,2829
MPC,63,0.01917,0.7101,0.8498,2829
MPC,126,0.020269,0.6985,0.8498,2829
MRK,21,0.005964,0.7765,0.85,2953
MRK,63,0.007367,0.7535,0.85,2953
MRK,126,0.005903,0.7877,0.85,2953
MS,21,0.018222,0.7172,0.85,2953
MS,63,0.015078,0.7308,0.85,2953
MS,126,0.012204,0.6742,0.85,2953
NEE,21,0.004927,0.8002,0.85,2953
NEE,63,0.006064,0.766,0.85,2953
NEE,126,0.00423,0.7833,0.85,2953
NEM,21,0.017475,0.7061,0.85,2953
NEM,63,0.023249,0.705,0.85,2953
NEM,126,0.014056,0.7359,0.85,2953
NFLX,21,0.03461,0.6712,0.85,2953
NFLX,63,0.034045,0.6289,0.85,2953
NFLX,126,0.040503,0.5432,0.85,2953
NKE,21,0.003325,0.8212,0.85,2953
NKE,63,0.003045,0.8073,0.85,2953
NKE,126,0.001145,0.8093,0.85,2953
NOC,21,0.009419,0.7531,0.85,2953
NOC,63,0.012971,0.7423,0.85,2953
NOC,126,0.012866,0.6901,0.85,2953
NVDA,21,0.015722,0.7748,0.85,2953
NVDA,63,0.019973,0.766,0.85,2953
NVDA,126,0.008533,0.7826,0.85,2953
ORCL,21,0.011154,0.7525,0.85,2953
ORCL,63,0.008633,0.7779,0.85,2953
ORCL,126,0.005079,0.7775,0.85,2953
PEP,21,0.004518,0.7948,0.85,2953
PEP,63,0.005102,0.7735,0.85,2953
PEP,126,0.004555,0.7437,0.85,2953
PFE,21,0.008766,0.7545,0.85,2953
PFE,63,0.011865,0.7443,0.85,2953
PFE,126,0.007169,0.7484,0.85,2953
PG,21,0.00418,0.8046,0.85,2953
PG,63,0.005255,0.7636,0.85,2953
PG,126,0.006145,0.7613,0.85,2953
PLD,21,0.009483,0.7504,0.85,2953
PLD,63,0.009851,0.7332,0.85,2953
PLD,126,0.003543,0.7955,0.85,2953
PM,21,0.00661,0.7599,0.85,2953
PM,63,0.009454,0.6864,0.85,2953
PM,126,0.006856,0.7172,0.85,2953
PSX,21,0.015943,0.734,0.85,2620
PSX,63,0.019023,0.7195,0.85,2620
PSX,126,0.027431,0.621,0.85,2620
QCOM,21,0.004154,0.8253,0.85,2953
QCOM,63,0.00387,0.8215,0.85,2953
QCOM,126,0.003408,0.8131,0.85,2953
RTX,21,0.022806,0.5831,0.8498,626
RTX,63,0.021761,0.5208,0.8498,626
RTX,126,0.021863,0.5575,0.8498,626
SBUX,21,0.007443,0.7751,0.85,2953
SBUX,63,0.008781,0.7518,0.85,2953
SBUX,126,0.007303,0.7521,0.85,2953
SCHW,21,0.014589,0.7372,0.85,2953
SCHW,63,0.01439,0.6935,0.85,2953
SCHW,126,0.011067,0.6824,0.85,2953
SLB,21,0.009716,0.7714,0.85,2953
SLB,63,0.01109,0.7176,0.85,2953
SLB,126,0.01419,0.6956,0.85,2953
SO,21,0.003301,0.8121,0.85,2953
SO,63,0.003355,0.7887,0.85,2953
SO,126,0.003677,0.7464,0.85,2953
SPG,21,0.008107,0.7684,0.85,2953
SPG,63,0.006432,0.7941,0.85,2953
SPG,126,0.005321,0.7613,0.85,2953
T,21,0.00415,0.8046,0.85,2953
T,63,0.001951,0.8182,0.85,2953
T,126,0.004786,0.7674,0.85,2953
TGT,21,0.002132,0.8314,0.85,2953
TGT,63,0.004829,0.7917,0.85,2953
TGT,126,0.002913,0.8073,0.85,2953
TMO,21,0.005468,0.8019,0.85,2953
TMO,63,0.012513,0.7332,0.85,2953
TMO,126,0.00686,0.7768,0.85,2953
TSLA,21,0.040542,0.6664,0.85,2953
TSLA,63,0.03971,0.6624,0.85,2953
TSLA,126,0.049833,0.6573,0.85,2953
TXN,21,0.007958,0.7718,0.85,2953
TXN,63,0.009971,0.7525,0.85,2953
TXN,126,0.006526,0.7362,0.85,2953
UNH,21,0.007984,0.7823,0.85,2953
UNH,63,0.01075,0.7586,0.85,2953
UNH,126,0.006433,0.7687,0.85,2953
UPS,21,0.006831,0.785,0.85,2953
UPS,63,0.005588,0.8033,0.85,2953
UPS,126,-3.8e-05,0.85,0.85,2953
USB,21,0.012151,0.7335,0.85,2953
USB,63,0.010132,0.7308,0.85,2953
USB,126,0.00394,0.7873,0.85,2953
WFC,21,0.014413,0.7199,0.85,2953
WFC,63,0.008802,0.7619,0.85,2953
WFC,126,0.003077,0.8087,0.85,2953
WMT,21,0.001366,0.8354,0.85,2953
WMT,63,0.006093,0.7714,0.85,2953
WMT,126,0.0027,0.7816,0.85,2953
XOM,21,0.005203,0.8009,0.85,2953
XOM,63,0.004497,0.7887,0.85,2953
XOM,126,0.005268,0.7846,0.85,2953
