ticker,horizon,n,coverage_before,delta,coverage_after
AAPL,21,2973,0.763874873864783,0.009365,0.849983181971073
AMD,21,2973,0.7719475277497477,0.01669,0.849983181971073
AMT,21,2973,0.7938109653548604,0.004932,0.849983181971073
AVGO,21,2973,0.7463841237806929,0.013142,0.849983181971073
CAT,21,2973,0.7830474268415741,0.0066,0.849983181971073
CRM,21,2973,0.6939118735284224,0.018217,0.849983181971073
DIS,21,2973,0.7416750756811302,0.009926,0.849983181971073
DUK,21,2973,0.7928018836192399,0.004321,0.849983181971073
GE,21,2973,0.7907837201479987,0.006314,0.849983181971073
GS,21,2973,0.7608476286579213,0.008602,0.849983181971073
HD,21,2973,0.7642112344433233,0.007857,0.849983181971073
HON,21,2973,0.7699293642785066,0.006371,0.849983181971073
JNJ,21,2973,0.8267743020517996,0.001556,0.849983181971073
KO,21,2973,0.7712748065926673,0.004743,0.849983181971073
LLY,21,2973,0.8402287251934073,0.000714,0.849983181971073
MCD,21,2973,0.829465186680121,0.001294,0.849983181971073
MO,21,2973,0.7662293979145645,0.006351,0.849983181971073
MSFT,21,2973,0.7544567776656576,0.010189,0.849983181971073
PFE,21,2973,0.7803565422132526,0.006391,0.849983181971073
PLD,21,2973,0.7648839556004037,0.007025,0.849983181971073
SLB,21,2973,0.7669021190716448,0.007629,0.849983181971073
TSLA,21,2973,0.7110662630339725,0.026201,0.849983181971073
UNH,21,2973,0.7722838883282879,0.006018,0.849983181971073
WFC,21,2973,0.7480659266733939,0.010467,0.849983181971073
WMT,21,2973,0.8170198452741338,0.002248,0.849983181971073
XOM,21,2973,0.7971745711402624,0.003711,0.849983181971073
AAPL,63,2973,0.6942482341069627,0.010866,0.849983181971073
AMD,63,2973,0.7282206525395224,0.019139,0.849983181971073
AMT,63,2973,0.8123107971745711,0.003281,0.849983181971073
AVGO,63,2973,0.7648839556004037,0.009677,0.849983181971073
CAT,63,2973,0.7780020181634713,0.004971,0.849983181971073
CRM,63,2973,0.682811974436596,0.014526,0.849983181971073
DIS,63,2973,0.7342751429532459,0.009202,0.849983181971073
DUK,63,2973,0.782711066263034,0.00386,0.8503195425496132
GE,63,2973,0.7621930709720821,0.008661,0.849983181971073
GS,63,2973,0.7561385805583586,0.005294,0.849983181971073
HD,63,2973,0.7544567776656576,0.006523,0.849983181971073
HON,63,2973,0.756811301715439,0.004212,0.849983181971073
JNJ,63,2973,0.8123107971745711,0.001777,0.849983181971073
KO,63,2973,0.7558022199798183,0.004436,0.849983181971073
LLY,63,2973,0.849983181971073,0.0,0.849983181971073
MCD,63,2973,0.7985200134544231,0.003352,0.849983181971073
MO,63,2973,0.7436932391523713,0.005316,0.849983181971073
MSFT,63,2973,0.7305751765893037,0.00904,0.849983181971073
PFE,63,2973,0.7490750084090144,0.007008,0.849983181971073
PLD,63,2973,0.7315842583249244,0.006606,0.849983181971073
SLB,63,2973,0.7561385805583586,0.00654,0.849983181971073
TSLA,63,2973,0.6636394214598049,0.026882,0.849983181971073
UNH,63,2973,0.7581567440295998,0.00606,0.849983181971073
WFC,63,2973,0.7746384123780693,0.006014,0.849983181971073
WMT,63,2973,0.7864110326269761,0.00316,0.849983181971073
XOM,63,2973,0.7924655230406996,0.00309,0.849983181971073
AAPL,126,2973,0.6791120080726539,0.008681,0.849983181971073
AMD,126,2973,0.6807938109653549,0.018983,0.849983181971073
AMT,126,2973,0.8698284561049445,-0.000744,0.849983181971073
AVGO,126,2973,0.7658930373360242,0.006996,0.849983181971073
CAT,126,2973,0.8126471577531114,0.002627,0.849983181971073
CRM,126,2973,0.6360578540195089,0.014004,0.849983181971073
DIS,126,2973,0.7679112008072654,0.004538,0.849983181971073
DUK,126,2973,0.8039017827110663,0.003133,0.849983181971073
GE,126,2973,0.7477295660948536,0.005634,0.849983181971073
GS,126,2973,0.8079381096535486,0.002035,0.849983181971073
HD,126,2973,0.7753111335351497,0.003581,0.849983181971073
HON,126,2973,0.767238479650185,0.00385,0.849983181971073
JNJ,126,2973,0.7729566094853683,0.002963,0.849983181971073
KO,126,2973,0.7440295997309115,0.00385,0.849983181971073
LLY,126,2973,0.8688193743693239,-0.001695,0.849983181971073
MCD,126,2973,0.8150016818028927,0.001224,0.849983181971073
MO,126,2973,0.7447023208879919,0.005222,0.849983181971073
MSFT,126,2973,0.7356205852674067,0.005915,0.849983181971073
PFE,126,2973,0.7692566431214262,0.003793,0.849983181971073
PLD,126,2973,0.7817019845274134,0.004262,0.849983181971073
SLB,126,2973,0.7278842919609821,0.008008,0.849983181971073
TSLA,126,2973,0.6676757484022873,0.025929,0.849983181971073
UNH,126,2973,0.770602085435587,0.004088,0.849983181971073
WFC,126,2973,0.8355196770938446,0.00078,0.849983181971073
WMT,126,2973,0.7988563740329634,0.002016,0.849983181971073
XOM,126,2973,0.8176925664312142,0.001915,0.849983181971073
