quarter,mean_abs_resid,mean_signed,n
2014Q1,0.028258699685360652,0.01257910282807008,5015
2014Q2,0.03678522792643295,-0.02988622175703449,5355
2014Q3,0.033081161120950726,-0.006725458424893533,5502
2014Q4,0.11886459510074118,-0.07339190344751176,5504
2015Q1,0.02774177079027306,-0.0066668476327762126,5246
2015Q2,0.02400256562703056,-0.012331073338973412,5459
2015Q3,0.07996350183007872,0.06943901065119022,5568
2015Q4,0.05977058112290864,-0.012358161392355776,5569
2016Q1,0.04583421723549331,0.012030344620908306,5368
2016Q2,0.029392775247365308,-0.01706181563468889,5632
2016Q3,0.03728917504102181,-0.02697250664618187,5632
2016Q4,0.030611403467370492,0.013632490114391835,5544
2017Q1,0.02611766219838665,-0.01659257331912744,5456
2017Q2,0.028420436615813525,-0.007744416997179498,5607
2017Q3,0.023649813007110457,-0.008116009077103532,5607
2017Q4,0.02654878030926036,0.014412046092821576,5607
2018Q1,0.08115235748260659,0.07862889763816806,5429
2018Q2,0.02735607225834213,-0.005243526072147105,5696
2018Q3,0.02861829078836357,0.005465243184197462,5607
2018Q4,0.07788970651266848,0.07437817994114009,5607
2019Q1,0.028343806091783358,-0.014588791710620169,5429
2019Q2,0.02673771751144123,-0.0008005711215878871,5607
2019Q3,0.031692379761769335,0.018664409075485812,5696
2019Q4,0.025384922923540772,-0.015455475795430938,5696
2020Q1,0.27748970717576515,0.2732980686049905,5518
2020Q2,0.057662897620130604,0.0013251523978303748,5607
2020Q3,0.04658527727627313,0.023437531626498607,5696
2020Q4,0.03828916260258112,0.025315310969933027,5696
2021Q1,0.043689121856933494,0.028622100272818442,5453
2021Q2,0.026729478962603,-0.004847813015475046,5670
2021Q3,0.024840955588614856,-0.0034571376722007867,5760
2021Q4,0.04202586715981289,0.022527170142949856,5760
2022Q1,0.05332032567222315,0.03890734980322992,5580
2022Q2,0.056321492230964665,0.04629352630435143,5580
2022Q3,0.032630904120956164,0.000649400822540795,5760
2022Q4,0.030190678262087413,0.008975459949659625,5670
2023Q1,0.043514273956084475,0.0022722377061909866,5580
2023Q2,0.024440487660705276,-0.008910940790746577,5641
2023Q3,0.02626428789744424,-0.007376419715544268,5733
2023Q4,0.025512518942764396,-0.014436967547422271,5733
2024Q1,0.024039833846011265,-0.0061868459884873985,5551
2024Q2,0.025134918579476168,-0.004017319196456138,5733
2024Q3,0.03428806226695926,0.006306030524406039,2972
2024Q4,0.02478307698961455,0.0001947300778885673,2880
2025Q1,0.0830428361435575,0.07699412901060888,2700
2025Q2,0.0721628762943087,-0.03890981472302154,2790
2025Q3,0.028051599675302574,-0.003927007746133266,2880
2025Q4,0.04429308554406319,0.040780622961383,45
