sector,mean_abs_resid,std_abs_resid,n
Tech,0.05664057315240201,0.06523427249118922,11186
ConsDisc,0.05446096496129887,0.08330417879870965,11186
Comm,0.05382179146158989,0.05963781905773914,5090
Other,0.04467516600289484,0.6800651146079918,174394
Energy,0.04383427178731764,0.07420443736714635,8233
Indust,0.04348923452947366,0.08916708111976779,7920
Fin,0.04171238286983038,0.0650456441193493,11186
Health,0.03901158671334633,0.05532113673736966,7732
RealEstate,0.03677084791888331,0.06297847073217343,2640
Utilities,0.03547945876702592,0.06796634513718156,2953
ConsStap,0.027769062271369094,0.049694759349608424,5906
