date,n_large,tickers,mean_resid,direction
2020-02-26,3,"BA, MPC, SPG",1.198590653791177,over
2020-02-27,3,"BA, MPC, SPG",1.1968755578178374,over
2020-02-28,3,"BA, MPC, SPG",1.1989513621589885,over
2020-03-02,3,"BA, MPC, SPG",1.2255088189782468,over
2020-03-03,3,"BA, MPC, SPG",1.2334753701691568,over
2020-03-04,3,"BA, MPC, SPG",1.2749950354768265,over
2020-03-05,3,"BA, MPC, SPG",1.2868766321379554,over
2020-03-06,3,"BA, MPC, SPG",1.2823592347488542,over
2020-03-09,3,"BA, MPC, SPG",1.239947557609115,over
2020-03-10,3,"BA, MPC, SPG",1.2391337987560156,over
