ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
AMAT,price_regime,21,0.9094,0.039541,0.040123,0.7342,596
AMAT,iv_atm_z_score,21,0.8909,0.027858,0.040123,0.7342,596
AMAT,macro_inflation_fwd_chg_63d,21,0.7852,0.020671,0.040123,0.7342,596
AMAT,ewma_vol,21,0.7282,0.008228,0.040123,0.7342,596
AMAT,mom21_VIXY,21,0.693,0.00766,0.040123,0.7342,596
AMAT,rv_21d,21,0.693,0.016318,0.040123,0.7342,596
AMAT,beta_spy,21,0.5453,0.009521,0.040123,0.7342,596
AMAT,corr_sector_21d,21,0.4782,0.007391,0.040123,0.7342,596
AMAT,macro_inflation_fwd_zscore,21,0.4782,0.009861,0.040123,0.7342,596
AMAT,rv_63d,21,0.4782,0.009131,0.040123,0.7342,596
AMAT,macro_hy_spread_chg_5d,21,0.4631,0.00226,0.040123,0.7342,596
AMAT,garch_cond_vol,21,0.3826,0.002912,0.040123,0.7342,596
AMAT,rv_5d,21,0.3758,0.005997,0.040123,0.7342,596
AMAT,mom21_SPY,21,0.3389,0.009783,0.040123,0.7342,596
AMAT,put_call_skew_30d,21,0.3154,0.001546,0.040123,0.7342,596
AMAT,res_vol,21,0.3121,0.00931,0.040123,0.7342,596
AMAT,macro_breakeven_5y,21,0.3054,0.005219,0.040123,0.7342,596
AMAT,mom21_USO,21,0.3003,0.003644,0.040123,0.7342,596
AMAT,macro_yield_curve_slope,21,0.2936,0.00368,0.040123,0.7342,596
AMAT,macro_hy_spread,21,0.2785,0.002095,0.040123,0.7342,596
AMAT,vrp_wedge,21,0.2685,0.004844,0.040123,0.7342,596
AMAT,vol_regime_zscore,21,0.2634,0.002048,0.040123,0.7342,596
AMAT,mom21_TLT,21,0.2567,0.002647,0.040123,0.7342,596
AMAT,tech_RSI,21,0.2399,0.001555,0.040123,0.7342,596
AMAT,macro_inflation_fwd_abs_chg_21d,21,0.2383,0.001612,0.040123,0.7342,596
AMAT,corr_sector_252d,21,0.2315,0.003111,0.040123,0.7342,596
AMAT,ret_VIXY,21,0.2198,0.000378,0.040123,0.7342,596
AMAT,vol_of_vol,21,0.2181,0.001672,0.040123,0.7342,596
AMAT,tech_MACD_hist,21,0.1661,0.001748,0.040123,0.7342,596
AMAT,rv_10d,21,0.1326,0.000865,0.040123,0.7342,596
AMAT,term_structure_slope,21,0.1258,0.000808,0.040123,0.7342,596
AMAT,macro_inflation_fwd_5y5y,21,0.1174,0.001398,0.040123,0.7342,596
AMAT,macro_inflation_fwd_chg_21d,21,0.1074,0.000307,0.040123,0.7342,596
AMAT,rv_126d,21,0.1007,0.00039,0.040123,0.7342,596
AMAT,event_fed_gravity,21,0.099,0.000586,0.040123,0.7342,596
AMAT,res_vol_vel,21,0.0906,0.000611,0.040123,0.7342,596
AMAT,event_earn_gravity,21,0.0738,0.000204,0.040123,0.7342,596
