ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
BA,iv_atm_z_score,21,0.9581,0.047995,0.058137,0.7,596
BA,ewma_vol,21,0.953,0.033591,0.058137,0.7,596
BA,macro_yield_curve_slope,21,0.7232,0.02681,0.058137,0.7,596
BA,mom21_VIXY,21,0.7131,0.013492,0.058137,0.7,596
BA,macro_inflation_fwd_abs_chg_21d,21,0.693,0.007152,0.058137,0.7,596
BA,macro_inflation_fwd_chg_63d,21,0.6711,0.014711,0.058137,0.7,596
BA,rv_5d,21,0.547,0.006802,0.058137,0.7,596
BA,vrp_wedge,21,0.453,0.006607,0.058137,0.7,596
BA,term_structure_slope,21,0.4279,0.007424,0.058137,0.7,596
BA,vol_regime_zscore,21,0.3792,0.008233,0.058137,0.7,596
BA,macro_inflation_fwd_zscore,21,0.3691,0.005077,0.058137,0.7,596
BA,rv_21d,21,0.349,0.003893,0.058137,0.7,596
BA,macro_hy_spread,21,0.344,0.026169,0.058137,0.7,596
BA,macro_inflation_fwd_chg_21d,21,0.3255,0.001857,0.058137,0.7,596
BA,rv_63d,21,0.3087,0.021279,0.058137,0.7,596
BA,garch_cond_vol,21,0.2718,0.002318,0.058137,0.7,596
BA,price_regime,21,0.2534,0.016924,0.058137,0.7,596
BA,tech_MACD_hist,21,0.2349,0.002712,0.058137,0.7,596
BA,macro_breakeven_5y,21,0.1779,0.007133,0.058137,0.7,596
BA,sector_wedge,21,0.1745,0.002172,0.058137,0.7,596
BA,mom21_USO,21,0.1594,0.001337,0.058137,0.7,596
BA,beta_spy,21,0.1493,0.003453,0.058137,0.7,596
BA,rv_126d,21,0.1493,0.002261,0.058137,0.7,596
BA,put_call_skew_30d,21,0.1409,0.001821,0.058137,0.7,596
BA,event_fed_gravity,21,0.1208,0.001025,0.058137,0.7,596
BA,event_cpi_gravity,21,0.0956,0.00045,0.058137,0.7,596
BA,mom21_HYG,21,0.0839,0.000638,0.058137,0.7,596
BA,tech_RSI,21,0.0822,0.00096,0.058137,0.7,596
BA,event_nfp_gravity,21,0.0789,0.000295,0.058137,0.7,596
