ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
BAC,macro_hy_spread,21,0.9664,0.092513,0.046364,0.6034,596
BAC,iv_atm_z_score,21,0.9614,0.061,0.046364,0.6034,596
BAC,vrp_wedge,21,0.9329,0.030491,0.046364,0.6034,596
BAC,price_regime,21,0.6409,0.026014,0.046364,0.6034,596
BAC,res_vol,21,0.6376,0.022423,0.046364,0.6034,596
BAC,corr_sector_252d,21,0.6342,0.043629,0.046364,0.6034,596
BAC,macro_inflation_fwd_abs_chg_21d,21,0.6007,0.003853,0.046364,0.6034,596
BAC,ewma_vol,21,0.5319,0.018039,0.046364,0.6034,596
BAC,rv_21d,21,0.4648,0.023153,0.046364,0.6034,596
BAC,mom21_UUP,21,0.4413,0.00952,0.046364,0.6034,596
BAC,macro_yield_curve_slope,21,0.4027,0.009937,0.046364,0.6034,596
BAC,rv_10d,21,0.3926,0.006313,0.046364,0.6034,596
BAC,macro_inflation_fwd_chg_21d,21,0.3742,0.005446,0.046364,0.6034,596
BAC,macro_inflation_fwd_zscore,21,0.3205,0.008446,0.046364,0.6034,596
BAC,macro_breakeven_5y,21,0.3087,0.007168,0.046364,0.6034,596
BAC,rv_63d,21,0.2919,0.010875,0.046364,0.6034,596
BAC,mom21_USO,21,0.2819,0.003032,0.046364,0.6034,596
BAC,rv_126d,21,0.2617,0.003849,0.046364,0.6034,596
BAC,macro_inflation_fwd_chg_63d,21,0.2601,0.003129,0.046364,0.6034,596
BAC,macro_inflation_fwd_5y5y,21,0.2299,0.007296,0.046364,0.6034,596
BAC,mom21_HYG,21,0.2265,0.016539,0.046364,0.6034,596
BAC,sector_wedge,21,0.2164,0.00169,0.046364,0.6034,596
BAC,vol_vel,21,0.2114,0.000696,0.046364,0.6034,596
BAC,put_call_skew_30d,21,0.1946,0.000678,0.046364,0.6034,596
BAC,vol_of_vol,21,0.1946,0.003298,0.046364,0.6034,596
BAC,rv_5d,21,0.1896,0.002912,0.046364,0.6034,596
BAC,tech_MACD_hist,21,0.1594,0.001507,0.046364,0.6034,596
BAC,garch_cond_vol,21,0.1258,0.002108,0.046364,0.6034,596
BAC,event_div_gravity,21,0.1091,0.000604,0.046364,0.6034,596
BAC,event_cpi_gravity,21,0.104,0.002697,0.046364,0.6034,596
BAC,mom21_VIXY,21,0.099,0.001366,0.046364,0.6034,596
BAC,term_structure_slope,21,0.0973,0.00255,0.046364,0.6034,596
BAC,mom21_TLT,21,0.0856,0.001675,0.046364,0.6034,596
BAC,event_fed_gravity,21,0.0789,0.00286,0.046364,0.6034,596
BAC,event_nfp_gravity,21,0.0688,0.003191,0.046364,0.6034,596
BAC,tech_RSI,21,0.0654,0.000651,0.046364,0.6034,596
BAC,vol_regime_zscore,21,0.0587,0.000759,0.046364,0.6034,596
BAC,ret_UUP,21,0.0403,0.00019,0.046364,0.6034,596
BAC,vol_chg_21d,21,0.0319,0.001152,0.046364,0.6034,596
BAC,macro_hy_spread_chg_5d,21,0.0285,0.00038,0.046364,0.6034,596
BAC,ret_TARGET,21,0.0285,0.000133,0.046364,0.6034,596
BAC,beta_spy,21,0.0268,0.000946,0.046364,0.6034,596
