ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
BLK,rv_5d,21,0.9715,0.020852,0.072889,0.6698,596
BLK,iv_atm_z_score,21,0.8859,0.047276,0.072889,0.6698,596
BLK,macro_inflation_fwd_abs_chg_21d,21,0.7416,0.012963,0.072889,0.6698,596
BLK,ewma_vol,21,0.7366,0.023187,0.072889,0.6698,596
BLK,rv_10d,21,0.6862,0.009323,0.072889,0.6698,596
BLK,corr_sector_21d,21,0.5487,0.017916,0.072889,0.6698,596
BLK,macro_inflation_fwd_chg_63d,21,0.5436,0.009241,0.072889,0.6698,596
BLK,macro_hy_spread,21,0.4614,0.035464,0.072889,0.6698,596
BLK,vrp_wedge,21,0.4581,0.004979,0.072889,0.6698,596
BLK,corr_sector_252d,21,0.3624,0.012576,0.072889,0.6698,596
BLK,res_vol,21,0.3507,0.008881,0.072889,0.6698,596
BLK,put_call_skew_30d,21,0.3322,0.005538,0.072889,0.6698,596
BLK,rv_21d,21,0.3289,0.004343,0.072889,0.6698,596
BLK,rv_63d,21,0.307,0.004762,0.072889,0.6698,596
BLK,price_regime,21,0.2903,0.00351,0.072889,0.6698,596
BLK,macro_yield_curve_slope,21,0.2752,0.013404,0.072889,0.6698,596
BLK,vol_regime_zscore,21,0.2265,0.002968,0.072889,0.6698,596
BLK,macro_inflation_fwd_5y5y,21,0.2064,0.006034,0.072889,0.6698,596
BLK,mom21_SPY,21,0.193,0.004666,0.072889,0.6698,596
BLK,beta_spy,21,0.1795,0.002367,0.072889,0.6698,596
BLK,macro_inflation_fwd_zscore,21,0.1795,0.005585,0.072889,0.6698,596
BLK,mom21_USO,21,0.1779,0.001066,0.072889,0.6698,596
BLK,macro_inflation_fwd_chg_21d,21,0.1695,0.001924,0.072889,0.6698,596
BLK,vol_vel,21,0.1695,0.00112,0.072889,0.6698,596
BLK,event_cpi_gravity,21,0.1628,0.001087,0.072889,0.6698,596
BLK,tech_RSI,21,0.1544,0.001165,0.072889,0.6698,596
BLK,tech_MACD_hist,21,0.1443,0.001419,0.072889,0.6698,596
BLK,term_structure_slope,21,0.1376,0.003065,0.072889,0.6698,596
BLK,mom21_UUP,21,0.1342,0.000773,0.072889,0.6698,596
BLK,event_div_gravity,21,0.1309,0.000775,0.072889,0.6698,596
BLK,mom21_HYG,21,0.094,0.000685,0.072889,0.6698,596
BLK,macro_breakeven_5y,21,0.0923,0.002049,0.072889,0.6698,596
BLK,ret_HYG,21,0.0872,0.00047,0.072889,0.6698,596
BLK,ret_TLT,21,0.0872,0.000202,0.072889,0.6698,596
BLK,mom21_VIXY,21,0.0856,0.001184,0.072889,0.6698,596
BLK,mom21_TLT,21,0.0537,0.000344,0.072889,0.6698,596
BLK,ret_SPY,21,0.0537,7.4e-05,0.072889,0.6698,596
BLK,ret_UUP,21,0.0537,0.000187,0.072889,0.6698,596
BLK,rv_126d,21,0.0537,0.002881,0.072889,0.6698,596
BLK,vol_chg_21d,21,0.0537,0.000487,0.072889,0.6698,596
BLK,event_fed_gravity,21,0.0319,0.000669,0.072889,0.6698,596
BLK,event_nfp_gravity,21,0.0268,0.000691,0.072889,0.6698,596
BLK,macro_hy_spread_chg_5d,21,0.0235,4.5e-05,0.072889,0.6698,596
BLK,ret_VIXY,21,0.0218,8e-06,0.072889,0.6698,596
BLK,sector_wedge,21,0.0218,5.5e-05,0.072889,0.6698,596
BLK,event_earn_gravity,21,0.0017,0.0,0.072889,0.6698,596
BLK,res_vol_vel,21,0.0017,1e-06,0.072889,0.6698,596
BLK,garch_cond_vol,21,0.0,0.0,0.072889,0.6698,596
BLK,macro_dollar_ret,21,0.0,0.0,0.072889,0.6698,596
BLK,ret_TARGET,21,0.0,0.0,0.072889,0.6698,596
BLK,ret_USO,21,0.0,0.0,0.072889,0.6698,596
BLK,vol_of_vol,21,0.0,0.0,0.072889,0.6698,596
BLK,ewma_vol,63,0.5671,0.02113,0.116412,0.7275,596
BLK,iv_atm_z_score,63,0.4664,0.010165,0.116412,0.7275,596
BLK,macro_inflation_fwd_abs_chg_21d,63,0.4664,0.00687,0.116412,0.7275,596
BLK,rv_5d,63,0.3289,0.002907,0.116412,0.7275,596
BLK,corr_sector_252d,63,0.297,0.014726,0.116412,0.7275,596
BLK,mom21_USO,63,0.25,0.002392,0.116412,0.7275,596
BLK,mom21_VIXY,63,0.2416,0.003192,0.116412,0.7275,596
BLK,price_regime,63,0.2299,0.002317,0.116412,0.7275,596
BLK,macro_hy_spread,63,0.2215,0.017675,0.116412,0.7275,596
BLK,macro_inflation_fwd_chg_63d,63,0.198,0.003917,0.116412,0.7275,596
BLK,event_cpi_gravity,63,0.1611,0.002112,0.116412,0.7275,596
BLK,macro_yield_curve_slope,63,0.1611,0.011271,0.116412,0.7275,596
BLK,mom21_HYG,63,0.1577,0.001331,0.116412,0.7275,596
BLK,rv_10d,63,0.146,0.000848,0.116412,0.7275,596
BLK,garch_cond_vol,63,0.1443,0.000465,0.116412,0.7275,596
BLK,event_nfp_gravity,63,0.1376,0.002217,0.116412,0.7275,596
BLK,macro_inflation_fwd_zscore,63,0.1242,0.003854,0.116412,0.7275,596
BLK,vol_regime_zscore,63,0.1225,0.000847,0.116412,0.7275,596
BLK,macro_inflation_fwd_5y5y,63,0.1208,0.002333,0.116412,0.7275,596
BLK,vol_chg_21d,63,0.1107,0.001374,0.116412,0.7275,596
BLK,macro_hy_spread_chg_5d,63,0.094,0.000276,0.116412,0.7275,596
BLK,event_fed_gravity,63,0.0906,0.001667,0.116412,0.7275,596
BLK,macro_inflation_fwd_chg_21d,63,0.0789,0.000727,0.116412,0.7275,596
BLK,mom21_UUP,63,0.0721,0.00073,0.116412,0.7275,596
BLK,rv_126d,63,0.0721,0.003146,0.116412,0.7275,596
BLK,term_structure_slope,63,0.0721,0.00051,0.116412,0.7275,596
BLK,ret_HYG,63,0.0705,0.000469,0.116412,0.7275,596
BLK,rv_63d,63,0.0688,0.001908,0.116412,0.7275,596
BLK,corr_sector_21d,63,0.0671,0.000889,0.116412,0.7275,596
BLK,put_call_skew_30d,63,0.0638,0.000399,0.116412,0.7275,596
BLK,beta_spy,63,0.0419,0.00016,0.116412,0.7275,596
BLK,res_vol,63,0.0336,0.000369,0.116412,0.7275,596
BLK,sector_wedge,63,0.0319,0.000198,0.116412,0.7275,596
BLK,event_div_gravity,63,0.0285,0.000329,0.116412,0.7275,596
BLK,macro_breakeven_5y,63,0.0285,0.00026,0.116412,0.7275,596
BLK,tech_RSI,63,0.0285,0.00016,0.116412,0.7275,596
BLK,tech_MACD_hist,63,0.0268,6.5e-05,0.116412,0.7275,596
BLK,mom21_SPY,63,0.0252,0.000514,0.116412,0.7275,596
BLK,ret_VIXY,63,0.0252,5.1e-05,0.116412,0.7275,596
BLK,vol_of_vol,63,0.0185,2.4e-05,0.116412,0.7275,596
BLK,ret_UUP,63,0.0168,6e-06,0.116412,0.7275,596
BLK,res_vol_vel,63,0.0067,6e-06,0.116412,0.7275,596
BLK,event_earn_gravity,63,0.0017,2e-06,0.116412,0.7275,596
BLK,macro_dollar_ret,63,0.0017,8e-06,0.116412,0.7275,596
BLK,mom21_TLT,63,0.0017,8.8e-05,0.116412,0.7275,596
BLK,ret_TLT,63,0.0017,1e-06,0.116412,0.7275,596
BLK,ret_USO,63,0.0017,5e-06,0.116412,0.7275,596
BLK,vrp_wedge,63,0.0017,1.1e-05,0.116412,0.7275,596
BLK,ret_SPY,63,0.0,0.0,0.116412,0.7275,596
BLK,ret_TARGET,63,0.0,0.0,0.116412,0.7275,596
BLK,rv_21d,63,0.0,0.0,0.116412,0.7275,596
BLK,vol_vel,63,0.0,0.0,0.116412,0.7275,596
BLK,ewma_vol,126,0.4782,0.009225,0.110917,0.6893,596
BLK,macro_yield_curve_slope,126,0.453,0.032956,0.110917,0.6893,596
BLK,corr_sector_252d,126,0.3574,0.01611,0.110917,0.6893,596
BLK,res_vol_vel,126,0.3154,0.001333,0.110917,0.6893,596
BLK,mom21_HYG,126,0.3037,0.002084,0.110917,0.6893,596
BLK,price_regime,126,0.2936,0.00609,0.110917,0.6893,596
BLK,macro_inflation_fwd_zscore,126,0.2919,0.00934,0.110917,0.6893,596
BLK,macro_breakeven_5y,126,0.25,0.010542,0.110917,0.6893,596
BLK,macro_hy_spread,126,0.2148,0.019015,0.110917,0.6893,596
BLK,macro_inflation_fwd_abs_chg_21d,126,0.2013,0.002957,0.110917,0.6893,596
BLK,beta_spy,126,0.198,0.004633,0.110917,0.6893,596
BLK,macro_hy_spread_chg_5d,126,0.193,0.000728,0.110917,0.6893,596
