ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
COST,beta_spy,21,0.6242,0.030044,0.11611,0.5886,596
COST,iv_atm_z_score,21,0.6057,0.022436,0.11611,0.5886,596
COST,macro_hy_spread,21,0.5285,0.033091,0.11611,0.5886,596
COST,put_call_skew_30d,21,0.5252,0.011492,0.11611,0.5886,596
COST,mom21_USO,21,0.4463,0.005742,0.11611,0.5886,596
COST,rv_21d,21,0.3742,0.012434,0.11611,0.5886,596
COST,mom21_TLT,21,0.3205,0.001814,0.11611,0.5886,596
COST,term_structure_slope,21,0.3104,0.003563,0.11611,0.5886,596
COST,corr_sector_21d,21,0.307,0.002814,0.11611,0.5886,596
COST,mom21_VIXY,21,0.307,0.003809,0.11611,0.5886,596
COST,rv_63d,21,0.2483,0.003548,0.11611,0.5886,596
COST,rv_5d,21,0.2466,0.000986,0.11611,0.5886,596
COST,ewma_vol,21,0.2416,0.004136,0.11611,0.5886,596
COST,vrp_wedge,21,0.2013,0.00651,0.11611,0.5886,596
COST,macro_yield_curve_slope,21,0.193,0.004011,0.11611,0.5886,596
COST,macro_breakeven_5y,21,0.1644,0.00351,0.11611,0.5886,596
COST,macro_inflation_fwd_abs_chg_21d,21,0.1544,0.000923,0.11611,0.5886,596
COST,rv_126d,21,0.1527,0.003226,0.11611,0.5886,596
COST,vol_regime_zscore,21,0.151,0.003151,0.11611,0.5886,596
COST,corr_sector_252d,21,0.1409,0.002381,0.11611,0.5886,596
COST,tech_MACD_hist,21,0.1326,0.000309,0.11611,0.5886,596
COST,rv_10d,21,0.1091,0.001469,0.11611,0.5886,596
COST,ret_VIXY,21,0.099,0.000233,0.11611,0.5886,596
COST,price_regime,21,0.0621,0.000381,0.11611,0.5886,596
COST,macro_inflation_fwd_5y5y,21,0.0503,0.000434,0.11611,0.5886,596
COST,mom21_HYG,21,0.0487,0.000272,0.11611,0.5886,596
COST,event_fed_gravity,21,0.0336,0.000668,0.11611,0.5886,596
COST,res_vol,21,0.0268,0.002248,0.11611,0.5886,596
COST,event_cpi_gravity,21,0.0235,0.000377,0.11611,0.5886,596
COST,macro_inflation_fwd_chg_63d,21,0.0235,0.000303,0.11611,0.5886,596
COST,vol_of_vol,21,0.0235,0.000146,0.11611,0.5886,596
COST,res_vol_vel,21,0.0218,0.002737,0.11611,0.5886,596
COST,mom21_SPY,21,0.0201,0.000673,0.11611,0.5886,596
COST,event_nfp_gravity,21,0.0151,0.000318,0.11611,0.5886,596
COST,event_earn_gravity,21,0.0134,3.2e-05,0.11611,0.5886,596
COST,vol_vel,21,0.0117,3.3e-05,0.11611,0.5886,596
COST,macro_inflation_fwd_chg_21d,21,0.0101,3.3e-05,0.11611,0.5886,596
COST,macro_inflation_fwd_zscore,21,0.0084,6.4e-05,0.11611,0.5886,596
COST,event_div_gravity,21,0.0067,2.9e-05,0.11611,0.5886,596
COST,macro_hy_spread_chg_5d,21,0.0067,5.8e-05,0.11611,0.5886,596
COST,ret_UUP,21,0.0067,1e-06,0.11611,0.5886,596
COST,garch_cond_vol,21,0.005,4.3e-05,0.11611,0.5886,596
COST,ret_TLT,21,0.005,6e-06,0.11611,0.5886,596
COST,vol_chg_21d,21,0.005,7.6e-05,0.11611,0.5886,596
COST,mom21_UUP,21,0.0017,3.3e-05,0.11611,0.5886,596
COST,ret_HYG,21,0.0017,4e-06,0.11611,0.5886,596
COST,macro_dollar_ret,21,0.0,0.0,0.11611,0.5886,596
COST,ret_SPY,21,0.0,0.0,0.11611,0.5886,596
COST,ret_TARGET,21,0.0,0.0,0.11611,0.5886,596
COST,ret_USO,21,0.0,0.0,0.11611,0.5886,596
COST,sector_wedge,21,0.0,0.0,0.11611,0.5886,596
COST,tech_RSI,21,0.0,0.0,0.11611,0.5886,596
COST,beta_spy,63,0.6946,0.043906,0.075771,0.7725,596
COST,corr_sector_21d,63,0.6124,0.019941,0.075771,0.7725,596
