ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
CSCO,rv_21d,21,0.7836,0.027297,0.091415,0.653,596
CSCO,rv_5d,21,0.7534,0.013692,0.091415,0.653,596
CSCO,rv_10d,21,0.6409,0.005848,0.091415,0.653,596
CSCO,price_regime,21,0.6091,0.01488,0.091415,0.653,596
CSCO,iv_atm_z_score,21,0.594,0.01859,0.091415,0.653,596
CSCO,macro_hy_spread,21,0.5134,0.020899,0.091415,0.653,596
CSCO,mom21_USO,21,0.4178,0.005129,0.091415,0.653,596
CSCO,macro_inflation_fwd_chg_63d,21,0.354,0.006037,0.091415,0.653,596
CSCO,corr_sector_21d,21,0.3473,0.004525,0.091415,0.653,596
CSCO,rv_63d,21,0.3406,0.010557,0.091415,0.653,596
CSCO,mom21_VIXY,21,0.3171,0.006983,0.091415,0.653,596
CSCO,macro_inflation_fwd_abs_chg_21d,21,0.3003,0.003395,0.091415,0.653,596
CSCO,beta_spy,21,0.2919,0.01164,0.091415,0.653,596
CSCO,corr_sector_252d,21,0.2802,0.004953,0.091415,0.653,596
CSCO,macro_inflation_fwd_5y5y,21,0.2752,0.01218,0.091415,0.653,596
CSCO,macro_hy_spread_chg_5d,21,0.2483,0.001495,0.091415,0.653,596
CSCO,tech_MACD_hist,21,0.2064,0.002806,0.091415,0.653,596
CSCO,mom21_TLT,21,0.1913,0.001121,0.091415,0.653,596
CSCO,mom21_UUP,21,0.1846,0.001751,0.091415,0.653,596
CSCO,event_earn_gravity,21,0.1628,0.001176,0.091415,0.653,596
CSCO,macro_inflation_fwd_chg_21d,21,0.1628,0.002266,0.091415,0.653,596
CSCO,macro_breakeven_5y,21,0.1611,0.003961,0.091415,0.653,596
CSCO,vol_of_vol,21,0.151,0.003305,0.091415,0.653,596
CSCO,ret_VIXY,21,0.1426,0.000804,0.091415,0.653,596
CSCO,mom21_SPY,21,0.1393,0.004623,0.091415,0.653,596
CSCO,event_div_gravity,21,0.1376,0.001794,0.091415,0.653,596
CSCO,macro_yield_curve_slope,21,0.1359,0.002705,0.091415,0.653,596
CSCO,sector_wedge,21,0.1242,0.000756,0.091415,0.653,596
CSCO,mom21_HYG,21,0.1225,0.001489,0.091415,0.653,596
CSCO,vol_regime_zscore,21,0.1208,0.002531,0.091415,0.653,596
CSCO,rv_126d,21,0.1141,0.003551,0.091415,0.653,596
CSCO,event_fed_gravity,21,0.1124,0.00078,0.091415,0.653,596
CSCO,vrp_wedge,21,0.1091,0.001102,0.091415,0.653,596
CSCO,tech_RSI,21,0.104,0.001592,0.091415,0.653,596
CSCO,garch_cond_vol,21,0.0856,0.001477,0.091415,0.653,596
CSCO,res_vol,21,0.0822,0.003059,0.091415,0.653,596
CSCO,res_vol_vel,21,0.0805,0.001262,0.091415,0.653,596
CSCO,vol_vel,21,0.0805,0.000285,0.091415,0.653,596
CSCO,ret_SPY,21,0.0621,0.000387,0.091415,0.653,596
CSCO,vol_chg_21d,21,0.057,0.000543,0.091415,0.653,596
CSCO,ewma_vol,21,0.0419,0.000137,0.091415,0.653,596
CSCO,ret_HYG,21,0.0403,2e-05,0.091415,0.653,596
CSCO,event_cpi_gravity,21,0.0352,0.000288,0.091415,0.653,596
CSCO,ret_TLT,21,0.0252,0.000104,0.091415,0.653,596
CSCO,macro_inflation_fwd_zscore,21,0.0185,0.000109,0.091415,0.653,596
CSCO,ret_UUP,21,0.0151,1.5e-05,0.091415,0.653,596
CSCO,event_nfp_gravity,21,0.0134,0.000234,0.091415,0.653,596
CSCO,put_call_skew_30d,21,0.0101,1.6e-05,0.091415,0.653,596
CSCO,macro_dollar_ret,21,0.0034,1e-06,0.091415,0.653,596
CSCO,term_structure_slope,21,0.0034,2e-06,0.091415,0.653,596
CSCO,ret_TARGET,21,0.0,0.0,0.091415,0.653,596
CSCO,ret_USO,21,0.0,0.0,0.091415,0.653,596
CSCO,rv_10d,63,0.6191,0.004668,0.115416,0.5312,596
CSCO,rv_5d,63,0.5302,0.004598,0.115416,0.5312,596
CSCO,price_regime,63,0.4664,0.007766,0.115416,0.5312,596
CSCO,corr_sector_252d,63,0.4396,0.012416,0.115416,0.5312,596
CSCO,rv_21d,63,0.3842,0.005387,0.115416,0.5312,596
CSCO,macro_hy_spread,63,0.3674,0.00951,0.115416,0.5312,596
CSCO,mom21_VIXY,63,0.3591,0.004218,0.115416,0.5312,596
CSCO,macro_inflation_fwd_abs_chg_21d,63,0.3205,0.003657,0.115416,0.5312,596
CSCO,mom21_USO,63,0.3171,0.006031,0.115416,0.5312,596
