ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
DUK,iv_atm_z_score,21,0.6443,0.022347,0.062054,0.6678,596
DUK,res_vol,21,0.6057,0.007555,0.062054,0.6678,596
DUK,rv_5d,21,0.5839,0.005742,0.062054,0.6678,596
DUK,macro_inflation_fwd_zscore,21,0.5503,0.010296,0.062054,0.6678,596
DUK,macro_breakeven_5y,21,0.5419,0.02575,0.062054,0.6678,596
DUK,mom21_VIXY,21,0.5403,0.004968,0.062054,0.6678,596
DUK,price_regime,21,0.5201,0.016644,0.062054,0.6678,596
DUK,beta_spy,21,0.4883,0.007997,0.062054,0.6678,596
DUK,mom21_TLT,21,0.4513,0.005055,0.062054,0.6678,596
DUK,term_structure_slope,21,0.4279,0.004873,0.062054,0.6678,596
DUK,macro_inflation_fwd_chg_63d,21,0.3809,0.010153,0.062054,0.6678,596
DUK,event_earn_gravity,21,0.3775,0.001127,0.062054,0.6678,596
DUK,rv_63d,21,0.3473,0.017186,0.062054,0.6678,596
DUK,vrp_wedge,21,0.2953,0.008175,0.062054,0.6678,596
DUK,rv_10d,21,0.2936,0.004679,0.062054,0.6678,596
DUK,mom21_UUP,21,0.2869,0.001924,0.062054,0.6678,596
DUK,mom21_USO,21,0.2735,0.00206,0.062054,0.6678,596
DUK,event_div_gravity,21,0.2685,0.000704,0.062054,0.6678,596
DUK,ret_VIXY,21,0.2601,0.000936,0.062054,0.6678,596
DUK,ewma_vol,21,0.255,0.003508,0.062054,0.6678,596
DUK,tech_RSI,21,0.2416,0.000666,0.062054,0.6678,596
DUK,macro_yield_curve_slope,21,0.2013,0.001704,0.062054,0.6678,596
DUK,macro_hy_spread_chg_5d,21,0.1997,0.000442,0.062054,0.6678,596
DUK,event_fed_gravity,21,0.1913,0.001151,0.062054,0.6678,596
DUK,vol_regime_zscore,21,0.1879,0.000961,0.062054,0.6678,596
DUK,vol_of_vol,21,0.1795,0.000758,0.062054,0.6678,596
DUK,macro_inflation_fwd_abs_chg_21d,21,0.1695,0.00148,0.062054,0.6678,596
DUK,rv_126d,21,0.1644,0.004691,0.062054,0.6678,596
DUK,macro_inflation_fwd_5y5y,21,0.151,0.001953,0.062054,0.6678,596
DUK,rv_21d,21,0.1409,0.005893,0.062054,0.6678,596
DUK,macro_hy_spread,21,0.1292,0.00124,0.062054,0.6678,596
DUK,sector_wedge,21,0.1023,0.000417,0.062054,0.6678,596
DUK,put_call_skew_30d,21,0.099,0.00066,0.062054,0.6678,596
DUK,ret_TARGET,21,0.0822,0.000147,0.062054,0.6678,596
DUK,tech_MACD_hist,21,0.0822,0.000186,0.062054,0.6678,596
DUK,vol_chg_21d,21,0.0789,0.000845,0.062054,0.6678,596
DUK,corr_sector_21d,21,0.0604,0.000175,0.062054,0.6678,596
DUK,event_nfp_gravity,21,0.0604,0.000399,0.062054,0.6678,596
DUK,vol_vel,21,0.0554,5.8e-05,0.062054,0.6678,596
DUK,macro_inflation_fwd_chg_21d,21,0.0503,0.000152,0.062054,0.6678,596
DUK,corr_sector_252d,21,0.0403,0.000265,0.062054,0.6678,596
DUK,event_cpi_gravity,21,0.0151,0.000404,0.062054,0.6678,596
DUK,res_vol_vel,21,0.0101,6.4e-05,0.062054,0.6678,596
DUK,mom21_SPY,21,0.005,7.2e-05,0.062054,0.6678,596
DUK,mom21_HYG,21,0.0034,3e-06,0.062054,0.6678,596
DUK,garch_cond_vol,21,0.0,0.0,0.062054,0.6678,596
DUK,macro_dollar_ret,21,0.0,0.0,0.062054,0.6678,596
DUK,ret_HYG,21,0.0,0.0,0.062054,0.6678,596
DUK,ret_SPY,21,0.0,0.0,0.062054,0.6678,596
DUK,ret_TLT,21,0.0,0.0,0.062054,0.6678,596
DUK,ret_USO,21,0.0,0.0,0.062054,0.6678,596
DUK,ret_UUP,21,0.0,0.0,0.062054,0.6678,596
DUK,mom21_USO,63,0.7852,0.017731,0.058521,0.6678,596
DUK,macro_inflation_fwd_zscore,63,0.7148,0.020757,0.058521,0.6678,596
DUK,macro_inflation_fwd_abs_chg_21d,63,0.6544,0.00644,0.058521,0.6678,596
DUK,mom21_VIXY,63,0.5923,0.005657,0.058521,0.6678,596
DUK,price_regime,63,0.5084,0.013664,0.058521,0.6678,596
DUK,macro_breakeven_5y,63,0.4346,0.014951,0.058521,0.6678,596
DUK,term_structure_slope,63,0.4262,0.005229,0.058521,0.6678,596
DUK,macro_hy_spread,63,0.3658,0.00513,0.058521,0.6678,596
DUK,mom21_UUP,63,0.3658,0.002972,0.058521,0.6678,596
DUK,ewma_vol,63,0.3523,0.006193,0.058521,0.6678,596
DUK,macro_inflation_fwd_chg_63d,63,0.3507,0.002478,0.058521,0.6678,596
DUK,corr_sector_21d,63,0.3423,0.004248,0.058521,0.6678,596
DUK,iv_atm_z_score,63,0.3356,0.00581,0.058521,0.6678,596
DUK,macro_inflation_fwd_5y5y,63,0.3322,0.016488,0.058521,0.6678,596
DUK,macro_yield_curve_slope,63,0.2735,0.004365,0.058521,0.6678,596
DUK,rv_21d,63,0.2416,0.002177,0.058521,0.6678,596
DUK,rv_126d,63,0.2366,0.012213,0.058521,0.6678,596
DUK,vrp_wedge,63,0.2349,0.002295,0.058521,0.6678,596
DUK,tech_RSI,63,0.2248,0.001834,0.058521,0.6678,596
DUK,res_vol,63,0.1779,0.001022,0.058521,0.6678,596
DUK,rv_5d,63,0.1628,0.002919,0.058521,0.6678,596
DUK,vol_regime_zscore,63,0.1628,0.003414,0.058521,0.6678,596
DUK,event_div_gravity,63,0.1544,0.00084,0.058521,0.6678,596
DUK,macro_inflation_fwd_chg_21d,63,0.1493,0.001406,0.058521,0.6678,596
DUK,rv_10d,63,0.1443,0.000767,0.058521,0.6678,596
DUK,tech_MACD_hist,63,0.1443,0.000535,0.058521,0.6678,596
DUK,sector_wedge,63,0.1342,0.001334,0.058521,0.6678,596
DUK,macro_hy_spread_chg_5d,63,0.1242,0.000308,0.058521,0.6678,596
DUK,beta_spy,63,0.1141,0.00152,0.058521,0.6678,596
DUK,rv_63d,63,0.1141,0.000251,0.058521,0.6678,596
DUK,vol_of_vol,63,0.1023,0.000718,0.058521,0.6678,596
DUK,vol_chg_21d,63,0.0889,0.001302,0.058521,0.6678,596
DUK,mom21_TLT,63,0.0755,0.000906,0.058521,0.6678,596
DUK,res_vol_vel,63,0.0638,0.000108,0.058521,0.6678,596
DUK,event_nfp_gravity,63,0.057,0.000253,0.058521,0.6678,596
DUK,ret_VIXY,63,0.0537,8.2e-05,0.058521,0.6678,596
DUK,mom21_HYG,63,0.0503,0.000257,0.058521,0.6678,596
DUK,event_cpi_gravity,63,0.0436,0.000506,0.058521,0.6678,596
DUK,event_fed_gravity,63,0.0419,0.001603,0.058521,0.6678,596
DUK,mom21_SPY,63,0.0369,0.000518,0.058521,0.6678,596
DUK,ret_TARGET,63,0.0252,2.6e-05,0.058521,0.6678,596
DUK,put_call_skew_30d,63,0.0218,9.5e-05,0.058521,0.6678,596
DUK,ret_TLT,63,0.0218,5e-05,0.058521,0.6678,596
DUK,vol_vel,63,0.0218,0.000126,0.058521,0.6678,596
DUK,event_earn_gravity,63,0.0185,6e-05,0.058521,0.6678,596
DUK,corr_sector_252d,63,0.0168,5.5e-05,0.058521,0.6678,596
DUK,macro_dollar_ret,63,0.0117,5e-05,0.058521,0.6678,596
DUK,garch_cond_vol,63,0.0084,0.000174,0.058521,0.6678,596
DUK,ret_HYG,63,0.005,1.9e-05,0.058521,0.6678,596
DUK,ret_SPY,63,0.005,2.2e-05,0.058521,0.6678,596
DUK,ret_USO,63,0.005,2.5e-05,0.058521,0.6678,596
DUK,ret_UUP,63,0.005,3.9e-05,0.058521,0.6678,596
DUK,macro_inflation_fwd_zscore,126,0.5453,0.023536,0.073991,0.651,596
DUK,macro_yield_curve_slope,126,0.4916,0.015441,0.073991,0.651,596
DUK,macro_hy_spread,126,0.4144,0.009074,0.073991,0.651,596
DUK,rv_126d,126,0.3909,0.005086,0.073991,0.651,596
DUK,price_regime,126,0.349,0.004782,0.073991,0.651,596
DUK,term_structure_slope,126,0.349,0.003309,0.073991,0.651,596
DUK,res_vol,126,0.3289,0.002825,0.073991,0.651,596
DUK,macro_inflation_fwd_5y5y,126,0.2852,0.013373,0.073991,0.651,596
DUK,corr_sector_21d,126,0.2232,0.003287,0.073991,0.651,596
DUK,ewma_vol,126,0.2215,0.008842,0.073991,0.651,596
DUK,vrp_wedge,126,0.2097,0.004058,0.073991,0.651,596
DUK,mom21_TLT,126,0.2047,0.002345,0.073991,0.651,596
DUK,macro_breakeven_5y,126,0.203,0.002845,0.073991,0.651,596
DUK,macro_inflation_fwd_chg_63d,126,0.1376,0.002467,0.073991,0.651,596
DUK,mom21_VIXY,126,0.1074,0.000438,0.073991,0.651,596
DUK,macro_inflation_fwd_chg_21d,126,0.0872,0.000837,0.073991,0.651,596
DUK,mom21_HYG,126,0.0772,0.000106,0.073991,0.651,596
DUK,vol_regime_zscore,126,0.0772,0.000519,0.073991,0.651,596
DUK,mom21_USO,126,0.0671,0.000442,0.073991,0.651,596
DUK,beta_spy,126,0.0654,0.000628,0.073991,0.651,596
DUK,tech_RSI,126,0.057,0.000419,0.073991,0.651,596
DUK,macro_inflation_fwd_abs_chg_21d,126,0.0554,0.000413,0.073991,0.651,596
DUK,macro_hy_spread_chg_5d,126,0.0453,9.1e-05,0.073991,0.651,596
DUK,tech_MACD_hist,126,0.0419,0.000227,0.073991,0.651,596
