ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
GE,iv_atm_z_score,21,0.9664,0.051782,0.064186,0.6668,596
GE,price_regime,21,0.8909,0.05149,0.064186,0.6668,596
GE,ewma_vol,21,0.8607,0.016357,0.064186,0.6668,596
GE,rv_21d,21,0.5134,0.017712,0.064186,0.6668,596
GE,res_vol,21,0.5017,0.022186,0.064186,0.6668,596
GE,corr_sector_252d,21,0.5,0.027359,0.064186,0.6668,596
GE,garch_cond_vol,21,0.4732,0.015375,0.064186,0.6668,596
GE,rv_5d,21,0.4715,0.010288,0.064186,0.6668,596
GE,rv_126d,21,0.4664,0.030123,0.064186,0.6668,596
GE,vrp_wedge,21,0.4446,0.00893,0.064186,0.6668,596
GE,macro_yield_curve_slope,21,0.4329,0.014128,0.064186,0.6668,596
GE,corr_sector_21d,21,0.4262,0.00456,0.064186,0.6668,596
GE,macro_hy_spread,21,0.4195,0.027026,0.064186,0.6668,596
GE,rv_63d,21,0.4144,0.00825,0.064186,0.6668,596
GE,vol_regime_zscore,21,0.4144,0.009184,0.064186,0.6668,596
GE,put_call_skew_30d,21,0.4094,0.004667,0.064186,0.6668,596
GE,mom21_HYG,21,0.3926,0.002973,0.064186,0.6668,596
GE,mom21_USO,21,0.3272,0.00749,0.064186,0.6668,596
GE,beta_spy,21,0.307,0.005717,0.064186,0.6668,596
GE,macro_inflation_fwd_chg_63d,21,0.2903,0.004776,0.064186,0.6668,596
GE,mom21_UUP,21,0.2785,0.003851,0.064186,0.6668,596
GE,macro_inflation_fwd_chg_21d,21,0.2735,0.002622,0.064186,0.6668,596
GE,rv_10d,21,0.2735,0.006846,0.064186,0.6668,596
GE,macro_inflation_fwd_zscore,21,0.2634,0.008396,0.064186,0.6668,596
GE,event_cpi_gravity,21,0.2483,0.00268,0.064186,0.6668,596
GE,macro_inflation_fwd_abs_chg_21d,21,0.2433,0.001342,0.064186,0.6668,596
GE,event_fed_gravity,21,0.2383,0.004993,0.064186,0.6668,596
GE,event_nfp_gravity,21,0.193,0.001699,0.064186,0.6668,596
GE,term_structure_slope,21,0.193,0.001948,0.064186,0.6668,596
GE,tech_MACD_hist,21,0.1779,0.001433,0.064186,0.6668,596
GE,macro_hy_spread_chg_5d,21,0.1728,0.000616,0.064186,0.6668,596
GE,macro_breakeven_5y,21,0.1695,0.001777,0.064186,0.6668,596
GE,macro_inflation_fwd_5y5y,21,0.1594,0.002897,0.064186,0.6668,596
GE,mom21_VIXY,21,0.1527,0.002675,0.064186,0.6668,596
GE,vol_of_vol,21,0.1443,0.001029,0.064186,0.6668,596
GE,sector_wedge,21,0.1376,0.001247,0.064186,0.6668,596
GE,mom21_SPY,21,0.0856,0.002393,0.064186,0.6668,596
GE,res_vol_vel,21,0.0822,0.000686,0.064186,0.6668,596
GE,vol_vel,21,0.0772,0.000795,0.064186,0.6668,596
GE,ret_SPY,21,0.0721,0.000149,0.064186,0.6668,596
GE,ret_VIXY,21,0.0671,0.000264,0.064186,0.6668,596
GE,tech_RSI,21,0.0621,0.000634,0.064186,0.6668,596
GE,mom21_TLT,21,0.0403,0.000627,0.064186,0.6668,596
GE,ret_HYG,21,0.0369,5.7e-05,0.064186,0.6668,596
GE,ret_UUP,21,0.0252,0.000116,0.064186,0.6668,596
GE,ret_TLT,21,0.0218,7.7e-05,0.064186,0.6668,596
GE,macro_dollar_ret,21,0.0168,4.7e-05,0.064186,0.6668,596
GE,ret_TARGET,21,0.0134,5.9e-05,0.064186,0.6668,596
GE,vol_chg_21d,21,0.0117,5.9e-05,0.064186,0.6668,596
GE,ret_USO,21,0.005,1.3e-05,0.064186,0.6668,596
GE,event_div_gravity,21,0.0,0.0,0.064186,0.6668,596
GE,event_earn_gravity,21,0.0,0.0,0.064186,0.6668,596
GE,price_regime,63,0.693,0.047024,0.133007,0.6742,596
GE,corr_sector_252d,63,0.4279,0.043947,0.133007,0.6742,596
GE,rv_21d,63,0.4161,0.025519,0.133007,0.6742,596
GE,rv_63d,63,0.4161,0.011199,0.133007,0.6742,596
GE,rv_5d,63,0.3993,0.008272,0.133007,0.6742,596
GE,res_vol,63,0.3943,0.021376,0.133007,0.6742,596
GE,mom21_USO,63,0.3859,0.017215,0.133007,0.6742,596
GE,vol_regime_zscore,63,0.3658,0.01624,0.133007,0.6742,596
GE,rv_126d,63,0.3641,0.012793,0.133007,0.6742,596
GE,rv_10d,63,0.354,0.006272,0.133007,0.6742,596
GE,beta_spy,63,0.344,0.025541,0.133007,0.6742,596
GE,mom21_HYG,63,0.3104,0.003521,0.133007,0.6742,596
GE,res_vol_vel,63,0.3087,0.003149,0.133007,0.6742,596
GE,macro_yield_curve_slope,63,0.297,0.009998,0.133007,0.6742,596
GE,iv_atm_z_score,63,0.2936,0.006784,0.133007,0.6742,596
GE,macro_inflation_fwd_abs_chg_21d,63,0.2852,0.003583,0.133007,0.6742,596
GE,macro_hy_spread,63,0.2718,0.007307,0.133007,0.6742,596
GE,event_cpi_gravity,63,0.2433,0.003203,0.133007,0.6742,596
GE,macro_inflation_fwd_chg_63d,63,0.2265,0.005481,0.133007,0.6742,596
GE,mom21_VIXY,63,0.2097,0.002414,0.133007,0.6742,596
GE,vol_chg_21d,63,0.2097,0.004011,0.133007,0.6742,596
GE,vrp_wedge,63,0.1997,0.011263,0.133007,0.6742,596
GE,corr_sector_21d,63,0.193,0.002182,0.133007,0.6742,596
GE,mom21_TLT,63,0.1879,0.002499,0.133007,0.6742,596
GE,term_structure_slope,63,0.1762,0.009759,0.133007,0.6742,596
GE,macro_inflation_fwd_5y5y,63,0.1745,0.003003,0.133007,0.6742,596
GE,event_fed_gravity,63,0.1594,0.005312,0.133007,0.6742,596
GE,ret_VIXY,63,0.1577,0.000574,0.133007,0.6742,596
GE,ret_USO,63,0.156,0.000348,0.133007,0.6742,596
GE,sector_wedge,63,0.1477,0.001308,0.133007,0.6742,596
GE,macro_breakeven_5y,63,0.1409,0.002443,0.133007,0.6742,596
GE,ret_UUP,63,0.1376,0.000354,0.133007,0.6742,596
GE,tech_MACD_hist,63,0.1376,0.001751,0.133007,0.6742,596
GE,garch_cond_vol,63,0.1309,0.003279,0.133007,0.6742,596
GE,tech_RSI,63,0.1292,0.00167,0.133007,0.6742,596
GE,mom21_SPY,63,0.1208,0.001549,0.133007,0.6742,596
GE,event_nfp_gravity,63,0.1174,0.00192,0.133007,0.6742,596
GE,ewma_vol,63,0.1174,0.002004,0.133007,0.6742,596
GE,vol_of_vol,63,0.1124,0.002808,0.133007,0.6742,596
GE,macro_inflation_fwd_zscore,63,0.1091,0.001208,0.133007,0.6742,596
GE,put_call_skew_30d,63,0.1091,0.000591,0.133007,0.6742,596
GE,mom21_UUP,63,0.1023,0.000456,0.133007,0.6742,596
GE,macro_inflation_fwd_chg_21d,63,0.1007,0.000889,0.133007,0.6742,596
GE,macro_hy_spread_chg_5d,63,0.0973,0.000698,0.133007,0.6742,596
GE,macro_dollar_ret,63,0.0738,0.000217,0.133007,0.6742,596
GE,ret_HYG,63,0.0705,0.000182,0.133007,0.6742,596
GE,ret_TLT,63,0.0604,7.2e-05,0.133007,0.6742,596
GE,ret_TARGET,63,0.0487,7.1e-05,0.133007,0.6742,596
GE,ret_SPY,63,0.0419,0.00023,0.133007,0.6742,596
GE,vol_vel,63,0.0235,6.1e-05,0.133007,0.6742,596
GE,event_div_gravity,63,0.0,0.0,0.133007,0.6742,596
GE,event_earn_gravity,63,0.0,0.0,0.133007,0.6742,596
GE,price_regime,126,0.7232,0.05776,0.087829,0.6446,596
GE,mom21_USO,126,0.5973,0.008765,0.087829,0.6446,596
GE,macro_yield_curve_slope,126,0.5638,0.039483,0.087829,0.6446,596
GE,macro_hy_spread_chg_5d,126,0.5352,0.003905,0.087829,0.6446,596
GE,corr_sector_252d,126,0.5218,0.043872,0.087829,0.6446,596
GE,res_vol,126,0.5168,0.026038,0.087829,0.6446,596
GE,beta_spy,126,0.4849,0.028434,0.087829,0.6446,596
GE,corr_sector_21d,126,0.4782,0.012391,0.087829,0.6446,596
GE,vol_regime_zscore,126,0.443,0.010598,0.087829,0.6446,596
GE,macro_inflation_fwd_zscore,126,0.4161,0.006159,0.087829,0.6446,596
GE,rv_5d,126,0.4161,0.003723,0.087829,0.6446,596
GE,mom21_TLT,126,0.4128,0.009988,0.087829,0.6446,596
GE,macro_inflation_fwd_abs_chg_21d,126,0.3893,0.00476,0.087829,0.6446,596
GE,mom21_HYG,126,0.3758,0.005984,0.087829,0.6446,596
GE,rv_10d,126,0.3641,0.003656,0.087829,0.6446,596
GE,macro_breakeven_5y,126,0.3456,0.004484,0.087829,0.6446,596
GE,rv_126d,126,0.3356,0.01171,0.087829,0.6446,596
GE,macro_inflation_fwd_5y5y,126,0.3322,0.005379,0.087829,0.6446,596
GE,event_fed_gravity,126,0.3238,0.013009,0.087829,0.6446,596
GE,macro_hy_spread,126,0.3238,0.015208,0.087829,0.6446,596
