ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
HD,iv_atm_z_score,21,1.0,0.08901,0.030028,0.7752,596
HD,macro_inflation_fwd_abs_chg_21d,21,0.7366,0.007185,0.030028,0.7752,596
HD,price_regime,21,0.7215,0.031987,0.030028,0.7752,596
HD,macro_inflation_fwd_chg_63d,21,0.6544,0.021341,0.030028,0.7752,596
HD,rv_21d,21,0.6544,0.02926,0.030028,0.7752,596
HD,rv_5d,21,0.5956,0.005293,0.030028,0.7752,596
HD,mom21_HYG,21,0.5738,0.016914,0.030028,0.7752,596
HD,beta_spy,21,0.5621,0.01189,0.030028,0.7752,596
HD,vol_regime_zscore,21,0.5554,0.022594,0.030028,0.7752,596
HD,macro_breakeven_5y,21,0.5252,0.021029,0.030028,0.7752,596
HD,term_structure_slope,21,0.5218,0.008561,0.030028,0.7752,596
HD,macro_yield_curve_slope,21,0.5185,0.030491,0.030028,0.7752,596
HD,macro_hy_spread,21,0.505,0.044022,0.030028,0.7752,596
HD,corr_sector_252d,21,0.448,0.0116,0.030028,0.7752,596
HD,sector_wedge,21,0.443,0.008141,0.030028,0.7752,596
HD,put_call_skew_30d,21,0.4362,0.010263,0.030028,0.7752,596
HD,mom21_USO,21,0.4245,0.008422,0.030028,0.7752,596
HD,rv_126d,21,0.4044,0.01292,0.030028,0.7752,596
HD,tech_MACD_hist,21,0.3809,0.00609,0.030028,0.7752,596
HD,ret_TARGET,21,0.3674,0.001439,0.030028,0.7752,596
HD,mom21_UUP,21,0.3473,0.002047,0.030028,0.7752,596
HD,mom21_TLT,21,0.3389,0.002307,0.030028,0.7752,596
HD,mom21_VIXY,21,0.3389,0.004237,0.030028,0.7752,596
HD,event_cpi_gravity,21,0.3087,0.002303,0.030028,0.7752,596
HD,res_vol,21,0.302,0.004469,0.030028,0.7752,596
HD,ewma_vol,21,0.2886,0.00961,0.030028,0.7752,596
HD,event_earn_gravity,21,0.2668,0.001696,0.030028,0.7752,596
HD,vol_chg_21d,21,0.2601,0.00474,0.030028,0.7752,596
HD,rv_63d,21,0.2198,0.006377,0.030028,0.7752,596
HD,event_fed_gravity,21,0.2148,0.003972,0.030028,0.7752,596
HD,event_nfp_gravity,21,0.193,0.001789,0.030028,0.7752,596
HD,ret_SPY,21,0.1913,0.000493,0.030028,0.7752,596
HD,ret_VIXY,21,0.1862,0.000228,0.030028,0.7752,596
HD,macro_inflation_fwd_zscore,21,0.1812,0.003116,0.030028,0.7752,596
HD,vrp_wedge,21,0.1795,0.00653,0.030028,0.7752,596
HD,macro_inflation_fwd_5y5y,21,0.1695,0.003386,0.030028,0.7752,596
HD,macro_inflation_fwd_chg_21d,21,0.1527,0.002079,0.030028,0.7752,596
HD,res_vol_vel,21,0.1393,0.000474,0.030028,0.7752,596
HD,vol_of_vol,21,0.1258,0.00134,0.030028,0.7752,596
HD,rv_10d,21,0.1225,0.000892,0.030028,0.7752,596
HD,ret_UUP,21,0.1023,0.000284,0.030028,0.7752,596
HD,event_div_gravity,21,0.0906,0.000243,0.030028,0.7752,596
HD,garch_cond_vol,21,0.0906,0.000641,0.030028,0.7752,596
HD,macro_hy_spread_chg_5d,21,0.0839,0.000765,0.030028,0.7752,596
HD,ret_HYG,21,0.0839,0.000312,0.030028,0.7752,596
HD,ret_USO,21,0.0822,0.000146,0.030028,0.7752,596
HD,ret_TLT,21,0.0805,0.000157,0.030028,0.7752,596
HD,tech_RSI,21,0.0705,0.000617,0.030028,0.7752,596
HD,corr_sector_21d,21,0.0638,0.000847,0.030028,0.7752,596
HD,vol_vel,21,0.0638,0.00018,0.030028,0.7752,596
HD,mom21_SPY,21,0.047,0.000411,0.030028,0.7752,596
HD,macro_dollar_ret,21,0.0168,1.9e-05,0.030028,0.7752,596
HD,mom21_VIXY,63,0.6191,0.012392,0.087868,0.6923,596
HD,macro_inflation_fwd_abs_chg_21d,63,0.5638,0.013744,0.087868,0.6923,596
HD,macro_inflation_fwd_chg_63d,63,0.495,0.010161,0.087868,0.6923,596
HD,price_regime,63,0.4732,0.014501,0.087868,0.6923,596
HD,macro_yield_curve_slope,63,0.4715,0.014076,0.087868,0.6923,596
HD,iv_atm_z_score,63,0.4245,0.010536,0.087868,0.6923,596
HD,mom21_USO,63,0.3977,0.010509,0.087868,0.6923,596
HD,corr_sector_252d,63,0.396,0.01785,0.087868,0.6923,596
HD,rv_5d,63,0.3339,0.002197,0.087868,0.6923,596
HD,beta_spy,63,0.2248,0.009648,0.087868,0.6923,596
HD,mom21_HYG,63,0.2013,0.003111,0.087868,0.6923,596
HD,vol_chg_21d,63,0.198,0.001826,0.087868,0.6923,596
HD,macro_hy_spread_chg_5d,63,0.1963,0.001391,0.087868,0.6923,596
HD,macro_inflation_fwd_zscore,63,0.1913,0.002848,0.087868,0.6923,596
HD,res_vol,63,0.1779,0.006192,0.087868,0.6923,596
HD,vol_regime_zscore,63,0.1695,0.00435,0.087868,0.6923,596
HD,vol_of_vol,63,0.1493,0.002462,0.087868,0.6923,596
HD,macro_hy_spread,63,0.1443,0.008879,0.087868,0.6923,596
HD,tech_RSI,63,0.1443,0.001015,0.087868,0.6923,596
HD,event_fed_gravity,63,0.1326,0.004446,0.087868,0.6923,596
HD,ewma_vol,63,0.1326,0.002843,0.087868,0.6923,596
HD,rv_126d,63,0.1309,0.002502,0.087868,0.6923,596
HD,corr_sector_21d,63,0.1124,0.000484,0.087868,0.6923,596
HD,ret_VIXY,63,0.1074,0.000149,0.087868,0.6923,596
HD,event_cpi_gravity,63,0.0923,0.001328,0.087868,0.6923,596
HD,event_nfp_gravity,63,0.0738,0.001056,0.087868,0.6923,596
HD,mom21_TLT,63,0.0721,0.001221,0.087868,0.6923,596
HD,put_call_skew_30d,63,0.0587,0.000204,0.087868,0.6923,596
HD,macro_breakeven_5y,63,0.057,0.00083,0.087868,0.6923,596
HD,rv_10d,63,0.0386,0.000169,0.087868,0.6923,596
HD,garch_cond_vol,63,0.0352,0.000152,0.087868,0.6923,596
HD,term_structure_slope,63,0.0352,0.000209,0.087868,0.6923,596
HD,tech_MACD_hist,63,0.0336,0.000327,0.087868,0.6923,596
HD,macro_inflation_fwd_5y5y,63,0.0302,0.0002,0.087868,0.6923,596
HD,vrp_wedge,63,0.0302,0.000325,0.087868,0.6923,596
HD,mom21_UUP,63,0.0285,0.000322,0.087868,0.6923,596
HD,event_div_gravity,63,0.0268,7e-05,0.087868,0.6923,596
HD,ret_HYG,63,0.0268,4.9e-05,0.087868,0.6923,596
HD,rv_63d,63,0.0235,0.001548,0.087868,0.6923,596
HD,sector_wedge,63,0.0218,8.7e-05,0.087868,0.6923,596
HD,ret_TARGET,63,0.0185,4.3e-05,0.087868,0.6923,596
HD,macro_inflation_fwd_chg_21d,63,0.0168,0.000445,0.087868,0.6923,596
HD,ret_UUP,63,0.0168,3.9e-05,0.087868,0.6923,596
HD,vol_vel,63,0.0117,6.7e-05,0.087868,0.6923,596
HD,event_earn_gravity,63,0.0101,9e-06,0.087868,0.6923,596
HD,macro_dollar_ret,63,0.0101,5.3e-05,0.087868,0.6923,596
HD,mom21_SPY,63,0.0101,5.9e-05,0.087868,0.6923,596
HD,ret_USO,63,0.0101,3.1e-05,0.087868,0.6923,596
HD,res_vol_vel,63,0.0084,1.9e-05,0.087868,0.6923,596
HD,ret_TLT,63,0.0084,3.2e-05,0.087868,0.6923,596
HD,rv_21d,63,0.0084,0.000488,0.087868,0.6923,596
HD,ret_SPY,63,0.0067,1e-05,0.087868,0.6923,596
HD,macro_yield_curve_slope,126,0.3943,0.023799,0.114781,0.6101,596
HD,macro_inflation_fwd_abs_chg_21d,126,0.3221,0.004366,0.114781,0.6101,596
HD,tech_RSI,126,0.3154,0.007894,0.114781,0.6101,596
HD,corr_sector_252d,126,0.2936,0.0151,0.114781,0.6101,596
HD,price_regime,126,0.2936,0.009637,0.114781,0.6101,596
HD,macro_inflation_fwd_zscore,126,0.2903,0.006384,0.114781,0.6101,596
HD,mom21_TLT,126,0.2701,0.004445,0.114781,0.6101,596
HD,mom21_USO,126,0.2483,0.002427,0.114781,0.6101,596
HD,mom21_VIXY,126,0.2399,0.002643,0.114781,0.6101,596
HD,beta_spy,126,0.2383,0.011077,0.114781,0.6101,596
HD,iv_atm_z_score,126,0.2332,0.002508,0.114781,0.6101,596
HD,macro_hy_spread_chg_5d,126,0.2215,0.001361,0.114781,0.6101,596
HD,vol_regime_zscore,126,0.2164,0.003699,0.114781,0.6101,596
HD,macro_breakeven_5y,126,0.2081,0.005558,0.114781,0.6101,596
HD,macro_inflation_fwd_chg_63d,126,0.1963,0.00219,0.114781,0.6101,596
HD,event_fed_gravity,126,0.1762,0.004728,0.114781,0.6101,596
HD,event_div_gravity,126,0.156,0.000394,0.114781,0.6101,596
HD,mom21_UUP,126,0.151,0.001187,0.114781,0.6101,596
HD,res_vol,126,0.1477,0.003821,0.114781,0.6101,596
HD,garch_cond_vol,126,0.1393,0.000661,0.114781,0.6101,596
HD,mom21_HYG,126,0.1393,0.001681,0.114781,0.6101,596
HD,sector_wedge,126,0.1342,0.001072,0.114781,0.6101,596
HD,rv_63d,126,0.1292,0.004183,0.114781,0.6101,596
HD,tech_MACD_hist,126,0.1292,0.001124,0.114781,0.6101,596
HD,mom21_SPY,126,0.1091,0.001234,0.114781,0.6101,596
HD,ewma_vol,126,0.1057,0.000513,0.114781,0.6101,596
HD,event_cpi_gravity,126,0.104,0.000841,0.114781,0.6101,596
HD,macro_inflation_fwd_5y5y,126,0.1007,0.002204,0.114781,0.6101,596
HD,vol_vel,126,0.099,0.000594,0.114781,0.6101,596
HD,vrp_wedge,126,0.0906,0.001491,0.114781,0.6101,596
HD,event_nfp_gravity,126,0.0856,0.001515,0.114781,0.6101,596
HD,ret_TARGET,126,0.0789,9e-05,0.114781,0.6101,596
HD,macro_inflation_fwd_chg_21d,126,0.0772,0.001073,0.114781,0.6101,596
HD,ret_UUP,126,0.0772,0.000102,0.114781,0.6101,596
HD,rv_126d,126,0.0772,0.003418,0.114781,0.6101,596
HD,vol_chg_21d,126,0.0772,0.00106,0.114781,0.6101,596
HD,ret_SPY,126,0.0638,0.000176,0.114781,0.6101,596
HD,term_structure_slope,126,0.0587,0.000867,0.114781,0.6101,596
HD,ret_TLT,126,0.0537,4.6e-05,0.114781,0.6101,596
HD,ret_VIXY,126,0.0537,8.3e-05,0.114781,0.6101,596
HD,rv_10d,126,0.052,0.00033,0.114781,0.6101,596
HD,corr_sector_21d,126,0.0487,0.000251,0.114781,0.6101,596
HD,macro_dollar_ret,126,0.0436,3.8e-05,0.114781,0.6101,596
HD,res_vol_vel,126,0.0403,0.000164,0.114781,0.6101,596
HD,vol_of_vol,126,0.0369,0.000196,0.114781,0.6101,596
HD,put_call_skew_30d,126,0.0336,0.000105,0.114781,0.6101,596
HD,rv_5d,126,0.0252,0.000145,0.114781,0.6101,596
HD,rv_21d,126,0.0218,0.000308,0.114781,0.6101,596
HD,event_earn_gravity,126,0.0201,3.2e-05,0.114781,0.6101,596
