ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
HON,iv_atm_z_score,21,0.9983,0.069155,0.043109,0.7013,596
HON,ewma_vol,21,0.943,0.028551,0.043109,0.7013,596
HON,price_regime,21,0.9262,0.057626,0.043109,0.7013,596
HON,corr_sector_252d,21,0.8255,0.034956,0.043109,0.7013,596
HON,rv_21d,21,0.7819,0.012542,0.043109,0.7013,596
HON,res_vol,21,0.7232,0.016126,0.043109,0.7013,596
HON,macro_inflation_fwd_abs_chg_21d,21,0.6678,0.007621,0.043109,0.7013,596
HON,rv_5d,21,0.6577,0.01364,0.043109,0.7013,596
HON,garch_cond_vol,21,0.5755,0.006701,0.043109,0.7013,596
HON,term_structure_slope,21,0.5151,0.004579,0.043109,0.7013,596
HON,mom21_USO,21,0.505,0.008476,0.043109,0.7013,596
HON,macro_hy_spread,21,0.4631,0.030364,0.043109,0.7013,596
HON,rv_10d,21,0.4128,0.003368,0.043109,0.7013,596
HON,vol_regime_zscore,21,0.3775,0.006998,0.043109,0.7013,596
HON,macro_yield_curve_slope,21,0.3423,0.013948,0.043109,0.7013,596
HON,rv_63d,21,0.2483,0.003409,0.043109,0.7013,596
HON,put_call_skew_30d,21,0.245,0.000855,0.043109,0.7013,596
HON,tech_MACD_hist,21,0.2366,0.00175,0.043109,0.7013,596
HON,macro_inflation_fwd_chg_21d,21,0.2349,0.001725,0.043109,0.7013,596
HON,macro_inflation_fwd_5y5y,21,0.2148,0.003484,0.043109,0.7013,596
HON,mom21_TLT,21,0.193,0.001121,0.043109,0.7013,596
HON,macro_breakeven_5y,21,0.1846,0.003569,0.043109,0.7013,596
HON,rv_126d,21,0.1762,0.003662,0.043109,0.7013,596
HON,event_cpi_gravity,21,0.1644,0.001424,0.043109,0.7013,596
HON,macro_inflation_fwd_chg_63d,21,0.1644,0.002118,0.043109,0.7013,596
HON,res_vol_vel,21,0.1628,0.001082,0.043109,0.7013,596
HON,ret_TLT,21,0.1527,0.000505,0.043109,0.7013,596
HON,vrp_wedge,21,0.1477,0.001749,0.043109,0.7013,596
HON,mom21_SPY,21,0.1174,0.002693,0.043109,0.7013,596
HON,beta_spy,21,0.1057,0.001694,0.043109,0.7013,596
HON,event_fed_gravity,21,0.1057,0.001559,0.043109,0.7013,596
HON,mom21_HYG,21,0.0973,0.001842,0.043109,0.7013,596
HON,mom21_UUP,21,0.0956,0.000786,0.043109,0.7013,596
HON,event_earn_gravity,21,0.094,0.000333,0.043109,0.7013,596
HON,event_nfp_gravity,21,0.0923,0.001261,0.043109,0.7013,596
HON,macro_inflation_fwd_zscore,21,0.0906,0.000776,0.043109,0.7013,596
HON,sector_wedge,21,0.0872,0.001257,0.043109,0.7013,596
HON,vol_chg_21d,21,0.057,0.000327,0.043109,0.7013,596
HON,mom21_VIXY,21,0.0554,0.001513,0.043109,0.7013,596
HON,ret_TARGET,21,0.0436,6.4e-05,0.043109,0.7013,596
HON,vol_vel,21,0.0403,7.9e-05,0.043109,0.7013,596
HON,corr_sector_21d,21,0.0319,4.8e-05,0.043109,0.7013,596
HON,vol_of_vol,21,0.0319,0.000254,0.043109,0.7013,596
HON,event_div_gravity,21,0.0252,6.4e-05,0.043109,0.7013,596
HON,macro_hy_spread_chg_5d,21,0.0201,4.4e-05,0.043109,0.7013,596
HON,ret_SPY,21,0.0185,4.8e-05,0.043109,0.7013,596
HON,macro_dollar_ret,21,0.0067,7e-06,0.043109,0.7013,596
HON,tech_RSI,21,0.0034,2e-06,0.043109,0.7013,596
HON,ret_HYG,21,0.0,0.0,0.043109,0.7013,596
HON,ret_USO,21,0.0,0.0,0.043109,0.7013,596
HON,ret_UUP,21,0.0,0.0,0.043109,0.7013,596
HON,ret_VIXY,21,0.0,0.0,0.043109,0.7013,596
HON,price_regime,63,0.8356,0.050616,0.084304,0.6755,596
HON,corr_sector_252d,63,0.7735,0.041073,0.084304,0.6755,596
HON,iv_atm_z_score,63,0.7466,0.027949,0.084304,0.6755,596
HON,macro_inflation_fwd_abs_chg_21d,63,0.6997,0.012154,0.084304,0.6755,596
HON,mom21_USO,63,0.5839,0.011559,0.084304,0.6755,596
HON,ewma_vol,63,0.5654,0.006151,0.084304,0.6755,596
HON,macro_yield_curve_slope,63,0.4681,0.01174,0.084304,0.6755,596
HON,garch_cond_vol,63,0.4497,0.005803,0.084304,0.6755,596
HON,rv_5d,63,0.4228,0.00509,0.084304,0.6755,596
HON,res_vol,63,0.3322,0.008194,0.084304,0.6755,596
HON,mom21_VIXY,63,0.3221,0.001769,0.084304,0.6755,596
HON,mom21_HYG,63,0.2047,0.002785,0.084304,0.6755,596
HON,rv_10d,63,0.1913,0.000775,0.084304,0.6755,596
HON,rv_126d,63,0.1762,0.002075,0.084304,0.6755,596
HON,macro_inflation_fwd_chg_63d,63,0.1678,0.003527,0.084304,0.6755,596
HON,macro_hy_spread,63,0.1611,0.004294,0.084304,0.6755,596
HON,beta_spy,63,0.156,0.007943,0.084304,0.6755,596
HON,event_fed_gravity,63,0.1527,0.004292,0.084304,0.6755,596
HON,rv_21d,63,0.151,0.000988,0.084304,0.6755,596
HON,event_cpi_gravity,63,0.1443,0.003447,0.084304,0.6755,596
HON,event_nfp_gravity,63,0.1359,0.002868,0.084304,0.6755,596
HON,tech_RSI,63,0.099,0.000836,0.084304,0.6755,596
HON,mom21_TLT,63,0.0856,0.000341,0.084304,0.6755,596
HON,vol_chg_21d,63,0.0638,0.000259,0.084304,0.6755,596
HON,macro_inflation_fwd_5y5y,63,0.0554,0.000152,0.084304,0.6755,596
HON,vol_regime_zscore,63,0.052,0.000164,0.084304,0.6755,596
HON,macro_inflation_fwd_zscore,63,0.0487,0.00101,0.084304,0.6755,596
HON,macro_hy_spread_chg_5d,63,0.047,9.9e-05,0.084304,0.6755,596
HON,sector_wedge,63,0.0319,0.000151,0.084304,0.6755,596
HON,corr_sector_21d,63,0.0218,0.000121,0.084304,0.6755,596
HON,macro_breakeven_5y,63,0.0218,0.000124,0.084304,0.6755,596
HON,event_div_gravity,63,0.005,2e-06,0.084304,0.6755,596
HON,event_earn_gravity,63,0.0,0.0,0.084304,0.6755,596
HON,macro_dollar_ret,63,0.0,0.0,0.084304,0.6755,596
HON,macro_inflation_fwd_chg_21d,63,0.0,0.0,0.084304,0.6755,596
HON,mom21_SPY,63,0.0,0.0,0.084304,0.6755,596
HON,mom21_UUP,63,0.0,0.0,0.084304,0.6755,596
HON,put_call_skew_30d,63,0.0,0.0,0.084304,0.6755,596
HON,res_vol_vel,63,0.0,0.0,0.084304,0.6755,596
HON,ret_HYG,63,0.0,0.0,0.084304,0.6755,596
HON,ret_SPY,63,0.0,0.0,0.084304,0.6755,596
HON,ret_TARGET,63,0.0,0.0,0.084304,0.6755,596
HON,ret_TLT,63,0.0,0.0,0.084304,0.6755,596
HON,ret_USO,63,0.0,0.0,0.084304,0.6755,596
HON,ret_UUP,63,0.0,0.0,0.084304,0.6755,596
HON,ret_VIXY,63,0.0,0.0,0.084304,0.6755,596
HON,rv_63d,63,0.0,0.0,0.084304,0.6755,596
HON,tech_MACD_hist,63,0.0,0.0,0.084304,0.6755,596
HON,term_structure_slope,63,0.0,0.0,0.084304,0.6755,596
HON,vol_of_vol,63,0.0,0.0,0.084304,0.6755,596
HON,vol_vel,63,0.0,0.0,0.084304,0.6755,596
HON,vrp_wedge,63,0.0,0.0,0.084304,0.6755,596
HON,price_regime,126,0.7433,0.040437,0.086836,0.706,596
HON,corr_sector_252d,126,0.7013,0.049863,0.086836,0.706,596
HON,macro_yield_curve_slope,126,0.6795,0.047671,0.086836,0.706,596
HON,macro_inflation_fwd_zscore,126,0.5419,0.012028,0.086836,0.706,596
HON,ewma_vol,126,0.4161,0.008997,0.086836,0.706,596
HON,macro_inflation_fwd_abs_chg_21d,126,0.3826,0.008521,0.086836,0.706,596
HON,macro_breakeven_5y,126,0.3725,0.012326,0.086836,0.706,596
HON,mom21_USO,126,0.3725,0.004029,0.086836,0.706,596
HON,mom21_HYG,126,0.3574,0.003489,0.086836,0.706,596
HON,mom21_TLT,126,0.349,0.00895,0.086836,0.706,596
HON,iv_atm_z_score,126,0.3456,0.005251,0.086836,0.706,596
HON,macro_hy_spread_chg_5d,126,0.3372,0.002894,0.086836,0.706,596
HON,corr_sector_21d,126,0.3003,0.010174,0.086836,0.706,596
HON,put_call_skew_30d,126,0.2886,0.014481,0.086836,0.706,596
HON,vol_chg_21d,126,0.2768,0.002561,0.086836,0.706,596
HON,mom21_VIXY,126,0.2685,0.001204,0.086836,0.706,596
HON,garch_cond_vol,126,0.2651,0.003291,0.086836,0.706,596
HON,vol_regime_zscore,126,0.2601,0.004276,0.086836,0.706,596
HON,event_fed_gravity,126,0.25,0.009656,0.086836,0.706,596
HON,event_cpi_gravity,126,0.2366,0.00533,0.086836,0.706,596
HON,beta_spy,126,0.2198,0.008504,0.086836,0.706,596
