ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
LMT,term_structure_slope,21,0.9027,0.022932,0.08031,0.6594,596
LMT,rv_21d,21,0.8859,0.033324,0.08031,0.6594,596
LMT,iv_atm_z_score,21,0.8003,0.049502,0.08031,0.6594,596
LMT,rv_63d,21,0.5218,0.012582,0.08031,0.6594,596
LMT,macro_inflation_fwd_abs_chg_21d,21,0.4866,0.005982,0.08031,0.6594,596
LMT,macro_yield_curve_slope,21,0.4547,0.006956,0.08031,0.6594,596
LMT,res_vol,21,0.3842,0.010784,0.08031,0.6594,596
LMT,corr_sector_252d,21,0.3691,0.010431,0.08031,0.6594,596
LMT,macro_inflation_fwd_chg_63d,21,0.3456,0.008348,0.08031,0.6594,596
LMT,rv_5d,21,0.3423,0.007687,0.08031,0.6594,596
LMT,ewma_vol,21,0.3305,0.004456,0.08031,0.6594,596
LMT,mom21_VIXY,21,0.3138,0.004868,0.08031,0.6594,596
LMT,mom21_USO,21,0.2852,0.005306,0.08031,0.6594,596
LMT,mom21_TLT,21,0.2265,0.002022,0.08031,0.6594,596
LMT,rv_10d,21,0.156,0.000607,0.08031,0.6594,596
LMT,price_regime,21,0.1544,0.000749,0.08031,0.6594,596
LMT,mom21_UUP,21,0.1527,0.000646,0.08031,0.6594,596
LMT,rv_126d,21,0.151,0.004098,0.08031,0.6594,596
LMT,macro_breakeven_5y,21,0.1426,0.001611,0.08031,0.6594,596
LMT,mom21_HYG,21,0.1141,0.002039,0.08031,0.6594,596
LMT,put_call_skew_30d,21,0.1141,0.001683,0.08031,0.6594,596
LMT,beta_spy,21,0.104,0.00274,0.08031,0.6594,596
LMT,macro_inflation_fwd_zscore,21,0.0805,0.002465,0.08031,0.6594,596
LMT,macro_hy_spread,21,0.0621,0.000788,0.08031,0.6594,596
LMT,tech_MACD_hist,21,0.0621,0.000221,0.08031,0.6594,596
LMT,vol_vel,21,0.0604,0.000289,0.08031,0.6594,596
LMT,event_fed_gravity,21,0.0487,0.00047,0.08031,0.6594,596
