ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
MCD,iv_atm_z_score,21,0.9849,0.053394,0.049669,0.6087,596
MCD,rv_21d,21,0.9648,0.032302,0.049669,0.6087,596
MCD,price_regime,21,0.6191,0.009055,0.049669,0.6087,596
MCD,corr_sector_252d,21,0.6023,0.014528,0.049669,0.6087,596
MCD,macro_inflation_fwd_chg_21d,21,0.5604,0.004962,0.049669,0.6087,596
MCD,rv_5d,21,0.5352,0.00388,0.049669,0.6087,596
MCD,mom21_USO,21,0.5302,0.008472,0.049669,0.6087,596
MCD,macro_inflation_fwd_abs_chg_21d,21,0.5084,0.004037,0.049669,0.6087,596
MCD,garch_cond_vol,21,0.4597,0.011899,0.049669,0.6087,596
MCD,macro_breakeven_5y,21,0.4497,0.008052,0.049669,0.6087,596
MCD,beta_spy,21,0.443,0.010824,0.049669,0.6087,596
MCD,macro_inflation_fwd_zscore,21,0.4346,0.00741,0.049669,0.6087,596
MCD,rv_63d,21,0.3691,0.011145,0.049669,0.6087,596
MCD,corr_sector_21d,21,0.3574,0.003369,0.049669,0.6087,596
MCD,macro_hy_spread,21,0.3473,0.009098,0.049669,0.6087,596
MCD,macro_inflation_fwd_chg_63d,21,0.3423,0.002503,0.049669,0.6087,596
MCD,ewma_vol,21,0.3154,0.002077,0.049669,0.6087,596
MCD,rv_10d,21,0.3121,0.001558,0.049669,0.6087,596
MCD,tech_RSI,21,0.2768,0.001791,0.049669,0.6087,596
MCD,rv_126d,21,0.2701,0.005235,0.049669,0.6087,596
MCD,macro_yield_curve_slope,21,0.2181,0.008269,0.049669,0.6087,596
MCD,vrp_wedge,21,0.2013,0.010282,0.049669,0.6087,596
MCD,event_nfp_gravity,21,0.1879,0.00089,0.049669,0.6087,596
MCD,vol_regime_zscore,21,0.1728,0.009113,0.049669,0.6087,596
MCD,put_call_skew_30d,21,0.1611,0.00127,0.049669,0.6087,596
MCD,tech_MACD_hist,21,0.1544,0.00081,0.049669,0.6087,596
MCD,macro_hy_spread_chg_5d,21,0.151,0.00055,0.049669,0.6087,596
MCD,event_fed_gravity,21,0.1309,0.000976,0.049669,0.6087,596
MCD,macro_inflation_fwd_5y5y,21,0.1292,0.001549,0.049669,0.6087,596
MCD,mom21_UUP,21,0.1258,0.000473,0.049669,0.6087,596
MCD,res_vol_vel,21,0.1158,0.000295,0.049669,0.6087,596
MCD,mom21_HYG,21,0.1124,0.001091,0.049669,0.6087,596
MCD,mom21_VIXY,21,0.1124,0.000743,0.049669,0.6087,596
MCD,ret_VIXY,21,0.0822,0.000149,0.049669,0.6087,596
MCD,event_cpi_gravity,21,0.0755,0.000372,0.049669,0.6087,596
MCD,mom21_TLT,21,0.047,0.000142,0.049669,0.6087,596
MCD,term_structure_slope,21,0.0185,0.000191,0.049669,0.6087,596
MCD,vol_of_vol,21,0.0117,1.4e-05,0.049669,0.6087,596
MCD,sector_wedge,21,0.0101,2e-05,0.049669,0.6087,596
MCD,mom21_SPY,21,0.0067,3e-06,0.049669,0.6087,596
MCD,ret_SPY,21,0.0034,2e-06,0.049669,0.6087,596
MCD,vol_chg_21d,21,0.0017,1e-06,0.049669,0.6087,596
MCD,event_div_gravity,21,0.0,0.0,0.049669,0.6087,596
MCD,event_earn_gravity,21,0.0,0.0,0.049669,0.6087,596
MCD,macro_dollar_ret,21,0.0,0.0,0.049669,0.6087,596
MCD,res_vol,21,0.0,0.0,0.049669,0.6087,596
MCD,ret_HYG,21,0.0,0.0,0.049669,0.6087,596
MCD,ret_TARGET,21,0.0,0.0,0.049669,0.6087,596
MCD,ret_TLT,21,0.0,0.0,0.049669,0.6087,596
MCD,ret_USO,21,0.0,0.0,0.049669,0.6087,596
MCD,ret_UUP,21,0.0,0.0,0.049669,0.6087,596
MCD,vol_vel,21,0.0,0.0,0.049669,0.6087,596
MCD,mom21_VIXY,63,0.6359,0.006179,0.081722,0.7091,596
MCD,mom21_USO,63,0.557,0.012871,0.081722,0.7091,596
MCD,iv_atm_z_score,63,0.5168,0.011359,0.081722,0.7091,596
MCD,price_regime,63,0.4732,0.008818,0.081722,0.7091,596
MCD,macro_inflation_fwd_abs_chg_21d,63,0.4178,0.00476,0.081722,0.7091,596
MCD,rv_126d,63,0.4044,0.009095,0.081722,0.7091,596
MCD,beta_spy,63,0.3943,0.012222,0.081722,0.7091,596
MCD,corr_sector_252d,63,0.3591,0.008618,0.081722,0.7091,596
MCD,mom21_HYG,63,0.3289,0.004501,0.081722,0.7091,596
MCD,macro_inflation_fwd_zscore,63,0.2785,0.005368,0.081722,0.7091,596
MCD,rv_21d,63,0.2668,0.002257,0.081722,0.7091,596
MCD,vol_regime_zscore,63,0.2366,0.006434,0.081722,0.7091,596
MCD,rv_5d,63,0.2013,0.001626,0.081722,0.7091,596
MCD,macro_inflation_fwd_5y5y,63,0.198,0.004972,0.081722,0.7091,596
MCD,macro_yield_curve_slope,63,0.1963,0.008143,0.081722,0.7091,596
MCD,macro_hy_spread_chg_5d,63,0.1812,0.001496,0.081722,0.7091,596
MCD,corr_sector_21d,63,0.1527,0.002901,0.081722,0.7091,596
MCD,vrp_wedge,63,0.1527,0.002647,0.081722,0.7091,596
MCD,macro_breakeven_5y,63,0.1426,0.001717,0.081722,0.7091,596
MCD,res_vol,63,0.1359,0.00123,0.081722,0.7091,596
MCD,macro_inflation_fwd_chg_63d,63,0.1342,0.001751,0.081722,0.7091,596
