ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
MO,iv_atm_z_score,21,0.9866,0.030368,0.055611,0.7164,596
MO,rv_21d,21,0.8607,0.045572,0.055611,0.7164,596
MO,macro_inflation_fwd_chg_63d,21,0.7047,0.013077,0.055611,0.7164,596
MO,res_vol,21,0.4597,0.015227,0.055611,0.7164,596
MO,macro_breakeven_5y,21,0.4128,0.007512,0.055611,0.7164,596
MO,macro_inflation_fwd_zscore,21,0.3909,0.010636,0.055611,0.7164,596
MO,mom21_HYG,21,0.3792,0.001346,0.055611,0.7164,596
MO,macro_inflation_fwd_abs_chg_21d,21,0.3725,0.004524,0.055611,0.7164,596
MO,macro_hy_spread,21,0.3591,0.007116,0.055611,0.7164,596
MO,rv_63d,21,0.3591,0.004741,0.055611,0.7164,596
MO,sector_wedge,21,0.3289,0.004493,0.055611,0.7164,596
MO,tech_RSI,21,0.3154,0.004275,0.055611,0.7164,596
MO,put_call_skew_30d,21,0.3037,0.003063,0.055611,0.7164,596
MO,vrp_wedge,21,0.3003,0.015923,0.055611,0.7164,596
MO,mom21_VIXY,21,0.2903,0.01142,0.055611,0.7164,596
MO,ewma_vol,21,0.2836,0.004047,0.055611,0.7164,596
MO,vol_of_vol,21,0.2836,0.006614,0.055611,0.7164,596
MO,tech_MACD_hist,21,0.2584,0.003807,0.055611,0.7164,596
MO,macro_yield_curve_slope,21,0.2282,0.015768,0.055611,0.7164,596
MO,mom21_USO,21,0.2265,0.001222,0.055611,0.7164,596
MO,beta_spy,21,0.2114,0.001583,0.055611,0.7164,596
MO,rv_126d,21,0.2114,0.003681,0.055611,0.7164,596
MO,macro_inflation_fwd_chg_21d,21,0.2097,0.002016,0.055611,0.7164,596
MO,vol_regime_zscore,21,0.1946,0.001876,0.055611,0.7164,596
MO,macro_hy_spread_chg_5d,21,0.1846,0.000353,0.055611,0.7164,596
MO,event_fed_gravity,21,0.1711,0.001381,0.055611,0.7164,596
MO,vol_vel,21,0.1695,0.00064,0.055611,0.7164,596
MO,res_vol_vel,21,0.1678,0.000561,0.055611,0.7164,596
MO,mom21_UUP,21,0.1527,0.000727,0.055611,0.7164,596
MO,macro_inflation_fwd_5y5y,21,0.1426,0.002396,0.055611,0.7164,596
MO,macro_dollar_ret,21,0.1141,0.000164,0.055611,0.7164,596
MO,corr_sector_21d,21,0.1091,0.000985,0.055611,0.7164,596
MO,corr_sector_252d,21,0.1091,0.000757,0.055611,0.7164,596
MO,event_nfp_gravity,21,0.099,0.000725,0.055611,0.7164,596
MO,price_regime,21,0.0956,0.00182,0.055611,0.7164,596
MO,term_structure_slope,21,0.0889,0.000427,0.055611,0.7164,596
MO,mom21_TLT,21,0.0856,0.000414,0.055611,0.7164,596
MO,mom21_SPY,21,0.0822,0.00085,0.055611,0.7164,596
MO,ret_UUP,21,0.0721,8.3e-05,0.055611,0.7164,596
MO,event_cpi_gravity,21,0.0705,0.000636,0.055611,0.7164,596
MO,rv_5d,21,0.0336,0.000176,0.055611,0.7164,596
MO,vol_chg_21d,21,0.0201,0.000103,0.055611,0.7164,596
MO,ret_SPY,21,0.0168,1.6e-05,0.055611,0.7164,596
MO,ret_VIXY,21,0.0134,5e-06,0.055611,0.7164,596
MO,event_div_gravity,21,0.0,0.0,0.055611,0.7164,596
MO,event_earn_gravity,21,0.0,0.0,0.055611,0.7164,596
MO,garch_cond_vol,21,0.0,0.0,0.055611,0.7164,596
MO,ret_HYG,21,0.0,0.0,0.055611,0.7164,596
MO,ret_TARGET,21,0.0,0.0,0.055611,0.7164,596
MO,ret_TLT,21,0.0,0.0,0.055611,0.7164,596
MO,ret_USO,21,0.0,0.0,0.055611,0.7164,596
MO,rv_10d,21,0.0,0.0,0.055611,0.7164,596
MO,macro_inflation_fwd_abs_chg_21d,63,0.4279,0.005082,0.105273,0.6359,596
MO,sector_wedge,63,0.3691,0.009348,0.105273,0.6359,596
MO,iv_atm_z_score,63,0.3574,0.009968,0.105273,0.6359,596
MO,macro_inflation_fwd_chg_63d,63,0.2987,0.006223,0.105273,0.6359,596
