ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
MS,iv_atm_z_score,21,0.9899,0.066525,0.051008,0.6497,596
MS,macro_hy_spread,21,0.9698,0.071958,0.051008,0.6497,596
MS,res_vol,21,0.9396,0.102819,0.051008,0.6497,596
MS,ewma_vol,21,0.8557,0.038331,0.051008,0.6497,596
MS,macro_inflation_fwd_abs_chg_21d,21,0.7366,0.010552,0.051008,0.6497,596
MS,price_regime,21,0.4698,0.007524,0.051008,0.6497,596
MS,macro_inflation_fwd_chg_21d,21,0.4497,0.004984,0.051008,0.6497,596
MS,mom21_UUP,21,0.4346,0.00754,0.051008,0.6497,596
MS,macro_inflation_fwd_5y5y,21,0.3305,0.007617,0.051008,0.6497,596
MS,mom21_VIXY,21,0.2987,0.004745,0.051008,0.6497,596
MS,term_structure_slope,21,0.2718,0.00134,0.051008,0.6497,596
MS,corr_sector_252d,21,0.2701,0.002902,0.051008,0.6497,596
MS,macro_inflation_fwd_chg_63d,21,0.2668,0.005944,0.051008,0.6497,596
MS,rv_5d,21,0.2584,0.003176,0.051008,0.6497,596
MS,rv_21d,21,0.255,0.008051,0.051008,0.6497,596
MS,macro_inflation_fwd_zscore,21,0.2399,0.003045,0.051008,0.6497,596
MS,tech_MACD_hist,21,0.2232,0.001895,0.051008,0.6497,596
MS,mom21_SPY,21,0.193,0.007603,0.051008,0.6497,596
MS,mom21_USO,21,0.1846,0.001129,0.051008,0.6497,596
MS,vol_regime_zscore,21,0.1628,0.001794,0.051008,0.6497,596
MS,event_cpi_gravity,21,0.1527,0.001811,0.051008,0.6497,596
MS,corr_sector_21d,21,0.1393,0.001268,0.051008,0.6497,596
MS,put_call_skew_30d,21,0.1326,0.003529,0.051008,0.6497,596
MS,vrp_wedge,21,0.1326,0.000923,0.051008,0.6497,596
MS,vol_of_vol,21,0.1292,0.000693,0.051008,0.6497,596
MS,macro_yield_curve_slope,21,0.104,0.008013,0.051008,0.6497,596
MS,vol_vel,21,0.104,0.000724,0.051008,0.6497,596
MS,mom21_HYG,21,0.0906,0.002865,0.051008,0.6497,596
MS,macro_breakeven_5y,21,0.0889,0.001279,0.051008,0.6497,596
MS,macro_hy_spread_chg_5d,21,0.0822,0.000314,0.051008,0.6497,596
MS,mom21_TLT,21,0.0805,0.000689,0.051008,0.6497,596
MS,event_nfp_gravity,21,0.0772,0.001801,0.051008,0.6497,596
MS,garch_cond_vol,21,0.0772,0.000427,0.051008,0.6497,596
MS,rv_10d,21,0.0755,0.000685,0.051008,0.6497,596
MS,event_fed_gravity,21,0.0738,0.004507,0.051008,0.6497,596
MS,tech_RSI,21,0.0671,0.001228,0.051008,0.6497,596
MS,sector_wedge,21,0.0604,0.000455,0.051008,0.6497,596
MS,ret_SPY,21,0.0587,0.000285,0.051008,0.6497,596
MS,beta_spy,21,0.0554,0.002848,0.051008,0.6497,596
MS,ret_UUP,21,0.047,0.000228,0.051008,0.6497,596
MS,ret_USO,21,0.0453,7.9e-05,0.051008,0.6497,596
MS,rv_63d,21,0.0419,0.000294,0.051008,0.6497,596
MS,res_vol_vel,21,0.0185,0.000265,0.051008,0.6497,596
MS,ret_HYG,21,0.0185,0.000107,0.051008,0.6497,596
MS,rv_126d,21,0.0168,0.007367,0.051008,0.6497,596
MS,vol_chg_21d,21,0.0168,0.000511,0.051008,0.6497,596
MS,ret_TLT,21,0.0151,7.6e-05,0.051008,0.6497,596
MS,macro_dollar_ret,21,0.0067,3e-05,0.051008,0.6497,596
MS,ret_TARGET,21,0.0067,2.9e-05,0.051008,0.6497,596
MS,ret_VIXY,21,0.0067,1e-05,0.051008,0.6497,596
MS,event_div_gravity,21,0.0,0.0,0.051008,0.6497,596
MS,event_earn_gravity,21,0.0,0.0,0.051008,0.6497,596
MS,ewma_vol,63,0.9832,0.04228,0.101093,0.6332,596
MS,macro_hy_spread,63,0.8725,0.040664,0.101093,0.6332,596
MS,price_regime,63,0.7869,0.038201,0.101093,0.6332,596
MS,iv_atm_z_score,63,0.6795,0.026929,0.101093,0.6332,596
MS,res_vol,63,0.5956,0.029334,0.101093,0.6332,596
MS,garch_cond_vol,63,0.5923,0.006994,0.101093,0.6332,596
MS,macro_inflation_fwd_abs_chg_21d,63,0.4564,0.009024,0.101093,0.6332,596
MS,mom21_USO,63,0.2399,0.003847,0.101093,0.6332,596
MS,vol_chg_21d,63,0.2399,0.003197,0.101093,0.6332,596
MS,macro_inflation_fwd_5y5y,63,0.2383,0.007473,0.101093,0.6332,596
MS,corr_sector_252d,63,0.1896,0.005397,0.101093,0.6332,596
MS,mom21_UUP,63,0.1846,0.00262,0.101093,0.6332,596
MS,macro_breakeven_5y,63,0.1493,0.002373,0.101093,0.6332,596
MS,res_vol_vel,63,0.1477,0.000467,0.101093,0.6332,596
MS,event_cpi_gravity,63,0.1426,0.003299,0.101093,0.6332,596
MS,macro_inflation_fwd_zscore,63,0.1393,0.001226,0.101093,0.6332,596
MS,macro_hy_spread_chg_5d,63,0.1359,0.000416,0.101093,0.6332,596
MS,macro_inflation_fwd_chg_63d,63,0.1258,0.001133,0.101093,0.6332,596
MS,vol_regime_zscore,63,0.104,0.000888,0.101093,0.6332,596
MS,beta_spy,63,0.099,0.002034,0.101093,0.6332,596
MS,corr_sector_21d,63,0.099,0.001166,0.101093,0.6332,596
MS,event_fed_gravity,63,0.099,0.007868,0.101093,0.6332,596
MS,vol_of_vol,63,0.0973,0.000417,0.101093,0.6332,596
MS,macro_inflation_fwd_chg_21d,63,0.0956,0.001237,0.101093,0.6332,596
MS,rv_10d,63,0.0923,0.000611,0.101093,0.6332,596
MS,mom21_HYG,63,0.0839,0.000719,0.101093,0.6332,596
MS,macro_yield_curve_slope,63,0.0822,0.004258,0.101093,0.6332,596
MS,mom21_TLT,63,0.0789,0.001135,0.101093,0.6332,596
MS,vrp_wedge,63,0.0638,0.001239,0.101093,0.6332,596
MS,event_nfp_gravity,63,0.0537,0.001768,0.101093,0.6332,596
MS,mom21_VIXY,63,0.0487,0.000208,0.101093,0.6332,596
MS,ret_HYG,63,0.047,9.2e-05,0.101093,0.6332,596
MS,rv_5d,63,0.0419,0.000146,0.101093,0.6332,596
MS,sector_wedge,63,0.0235,0.000118,0.101093,0.6332,596
MS,tech_RSI,63,0.0185,0.000187,0.101093,0.6332,596
MS,tech_MACD_hist,63,0.0168,0.000272,0.101093,0.6332,596
MS,vol_vel,63,0.0168,9.7e-05,0.101093,0.6332,596
MS,ret_USO,63,0.0151,7.2e-05,0.101093,0.6332,596
MS,rv_126d,63,0.0151,0.005855,0.101093,0.6332,596
MS,ret_SPY,63,0.0134,0.000248,0.101093,0.6332,596
MS,ret_TARGET,63,0.0134,5.9e-05,0.101093,0.6332,596
MS,ret_UUP,63,0.0134,0.00012,0.101093,0.6332,596
MS,ret_VIXY,63,0.0134,0.000146,0.101093,0.6332,596
MS,rv_21d,63,0.0134,0.000345,0.101093,0.6332,596
MS,ret_TLT,63,0.0117,1.8e-05,0.101093,0.6332,596
MS,rv_63d,63,0.0117,0.000379,0.101093,0.6332,596
MS,macro_dollar_ret,63,0.0101,1.5e-05,0.101093,0.6332,596
MS,mom21_SPY,63,0.0101,0.00027,0.101093,0.6332,596
MS,put_call_skew_30d,63,0.0101,0.000144,0.101093,0.6332,596
MS,term_structure_slope,63,0.0101,0.000138,0.101093,0.6332,596
MS,event_div_gravity,63,0.0,0.0,0.101093,0.6332,596
MS,event_earn_gravity,63,0.0,0.0,0.101093,0.6332,596
MS,price_regime,126,0.7601,0.085078,0.063651,0.7295,596
