ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
MU,macro_hy_spread,21,0.7903,0.033283,0.070133,0.6631,596
MU,rv_21d,21,0.7366,0.021444,0.070133,0.6631,596
MU,price_regime,21,0.693,0.030846,0.070133,0.6631,596
MU,iv_atm_z_score,21,0.6762,0.016776,0.070133,0.6631,596
MU,macro_inflation_fwd_abs_chg_21d,21,0.651,0.006021,0.070133,0.6631,596
MU,garch_cond_vol,21,0.5805,0.011305,0.070133,0.6631,596
MU,vrp_wedge,21,0.5688,0.014015,0.070133,0.6631,596
MU,rv_5d,21,0.552,0.006081,0.070133,0.6631,596
MU,rv_10d,21,0.5336,0.004868,0.070133,0.6631,596
MU,tech_MACD_hist,21,0.5235,0.007117,0.070133,0.6631,596
MU,res_vol,21,0.5151,0.008645,0.070133,0.6631,596
MU,term_structure_slope,21,0.4933,0.003591,0.070133,0.6631,596
MU,macro_inflation_fwd_chg_63d,21,0.4211,0.007879,0.070133,0.6631,596
MU,mom21_VIXY,21,0.3574,0.002711,0.070133,0.6631,596
MU,corr_sector_21d,21,0.354,0.003009,0.070133,0.6631,596
MU,ewma_vol,21,0.3238,0.001706,0.070133,0.6631,596
MU,macro_yield_curve_slope,21,0.2785,0.004817,0.070133,0.6631,596
MU,corr_sector_252d,21,0.2651,0.003804,0.070133,0.6631,596
MU,ret_VIXY,21,0.2148,0.0005,0.070133,0.6631,596
MU,rv_63d,21,0.1745,0.002469,0.070133,0.6631,596
MU,vol_regime_zscore,21,0.1711,0.002116,0.070133,0.6631,596
MU,vol_chg_21d,21,0.1678,0.002054,0.070133,0.6631,596
MU,macro_breakeven_5y,21,0.1661,0.001429,0.070133,0.6631,596
MU,res_vol_vel,21,0.1225,0.000593,0.070133,0.6631,596
MU,mom21_SPY,21,0.1007,0.000464,0.070133,0.6631,596
MU,mom21_TLT,21,0.0973,0.000294,0.070133,0.6631,596
MU,macro_inflation_fwd_5y5y,21,0.0789,0.000767,0.070133,0.6631,596
MU,vol_of_vol,21,0.0721,0.000223,0.070133,0.6631,596
MU,beta_spy,21,0.0654,0.000381,0.070133,0.6631,596
MU,mom21_HYG,21,0.0587,0.000425,0.070133,0.6631,596
MU,macro_hy_spread_chg_5d,21,0.0537,0.000126,0.070133,0.6631,596
MU,event_cpi_gravity,21,0.0487,0.000696,0.070133,0.6631,596
MU,tech_RSI,21,0.0352,0.000369,0.070133,0.6631,596
MU,macro_inflation_fwd_zscore,21,0.0319,9.1e-05,0.070133,0.6631,596
MU,mom21_USO,21,0.0319,0.000209,0.070133,0.6631,596
MU,event_nfp_gravity,21,0.0285,0.000621,0.070133,0.6631,596
MU,sector_wedge,21,0.0252,6e-05,0.070133,0.6631,596
MU,event_fed_gravity,21,0.0201,0.000579,0.070133,0.6631,596
MU,rv_126d,21,0.0134,7.4e-05,0.070133,0.6631,596
MU,ret_SPY,21,0.0117,2.8e-05,0.070133,0.6631,596
MU,macro_inflation_fwd_chg_21d,21,0.0101,1.2e-05,0.070133,0.6631,596
MU,ret_TLT,21,0.0084,4e-06,0.070133,0.6631,596
MU,event_div_gravity,21,0.0,0.0,0.070133,0.6631,596
MU,event_earn_gravity,21,0.0,0.0,0.070133,0.6631,596
MU,macro_dollar_ret,21,0.0,0.0,0.070133,0.6631,596
MU,mom21_UUP,21,0.0,0.0,0.070133,0.6631,596
MU,put_call_skew_30d,21,0.0,0.0,0.070133,0.6631,596
MU,ret_HYG,21,0.0,0.0,0.070133,0.6631,596
MU,ret_TARGET,21,0.0,0.0,0.070133,0.6631,596
MU,ret_USO,21,0.0,0.0,0.070133,0.6631,596
MU,ret_UUP,21,0.0,0.0,0.070133,0.6631,596
MU,vol_vel,21,0.0,0.0,0.070133,0.6631,596
MU,garch_cond_vol,63,0.9614,0.028204,0.046847,0.7678,596
MU,iv_atm_z_score,63,0.8607,0.027803,0.046847,0.7678,596
MU,macro_inflation_fwd_abs_chg_21d,63,0.7852,0.011682,0.046847,0.7678,596
MU,price_regime,63,0.7852,0.04295,0.046847,0.7678,596
MU,macro_hy_spread,63,0.6728,0.015144,0.046847,0.7678,596
MU,mom21_VIXY,63,0.5285,0.00493,0.046847,0.7678,596
MU,corr_sector_252d,63,0.4044,0.008954,0.046847,0.7678,596
MU,macro_inflation_fwd_chg_63d,63,0.3154,0.006019,0.046847,0.7678,596
MU,beta_spy,63,0.2936,0.002071,0.046847,0.7678,596
MU,res_vol,63,0.2534,0.004924,0.046847,0.7678,596
MU,macro_yield_curve_slope,63,0.2399,0.00484,0.046847,0.7678,596
MU,vrp_wedge,63,0.2399,0.001614,0.046847,0.7678,596
MU,ewma_vol,63,0.198,0.00224,0.046847,0.7678,596
MU,tech_RSI,63,0.1812,0.001091,0.046847,0.7678,596
MU,mom21_HYG,63,0.1594,0.000763,0.046847,0.7678,596
MU,event_nfp_gravity,63,0.1191,0.00203,0.046847,0.7678,596
MU,event_fed_gravity,63,0.099,0.006548,0.046847,0.7678,596
MU,event_cpi_gravity,63,0.094,0.001199,0.046847,0.7678,596
MU,corr_sector_21d,63,0.0923,0.000391,0.046847,0.7678,596
MU,rv_10d,63,0.0856,0.00069,0.046847,0.7678,596
MU,sector_wedge,63,0.0856,0.000152,0.046847,0.7678,596
MU,macro_breakeven_5y,63,0.0705,0.001948,0.046847,0.7678,596
MU,macro_inflation_fwd_zscore,63,0.0688,0.000724,0.046847,0.7678,596
MU,tech_MACD_hist,63,0.057,0.0004,0.046847,0.7678,596
MU,mom21_TLT,63,0.052,0.000858,0.046847,0.7678,596
MU,res_vol_vel,63,0.0503,0.000556,0.046847,0.7678,596
MU,mom21_USO,63,0.047,0.000705,0.046847,0.7678,596
MU,put_call_skew_30d,63,0.0453,0.000269,0.046847,0.7678,596
MU,vol_chg_21d,63,0.0453,0.000279,0.046847,0.7678,596
MU,rv_126d,63,0.0436,0.005045,0.046847,0.7678,596
MU,vol_of_vol,63,0.0419,0.000289,0.046847,0.7678,596
MU,macro_inflation_fwd_5y5y,63,0.0386,0.001196,0.046847,0.7678,596
MU,mom21_SPY,63,0.0386,0.001019,0.046847,0.7678,596
MU,vol_regime_zscore,63,0.0352,0.000451,0.046847,0.7678,596
MU,macro_hy_spread_chg_5d,63,0.0336,0.000153,0.046847,0.7678,596
MU,rv_63d,63,0.0285,0.000697,0.046847,0.7678,596
MU,rv_21d,63,0.0235,9.6e-05,0.046847,0.7678,596
MU,ret_VIXY,63,0.0168,1.1e-05,0.046847,0.7678,596
MU,macro_dollar_ret,63,0.0151,6.6e-05,0.046847,0.7678,596
MU,mom21_UUP,63,0.0151,8.3e-05,0.046847,0.7678,596
MU,ret_TARGET,63,0.0151,5.6e-05,0.046847,0.7678,596
MU,ret_USO,63,0.0151,6.9e-05,0.046847,0.7678,596
MU,ret_UUP,63,0.0151,3.7e-05,0.046847,0.7678,596
MU,macro_inflation_fwd_chg_21d,63,0.0134,0.00017,0.046847,0.7678,596
MU,rv_5d,63,0.0134,0.000188,0.046847,0.7678,596
MU,vol_vel,63,0.0134,8.5e-05,0.046847,0.7678,596
MU,ret_HYG,63,0.0117,3.4e-05,0.046847,0.7678,596
MU,ret_SPY,63,0.0101,3.2e-05,0.046847,0.7678,596
MU,ret_TLT,63,0.0084,9e-06,0.046847,0.7678,596
MU,term_structure_slope,63,0.0084,3.7e-05,0.046847,0.7678,596
MU,event_div_gravity,63,0.0,0.0,0.046847,0.7678,596
MU,event_earn_gravity,63,0.0,0.0,0.046847,0.7678,596
MU,price_regime,126,0.6779,0.044662,0.045102,0.7054,596
MU,garch_cond_vol,126,0.6728,0.015538,0.045102,0.7054,596
MU,iv_atm_z_score,126,0.6678,0.012832,0.045102,0.7054,596
MU,macro_inflation_fwd_abs_chg_21d,126,0.646,0.009829,0.045102,0.7054,596
MU,macro_yield_curve_slope,126,0.6057,0.027877,0.045102,0.7054,596
MU,corr_sector_252d,126,0.6007,0.020017,0.045102,0.7054,596
MU,tech_RSI,126,0.5151,0.011364,0.045102,0.7054,596
MU,sector_wedge,126,0.4732,0.014614,0.045102,0.7054,596
MU,beta_spy,126,0.4614,0.006575,0.045102,0.7054,596
MU,macro_inflation_fwd_chg_63d,126,0.443,0.005243,0.045102,0.7054,596
MU,res_vol,126,0.4362,0.010549,0.045102,0.7054,596
MU,mom21_TLT,126,0.4279,0.006335,0.045102,0.7054,596
MU,macro_breakeven_5y,126,0.4195,0.011421,0.045102,0.7054,596
MU,tech_MACD_hist,126,0.4195,0.00551,0.045102,0.7054,596
MU,corr_sector_21d,126,0.3809,0.014617,0.045102,0.7054,596
MU,macro_hy_spread_chg_5d,126,0.3674,0.001367,0.045102,0.7054,596
MU,put_call_skew_30d,126,0.3641,0.002276,0.045102,0.7054,596
MU,vol_regime_zscore,126,0.3507,0.005731,0.045102,0.7054,596
MU,mom21_UUP,126,0.349,0.003665,0.045102,0.7054,596
MU,res_vol_vel,126,0.3272,0.002595,0.045102,0.7054,596
MU,mom21_VIXY,126,0.3255,0.001079,0.045102,0.7054,596
MU,mom21_HYG,126,0.3188,0.003563,0.045102,0.7054,596
MU,mom21_USO,126,0.2869,0.001979,0.045102,0.7054,596
MU,vol_of_vol,126,0.2852,0.001398,0.045102,0.7054,596
MU,vrp_wedge,126,0.2685,0.006046,0.045102,0.7054,596
MU,macro_inflation_fwd_zscore,126,0.2651,0.009415,0.045102,0.7054,596
MU,rv_10d,126,0.2483,0.003059,0.045102,0.7054,596
MU,event_fed_gravity,126,0.2315,0.006315,0.045102,0.7054,596
MU,mom21_SPY,126,0.2232,0.001694,0.045102,0.7054,596
MU,macro_inflation_fwd_chg_21d,126,0.2215,0.001031,0.045102,0.7054,596
MU,event_cpi_gravity,126,0.1997,0.001308,0.045102,0.7054,596
MU,vol_chg_21d,126,0.1997,0.001857,0.045102,0.7054,596
MU,macro_hy_spread,126,0.1846,0.006137,0.045102,0.7054,596
MU,vol_vel,126,0.1745,0.000595,0.045102,0.7054,596
MU,ret_TLT,126,0.1678,0.000102,0.045102,0.7054,596
MU,rv_126d,126,0.1678,0.007999,0.045102,0.7054,596
MU,ret_HYG,126,0.1661,0.000245,0.045102,0.7054,596
MU,rv_21d,126,0.1527,0.00731,0.045102,0.7054,596
MU,event_nfp_gravity,126,0.151,0.002426,0.045102,0.7054,596
MU,macro_inflation_fwd_5y5y,126,0.1409,0.004232,0.045102,0.7054,596
MU,ewma_vol,126,0.1393,0.000337,0.045102,0.7054,596
MU,ret_UUP,126,0.1359,0.000136,0.045102,0.7054,596
MU,ret_SPY,126,0.1292,0.000212,0.045102,0.7054,596
MU,rv_5d,126,0.1158,0.000482,0.045102,0.7054,596
MU,ret_TARGET,126,0.1057,0.000113,0.045102,0.7054,596
MU,ret_USO,126,0.0956,5.8e-05,0.045102,0.7054,596
MU,term_structure_slope,126,0.094,0.00216,0.045102,0.7054,596
MU,macro_dollar_ret,126,0.0755,5.5e-05,0.045102,0.7054,596
