ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
NKE,put_call_skew_30d,21,0.7366,0.022573,0.111267,0.6852,596
NKE,mom21_VIXY,21,0.5906,0.023768,0.111267,0.6852,596
NKE,iv_atm_z_score,21,0.5101,0.012682,0.111267,0.6852,596
NKE,corr_sector_252d,21,0.4832,0.010812,0.111267,0.6852,596
NKE,macro_hy_spread,21,0.4346,0.009729,0.111267,0.6852,596
NKE,rv_63d,21,0.2685,0.003468,0.111267,0.6852,596
NKE,macro_inflation_fwd_chg_63d,21,0.2584,0.004838,0.111267,0.6852,596
NKE,ewma_vol,21,0.2148,0.002269,0.111267,0.6852,596
NKE,rv_5d,21,0.1846,0.005123,0.111267,0.6852,596
NKE,corr_sector_21d,21,0.1762,0.003478,0.111267,0.6852,596
NKE,macro_hy_spread_chg_5d,21,0.1762,0.001047,0.111267,0.6852,596
NKE,macro_inflation_fwd_abs_chg_21d,21,0.1745,0.002078,0.111267,0.6852,596
NKE,macro_inflation_fwd_5y5y,21,0.1711,0.001184,0.111267,0.6852,596
NKE,rv_126d,21,0.1577,0.001316,0.111267,0.6852,596
NKE,rv_21d,21,0.156,0.0037,0.111267,0.6852,596
NKE,rv_10d,21,0.1544,0.000866,0.111267,0.6852,596
NKE,beta_spy,21,0.1326,0.01178,0.111267,0.6852,596
NKE,vrp_wedge,21,0.1309,0.004593,0.111267,0.6852,596
NKE,term_structure_slope,21,0.1258,0.000838,0.111267,0.6852,596
NKE,macro_breakeven_5y,21,0.0721,0.002222,0.111267,0.6852,596
NKE,vol_regime_zscore,21,0.0721,0.001157,0.111267,0.6852,596
NKE,tech_RSI,21,0.0671,0.000264,0.111267,0.6852,596
NKE,mom21_HYG,21,0.0621,0.00022,0.111267,0.6852,596
NKE,res_vol,21,0.0554,0.000433,0.111267,0.6852,596
NKE,mom21_TLT,21,0.0503,0.000299,0.111267,0.6852,596
NKE,ret_VIXY,21,0.0487,0.000138,0.111267,0.6852,596
NKE,tech_MACD_hist,21,0.0436,0.000417,0.111267,0.6852,596
NKE,mom21_USO,21,0.0369,0.000708,0.111267,0.6852,596
NKE,event_fed_gravity,21,0.0352,0.000442,0.111267,0.6852,596
NKE,sector_wedge,21,0.0319,6.1e-05,0.111267,0.6852,596
NKE,garch_cond_vol,21,0.0268,0.000131,0.111267,0.6852,596
NKE,macro_yield_curve_slope,21,0.0268,0.000209,0.111267,0.6852,596
NKE,vol_of_vol,21,0.0268,0.00018,0.111267,0.6852,596
NKE,event_cpi_gravity,21,0.0101,7.9e-05,0.111267,0.6852,596
NKE,event_nfp_gravity,21,0.0084,3.7e-05,0.111267,0.6852,596
NKE,event_div_gravity,21,0.0,0.0,0.111267,0.6852,596
