ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
NVDA,garch_cond_vol,21,0.9916,0.061673,0.035455,0.6812,596
NVDA,iv_atm_z_score,21,0.9195,0.035644,0.035455,0.6812,596
NVDA,price_regime,21,0.8104,0.03823,0.035455,0.6812,596
NVDA,rv_21d,21,0.7232,0.02501,0.035455,0.6812,596
NVDA,macro_inflation_fwd_abs_chg_21d,21,0.6829,0.005473,0.035455,0.6812,596
NVDA,beta_spy,21,0.6577,0.020181,0.035455,0.6812,596
NVDA,macro_inflation_fwd_chg_63d,21,0.6544,0.022091,0.035455,0.6812,596
NVDA,term_structure_slope,21,0.5906,0.010329,0.035455,0.6812,596
NVDA,res_vol,21,0.5856,0.019717,0.035455,0.6812,596
NVDA,vol_regime_zscore,21,0.5436,0.016964,0.035455,0.6812,596
NVDA,corr_sector_252d,21,0.5268,0.021574,0.035455,0.6812,596
NVDA,macro_yield_curve_slope,21,0.3943,0.005983,0.035455,0.6812,596
NVDA,rv_126d,21,0.3523,0.012891,0.035455,0.6812,596
NVDA,vrp_wedge,21,0.349,0.009993,0.035455,0.6812,596
NVDA,event_fed_gravity,21,0.3138,0.008045,0.035455,0.6812,596
NVDA,macro_hy_spread_chg_5d,21,0.3037,0.001482,0.035455,0.6812,596
NVDA,macro_breakeven_5y,21,0.297,0.005764,0.035455,0.6812,596
NVDA,mom21_TLT,21,0.2836,0.002351,0.035455,0.6812,596
NVDA,mom21_UUP,21,0.2483,0.001956,0.035455,0.6812,596
NVDA,ewma_vol,21,0.2466,0.007061,0.035455,0.6812,596
NVDA,rv_5d,21,0.198,0.001883,0.035455,0.6812,596
NVDA,event_cpi_gravity,21,0.1913,0.004056,0.035455,0.6812,596
NVDA,corr_sector_21d,21,0.1862,0.001028,0.035455,0.6812,596
NVDA,mom21_SPY,21,0.1862,0.001685,0.035455,0.6812,596
NVDA,res_vol_vel,21,0.1795,0.001087,0.035455,0.6812,596
NVDA,macro_inflation_fwd_chg_21d,21,0.1695,0.001164,0.035455,0.6812,596
NVDA,event_nfp_gravity,21,0.1661,0.002776,0.035455,0.6812,596
NVDA,tech_MACD_hist,21,0.1644,0.000665,0.035455,0.6812,596
NVDA,tech_RSI,21,0.151,0.001132,0.035455,0.6812,596
NVDA,put_call_skew_30d,21,0.1376,0.000745,0.035455,0.6812,596
NVDA,sector_wedge,21,0.1376,0.001329,0.035455,0.6812,596
NVDA,rv_10d,21,0.1309,0.000526,0.035455,0.6812,596
NVDA,ret_SPY,21,0.1158,0.000123,0.035455,0.6812,596
NVDA,ret_TLT,21,0.0973,0.000193,0.035455,0.6812,596
NVDA,macro_inflation_fwd_zscore,21,0.0872,0.000769,0.035455,0.6812,596
NVDA,ret_HYG,21,0.0822,0.000187,0.035455,0.6812,596
NVDA,mom21_USO,21,0.0755,0.000844,0.035455,0.6812,596
NVDA,macro_hy_spread,21,0.0721,0.000273,0.035455,0.6812,596
NVDA,mom21_HYG,21,0.0721,0.000299,0.035455,0.6812,596
NVDA,ret_UUP,21,0.0688,8.3e-05,0.035455,0.6812,596
NVDA,ret_VIXY,21,0.0604,0.000151,0.035455,0.6812,596
NVDA,vol_of_vol,21,0.0604,0.000692,0.035455,0.6812,596
NVDA,vol_vel,21,0.057,7.4e-05,0.035455,0.6812,596
NVDA,macro_inflation_fwd_5y5y,21,0.0503,9.1e-05,0.035455,0.6812,596
NVDA,mom21_VIXY,21,0.0419,8.6e-05,0.035455,0.6812,596
NVDA,rv_63d,21,0.0302,0.000191,0.035455,0.6812,596
NVDA,ret_USO,21,0.0285,2.2e-05,0.035455,0.6812,596
NVDA,vol_chg_21d,21,0.0235,0.000183,0.035455,0.6812,596
NVDA,macro_dollar_ret,21,0.005,0.0,0.035455,0.6812,596
NVDA,event_div_gravity,21,0.0,0.0,0.035455,0.6812,596
NVDA,event_earn_gravity,21,0.0,0.0,0.035455,0.6812,596
NVDA,ret_TARGET,21,0.0,0.0,0.035455,0.6812,596
NVDA,ewma_vol,63,0.8507,0.012003,0.061699,0.6057,596
