ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
PG,iv_atm_z_score,21,0.8255,0.048715,0.076422,0.7144,596
PG,rv_21d,21,0.6292,0.011192,0.076422,0.7144,596
PG,rv_63d,21,0.5772,0.020847,0.076422,0.7144,596
PG,term_structure_slope,21,0.4581,0.006315,0.076422,0.7144,596
PG,macro_inflation_fwd_chg_63d,21,0.4111,0.008209,0.076422,0.7144,596
PG,mom21_USO,21,0.4044,0.003785,0.076422,0.7144,596
PG,macro_inflation_fwd_zscore,21,0.3742,0.005106,0.076422,0.7144,596
PG,macro_inflation_fwd_abs_chg_21d,21,0.3674,0.00367,0.076422,0.7144,596
PG,put_call_skew_30d,21,0.3305,0.0028,0.076422,0.7144,596
PG,ewma_vol,21,0.2836,0.00343,0.076422,0.7144,596
PG,macro_breakeven_5y,21,0.2433,0.004659,0.076422,0.7144,596
PG,macro_hy_spread,21,0.2215,0.002243,0.076422,0.7144,596
PG,macro_yield_curve_slope,21,0.2064,0.00507,0.076422,0.7144,596
PG,price_regime,21,0.1812,0.001194,0.076422,0.7144,596
PG,rv_5d,21,0.1745,0.00525,0.076422,0.7144,596
PG,tech_MACD_hist,21,0.1728,0.002057,0.076422,0.7144,596
PG,beta_spy,21,0.1711,0.001212,0.076422,0.7144,596
PG,macro_hy_spread_chg_5d,21,0.1661,0.000829,0.076422,0.7144,596
PG,vrp_wedge,21,0.1594,0.004804,0.076422,0.7144,596
PG,rv_126d,21,0.1527,0.002179,0.076422,0.7144,596
PG,corr_sector_252d,21,0.1493,0.001202,0.076422,0.7144,596
PG,vol_of_vol,21,0.1477,0.001269,0.076422,0.7144,596
PG,vol_regime_zscore,21,0.1409,0.001768,0.076422,0.7144,596
PG,rv_10d,21,0.1309,0.001439,0.076422,0.7144,596
PG,res_vol,21,0.1258,0.00263,0.076422,0.7144,596
PG,mom21_HYG,21,0.0822,0.000669,0.076422,0.7144,596
PG,ret_VIXY,21,0.0738,0.000137,0.076422,0.7144,596
PG,macro_inflation_fwd_5y5y,21,0.0302,0.000332,0.076422,0.7144,596
PG,macro_inflation_fwd_chg_21d,21,0.0268,1.7e-05,0.076422,0.7144,596
PG,tech_RSI,21,0.0268,4.7e-05,0.076422,0.7144,596
PG,mom21_VIXY,21,0.0218,2.8e-05,0.076422,0.7144,596
PG,event_cpi_gravity,21,0.0134,0.000122,0.076422,0.7144,596
PG,event_nfp_gravity,21,0.0134,0.000129,0.076422,0.7144,596
