ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
PSX,beta_spy,21,0.892,0.032293,0.021904,0.6621,528
PSX,mom21_UUP,21,0.839,0.014952,0.021904,0.6621,528
PSX,macro_inflation_fwd_abs_chg_21d,21,0.8258,0.018382,0.021904,0.6621,528
PSX,iv_atm_z_score,21,0.8201,0.043913,0.021904,0.6621,528
PSX,sector_wedge,21,0.8201,0.020075,0.021904,0.6621,528
PSX,macro_inflation_fwd_5y5y,21,0.8087,0.070612,0.021904,0.6621,528
PSX,macro_hy_spread,21,0.803,0.076096,0.021904,0.6621,528
PSX,mom21_USO,21,0.7765,0.016808,0.021904,0.6621,528
PSX,macro_inflation_fwd_chg_21d,21,0.6875,0.007003,0.021904,0.6621,528
PSX,res_vol_vel,21,0.6402,0.008541,0.021904,0.6621,528
PSX,tech_MACD_hist,21,0.6155,0.008889,0.021904,0.6621,528
PSX,rv_63d,21,0.5777,0.017843,0.021904,0.6621,528
PSX,rv_126d,21,0.5758,0.027132,0.021904,0.6621,528
PSX,ewma_vol,21,0.5682,0.013149,0.021904,0.6621,528
PSX,mom21_HYG,21,0.5133,0.005684,0.021904,0.6621,528
PSX,rv_21d,21,0.4697,0.016577,0.021904,0.6621,528
PSX,macro_hy_spread_chg_5d,21,0.4223,0.004477,0.021904,0.6621,528
PSX,macro_inflation_fwd_zscore,21,0.4223,0.016653,0.021904,0.6621,528
PSX,vol_of_vol,21,0.3996,0.0038,0.021904,0.6621,528
PSX,mom21_TLT,21,0.3807,0.005106,0.021904,0.6621,528
PSX,macro_inflation_fwd_chg_63d,21,0.3617,0.005585,0.021904,0.6621,528
PSX,tech_RSI,21,0.3617,0.002539,0.021904,0.6621,528
PSX,mom21_SPY,21,0.3598,0.00694,0.021904,0.6621,528
PSX,corr_sector_252d,21,0.358,0.010767,0.021904,0.6621,528
PSX,rv_5d,21,0.358,0.00619,0.021904,0.6621,528
PSX,res_vol,21,0.3428,0.012536,0.021904,0.6621,528
PSX,event_cpi_gravity,21,0.3163,0.001164,0.021904,0.6621,528
PSX,vrp_wedge,21,0.3011,0.00736,0.021904,0.6621,528
PSX,macro_breakeven_5y,21,0.2973,0.009602,0.021904,0.6621,528
PSX,macro_yield_curve_slope,21,0.2955,0.005313,0.021904,0.6621,528
PSX,put_call_skew_30d,21,0.286,0.004628,0.021904,0.6621,528
PSX,ret_SPY,21,0.2841,0.001782,0.021904,0.6621,528
PSX,vol_regime_zscore,21,0.2841,0.004783,0.021904,0.6621,528
PSX,corr_sector_21d,21,0.2727,0.008024,0.021904,0.6621,528
PSX,price_regime,21,0.2348,0.003116,0.021904,0.6621,528
PSX,event_fed_gravity,21,0.2292,0.002492,0.021904,0.6621,528
