ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
RTX,macro_hy_spread,21,0.8939,0.049742,0.030752,0.8091,132
RTX,iv_atm_z_score,21,0.8712,0.02784,0.030752,0.8091,132
RTX,mom21_TLT,21,0.8409,0.048778,0.030752,0.8091,132
RTX,macro_yield_curve_slope,21,0.7803,0.031112,0.030752,0.8091,132
RTX,garch_cond_vol,21,0.7348,0.028543,0.030752,0.8091,132
RTX,macro_inflation_fwd_5y5y,21,0.6818,0.031614,0.030752,0.8091,132
RTX,rv_126d,21,0.6591,0.018974,0.030752,0.8091,132
RTX,res_vol,21,0.6439,0.02217,0.030752,0.8091,132
RTX,vol_chg_21d,21,0.6288,0.015142,0.030752,0.8091,132
RTX,term_structure_slope,21,0.6136,0.010565,0.030752,0.8091,132
RTX,res_vol_vel,21,0.5455,0.009142,0.030752,0.8091,132
RTX,sector_wedge,21,0.5152,0.030655,0.030752,0.8091,132
RTX,mom21_UUP,21,0.4773,0.006992,0.030752,0.8091,132
RTX,event_fed_gravity,21,0.4394,0.00179,0.030752,0.8091,132
RTX,macro_breakeven_5y,21,0.4394,0.034274,0.030752,0.8091,132
RTX,tech_MACD_hist,21,0.4242,0.015336,0.030752,0.8091,132
RTX,corr_sector_21d,21,0.4167,0.012024,0.030752,0.8091,132
RTX,macro_dollar_ret,21,0.4167,0.002543,0.030752,0.8091,132
RTX,rv_5d,21,0.4091,0.009131,0.030752,0.8091,132
RTX,vrp_wedge,21,0.4091,0.012057,0.030752,0.8091,132
RTX,mom21_SPY,21,0.4015,0.011431,0.030752,0.8091,132
RTX,rv_63d,21,0.3939,0.01424,0.030752,0.8091,132
RTX,event_nfp_gravity,21,0.3864,0.001607,0.030752,0.8091,132
RTX,corr_sector_252d,21,0.3788,0.006772,0.030752,0.8091,132
RTX,macro_inflation_fwd_zscore,21,0.3788,0.018217,0.030752,0.8091,132
RTX,beta_spy,21,0.3561,0.005324,0.030752,0.8091,132
RTX,ret_HYG,21,0.3561,0.003051,0.030752,0.8091,132
RTX,macro_inflation_fwd_abs_chg_21d,21,0.3485,0.004409,0.030752,0.8091,132
RTX,macro_inflation_fwd_chg_21d,21,0.3485,0.003558,0.030752,0.8091,132
RTX,mom21_VIXY,21,0.3485,0.0055,0.030752,0.8091,132
RTX,ret_USO,21,0.3485,0.001346,0.030752,0.8091,132
RTX,price_regime,21,0.3409,0.003758,0.030752,0.8091,132
RTX,ret_UUP,21,0.3409,0.000879,0.030752,0.8091,132
RTX,ewma_vol,21,0.3333,0.004517,0.030752,0.8091,132
RTX,mom21_USO,21,0.3333,0.005215,0.030752,0.8091,132
RTX,vol_of_vol,21,0.3333,0.009253,0.030752,0.8091,132
RTX,ret_TARGET,21,0.3258,0.001896,0.030752,0.8091,132
RTX,put_call_skew_30d,21,0.3182,0.00358,0.030752,0.8091,132
RTX,vol_vel,21,0.303,0.005161,0.030752,0.8091,132
RTX,macro_hy_spread_chg_5d,21,0.2879,0.000771,0.030752,0.8091,132
RTX,tech_RSI,21,0.2879,0.00497,0.030752,0.8091,132
RTX,macro_inflation_fwd_chg_63d,21,0.2803,0.00586,0.030752,0.8091,132
RTX,ret_SPY,21,0.2803,0.001167,0.030752,0.8091,132
RTX,vol_regime_zscore,21,0.2652,0.010888,0.030752,0.8091,132
RTX,ret_TLT,21,0.2424,0.000999,0.030752,0.8091,132
RTX,ret_VIXY,21,0.1894,0.000364,0.030752,0.8091,132
RTX,rv_21d,21,0.1667,0.00697,0.030752,0.8091,132
RTX,event_cpi_gravity,21,0.1591,0.000119,0.030752,0.8091,132
RTX,mom21_HYG,21,0.1591,0.001729,0.030752,0.8091,132
RTX,rv_10d,21,0.0985,0.00302,0.030752,0.8091,132
RTX,event_div_gravity,21,0.0,0.0,0.030752,0.8091,132
RTX,event_earn_gravity,21,0.0,0.0,0.030752,0.8091,132
RTX,macro_yield_curve_slope,63,0.803,0.058455,0.052515,0.6712,132
RTX,macro_hy_spread,63,0.7197,0.028184,0.052515,0.6712,132
RTX,res_vol,63,0.6818,0.022291,0.052515,0.6712,132
RTX,rv_63d,63,0.6667,0.020721,0.052515,0.6712,132
RTX,rv_21d,63,0.5833,0.01292,0.052515,0.6712,132
RTX,macro_inflation_fwd_5y5y,63,0.5758,0.018564,0.052515,0.6712,132
RTX,rv_5d,63,0.5758,0.007861,0.052515,0.6712,132
RTX,beta_spy,63,0.5682,0.011938,0.052515,0.6712,132
RTX,garch_cond_vol,63,0.553,0.0266,0.052515,0.6712,132
RTX,vol_chg_21d,63,0.553,0.016039,0.052515,0.6712,132
RTX,mom21_TLT,63,0.5455,0.013328,0.052515,0.6712,132
RTX,term_structure_slope,63,0.5379,0.009946,0.052515,0.6712,132
RTX,vol_of_vol,63,0.5379,0.011355,0.052515,0.6712,132
RTX,iv_atm_z_score,63,0.5227,0.013998,0.052515,0.6712,132
RTX,corr_sector_252d,63,0.5152,0.009705,0.052515,0.6712,132
RTX,mom21_UUP,63,0.5,0.004123,0.052515,0.6712,132
