ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
UPS,rv_5d,21,0.9782,0.020189,0.082121,0.6775,596
UPS,iv_atm_z_score,21,0.8893,0.050109,0.082121,0.6775,596
UPS,rv_21d,21,0.8876,0.031125,0.082121,0.6775,596
UPS,rv_10d,21,0.8356,0.011664,0.082121,0.6775,596
UPS,corr_sector_252d,21,0.5705,0.010674,0.082121,0.6775,596
UPS,put_call_skew_30d,21,0.4849,0.009524,0.082121,0.6775,596
UPS,rv_63d,21,0.4329,0.014176,0.082121,0.6775,596
UPS,macro_hy_spread,21,0.3339,0.004144,0.082121,0.6775,596
UPS,res_vol,21,0.2752,0.006042,0.082121,0.6775,596
UPS,beta_spy,21,0.2617,0.006844,0.082121,0.6775,596
UPS,macro_breakeven_5y,21,0.2466,0.005256,0.082121,0.6775,596
UPS,macro_yield_curve_slope,21,0.2232,0.003967,0.082121,0.6775,596
UPS,rv_126d,21,0.2215,0.008332,0.082121,0.6775,596
UPS,vrp_wedge,21,0.2064,0.006314,0.082121,0.6775,596
UPS,ewma_vol,21,0.198,0.004651,0.082121,0.6775,596
UPS,mom21_USO,21,0.1376,0.000495,0.082121,0.6775,596
UPS,macro_inflation_fwd_chg_63d,21,0.1342,0.00435,0.082121,0.6775,596
UPS,tech_RSI,21,0.1242,0.003906,0.082121,0.6775,596
UPS,macro_inflation_fwd_chg_21d,21,0.1208,0.000813,0.082121,0.6775,596
UPS,vol_chg_21d,21,0.1174,0.003265,0.082121,0.6775,596
UPS,res_vol_vel,21,0.1141,0.002117,0.082121,0.6775,596
UPS,mom21_SPY,21,0.1057,0.004293,0.082121,0.6775,596
UPS,vol_of_vol,21,0.1007,0.001677,0.082121,0.6775,596
UPS,mom21_HYG,21,0.099,0.001582,0.082121,0.6775,596
UPS,event_fed_gravity,21,0.0872,0.001319,0.082121,0.6775,596
UPS,macro_inflation_fwd_zscore,21,0.0856,0.001773,0.082121,0.6775,596
UPS,mom21_VIXY,21,0.0839,0.000479,0.082121,0.6775,596
UPS,corr_sector_21d,21,0.0772,0.000635,0.082121,0.6775,596
UPS,vol_vel,21,0.0772,0.001055,0.082121,0.6775,596
UPS,event_cpi_gravity,21,0.0755,0.000924,0.082121,0.6775,596
UPS,tech_MACD_hist,21,0.0738,0.001084,0.082121,0.6775,596
UPS,vol_regime_zscore,21,0.0738,0.002537,0.082121,0.6775,596
UPS,price_regime,21,0.0688,0.000293,0.082121,0.6775,596
UPS,sector_wedge,21,0.0638,0.001558,0.082121,0.6775,596
UPS,event_nfp_gravity,21,0.0621,0.000809,0.082121,0.6775,596
UPS,macro_hy_spread_chg_5d,21,0.052,0.000484,0.082121,0.6775,596
UPS,macro_inflation_fwd_abs_chg_21d,21,0.0419,0.000102,0.082121,0.6775,596
UPS,ret_USO,21,0.0268,4.4e-05,0.082121,0.6775,596
UPS,macro_dollar_ret,21,0.0252,0.000156,0.082121,0.6775,596
UPS,term_structure_slope,21,0.0252,0.000106,0.082121,0.6775,596
UPS,ret_UUP,21,0.0218,3.3e-05,0.082121,0.6775,596
UPS,macro_inflation_fwd_5y5y,21,0.0101,0.000175,0.082121,0.6775,596
UPS,mom21_UUP,21,0.0017,5e-06,0.082121,0.6775,596
UPS,ret_TARGET,21,0.0017,1e-06,0.082121,0.6775,596
UPS,ret_TLT,21,0.0017,0.0,0.082121,0.6775,596
UPS,ret_VIXY,21,0.0017,5e-06,0.082121,0.6775,596
UPS,event_div_gravity,21,0.0,0.0,0.082121,0.6775,596
UPS,event_earn_gravity,21,0.0,0.0,0.082121,0.6775,596
UPS,garch_cond_vol,21,0.0,0.0,0.082121,0.6775,596
UPS,mom21_TLT,21,0.0,0.0,0.082121,0.6775,596
UPS,ret_HYG,21,0.0,0.0,0.082121,0.6775,596
UPS,ret_SPY,21,0.0,0.0,0.082121,0.6775,596
UPS,rv_21d,63,0.3322,0.008873,0.180503,0.5591,596
UPS,rv_10d,63,0.3255,0.007849,0.180503,0.5591,596
UPS,rv_5d,63,0.2768,0.005468,0.180503,0.5591,596
UPS,macro_yield_curve_slope,63,0.2601,0.005734,0.180503,0.5591,596
UPS,beta_spy,63,0.2265,0.019012,0.180503,0.5591,596
UPS,rv_126d,63,0.2232,0.012427,0.180503,0.5591,596
UPS,iv_atm_z_score,63,0.2164,0.00599,0.180503,0.5591,596
UPS,mom21_USO,63,0.2081,0.00304,0.180503,0.5591,596
UPS,corr_sector_252d,63,0.1728,0.004598,0.180503,0.5591,596
UPS,vrp_wedge,63,0.1678,0.003311,0.180503,0.5591,596
UPS,res_vol,63,0.1594,0.004682,0.180503,0.5591,596
UPS,corr_sector_21d,63,0.1443,0.002683,0.180503,0.5591,596
UPS,macro_breakeven_5y,63,0.1275,0.002159,0.180503,0.5591,596
UPS,macro_inflation_fwd_abs_chg_21d,63,0.1225,0.001014,0.180503,0.5591,596
UPS,rv_63d,63,0.1208,0.001747,0.180503,0.5591,596
UPS,macro_hy_spread,63,0.0822,0.000682,0.180503,0.5591,596
UPS,macro_inflation_fwd_chg_63d,63,0.0772,0.000906,0.180503,0.5591,596
UPS,vol_chg_21d,63,0.0688,0.001555,0.180503,0.5591,596
UPS,tech_RSI,63,0.0654,0.000132,0.180503,0.5591,596
UPS,macro_inflation_fwd_chg_21d,63,0.052,0.000593,0.180503,0.5591,596
UPS,res_vol_vel,63,0.052,0.000498,0.180503,0.5591,596
UPS,event_cpi_gravity,63,0.0403,0.000858,0.180503,0.5591,596
UPS,event_fed_gravity,63,0.0386,0.002237,0.180503,0.5591,596
UPS,macro_inflation_fwd_5y5y,63,0.0369,0.000124,0.180503,0.5591,596
UPS,vol_vel,63,0.0352,0.000226,0.180503,0.5591,596
UPS,macro_inflation_fwd_zscore,63,0.0336,0.000209,0.180503,0.5591,596
UPS,vol_of_vol,63,0.0336,0.000304,0.180503,0.5591,596
UPS,put_call_skew_30d,63,0.0319,0.000503,0.180503,0.5591,596
UPS,event_nfp_gravity,63,0.0285,0.000605,0.180503,0.5591,596
UPS,mom21_HYG,63,0.0268,0.000241,0.180503,0.5591,596
UPS,sector_wedge,63,0.0252,0.001034,0.180503,0.5591,596
UPS,term_structure_slope,63,0.0252,0.000245,0.180503,0.5591,596
UPS,ewma_vol,63,0.0185,7.8e-05,0.180503,0.5591,596
UPS,mom21_TLT,63,0.0185,0.000254,0.180503,0.5591,596
UPS,mom21_UUP,63,0.0151,3.2e-05,0.180503,0.5591,596
UPS,vol_regime_zscore,63,0.0151,0.000301,0.180503,0.5591,596
UPS,garch_cond_vol,63,0.0134,4.9e-05,0.180503,0.5591,596
UPS,price_regime,63,0.0134,0.000125,0.180503,0.5591,596
UPS,ret_TARGET,63,0.0134,2.5e-05,0.180503,0.5591,596
UPS,ret_USO,63,0.0134,6e-05,0.180503,0.5591,596
UPS,tech_MACD_hist,63,0.0134,0.000267,0.180503,0.5591,596
UPS,mom21_SPY,63,0.0117,0.000276,0.180503,0.5591,596
UPS,ret_VIXY,63,0.0117,1.6e-05,0.180503,0.5591,596
UPS,macro_dollar_ret,63,0.0101,3.4e-05,0.180503,0.5591,596
UPS,mom21_VIXY,63,0.0101,7.1e-05,0.180503,0.5591,596
UPS,ret_HYG,63,0.0101,3.5e-05,0.180503,0.5591,596
UPS,ret_TLT,63,0.0101,1.7e-05,0.180503,0.5591,596
UPS,ret_SPY,63,0.0067,1.1e-05,0.180503,0.5591,596
UPS,ret_UUP,63,0.005,4e-06,0.180503,0.5591,596
UPS,macro_hy_spread_chg_5d,63,0.0017,2e-06,0.180503,0.5591,596
UPS,event_div_gravity,63,0.0,0.0,0.180503,0.5591,596
UPS,event_earn_gravity,63,0.0,0.0,0.180503,0.5591,596
UPS,macro_yield_curve_slope,126,0.6577,0.046263,0.074983,0.7097,596
UPS,corr_sector_252d,126,0.594,0.078318,0.074983,0.7097,596
UPS,beta_spy,126,0.5789,0.027802,0.074983,0.7097,596
UPS,mom21_USO,126,0.5352,0.006396,0.074983,0.7097,596
