ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_alpha,mean_l1_ratio,n_fits
XOM,ewma_vol,21,0.9614,0.050496,0.07554,0.706,596
XOM,iv_atm_z_score,21,0.7718,0.039297,0.07554,0.706,596
XOM,rv_63d,21,0.7232,0.030535,0.07554,0.706,596
XOM,macro_inflation_fwd_zscore,21,0.6376,0.012563,0.07554,0.706,596
XOM,rv_21d,21,0.594,0.019668,0.07554,0.706,596
XOM,beta_spy,21,0.5218,0.012585,0.07554,0.706,596
XOM,mom21_USO,21,0.505,0.01112,0.07554,0.706,596
XOM,garch_cond_vol,21,0.4748,0.007705,0.07554,0.706,596
XOM,macro_yield_curve_slope,21,0.4715,0.007529,0.07554,0.706,596
XOM,res_vol,21,0.3054,0.013674,0.07554,0.706,596
XOM,vrp_wedge,21,0.2701,0.007569,0.07554,0.706,596
XOM,term_structure_slope,21,0.2349,0.003186,0.07554,0.706,596
XOM,macro_hy_spread,21,0.2332,0.003503,0.07554,0.706,596
XOM,vol_regime_zscore,21,0.2282,0.004019,0.07554,0.706,596
XOM,price_regime,21,0.198,0.002542,0.07554,0.706,596
XOM,mom21_TLT,21,0.193,0.001072,0.07554,0.706,596
XOM,macro_inflation_fwd_abs_chg_21d,21,0.1628,0.000908,0.07554,0.706,596
XOM,rv_5d,21,0.1594,0.000606,0.07554,0.706,596
XOM,macro_inflation_fwd_chg_63d,21,0.1577,0.003978,0.07554,0.706,596
XOM,event_fed_gravity,21,0.156,0.00287,0.07554,0.706,596
XOM,mom21_VIXY,21,0.1376,0.002067,0.07554,0.706,596
XOM,event_cpi_gravity,21,0.1326,0.001252,0.07554,0.706,596
XOM,event_tech_gravity,21,0.1124,0.000855,0.07554,0.706,596
XOM,vol_of_vol,21,0.1057,0.001601,0.07554,0.706,596
XOM,mom21_UUP,21,0.104,0.000216,0.07554,0.706,596
XOM,event_nfp_gravity,21,0.0956,0.000714,0.07554,0.706,596
XOM,rv_126d,21,0.094,0.000431,0.07554,0.706,596
XOM,macro_inflation_fwd_chg_21d,21,0.0856,0.000234,0.07554,0.706,596
XOM,macro_breakeven_5y,21,0.0839,0.002342,0.07554,0.706,596
XOM,corr_sector_252d,21,0.0738,0.000689,0.07554,0.706,596
XOM,sector_wedge,21,0.052,0.000134,0.07554,0.706,596
XOM,res_vol_vel,21,0.0403,0.000104,0.07554,0.706,596
XOM,vol_vel,21,0.0352,0.000112,0.07554,0.706,596
XOM,tech_MACD_hist,21,0.0336,6.9e-05,0.07554,0.706,596
XOM,mom21_SPY,21,0.0302,0.000229,0.07554,0.706,596
XOM,tech_RSI,21,0.0134,0.000197,0.07554,0.706,596
XOM,ret_TLT,21,0.0117,3.2e-05,0.07554,0.706,596
XOM,macro_hy_spread_chg_5d,21,0.0101,0.000199,0.07554,0.706,596
XOM,macro_inflation_fwd_5y5y,21,0.0067,2.9e-05,0.07554,0.706,596
XOM,put_call_skew_30d,21,0.0034,1e-06,0.07554,0.706,596
XOM,corr_sector_21d,21,0.0017,6.4e-05,0.07554,0.706,596
XOM,mom21_HYG,21,0.0017,0.000201,0.07554,0.706,596
XOM,ret_HYG,21,0.0017,1.7e-05,0.07554,0.706,596
XOM,ret_USO,21,0.0017,2e-06,0.07554,0.706,596
XOM,ret_UUP,21,0.0017,8e-06,0.07554,0.706,596
XOM,ret_VIXY,21,0.0017,2.9e-05,0.07554,0.706,596
XOM,vol_chg_21d,21,0.0017,0.000264,0.07554,0.706,596
XOM,event_div_gravity,21,0.0,0.0,0.07554,0.706,596
XOM,event_earn_gravity,21,0.0,0.0,0.07554,0.706,596
XOM,macro_dollar_ret,21,0.0,0.0,0.07554,0.706,596
XOM,ret_SPY,21,0.0,0.0,0.07554,0.706,596
XOM,ret_TARGET,21,0.0,0.0,0.07554,0.706,596
XOM,rv_10d,21,0.0,0.0,0.07554,0.706,596
XOM,beta_spy,63,0.901,0.050751,0.057541,0.7168,596
XOM,mom21_USO,63,0.8037,0.02127,0.057541,0.7168,596
XOM,iv_atm_z_score,63,0.7919,0.022247,0.057541,0.7168,596
XOM,macro_yield_curve_slope,63,0.6846,0.03593,0.057541,0.7168,596
XOM,rv_21d,63,0.6745,0.024745,0.057541,0.7168,596
XOM,rv_5d,63,0.5721,0.004419,0.057541,0.7168,596
XOM,price_regime,63,0.4782,0.015053,0.057541,0.7168,596
XOM,res_vol,63,0.401,0.021193,0.057541,0.7168,596
XOM,vol_regime_zscore,63,0.3977,0.012787,0.057541,0.7168,596
XOM,macro_inflation_fwd_zscore,63,0.3758,0.009795,0.057541,0.7168,596
XOM,macro_inflation_fwd_abs_chg_21d,63,0.3725,0.005443,0.057541,0.7168,596
XOM,ewma_vol,63,0.3674,0.009138,0.057541,0.7168,596
XOM,mom21_VIXY,63,0.3607,0.007276,0.057541,0.7168,596
XOM,rv_10d,63,0.3356,0.002821,0.057541,0.7168,596
XOM,event_fed_gravity,63,0.3205,0.006124,0.057541,0.7168,596
XOM,mom21_TLT,63,0.2953,0.006868,0.057541,0.7168,596
XOM,vol_vel,63,0.25,0.001481,0.057541,0.7168,596
XOM,macro_breakeven_5y,63,0.2215,0.006471,0.057541,0.7168,596
XOM,vol_of_vol,63,0.203,0.001014,0.057541,0.7168,596
XOM,sector_wedge,63,0.2013,0.002523,0.057541,0.7168,596
XOM,event_tech_gravity,63,0.1946,0.002176,0.057541,0.7168,596
XOM,macro_inflation_fwd_5y5y,63,0.1946,0.004344,0.057541,0.7168,596
XOM,macro_hy_spread_chg_5d,63,0.1762,0.000498,0.057541,0.7168,596
XOM,mom21_HYG,63,0.1711,0.002355,0.057541,0.7168,596
XOM,rv_126d,63,0.1661,0.003525,0.057541,0.7168,596
XOM,macro_hy_spread,63,0.151,0.004017,0.057541,0.7168,596
XOM,event_nfp_gravity,63,0.1493,0.002475,0.057541,0.7168,596
XOM,macro_inflation_fwd_chg_63d,63,0.1493,0.004043,0.057541,0.7168,596
XOM,corr_sector_252d,63,0.1409,0.003204,0.057541,0.7168,596
XOM,rv_63d,63,0.1359,0.000889,0.057541,0.7168,596
XOM,event_cpi_gravity,63,0.1191,0.001792,0.057541,0.7168,596
XOM,vrp_wedge,63,0.1107,0.003624,0.057541,0.7168,596
XOM,put_call_skew_30d,63,0.104,0.000932,0.057541,0.7168,596
XOM,tech_MACD_hist,63,0.0973,0.000628,0.057541,0.7168,596
XOM,term_structure_slope,63,0.0872,0.00145,0.057541,0.7168,596
XOM,mom21_UUP,63,0.0789,0.000333,0.057541,0.7168,596
XOM,mom21_SPY,63,0.0487,0.00235,0.057541,0.7168,596
XOM,vol_chg_21d,63,0.0487,0.000925,0.057541,0.7168,596
XOM,tech_RSI,63,0.0302,0.000205,0.057541,0.7168,596
XOM,macro_inflation_fwd_chg_21d,63,0.0201,0.000144,0.057541,0.7168,596
XOM,corr_sector_21d,63,0.0168,0.000167,0.057541,0.7168,596
XOM,ret_TARGET,63,0.0168,4.3e-05,0.057541,0.7168,596
XOM,garch_cond_vol,63,0.0151,0.000115,0.057541,0.7168,596
XOM,macro_dollar_ret,63,0.0151,2e-06,0.057541,0.7168,596
XOM,ret_HYG,63,0.0117,6e-06,0.057541,0.7168,596
XOM,res_vol_vel,63,0.0101,2.1e-05,0.057541,0.7168,596
XOM,ret_TLT,63,0.0017,1e-06,0.057541,0.7168,596
XOM,event_div_gravity,63,0.0,0.0,0.057541,0.7168,596
XOM,event_earn_gravity,63,0.0,0.0,0.057541,0.7168,596
XOM,ret_SPY,63,0.0,0.0,0.057541,0.7168,596
XOM,ret_USO,63,0.0,0.0,0.057541,0.7168,596
XOM,ret_UUP,63,0.0,0.0,0.057541,0.7168,596
XOM,ret_VIXY,63,0.0,0.0,0.057541,0.7168,596
XOM,beta_spy,126,0.6409,0.028039,0.082572,0.7087,596
XOM,macro_yield_curve_slope,126,0.6242,0.061787,0.082572,0.7087,596
XOM,mom21_TLT,126,0.4916,0.015029,0.082572,0.7087,596
XOM,price_regime,126,0.4597,0.028195,0.082572,0.7087,596
XOM,rv_126d,126,0.4497,0.016888,0.082572,0.7087,596
XOM,iv_atm_z_score,126,0.443,0.004979,0.082572,0.7087,596
XOM,rv_21d,126,0.4346,0.025191,0.082572,0.7087,596
XOM,tech_RSI,126,0.4295,0.004617,0.082572,0.7087,596
XOM,macro_inflation_fwd_zscore,126,0.4195,0.02217,0.082572,0.7087,596
XOM,vol_regime_zscore,126,0.3993,0.010191,0.082572,0.7087,596
XOM,macro_inflation_fwd_abs_chg_21d,126,0.396,0.00348,0.082572,0.7087,596
XOM,vol_vel,126,0.396,0.003578,0.082572,0.7087,596
XOM,macro_breakeven_5y,126,0.3893,0.021024,0.082572,0.7087,596
XOM,sector_wedge,126,0.3523,0.006171,0.082572,0.7087,596
XOM,mom21_USO,126,0.3389,0.005771,0.082572,0.7087,596
XOM,mom21_HYG,126,0.3138,0.00745,0.082572,0.7087,596
XOM,macro_inflation_fwd_5y5y,126,0.3121,0.012241,0.082572,0.7087,596
XOM,event_fed_gravity,126,0.2936,0.008308,0.082572,0.7087,596
XOM,mom21_VIXY,126,0.2836,0.003952,0.082572,0.7087,596
XOM,vol_of_vol,126,0.2802,0.001563,0.082572,0.7087,596
XOM,corr_sector_252d,126,0.2735,0.011134,0.082572,0.7087,596
XOM,event_tech_gravity,126,0.2601,0.002158,0.082572,0.7087,596
XOM,res_vol,126,0.2534,0.011845,0.082572,0.7087,596
XOM,macro_inflation_fwd_chg_63d,126,0.2383,0.010104,0.082572,0.7087,596
XOM,res_vol_vel,126,0.2383,0.00219,0.082572,0.7087,596
XOM,vol_chg_21d,126,0.2315,0.003454,0.082572,0.7087,596
XOM,macro_hy_spread_chg_5d,126,0.2299,0.000895,0.082572,0.7087,596
XOM,vrp_wedge,126,0.2248,0.009911,0.082572,0.7087,596
XOM,event_nfp_gravity,126,0.2198,0.001492,0.082572,0.7087,596
XOM,ewma_vol,126,0.2181,0.004629,0.082572,0.7087,596
XOM,event_cpi_gravity,126,0.2164,0.001444,0.082572,0.7087,596
XOM,macro_inflation_fwd_chg_21d,126,0.2081,0.002741,0.082572,0.7087,596
XOM,rv_5d,126,0.2081,0.001326,0.082572,0.7087,596
XOM,garch_cond_vol,126,0.1997,0.006385,0.082572,0.7087,596
XOM,term_structure_slope,126,0.1963,0.005352,0.082572,0.7087,596
