ticker,horizon,feature,mean_importance
ABT,21,ewma_vol,0.07104
ABT,21,rv_10d,0.064036
ABT,21,rv_5d,0.054672
ABT,21,rv_21d,0.054549
ABT,21,term_structure_slope,0.05407
ABT,21,iv_atm_z_score,0.049782
ABT,21,garch_cond_vol,0.032166
ABT,21,event_nfp_gravity,0.031404
ABT,21,corr_sector_252d,0.030933
ABT,21,mom21_USO,0.030524
ABT,21,macro_breakeven_5y,0.02838
ABT,21,vrp_wedge,0.027652
ABT,21,res_vol,0.025599
ABT,21,macro_inflation_fwd_5y5y,0.02496
ABT,21,event_cpi_gravity,0.024066
ABT,21,mom21_HYG,0.02286
ABT,21,macro_hy_spread,0.02246
ABT,21,put_call_skew_30d,0.021981
ABT,21,event_fed_gravity,0.021462
ABT,21,beta_spy,0.020995
ABT,21,mom21_VIXY,0.020216
ABT,21,corr_sector_21d,0.018579
ABT,21,sector_wedge,0.017948
ABT,21,event_earn_gravity,0.017451
ABT,21,macro_yield_curve_slope,0.017198
ABT,21,rv_63d,0.013784
ABT,21,rv_126d,0.013309
ABT,21,vol_regime_zscore,0.012562
ABT,21,mom21_SPY,0.0122
ABT,21,mom21_UUP,0.012164
ABT,21,macro_inflation_fwd_chg_63d,0.011924
ABT,21,price_regime,0.011303
ABT,21,tech_MACD_hist,0.010487
ABT,21,macro_inflation_fwd_zscore,0.01028
ABT,21,macro_inflation_fwd_abs_chg_21d,0.010209
ABT,21,macro_inflation_fwd_chg_21d,0.009816
ABT,21,vol_chg_21d,0.009133
ABT,21,mom21_TLT,0.008773
ABT,21,vol_of_vol,0.00824
ABT,21,tech_RSI,0.007561
ABT,21,event_div_gravity,0.007359
ABT,21,res_vol_vel,0.006834
ABT,21,macro_hy_spread_chg_5d,0.006769
ABT,21,vol_vel,0.005645
ABT,21,ret_SPY,0.002468
ABT,21,ret_VIXY,0.001905
ABT,21,ret_TARGET,0.000777
ABT,21,ret_HYG,0.000462
ABT,21,ret_USO,0.000458
ABT,21,macro_dollar_ret,0.000455
ABT,21,ret_TLT,0.000139
ABT,21,ret_UUP,0.0
ABT,63,macro_yield_curve_slope,0.049051
ABT,63,mom21_HYG,0.045094
ABT,63,event_nfp_gravity,0.044937
ABT,63,macro_breakeven_5y,0.044713
ABT,63,corr_sector_252d,0.044077
ABT,63,macro_inflation_fwd_5y5y,0.043292
ABT,63,macro_hy_spread,0.042804
ABT,63,event_cpi_gravity,0.039469
ABT,63,res_vol,0.036556
ABT,63,event_fed_gravity,0.036308
ABT,63,garch_cond_vol,0.035254
ABT,63,beta_spy,0.032076
ABT,63,mom21_USO,0.031429
ABT,63,rv_126d,0.029604
ABT,63,rv_21d,0.028834
ABT,63,ewma_vol,0.028143
ABT,63,mom21_VIXY,0.025924
ABT,63,rv_63d,0.025806
ABT,63,rv_5d,0.023599
ABT,63,rv_10d,0.022861
ABT,63,sector_wedge,0.022794
ABT,63,iv_atm_z_score,0.021723
ABT,63,macro_inflation_fwd_chg_21d,0.020085
ABT,63,vol_regime_zscore,0.019483
ABT,63,macro_inflation_fwd_zscore,0.018428
ABT,63,price_regime,0.0179
ABT,63,vol_of_vol,0.01752
ABT,63,macro_inflation_fwd_chg_63d,0.017271
ABT,63,put_call_skew_30d,0.01716
ABT,63,vrp_wedge,0.016446
ABT,63,event_div_gravity,0.013282
