ticker,horizon,feature,mean_importance
AEP,21,rv_10d,0.088294
AEP,21,rv_5d,0.086656
AEP,21,rv_21d,0.078568
AEP,21,macro_inflation_fwd_zscore,0.054761
AEP,21,iv_atm_z_score,0.039456
AEP,21,ewma_vol,0.037804
AEP,21,rv_63d,0.033325
AEP,21,mom21_USO,0.032221
AEP,21,garch_cond_vol,0.030606
AEP,21,macro_inflation_fwd_5y5y,0.02925
AEP,21,mom21_VIXY,0.027809
AEP,21,mom21_HYG,0.025415
AEP,21,macro_breakeven_5y,0.024373
AEP,21,term_structure_slope,0.021735
AEP,21,event_nfp_gravity,0.020939
AEP,21,macro_yield_curve_slope,0.019878
AEP,21,rv_126d,0.018841
AEP,21,event_fed_gravity,0.018231
AEP,21,event_cpi_gravity,0.01771
AEP,21,vol_chg_21d,0.017236
AEP,21,res_vol,0.016594
AEP,21,mom21_TLT,0.016158
AEP,21,macro_inflation_fwd_chg_63d,0.016059
AEP,21,vol_regime_zscore,0.015959
AEP,21,tech_MACD_hist,0.014786
AEP,21,corr_sector_252d,0.014529
AEP,21,corr_sector_21d,0.01311
AEP,21,beta_spy,0.012708
AEP,21,macro_hy_spread,0.012603
AEP,21,event_earn_gravity,0.011919
AEP,21,put_call_skew_30d,0.011035
AEP,21,price_regime,0.010942
AEP,21,mom21_SPY,0.010584
AEP,21,macro_hy_spread_chg_5d,0.010186
AEP,21,tech_RSI,0.010166
AEP,21,res_vol_vel,0.009758
AEP,21,event_div_gravity,0.009389
AEP,21,mom21_UUP,0.008987
AEP,21,sector_wedge,0.008924
AEP,21,vol_of_vol,0.008922
AEP,21,macro_inflation_fwd_chg_21d,0.008228
AEP,21,ret_SPY,0.00651
AEP,21,vrp_wedge,0.006096
AEP,21,vol_vel,0.005582
AEP,21,ret_VIXY,0.004468
AEP,21,macro_inflation_fwd_abs_chg_21d,0.001342
AEP,21,ret_TLT,0.000529
AEP,21,ret_HYG,0.000392
AEP,21,ret_TARGET,0.000168
AEP,21,ret_UUP,0.000166
AEP,21,ret_USO,6.5e-05
AEP,21,macro_dollar_ret,2.8e-05
AEP,63,macro_inflation_fwd_zscore,0.093767
AEP,63,rv_21d,0.068413
AEP,63,rv_63d,0.046264
AEP,63,rv_126d,0.044226
AEP,63,mom21_HYG,0.043988
AEP,63,mom21_USO,0.037362
AEP,63,event_nfp_gravity,0.037105
AEP,63,macro_inflation_fwd_chg_63d,0.034924
AEP,63,macro_yield_curve_slope,0.034389
AEP,63,macro_inflation_fwd_5y5y,0.03215
AEP,63,event_cpi_gravity,0.032122
AEP,63,iv_atm_z_score,0.03131
AEP,63,event_fed_gravity,0.03052
AEP,63,macro_breakeven_5y,0.028863
AEP,63,beta_spy,0.027494
AEP,63,ewma_vol,0.025705
AEP,63,corr_sector_252d,0.025699
AEP,63,rv_10d,0.025558
AEP,63,garch_cond_vol,0.025187
