ticker,horizon,feature,mean_importance
AMGN,21,rv_10d,0.115424
AMGN,21,ewma_vol,0.08149
AMGN,21,rv_21d,0.06709
AMGN,21,term_structure_slope,0.055879
AMGN,21,iv_atm_z_score,0.047107
AMGN,21,macro_breakeven_5y,0.038326
AMGN,21,rv_5d,0.034073
AMGN,21,mom21_USO,0.030901
AMGN,21,event_nfp_gravity,0.029061
AMGN,21,rv_63d,0.028643
AMGN,21,macro_inflation_fwd_zscore,0.027231
AMGN,21,sector_wedge,0.023817
AMGN,21,macro_inflation_fwd_5y5y,0.021851
AMGN,21,event_cpi_gravity,0.02133
AMGN,21,corr_sector_252d,0.020748
AMGN,21,event_fed_gravity,0.020686
AMGN,21,macro_hy_spread,0.018954
AMGN,21,event_earn_gravity,0.018198
AMGN,21,beta_spy,0.01757
AMGN,21,rv_126d,0.016784
AMGN,21,macro_inflation_fwd_chg_21d,0.016263
AMGN,21,res_vol,0.016256
AMGN,21,garch_cond_vol,0.015957
AMGN,21,event_div_gravity,0.015745
AMGN,21,macro_inflation_fwd_chg_63d,0.01572
AMGN,21,vol_regime_zscore,0.015202
AMGN,21,vrp_wedge,0.015004
AMGN,21,mom21_VIXY,0.01478
AMGN,21,mom21_HYG,0.013768
AMGN,21,macro_yield_curve_slope,0.013284
AMGN,21,tech_RSI,0.011584
AMGN,21,mom21_UUP,0.010915
AMGN,21,mom21_TLT,0.010626
AMGN,21,vol_of_vol,0.010521
AMGN,21,corr_sector_21d,0.010315
AMGN,21,mom21_SPY,0.00941
AMGN,21,price_regime,0.008816
AMGN,21,vol_chg_21d,0.007478
AMGN,21,put_call_skew_30d,0.006708
AMGN,21,tech_MACD_hist,0.00654
AMGN,21,macro_inflation_fwd_abs_chg_21d,0.005326
AMGN,21,res_vol_vel,0.00465
AMGN,21,vol_vel,0.004624
AMGN,21,macro_hy_spread_chg_5d,0.003502
AMGN,21,ret_SPY,0.000681
AMGN,21,ret_HYG,0.000631
AMGN,21,ret_TARGET,0.00019
AMGN,21,macro_dollar_ret,0.000129
AMGN,21,ret_USO,0.000123
AMGN,21,ret_VIXY,6.6e-05
AMGN,21,ret_TLT,2.4e-05
AMGN,21,ret_UUP,0.0
AMGN,63,rv_10d,0.084483
AMGN,63,rv_21d,0.064146
AMGN,63,event_nfp_gravity,0.059275
AMGN,63,mom21_USO,0.053478
AMGN,63,event_cpi_gravity,0.051914
AMGN,63,mom21_HYG,0.046509
AMGN,63,event_fed_gravity,0.046208
AMGN,63,macro_breakeven_5y,0.043933
AMGN,63,corr_sector_252d,0.042157
AMGN,63,macro_yield_curve_slope,0.03557
AMGN,63,macro_hy_spread,0.034045
AMGN,63,macro_inflation_fwd_5y5y,0.029601
AMGN,63,rv_126d,0.029173
AMGN,63,sector_wedge,0.028868
AMGN,63,mom21_VIXY,0.02637
AMGN,63,macro_inflation_fwd_zscore,0.026076
AMGN,63,rv_63d,0.025769
AMGN,63,beta_spy,0.025719
AMGN,63,vol_regime_zscore,0.024529
AMGN,63,ewma_vol,0.023845
AMGN,63,event_div_gravity,0.020482
AMGN,63,iv_atm_z_score,0.019943
AMGN,63,macro_inflation_fwd_chg_63d,0.016582
AMGN,63,res_vol,0.014946
AMGN,63,garch_cond_vol,0.014419
AMGN,63,tech_RSI,0.011551
AMGN,63,price_regime,0.011052
AMGN,63,macro_inflation_fwd_chg_21d,0.00879
AMGN,63,vol_of_vol,0.008358
AMGN,63,mom21_TLT,0.007589
AMGN,63,corr_sector_21d,0.006649
AMGN,63,put_call_skew_30d,0.006517
AMGN,63,vol_chg_21d,0.006324
AMGN,63,vrp_wedge,0.005644
AMGN,63,res_vol_vel,0.005322
AMGN,63,mom21_UUP,0.005317
AMGN,63,tech_MACD_hist,0.005196
AMGN,63,macro_inflation_fwd_abs_chg_21d,0.005176
AMGN,63,rv_5d,0.005079
AMGN,63,term_structure_slope,0.003804
AMGN,63,mom21_SPY,0.00346
AMGN,63,event_earn_gravity,0.002859
AMGN,63,macro_hy_spread_chg_5d,0.002165
AMGN,63,vol_vel,0.001074
AMGN,63,ret_VIXY,3.5e-05
AMGN,63,ret_TARGET,0.0
AMGN,63,ret_HYG,0.0
AMGN,63,ret_USO,0.0
AMGN,63,ret_TLT,0.0
AMGN,63,ret_UUP,0.0
AMGN,63,ret_SPY,0.0
AMGN,63,macro_dollar_ret,0.0
AMGN,126,event_nfp_gravity,0.082576
AMGN,126,event_cpi_gravity,0.072796
AMGN,126,event_fed_gravity,0.071388
AMGN,126,corr_sector_252d,0.066446
AMGN,126,macro_hy_spread,0.06445
AMGN,126,macro_inflation_fwd_zscore,0.060964
AMGN,126,macro_yield_curve_slope,0.057979
AMGN,126,macro_inflation_fwd_5y5y,0.047627
AMGN,126,macro_breakeven_5y,0.047322
AMGN,126,vol_regime_zscore,0.032507
AMGN,126,rv_63d,0.031362
AMGN,126,rv_126d,0.027848
AMGN,126,beta_spy,0.027749
AMGN,126,price_regime,0.026015
AMGN,126,rv_21d,0.02601
AMGN,126,mom21_VIXY,0.021622
AMGN,126,event_div_gravity,0.02145
AMGN,126,res_vol,0.020369
AMGN,126,macro_inflation_fwd_chg_63d,0.018801
AMGN,126,mom21_HYG,0.018652
AMGN,126,sector_wedge,0.016364
AMGN,126,mom21_USO,0.015276
AMGN,126,mom21_UUP,0.012414
AMGN,126,vol_of_vol,0.012162
AMGN,126,put_call_skew_30d,0.010908
AMGN,126,iv_atm_z_score,0.010507
AMGN,126,mom21_TLT,0.008832
AMGN,126,rv_10d,0.008208
AMGN,126,ewma_vol,0.008137
AMGN,126,corr_sector_21d,0.007564
AMGN,126,vol_chg_21d,0.007429
AMGN,126,garch_cond_vol,0.007025
AMGN,126,rv_5d,0.006561
AMGN,126,vrp_wedge,0.00617
AMGN,126,mom21_SPY,0.005115
AMGN,126,vol_vel,0.003306
AMGN,126,macro_inflation_fwd_chg_21d,0.002444
AMGN,126,tech_MACD_hist,0.002136
AMGN,126,term_structure_slope,0.001523
AMGN,126,macro_hy_spread_chg_5d,0.001144
AMGN,126,event_earn_gravity,0.001107
AMGN,126,tech_RSI,0.000952
AMGN,126,res_vol_vel,0.000501
AMGN,126,macro_inflation_fwd_abs_chg_21d,0.000279
AMGN,126,ret_TARGET,0.0
AMGN,126,ret_VIXY,0.0
AMGN,126,ret_HYG,0.0
AMGN,126,ret_USO,0.0
AMGN,126,ret_TLT,0.0
AMGN,126,ret_UUP,0.0
AMGN,126,ret_SPY,0.0
AMGN,126,macro_dollar_ret,0.0
