ticker,horizon,feature,mean_importance
AMZN,21,rv_10d,0.152733
AMZN,21,rv_21d,0.115816
AMZN,21,rv_5d,0.109454
AMZN,21,iv_atm_z_score,0.042447
AMZN,21,price_regime,0.034007
AMZN,21,res_vol,0.0318
AMZN,21,event_cpi_gravity,0.026218
AMZN,21,macro_hy_spread,0.026073
AMZN,21,rv_63d,0.024762
AMZN,21,event_fed_gravity,0.024694
AMZN,21,event_nfp_gravity,0.023513
AMZN,21,put_call_skew_30d,0.022979
AMZN,21,vrp_wedge,0.022565
AMZN,21,rv_126d,0.021269
AMZN,21,corr_sector_252d,0.020945
AMZN,21,term_structure_slope,0.020518
AMZN,21,vol_regime_zscore,0.019022
AMZN,21,macro_inflation_fwd_5y5y,0.018133
AMZN,21,mom21_USO,0.015974
AMZN,21,macro_breakeven_5y,0.015641
AMZN,21,beta_spy,0.014908
AMZN,21,sector_wedge,0.014753
AMZN,21,event_earn_gravity,0.013656
AMZN,21,macro_yield_curve_slope,0.013607
AMZN,21,ewma_vol,0.013479
AMZN,21,macro_inflation_fwd_zscore,0.012896
AMZN,21,corr_sector_21d,0.012597
AMZN,21,mom21_VIXY,0.011951
AMZN,21,vol_of_vol,0.011628
AMZN,21,garch_cond_vol,0.010584
AMZN,21,mom21_TLT,0.008801
AMZN,21,vol_chg_21d,0.00794
AMZN,21,tech_MACD_hist,0.007922
AMZN,21,mom21_HYG,0.007788
AMZN,21,macro_inflation_fwd_chg_63d,0.006767
AMZN,21,macro_inflation_fwd_chg_21d,0.006671
AMZN,21,mom21_SPY,0.00657
AMZN,21,tech_RSI,0.006404
AMZN,21,res_vol_vel,0.00608
AMZN,21,mom21_UUP,0.005884
AMZN,21,vol_vel,0.004455
AMZN,21,macro_hy_spread_chg_5d,0.002956
AMZN,21,macro_inflation_fwd_abs_chg_21d,0.001536
AMZN,21,ret_TARGET,0.000624
AMZN,21,ret_UUP,0.000247
AMZN,21,ret_VIXY,0.000228
AMZN,21,macro_dollar_ret,0.000159
AMZN,21,ret_HYG,0.000152
AMZN,21,ret_SPY,0.000111
AMZN,21,ret_USO,5.1e-05
AMZN,21,ret_TLT,3.3e-05
AMZN,21,event_div_gravity,0.0
AMZN,63,rv_10d,0.152001
AMZN,63,rv_5d,0.110527
AMZN,63,event_nfp_gravity,0.056127
AMZN,63,event_cpi_gravity,0.052735
AMZN,63,event_fed_gravity,0.050052
AMZN,63,rv_21d,0.043019
AMZN,63,corr_sector_252d,0.039804
AMZN,63,vol_regime_zscore,0.038942
AMZN,63,macro_inflation_fwd_5y5y,0.030246
AMZN,63,price_regime,0.029433
AMZN,63,rv_126d,0.027648
AMZN,63,macro_yield_curve_slope,0.026615
AMZN,63,macro_breakeven_5y,0.02617
AMZN,63,put_call_skew_30d,0.025609
AMZN,63,iv_atm_z_score,0.02446
AMZN,63,macro_inflation_fwd_zscore,0.02227
AMZN,63,res_vol,0.020925
AMZN,63,macro_hy_spread,0.019637
AMZN,63,beta_spy,0.019107
AMZN,63,mom21_HYG,0.017506
AMZN,63,rv_63d,0.01697
AMZN,63,mom21_VIXY,0.016808
AMZN,63,tech_MACD_hist,0.016398
AMZN,63,macro_inflation_fwd_chg_63d,0.013169
AMZN,63,ewma_vol,0.011933
AMZN,63,mom21_USO,0.010834
AMZN,63,mom21_TLT,0.008878
AMZN,63,sector_wedge,0.008854
AMZN,63,vol_of_vol,0.008747
AMZN,63,mom21_SPY,0.007229
AMZN,63,vol_chg_21d,0.006667
AMZN,63,corr_sector_21d,0.005642
