ticker,horizon,feature,mean_importance
AXP,21,rv_10d,0.109311
AXP,21,rv_21d,0.080911
AXP,21,rv_5d,0.072574
AXP,21,corr_sector_252d,0.068779
AXP,21,event_nfp_gravity,0.049266
AXP,21,event_fed_gravity,0.037396
AXP,21,rv_63d,0.035846
AXP,21,event_cpi_gravity,0.033047
AXP,21,term_structure_slope,0.029594
AXP,21,mom21_USO,0.02884
AXP,21,iv_atm_z_score,0.028662
AXP,21,ewma_vol,0.023329
AXP,21,macro_hy_spread,0.022169
AXP,21,put_call_skew_30d,0.021586
AXP,21,mom21_HYG,0.019729
AXP,21,rv_126d,0.019484
AXP,21,tech_MACD_hist,0.018368
AXP,21,macro_breakeven_5y,0.017905
AXP,21,event_div_gravity,0.016492
AXP,21,vrp_wedge,0.015936
AXP,21,macro_yield_curve_slope,0.015208
AXP,21,res_vol_vel,0.014872
AXP,21,beta_spy,0.014318
AXP,21,res_vol,0.013816
AXP,21,macro_inflation_fwd_5y5y,0.013478
AXP,21,vol_regime_zscore,0.012984
AXP,21,macro_inflation_fwd_zscore,0.012517
AXP,21,event_earn_gravity,0.011551
AXP,21,mom21_VIXY,0.010467
AXP,21,corr_sector_21d,0.010382
AXP,21,sector_wedge,0.010099
AXP,21,vol_of_vol,0.010078
AXP,21,vol_chg_21d,0.009789
AXP,21,macro_inflation_fwd_chg_63d,0.0095
AXP,21,macro_inflation_fwd_chg_21d,0.009434
AXP,21,macro_inflation_fwd_abs_chg_21d,0.009091
AXP,21,ret_TARGET,0.007951
AXP,21,garch_cond_vol,0.007935
AXP,21,price_regime,0.007584
AXP,21,mom21_UUP,0.007572
AXP,21,macro_hy_spread_chg_5d,0.006958
AXP,21,tech_RSI,0.006875
AXP,21,mom21_SPY,0.005645
AXP,21,mom21_TLT,0.005436
AXP,21,ret_SPY,0.003133
AXP,21,vol_vel,0.002177
AXP,21,ret_VIXY,0.000841
AXP,21,macro_dollar_ret,0.000545
AXP,21,ret_HYG,0.000251
AXP,21,ret_UUP,0.000191
AXP,21,ret_USO,8.2e-05
AXP,21,ret_TLT,1.8e-05
AXP,63,event_nfp_gravity,0.096802
AXP,63,event_fed_gravity,0.091111
AXP,63,event_cpi_gravity,0.084498
AXP,63,rv_21d,0.076008
AXP,63,rv_5d,0.050189
AXP,63,corr_sector_252d,0.041745
AXP,63,rv_10d,0.04083
AXP,63,event_div_gravity,0.032947
AXP,63,rv_63d,0.029898
AXP,63,macro_hy_spread,0.029488
AXP,63,macro_inflation_fwd_5y5y,0.029269
AXP,63,ewma_vol,0.028385
AXP,63,rv_126d,0.027552
AXP,63,iv_atm_z_score,0.026359
AXP,63,beta_spy,0.025552
AXP,63,mom21_USO,0.024404
AXP,63,macro_yield_curve_slope,0.020364
AXP,63,mom21_HYG,0.019851
AXP,63,macro_breakeven_5y,0.019457
AXP,63,res_vol,0.016024
AXP,63,garch_cond_vol,0.015791
AXP,63,put_call_skew_30d,0.015102
AXP,63,term_structure_slope,0.014646
AXP,63,macro_inflation_fwd_zscore,0.014568
AXP,63,vol_regime_zscore,0.014284
AXP,63,price_regime,0.012836
AXP,63,vol_of_vol,0.012786
AXP,63,tech_MACD_hist,0.012316
AXP,63,sector_wedge,0.008923
AXP,63,mom21_TLT,0.008405
AXP,63,macro_inflation_fwd_chg_21d,0.007275
AXP,63,corr_sector_21d,0.006754
AXP,63,mom21_VIXY,0.006164
AXP,63,macro_inflation_fwd_chg_63d,0.005656
AXP,63,vol_chg_21d,0.004968
AXP,63,macro_hy_spread_chg_5d,0.004945
AXP,63,mom21_SPY,0.003346
AXP,63,macro_inflation_fwd_abs_chg_21d,0.003228
AXP,63,vol_vel,0.003128
AXP,63,mom21_UUP,0.003092
AXP,63,event_earn_gravity,0.002707
AXP,63,vrp_wedge,0.002536
AXP,63,tech_RSI,0.002294
AXP,63,ret_VIXY,0.001156
AXP,63,ret_SPY,0.000973
AXP,63,ret_TARGET,0.000863
AXP,63,res_vol_vel,0.00027
AXP,63,ret_USO,0.000125
AXP,63,macro_dollar_ret,6.6e-05
AXP,63,ret_HYG,2.9e-05
AXP,63,ret_TLT,2.5e-05
AXP,63,ret_UUP,1.4e-05
AXP,126,event_nfp_gravity,0.126881
AXP,126,event_cpi_gravity,0.116191
AXP,126,event_fed_gravity,0.110378
AXP,126,macro_inflation_fwd_5y5y,0.056635
AXP,126,corr_sector_252d,0.055248
AXP,126,rv_21d,0.047456
AXP,126,beta_spy,0.04565
AXP,126,rv_126d,0.037591
AXP,126,macro_yield_curve_slope,0.036617
AXP,126,res_vol,0.03614
AXP,126,rv_63d,0.031346
AXP,126,macro_hy_spread,0.029599
AXP,126,price_regime,0.024374
AXP,126,macro_breakeven_5y,0.023564
AXP,126,rv_10d,0.021217
AXP,126,macro_inflation_fwd_zscore,0.017171
AXP,126,mom21_TLT,0.015897
AXP,126,rv_5d,0.015799
AXP,126,ewma_vol,0.014224
AXP,126,vol_regime_zscore,0.013851
AXP,126,event_div_gravity,0.013578
AXP,126,mom21_HYG,0.011542
AXP,126,garch_cond_vol,0.011029
AXP,126,sector_wedge,0.010989
AXP,126,term_structure_slope,0.009572
AXP,126,mom21_VIXY,0.009065
AXP,126,corr_sector_21d,0.008593
AXP,126,macro_inflation_fwd_chg_63d,0.006722
AXP,126,vol_of_vol,0.006607
AXP,126,tech_MACD_hist,0.006574
AXP,126,mom21_USO,0.005367
AXP,126,put_call_skew_30d,0.004544
AXP,126,macro_hy_spread_chg_5d,0.004468
AXP,126,vol_chg_21d,0.004052
AXP,126,iv_atm_z_score,0.002888
AXP,126,vrp_wedge,0.001975
AXP,126,macro_inflation_fwd_abs_chg_21d,0.001538
AXP,126,macro_inflation_fwd_chg_21d,0.001244
AXP,126,mom21_SPY,0.001202
AXP,126,vol_vel,0.000992
AXP,126,event_earn_gravity,0.000721
AXP,126,tech_RSI,0.000658
AXP,126,mom21_UUP,0.000193
AXP,126,ret_SPY,2.4e-05
AXP,126,res_vol_vel,2e-05
AXP,126,macro_dollar_ret,1.4e-05
AXP,126,ret_TARGET,0.0
AXP,126,ret_VIXY,0.0
AXP,126,ret_HYG,0.0
AXP,126,ret_USO,0.0
AXP,126,ret_TLT,0.0
AXP,126,ret_UUP,0.0
