ticker,horizon,feature,mean_importance
COP,21,rv_10d,0.167059
COP,21,rv_21d,0.145363
COP,21,ewma_vol,0.120143
COP,21,rv_5d,0.058452
COP,21,garch_cond_vol,0.055394
COP,21,rv_63d,0.05181
COP,21,term_structure_slope,0.02861
COP,21,res_vol,0.027922
COP,21,price_regime,0.025668
COP,21,event_nfp_gravity,0.024085
COP,21,macro_breakeven_5y,0.022591
COP,21,event_fed_gravity,0.0201
COP,21,rv_126d,0.018307
COP,21,event_cpi_gravity,0.017247
COP,21,corr_sector_252d,0.01609
COP,21,vol_of_vol,0.015114
COP,21,macro_inflation_fwd_5y5y,0.01388
COP,21,iv_atm_z_score,0.011956
COP,21,mom21_USO,0.011909
COP,21,vol_regime_zscore,0.010748
COP,21,beta_spy,0.009782
COP,21,mom21_HYG,0.009127
COP,21,mom21_VIXY,0.00887
COP,21,macro_hy_spread,0.008313
COP,21,tech_MACD_hist,0.0078
COP,21,vrp_wedge,0.007133
COP,21,tech_RSI,0.007002
COP,21,macro_yield_curve_slope,0.006888
COP,21,event_div_gravity,0.005964
COP,21,event_earn_gravity,0.005763
COP,21,macro_inflation_fwd_zscore,0.005504
COP,21,res_vol_vel,0.005211
COP,21,mom21_TLT,0.005019
COP,21,macro_hy_spread_chg_5d,0.004731
COP,21,sector_wedge,0.004459
COP,21,corr_sector_21d,0.004227
COP,21,vol_vel,0.004128
COP,21,macro_inflation_fwd_chg_63d,0.003989
COP,21,mom21_SPY,0.003846
COP,21,mom21_UUP,0.003711
COP,21,vol_chg_21d,0.003708
COP,21,put_call_skew_30d,0.003618
COP,21,macro_inflation_fwd_chg_21d,0.002941
COP,21,macro_inflation_fwd_abs_chg_21d,0.002478
COP,21,ret_SPY,0.001774
COP,21,ret_TLT,0.000831
COP,21,ret_USO,0.000303
COP,21,ret_UUP,0.000236
COP,21,macro_dollar_ret,8.6e-05
COP,21,ret_TARGET,5.3e-05
COP,21,ret_VIXY,3.6e-05
COP,21,ret_HYG,1.9e-05
COP,63,rv_21d,0.16661
COP,63,rv_10d,0.080394
COP,63,res_vol,0.076026
COP,63,rv_126d,0.070955
COP,63,corr_sector_252d,0.057469
COP,63,macro_inflation_fwd_5y5y,0.034609
COP,63,event_nfp_gravity,0.034185
COP,63,event_fed_gravity,0.033083
COP,63,macro_breakeven_5y,0.03148
COP,63,ewma_vol,0.031009
COP,63,rv_63d,0.029834
COP,63,event_cpi_gravity,0.029331
COP,63,macro_hy_spread,0.027504
COP,63,beta_spy,0.024356
COP,63,rv_5d,0.021054
COP,63,price_regime,0.019222
COP,63,vol_of_vol,0.018604
COP,63,macro_yield_curve_slope,0.018029
COP,63,vol_regime_zscore,0.016909
COP,63,sector_wedge,0.015385
COP,63,tech_MACD_hist,0.014897
COP,63,mom21_USO,0.014059
COP,63,iv_atm_z_score,0.013094
COP,63,tech_RSI,0.012748
COP,63,mom21_HYG,0.01233
COP,63,event_div_gravity,0.01049
COP,63,garch_cond_vol,0.010183
COP,63,vol_chg_21d,0.009596
COP,63,term_structure_slope,0.009575
COP,63,mom21_VIXY,0.007685
COP,63,vrp_wedge,0.007226
COP,63,macro_inflation_fwd_zscore,0.006787
COP,63,event_earn_gravity,0.006158
COP,63,macro_inflation_fwd_chg_21d,0.00451
COP,63,macro_hy_spread_chg_5d,0.003871
COP,63,mom21_TLT,0.003769
COP,63,macro_inflation_fwd_chg_63d,0.002811
COP,63,corr_sector_21d,0.002332
COP,63,put_call_skew_30d,0.002228
COP,63,mom21_SPY,0.002191
COP,63,mom21_UUP,0.002109
