ticker,horizon,feature,mean_importance
CVS,21,rv_21d,0.088166
CVS,21,garch_cond_vol,0.082628
CVS,21,rv_10d,0.046538
CVS,21,ewma_vol,0.044077
CVS,21,term_structure_slope,0.044013
CVS,21,res_vol,0.03955
CVS,21,corr_sector_252d,0.035454
CVS,21,rv_63d,0.0344
CVS,21,iv_atm_z_score,0.03276
CVS,21,mom21_USO,0.030274
CVS,21,event_fed_gravity,0.02803
CVS,21,macro_yield_curve_slope,0.027732
CVS,21,event_nfp_gravity,0.027097
CVS,21,event_cpi_gravity,0.02602
CVS,21,vrp_wedge,0.025937
CVS,21,rv_126d,0.024222
CVS,21,corr_sector_21d,0.021891
CVS,21,event_earn_gravity,0.020408
CVS,21,tech_MACD_hist,0.018838
CVS,21,beta_spy,0.018457
CVS,21,macro_hy_spread,0.017362
CVS,21,macro_inflation_fwd_5y5y,0.016203
CVS,21,vol_of_vol,0.016131
CVS,21,mom21_VIXY,0.01595
CVS,21,macro_inflation_fwd_chg_63d,0.015889
CVS,21,vol_chg_21d,0.01543
CVS,21,mom21_HYG,0.014289
CVS,21,price_regime,0.013622
CVS,21,sector_wedge,0.013568
CVS,21,vol_regime_zscore,0.0133
CVS,21,macro_inflation_fwd_zscore,0.012745
CVS,21,macro_breakeven_5y,0.01264
CVS,21,put_call_skew_30d,0.012439
CVS,21,mom21_TLT,0.012296
CVS,21,macro_hy_spread_chg_5d,0.012088
CVS,21,tech_RSI,0.008937
CVS,21,rv_5d,0.00814
CVS,21,macro_inflation_fwd_chg_21d,0.007966
CVS,21,mom21_UUP,0.007725
CVS,21,res_vol_vel,0.007164
CVS,21,event_div_gravity,0.007133
CVS,21,mom21_SPY,0.006809
CVS,21,macro_inflation_fwd_abs_chg_21d,0.00603
CVS,21,ret_TARGET,0.003343
CVS,21,vol_vel,0.002906
CVS,21,ret_SPY,0.002351
CVS,21,ret_HYG,0.000492
CVS,21,macro_dollar_ret,0.000296
CVS,21,ret_VIXY,0.000191
CVS,21,ret_UUP,6.9e-05
CVS,21,ret_USO,0.0
CVS,21,ret_TLT,0.0
CVS,63,macro_yield_curve_slope,0.069873
CVS,63,res_vol,0.055051
CVS,63,event_cpi_gravity,0.04783
CVS,63,macro_inflation_fwd_5y5y,0.04775
CVS,63,beta_spy,0.047468
CVS,63,event_nfp_gravity,0.047199
CVS,63,event_fed_gravity,0.045896
CVS,63,mom21_HYG,0.045777
CVS,63,corr_sector_252d,0.045438
CVS,63,rv_63d,0.044621
CVS,63,rv_126d,0.034473
CVS,63,rv_21d,0.032375
CVS,63,sector_wedge,0.028269
CVS,63,macro_inflation_fwd_zscore,0.025901
CVS,63,vol_regime_zscore,0.025075
CVS,63,garch_cond_vol,0.02409
CVS,63,macro_breakeven_5y,0.023502
CVS,63,macro_inflation_fwd_chg_63d,0.023272
CVS,63,macro_hy_spread,0.021551
CVS,63,price_regime,0.021143
CVS,63,term_structure_slope,0.019963
CVS,63,ewma_vol,0.019705
CVS,63,iv_atm_z_score,0.017987
CVS,63,mom21_USO,0.016531
CVS,63,vol_chg_21d,0.015245
CVS,63,mom21_VIXY,0.015039
CVS,63,vol_of_vol,0.014258
CVS,63,mom21_UUP,0.01357
CVS,63,rv_10d,0.010628
CVS,63,event_div_gravity,0.010359
CVS,63,vrp_wedge,0.009754
CVS,63,corr_sector_21d,0.009523
CVS,63,mom21_TLT,0.009393
CVS,63,event_earn_gravity,0.008572
CVS,63,put_call_skew_30d,0.008404
CVS,63,tech_MACD_hist,0.008068
CVS,63,rv_5d,0.007815
CVS,63,macro_inflation_fwd_chg_21d,0.007467
CVS,63,mom21_SPY,0.006451
CVS,63,macro_hy_spread_chg_5d,0.004431
CVS,63,res_vol_vel,0.003474
CVS,63,tech_RSI,0.003173
CVS,63,macro_inflation_fwd_abs_chg_21d,0.001822
CVS,63,vol_vel,0.000853
CVS,63,ret_SPY,0.000494
CVS,63,ret_VIXY,0.000152
CVS,63,ret_UUP,0.000145
CVS,63,macro_dollar_ret,8e-05
CVS,63,ret_TARGET,4.5e-05
CVS,63,ret_USO,4.4e-05
CVS,63,ret_HYG,0.0
CVS,63,ret_TLT,0.0
CVS,126,macro_yield_curve_slope,0.087969
CVS,126,macro_inflation_fwd_5y5y,0.082012
CVS,126,event_nfp_gravity,0.073556
CVS,126,event_fed_gravity,0.069137
CVS,126,res_vol,0.065175
CVS,126,event_cpi_gravity,0.054194
CVS,126,beta_spy,0.049477
CVS,126,rv_126d,0.045359
CVS,126,rv_63d,0.039317
CVS,126,macro_breakeven_5y,0.035997
CVS,126,macro_hy_spread,0.031062
CVS,126,corr_sector_252d,0.029983
CVS,126,garch_cond_vol,0.027695
CVS,126,sector_wedge,0.026704
CVS,126,price_regime,0.025856
CVS,126,vol_regime_zscore,0.024136
CVS,126,macro_inflation_fwd_zscore,0.022797
CVS,126,macro_inflation_fwd_chg_63d,0.022675
CVS,126,rv_21d,0.022672
CVS,126,event_div_gravity,0.018758
CVS,126,mom21_HYG,0.014297
CVS,126,corr_sector_21d,0.013599
CVS,126,mom21_USO,0.013305
CVS,126,ewma_vol,0.012528
CVS,126,tech_MACD_hist,0.012186
CVS,126,mom21_VIXY,0.011866
CVS,126,rv_10d,0.008478
CVS,126,rv_5d,0.008404
CVS,126,mom21_TLT,0.006311
CVS,126,vol_of_vol,0.006195
CVS,126,term_structure_slope,0.005986
CVS,126,iv_atm_z_score,0.005963
CVS,126,vrp_wedge,0.005744
CVS,126,macro_hy_spread_chg_5d,0.003987
CVS,126,put_call_skew_30d,0.003713
CVS,126,macro_inflation_fwd_chg_21d,0.002486
CVS,126,vol_chg_21d,0.002459
CVS,126,mom21_UUP,0.002245
CVS,126,vol_vel,0.00199
CVS,126,tech_RSI,0.001288
CVS,126,mom21_SPY,0.001146
CVS,126,event_earn_gravity,0.000689
CVS,126,ret_UUP,0.000378
CVS,126,res_vol_vel,8.8e-05
CVS,126,ret_SPY,8.3e-05
CVS,126,ret_TARGET,5.7e-05
CVS,126,ret_VIXY,0.0
CVS,126,ret_HYG,0.0
CVS,126,ret_USO,0.0
CVS,126,ret_TLT,0.0
CVS,126,macro_inflation_fwd_abs_chg_21d,0.0
CVS,126,macro_dollar_ret,0.0
