ticker,horizon,feature,mean_importance
DUK,21,rv_10d,0.09145
DUK,21,ewma_vol,0.060762
DUK,21,rv_5d,0.056627
DUK,21,term_structure_slope,0.056198
DUK,21,rv_21d,0.055414
DUK,21,macro_inflation_fwd_5y5y,0.048382
DUK,21,macro_breakeven_5y,0.043878
DUK,21,rv_63d,0.031543
DUK,21,event_nfp_gravity,0.030979
DUK,21,mom21_VIXY,0.029338
DUK,21,macro_inflation_fwd_zscore,0.025683
DUK,21,iv_atm_z_score,0.025211
DUK,21,event_cpi_gravity,0.024773
DUK,21,corr_sector_252d,0.024569
DUK,21,macro_inflation_fwd_chg_63d,0.022699
DUK,21,vol_of_vol,0.021489
DUK,21,macro_yield_curve_slope,0.019831
DUK,21,res_vol,0.018427
DUK,21,event_fed_gravity,0.018281
DUK,21,macro_hy_spread,0.017756
DUK,21,garch_cond_vol,0.017705
DUK,21,rv_126d,0.017639
DUK,21,vrp_wedge,0.016352
DUK,21,price_regime,0.0162
DUK,21,res_vol_vel,0.016121
DUK,21,mom21_SPY,0.015459
DUK,21,mom21_TLT,0.014289
DUK,21,mom21_USO,0.014156
DUK,21,beta_spy,0.014076
DUK,21,mom21_HYG,0.014006
DUK,21,tech_MACD_hist,0.01131
DUK,21,vol_regime_zscore,0.011241
DUK,21,vol_chg_21d,0.010646
DUK,21,corr_sector_21d,0.010423
DUK,21,tech_RSI,0.010119
DUK,21,event_earn_gravity,0.009855
DUK,21,macro_hy_spread_chg_5d,0.009644
DUK,21,event_div_gravity,0.009609
DUK,21,sector_wedge,0.008937
DUK,21,mom21_UUP,0.005648
DUK,21,macro_inflation_fwd_chg_21d,0.005045
DUK,21,put_call_skew_30d,0.004555
DUK,21,vol_vel,0.004286
DUK,21,macro_inflation_fwd_abs_chg_21d,0.004087
DUK,21,ret_TARGET,0.001837
DUK,21,ret_SPY,0.001656
DUK,21,ret_VIXY,0.001199
DUK,21,ret_HYG,0.000368
DUK,21,macro_dollar_ret,0.000107
DUK,21,ret_UUP,9.4e-05
DUK,21,ret_USO,4.4e-05
DUK,21,ret_TLT,0.0
DUK,63,macro_inflation_fwd_5y5y,0.071219
DUK,63,macro_breakeven_5y,0.060215
DUK,63,rv_10d,0.047329
DUK,63,corr_sector_252d,0.045866
DUK,63,macro_inflation_fwd_zscore,0.044674
DUK,63,macro_yield_curve_slope,0.042574
DUK,63,rv_21d,0.040308
DUK,63,event_nfp_gravity,0.038638
DUK,63,rv_126d,0.038269
DUK,63,event_cpi_gravity,0.033332
DUK,63,res_vol,0.033033
DUK,63,rv_63d,0.032044
DUK,63,event_fed_gravity,0.030559
DUK,63,mom21_HYG,0.030441
DUK,63,mom21_VIXY,0.027842
DUK,63,term_structure_slope,0.027699
DUK,63,macro_inflation_fwd_chg_63d,0.027497
DUK,63,ewma_vol,0.027112
DUK,63,mom21_USO,0.026086
DUK,63,macro_inflation_fwd_chg_21d,0.025634
DUK,63,macro_hy_spread,0.023742
DUK,63,price_regime,0.020004
DUK,63,vol_of_vol,0.019433
DUK,63,beta_spy,0.019178
DUK,63,mom21_SPY,0.018356
DUK,63,garch_cond_vol,0.015087
DUK,63,iv_atm_z_score,0.012775
DUK,63,put_call_skew_30d,0.012607
DUK,63,corr_sector_21d,0.012142
DUK,63,vrp_wedge,0.010808
DUK,63,vol_regime_zscore,0.010716
DUK,63,event_div_gravity,0.010571
DUK,63,sector_wedge,0.010053
DUK,63,macro_inflation_fwd_abs_chg_21d,0.008278
DUK,63,vol_chg_21d,0.006669
DUK,63,mom21_TLT,0.006331
DUK,63,macro_hy_spread_chg_5d,0.005849
DUK,63,rv_5d,0.005093
DUK,63,res_vol_vel,0.004414
DUK,63,vol_vel,0.003798
DUK,63,tech_RSI,0.003737
DUK,63,tech_MACD_hist,0.003599
DUK,63,event_earn_gravity,0.003469
DUK,63,mom21_UUP,0.002641
DUK,63,ret_SPY,0.000278
DUK,63,ret_TARGET,0.0
DUK,63,ret_VIXY,0.0
DUK,63,ret_HYG,0.0
DUK,63,ret_USO,0.0
DUK,63,ret_TLT,0.0
DUK,63,ret_UUP,0.0
DUK,63,macro_dollar_ret,0.0
DUK,126,corr_sector_252d,0.078752
DUK,126,macro_inflation_fwd_5y5y,0.07769
DUK,126,macro_breakeven_5y,0.065897
DUK,126,macro_yield_curve_slope,0.064937
DUK,126,macro_inflation_fwd_zscore,0.056578
DUK,126,res_vol,0.053584
DUK,126,event_cpi_gravity,0.053583
DUK,126,event_nfp_gravity,0.047981
DUK,126,macro_hy_spread,0.047929
DUK,126,rv_21d,0.039592
DUK,126,event_fed_gravity,0.039545
DUK,126,rv_63d,0.03832
DUK,126,rv_126d,0.03324
DUK,126,price_regime,0.031057
DUK,126,beta_spy,0.025388
DUK,126,macro_inflation_fwd_chg_63d,0.025019
DUK,126,rv_10d,0.023733
DUK,126,ewma_vol,0.018348
DUK,126,vol_regime_zscore,0.017411
DUK,126,mom21_TLT,0.016273
DUK,126,rv_5d,0.014997
DUK,126,corr_sector_21d,0.013387
DUK,126,sector_wedge,0.011881
DUK,126,vol_chg_21d,0.011155
DUK,126,vrp_wedge,0.010994
DUK,126,vol_of_vol,0.009981
DUK,126,garch_cond_vol,0.009688
DUK,126,term_structure_slope,0.009623
DUK,126,mom21_VIXY,0.009245
DUK,126,event_div_gravity,0.008208
DUK,126,iv_atm_z_score,0.007706
DUK,126,mom21_HYG,0.005966
DUK,126,mom21_UUP,0.003127
DUK,126,macro_hy_spread_chg_5d,0.003111
DUK,126,mom21_USO,0.002981
DUK,126,macro_inflation_fwd_chg_21d,0.002565
DUK,126,mom21_SPY,0.002106
DUK,126,macro_inflation_fwd_abs_chg_21d,0.00192
DUK,126,vol_vel,0.001867
DUK,126,tech_MACD_hist,0.001841
DUK,126,event_earn_gravity,0.001801
DUK,126,put_call_skew_30d,0.000469
DUK,126,res_vol_vel,0.000443
DUK,126,tech_RSI,8.4e-05
DUK,126,ret_TARGET,0.0
DUK,126,ret_VIXY,0.0
