ticker,horizon,feature,mean_importance
F,21,rv_10d,0.102874
F,21,garch_cond_vol,0.082444
F,21,price_regime,0.078311
F,21,rv_21d,0.076911
F,21,event_nfp_gravity,0.05259
F,21,event_fed_gravity,0.049603
F,21,event_cpi_gravity,0.042361
F,21,ewma_vol,0.040277
F,21,rv_5d,0.037168
F,21,rv_63d,0.028188
F,21,mom21_USO,0.027843
F,21,corr_sector_21d,0.024633
F,21,rv_126d,0.024438
F,21,corr_sector_252d,0.024161
F,21,macro_hy_spread,0.022755
F,21,res_vol,0.022506
F,21,mom21_HYG,0.019178
F,21,vrp_wedge,0.018843
F,21,mom21_VIXY,0.018035
F,21,iv_atm_z_score,0.017259
F,21,macro_inflation_fwd_5y5y,0.015892
F,21,macro_breakeven_5y,0.014984
F,21,macro_yield_curve_slope,0.01442
F,21,vol_chg_21d,0.012417
F,21,vol_regime_zscore,0.011049
F,21,macro_inflation_fwd_zscore,0.010397
F,21,beta_spy,0.010343
F,21,event_div_gravity,0.009317
F,21,mom21_TLT,0.008917
F,21,sector_wedge,0.008522
F,21,macro_inflation_fwd_chg_21d,0.007801
F,21,event_earn_gravity,0.007496
F,21,mom21_UUP,0.0074
F,21,tech_RSI,0.007345
F,21,vol_of_vol,0.006832
F,21,mom21_SPY,0.006047
F,21,macro_inflation_fwd_chg_63d,0.005494
F,21,term_structure_slope,0.005479
F,21,tech_MACD_hist,0.003947
F,21,put_call_skew_30d,0.003708
F,21,macro_hy_spread_chg_5d,0.003397
F,21,macro_inflation_fwd_abs_chg_21d,0.002805
F,21,res_vol_vel,0.00196
F,21,ret_HYG,0.001299
F,21,vol_vel,0.000927
F,21,ret_SPY,0.000565
F,21,ret_VIXY,0.000264
F,21,ret_TARGET,0.000252
F,21,macro_dollar_ret,0.000131
F,21,ret_TLT,0.000123
F,21,ret_UUP,6.5e-05
F,21,ret_USO,2.6e-05
F,63,garch_cond_vol,0.087054
F,63,event_nfp_gravity,0.071038
F,63,event_fed_gravity,0.069432
F,63,event_cpi_gravity,0.068604
F,63,price_regime,0.068531
F,63,mom21_HYG,0.050835
F,63,rv_126d,0.047187
F,63,ewma_vol,0.039949
F,63,vrp_wedge,0.03547
F,63,macro_yield_curve_slope,0.030699
F,63,beta_spy,0.029676
F,63,rv_21d,0.028449
F,63,res_vol,0.028232
F,63,macro_hy_spread,0.025886
F,63,rv_63d,0.024712
F,63,corr_sector_252d,0.022817
F,63,macro_inflation_fwd_5y5y,0.018771
F,63,mom21_USO,0.018005
F,63,rv_10d,0.016253
F,63,vol_of_vol,0.016111
F,63,vol_regime_zscore,0.015798
F,63,macro_breakeven_5y,0.015419
F,63,macro_inflation_fwd_zscore,0.01525
F,63,iv_atm_z_score,0.015248
F,63,event_div_gravity,0.013019
F,63,mom21_VIXY,0.012023
F,63,vol_chg_21d,0.011956
F,63,put_call_skew_30d,0.011188
F,63,macro_inflation_fwd_chg_63d,0.010833
F,63,sector_wedge,0.010513
F,63,event_earn_gravity,0.009519
F,63,corr_sector_21d,0.009097
F,63,rv_5d,0.009069
F,63,macro_inflation_fwd_chg_21d,0.008958
F,63,mom21_TLT,0.008093
F,63,mom21_UUP,0.006167
F,63,tech_RSI,0.003197
F,63,term_structure_slope,0.002725
F,63,mom21_SPY,0.002364
F,63,macro_inflation_fwd_abs_chg_21d,0.002362
F,63,macro_hy_spread_chg_5d,0.002028
F,63,vol_vel,0.001948
F,63,tech_MACD_hist,0.001939
F,63,res_vol_vel,0.001369
F,63,ret_SPY,0.001066
F,63,macro_dollar_ret,0.000737
F,63,ret_UUP,0.000234
F,63,ret_TARGET,0.000157
F,63,ret_HYG,1.4e-05
F,63,ret_VIXY,0.0
F,63,ret_USO,0.0
F,63,ret_TLT,0.0
F,126,garch_cond_vol,0.095755
F,126,event_nfp_gravity,0.09433
F,126,event_fed_gravity,0.092947
F,126,event_cpi_gravity,0.091739
F,126,corr_sector_252d,0.050012
F,126,rv_126d,0.048189
F,126,macro_yield_curve_slope,0.044328
F,126,price_regime,0.039761
F,126,macro_inflation_fwd_5y5y,0.035372
F,126,rv_21d,0.034444
F,126,res_vol,0.03366
F,126,macro_hy_spread,0.028048
F,126,vrp_wedge,0.027858
F,126,rv_63d,0.027177
F,126,beta_spy,0.022967
F,126,macro_inflation_fwd_chg_63d,0.020556
F,126,macro_breakeven_5y,0.018173
F,126,event_div_gravity,0.018139
F,126,vol_regime_zscore,0.017981
F,126,macro_inflation_fwd_zscore,0.016586
F,126,vol_chg_21d,0.014564
F,126,rv_10d,0.012382
F,126,mom21_USO,0.011199
F,126,mom21_HYG,0.011197
F,126,iv_atm_z_score,0.010567
F,126,vol_of_vol,0.01046
F,126,mom21_VIXY,0.009525
F,126,ewma_vol,0.007885
F,126,mom21_TLT,0.007704
F,126,corr_sector_21d,0.007443
F,126,sector_wedge,0.00737
F,126,vol_vel,0.004416
F,126,res_vol_vel,0.004293
F,126,rv_5d,0.004145
F,126,term_structure_slope,0.003191
F,126,event_earn_gravity,0.002848
F,126,put_call_skew_30d,0.002627
F,126,macro_hy_spread_chg_5d,0.002428
F,126,tech_RSI,0.002107
F,126,mom21_UUP,0.001934
F,126,mom21_SPY,0.001228
F,126,macro_inflation_fwd_abs_chg_21d,0.00105
F,126,tech_MACD_hist,0.00067
F,126,ret_UUP,0.000383
F,126,macro_inflation_fwd_chg_21d,0.000296
F,126,macro_dollar_ret,2.4e-05
F,126,ret_TLT,2.1e-05
F,126,ret_SPY,1.9e-05
F,126,ret_TARGET,0.0
F,126,ret_VIXY,0.0
F,126,ret_HYG,0.0
F,126,ret_USO,0.0
