ticker,horizon,feature,mean_importance
GS,21,rv_5d,0.121722
GS,21,rv_10d,0.121284
GS,21,rv_21d,0.079959
GS,21,res_vol,0.059734
GS,21,price_regime,0.048567
GS,21,macro_hy_spread,0.047425
GS,21,ewma_vol,0.043275
GS,21,rv_63d,0.035168
GS,21,put_call_skew_30d,0.035009
GS,21,event_nfp_gravity,0.034535
GS,21,event_cpi_gravity,0.029013
GS,21,event_fed_gravity,0.025375
GS,21,macro_yield_curve_slope,0.018949
GS,21,iv_atm_z_score,0.018138
GS,21,corr_sector_252d,0.016026
GS,21,beta_spy,0.015798
GS,21,mom21_USO,0.014492
GS,21,vrp_wedge,0.014314
GS,21,macro_breakeven_5y,0.014233
GS,21,term_structure_slope,0.012716
GS,21,sector_wedge,0.012115
GS,21,mom21_VIXY,0.011396
GS,21,rv_126d,0.011251
GS,21,macro_inflation_fwd_zscore,0.010676
GS,21,garch_cond_vol,0.009896
GS,21,macro_inflation_fwd_5y5y,0.009864
GS,21,macro_inflation_fwd_chg_63d,0.009397
GS,21,tech_MACD_hist,0.009215
GS,21,macro_inflation_fwd_abs_chg_21d,0.008887
GS,21,vol_chg_21d,0.008114
GS,21,vol_regime_zscore,0.007971
GS,21,mom21_HYG,0.007423
GS,21,event_earn_gravity,0.00711
GS,21,macro_inflation_fwd_chg_21d,0.006852
GS,21,mom21_SPY,0.006774
GS,21,macro_hy_spread_chg_5d,0.006662
GS,21,mom21_UUP,0.006556
GS,21,vol_of_vol,0.006223
GS,21,corr_sector_21d,0.006041
GS,21,vol_vel,0.005992
GS,21,mom21_TLT,0.005934
GS,21,event_div_gravity,0.005695
GS,21,ret_SPY,0.005266
GS,21,tech_RSI,0.004839
GS,21,res_vol_vel,0.003111
GS,21,ret_VIXY,0.00036
GS,21,ret_TLT,0.000221
GS,21,ret_HYG,0.000171
GS,21,ret_USO,0.000106
GS,21,ret_TARGET,5.7e-05
GS,21,ret_UUP,5.4e-05
GS,21,macro_dollar_ret,3.7e-05
GS,63,event_nfp_gravity,0.095605
GS,63,event_cpi_gravity,0.083145
GS,63,rv_5d,0.07666
GS,63,event_fed_gravity,0.073253
GS,63,price_regime,0.054645
GS,63,corr_sector_252d,0.05321
GS,63,ewma_vol,0.050571
GS,63,rv_21d,0.043136
GS,63,put_call_skew_30d,0.038687
GS,63,rv_10d,0.036272
GS,63,macro_yield_curve_slope,0.031909
GS,63,macro_hy_spread,0.026404
GS,63,beta_spy,0.025703
GS,63,res_vol,0.023873
GS,63,rv_63d,0.023254
GS,63,rv_126d,0.023134
GS,63,garch_cond_vol,0.021707
GS,63,iv_atm_z_score,0.018919
GS,63,macro_inflation_fwd_5y5y,0.014576
GS,63,mom21_HYG,0.014563
GS,63,vol_chg_21d,0.014559
GS,63,event_div_gravity,0.013735
GS,63,macro_breakeven_5y,0.013188
GS,63,vol_of_vol,0.011913
GS,63,mom21_USO,0.011897
GS,63,sector_wedge,0.01186
GS,63,vol_regime_zscore,0.010776
GS,63,macro_inflation_fwd_zscore,0.010452
GS,63,term_structure_slope,0.008326
GS,63,mom21_TLT,0.006886
GS,63,mom21_VIXY,0.006447
GS,63,macro_inflation_fwd_chg_63d,0.006041
GS,63,macro_hy_spread_chg_5d,0.006033
GS,63,corr_sector_21d,0.005909
GS,63,vrp_wedge,0.005364
GS,63,tech_MACD_hist,0.005347
GS,63,vol_vel,0.004396
GS,63,mom21_UUP,0.00435
GS,63,macro_inflation_fwd_abs_chg_21d,0.004275
GS,63,mom21_SPY,0.002479
GS,63,event_earn_gravity,0.002149
GS,63,macro_inflation_fwd_chg_21d,0.002084
GS,63,ret_SPY,0.00182
GS,63,tech_RSI,0.000259
GS,63,res_vol_vel,0.000213
GS,63,ret_UUP,1.7e-05
GS,63,ret_TARGET,0.0
GS,63,ret_VIXY,0.0
GS,63,ret_HYG,0.0
GS,63,ret_USO,0.0
GS,63,ret_TLT,0.0
GS,63,macro_dollar_ret,0.0
GS,126,price_regime,0.129757
GS,126,event_nfp_gravity,0.11959
GS,126,event_cpi_gravity,0.115134
GS,126,corr_sector_252d,0.095587
GS,126,event_fed_gravity,0.086055
GS,126,macro_yield_curve_slope,0.044479
GS,126,macro_inflation_fwd_5y5y,0.035943
GS,126,beta_spy,0.031345
GS,126,macro_hy_spread,0.030266
GS,126,iv_atm_z_score,0.028171
GS,126,put_call_skew_30d,0.026653
GS,126,res_vol,0.026166
GS,126,rv_126d,0.021433
GS,126,event_div_gravity,0.020463
GS,126,rv_63d,0.016714
GS,126,macro_breakeven_5y,0.016352
GS,126,mom21_VIXY,0.015001
GS,126,sector_wedge,0.01469
GS,126,mom21_HYG,0.012398
GS,126,vol_of_vol,0.01108
GS,126,vol_regime_zscore,0.010349
GS,126,macro_inflation_fwd_chg_63d,0.009367
GS,126,macro_inflation_fwd_zscore,0.009264
GS,126,rv_5d,0.008931
GS,126,ewma_vol,0.007898
GS,126,mom21_TLT,0.007894
GS,126,rv_21d,0.007115
GS,126,mom21_USO,0.00568
GS,126,term_structure_slope,0.004853
GS,126,corr_sector_21d,0.004727
GS,126,vrp_wedge,0.004036
GS,126,tech_MACD_hist,0.003808
GS,126,mom21_SPY,0.003543
GS,126,rv_10d,0.003372
GS,126,garch_cond_vol,0.003036
GS,126,tech_RSI,0.002897
GS,126,macro_hy_spread_chg_5d,0.002822
GS,126,vol_chg_21d,0.001904
GS,126,event_earn_gravity,0.000438
GS,126,macro_inflation_fwd_chg_21d,0.00032
GS,126,mom21_UUP,0.000216
GS,126,macro_inflation_fwd_abs_chg_21d,0.000161
GS,126,vol_vel,9.1e-05
GS,126,ret_TARGET,0.0
GS,126,ret_VIXY,0.0
GS,126,ret_HYG,0.0
GS,126,ret_USO,0.0
GS,126,ret_TLT,0.0
GS,126,ret_UUP,0.0
GS,126,ret_SPY,0.0
GS,126,macro_dollar_ret,0.0
GS,126,res_vol_vel,0.0
