ticker,horizon,feature,mean_importance
IBM,21,rv_21d,0.124008
IBM,21,rv_5d,0.069619
IBM,21,rv_10d,0.062706
IBM,21,put_call_skew_30d,0.056238
IBM,21,iv_atm_z_score,0.04061
IBM,21,macro_inflation_fwd_zscore,0.030272
IBM,21,vrp_wedge,0.028841
IBM,21,rv_63d,0.027902
IBM,21,vol_of_vol,0.027738
IBM,21,macro_hy_spread,0.027225
IBM,21,tech_MACD_hist,0.02672
IBM,21,mom21_USO,0.026085
IBM,21,event_nfp_gravity,0.023238
IBM,21,ewma_vol,0.023208
IBM,21,macro_inflation_fwd_5y5y,0.023059
IBM,21,vol_regime_zscore,0.020696
IBM,21,corr_sector_252d,0.020694
IBM,21,term_structure_slope,0.020576
IBM,21,garch_cond_vol,0.020305
IBM,21,macro_breakeven_5y,0.019964
IBM,21,event_fed_gravity,0.019623
IBM,21,event_cpi_gravity,0.019345
IBM,21,res_vol,0.015818
IBM,21,macro_yield_curve_slope,0.014701
IBM,21,price_regime,0.014141
IBM,21,mom21_HYG,0.013764
IBM,21,rv_126d,0.013561
IBM,21,vol_chg_21d,0.012791
IBM,21,mom21_TLT,0.012649
IBM,21,beta_spy,0.011611
IBM,21,mom21_VIXY,0.011558
IBM,21,macro_inflation_fwd_chg_21d,0.011349
IBM,21,res_vol_vel,0.011163
IBM,21,event_earn_gravity,0.010665
IBM,21,mom21_SPY,0.010502
IBM,21,sector_wedge,0.010477
IBM,21,macro_inflation_fwd_chg_63d,0.0104
IBM,21,corr_sector_21d,0.010368
IBM,21,event_div_gravity,0.00842
IBM,21,tech_RSI,0.007671
IBM,21,vol_vel,0.006541
IBM,21,macro_inflation_fwd_abs_chg_21d,0.006459
IBM,21,mom21_UUP,0.005783
IBM,21,ret_SPY,0.004514
IBM,21,macro_hy_spread_chg_5d,0.003805
IBM,21,ret_VIXY,0.000968
IBM,21,ret_TLT,0.000639
IBM,21,ret_USO,0.000463
IBM,21,ret_TARGET,0.000306
IBM,21,ret_HYG,0.000124
IBM,21,macro_dollar_ret,8e-05
IBM,21,ret_UUP,3.8e-05
IBM,63,macro_inflation_fwd_zscore,0.057639
IBM,63,rv_21d,0.056935
IBM,63,event_nfp_gravity,0.055064
IBM,63,event_fed_gravity,0.054201
IBM,63,event_cpi_gravity,0.050918
IBM,63,mom21_USO,0.050637
IBM,63,mom21_HYG,0.038893
IBM,63,macro_yield_curve_slope,0.038265
IBM,63,vol_of_vol,0.037647
IBM,63,rv_10d,0.035683
IBM,63,macro_inflation_fwd_5y5y,0.034746
IBM,63,macro_breakeven_5y,0.03456
IBM,63,rv_126d,0.034115
IBM,63,corr_sector_252d,0.032634
IBM,63,macro_hy_spread,0.030529
IBM,63,rv_63d,0.027439
IBM,63,res_vol,0.026873
IBM,63,beta_spy,0.02161
IBM,63,price_regime,0.021585
IBM,63,mom21_VIXY,0.021202
IBM,63,garch_cond_vol,0.021201
IBM,63,vol_chg_21d,0.019084
IBM,63,event_div_gravity,0.016493
IBM,63,tech_MACD_hist,0.014753
IBM,63,ewma_vol,0.014154
IBM,63,rv_5d,0.013843
IBM,63,macro_inflation_fwd_chg_63d,0.013342
IBM,63,mom21_TLT,0.012812
IBM,63,vrp_wedge,0.012032
IBM,63,vol_regime_zscore,0.01165
IBM,63,iv_atm_z_score,0.010685
IBM,63,sector_wedge,0.009967
IBM,63,corr_sector_21d,0.008358
IBM,63,res_vol_vel,0.008276
IBM,63,macro_inflation_fwd_chg_21d,0.008253
IBM,63,put_call_skew_30d,0.008116
