ticker,horizon,feature,mean_importance
INTC,21,rv_21d,0.104036
INTC,21,garch_cond_vol,0.094349
INTC,21,rv_10d,0.054305
INTC,21,rv_5d,0.052565
INTC,21,rv_63d,0.04988
INTC,21,ewma_vol,0.044774
INTC,21,iv_atm_z_score,0.033319
INTC,21,res_vol,0.027501
INTC,21,macro_inflation_fwd_zscore,0.025805
INTC,21,corr_sector_252d,0.023981
INTC,21,event_cpi_gravity,0.023512
INTC,21,event_nfp_gravity,0.022967
INTC,21,macro_yield_curve_slope,0.022876
INTC,21,macro_inflation_fwd_5y5y,0.02107
INTC,21,event_fed_gravity,0.020866
INTC,21,vrp_wedge,0.020088
INTC,21,rv_126d,0.018686
INTC,21,mom21_USO,0.017964
INTC,21,macro_breakeven_5y,0.017814
INTC,21,corr_sector_21d,0.017555
INTC,21,term_structure_slope,0.017521
INTC,21,price_regime,0.016066
INTC,21,mom21_HYG,0.016042
INTC,21,macro_hy_spread,0.015297
INTC,21,vol_of_vol,0.015294
INTC,21,mom21_VIXY,0.015043
INTC,21,tech_MACD_hist,0.013286
INTC,21,macro_inflation_fwd_chg_63d,0.013033
INTC,21,event_div_gravity,0.012771
INTC,21,macro_inflation_fwd_chg_21d,0.012699
INTC,21,beta_spy,0.012543
INTC,21,macro_hy_spread_chg_5d,0.012198
INTC,21,event_earn_gravity,0.012168
INTC,21,vol_regime_zscore,0.011609
INTC,21,mom21_TLT,0.011218
INTC,21,sector_wedge,0.010934
INTC,21,vol_chg_21d,0.010872
INTC,21,vol_vel,0.010362
INTC,21,mom21_UUP,0.009752
INTC,21,res_vol_vel,0.008139
INTC,21,mom21_SPY,0.007605
INTC,21,put_call_skew_30d,0.007588
INTC,21,tech_RSI,0.006007
INTC,21,macro_inflation_fwd_abs_chg_21d,0.003342
INTC,21,ret_UUP,0.001603
INTC,21,ret_TARGET,0.001118
INTC,21,ret_TLT,0.000751
INTC,21,ret_SPY,0.000615
INTC,21,ret_HYG,0.000435
INTC,21,macro_dollar_ret,8.2e-05
INTC,21,ret_VIXY,4.6e-05
INTC,21,ret_USO,4.6e-05
INTC,63,res_vol,0.104488
INTC,63,rv_21d,0.078771
INTC,63,rv_63d,0.049691
INTC,63,rv_10d,0.047966
INTC,63,macro_yield_curve_slope,0.041248
INTC,63,event_nfp_gravity,0.035536
INTC,63,event_fed_gravity,0.032495
INTC,63,event_cpi_gravity,0.032106
INTC,63,beta_spy,0.031918
INTC,63,garch_cond_vol,0.030932
INTC,63,rv_126d,0.029742
INTC,63,macro_inflation_fwd_5y5y,0.028999
INTC,63,mom21_USO,0.028201
INTC,63,vol_regime_zscore,0.028089
INTC,63,corr_sector_252d,0.024728
INTC,63,mom21_VIXY,0.023435
INTC,63,ewma_vol,0.023062
INTC,63,macro_breakeven_5y,0.022677
INTC,63,price_regime,0.022404
INTC,63,macro_hy_spread,0.021614
INTC,63,mom21_HYG,0.021039
INTC,63,iv_atm_z_score,0.019712
INTC,63,macro_inflation_fwd_chg_63d,0.019459
INTC,63,macro_inflation_fwd_zscore,0.019186
INTC,63,rv_5d,0.019084
INTC,63,vol_of_vol,0.01816
INTC,63,vrp_wedge,0.016705
INTC,63,event_div_gravity,0.014374
INTC,63,vol_chg_21d,0.01255
INTC,63,macro_inflation_fwd_chg_21d,0.011913
INTC,63,sector_wedge,0.011098
INTC,63,vol_vel,0.010342
INTC,63,corr_sector_21d,0.010098
INTC,63,mom21_UUP,0.009277
INTC,63,mom21_TLT,0.008646
INTC,63,macro_hy_spread_chg_5d,0.006891
INTC,63,event_earn_gravity,0.006699
INTC,63,tech_MACD_hist,0.005678
INTC,63,put_call_skew_30d,0.004507
INTC,63,macro_inflation_fwd_abs_chg_21d,0.004299
INTC,63,mom21_SPY,0.003817
INTC,63,res_vol_vel,0.003612
INTC,63,term_structure_slope,0.002926
INTC,63,tech_RSI,0.001803
INTC,63,ret_VIXY,2.4e-05
INTC,63,ret_TARGET,0.0
INTC,63,ret_HYG,0.0
INTC,63,ret_USO,0.0
INTC,63,ret_TLT,0.0
INTC,63,ret_UUP,0.0
INTC,63,ret_SPY,0.0
INTC,63,macro_dollar_ret,0.0
INTC,126,res_vol,0.117096
INTC,126,macro_yield_curve_slope,0.075513
INTC,126,rv_21d,0.070748
INTC,126,beta_spy,0.055646
INTC,126,event_nfp_gravity,0.049581
INTC,126,rv_126d,0.047423
INTC,126,macro_hy_spread,0.047125
INTC,126,macro_inflation_fwd_5y5y,0.040821
INTC,126,event_cpi_gravity,0.039463
INTC,126,event_fed_gravity,0.035846
INTC,126,price_regime,0.030597
INTC,126,rv_63d,0.030426
INTC,126,corr_sector_252d,0.03025
INTC,126,vol_regime_zscore,0.029572
INTC,126,macro_breakeven_5y,0.027682
INTC,126,event_div_gravity,0.026669
INTC,126,macro_inflation_fwd_zscore,0.024916
INTC,126,garch_cond_vol,0.024332
INTC,126,vol_of_vol,0.020386
INTC,126,mom21_USO,0.018444
INTC,126,macro_inflation_fwd_chg_63d,0.012053
INTC,126,corr_sector_21d,0.012006
INTC,126,macro_inflation_fwd_abs_chg_21d,0.011711
INTC,126,mom21_HYG,0.011087
INTC,126,vrp_wedge,0.010579
INTC,126,iv_atm_z_score,0.009632
INTC,126,macro_hy_spread_chg_5d,0.009407
INTC,126,tech_RSI,0.009137
INTC,126,mom21_VIXY,0.008641
INTC,126,ewma_vol,0.007824
INTC,126,mom21_TLT,0.007378
INTC,126,sector_wedge,0.006597
INTC,126,vol_vel,0.006227
INTC,126,tech_MACD_hist,0.004886
INTC,126,rv_10d,0.004861
INTC,126,event_earn_gravity,0.004378
INTC,126,mom21_UUP,0.003833
INTC,126,put_call_skew_30d,0.003632
INTC,126,macro_inflation_fwd_chg_21d,0.003312
INTC,126,vol_chg_21d,0.003059
INTC,126,rv_5d,0.002357
INTC,126,mom21_SPY,0.002183
INTC,126,term_structure_slope,0.001772
INTC,126,res_vol_vel,0.000588
INTC,126,ret_USO,0.000204
INTC,126,macro_dollar_ret,0.00012
INTC,126,ret_TARGET,0.0
INTC,126,ret_VIXY,0.0
INTC,126,ret_HYG,0.0
INTC,126,ret_TLT,0.0
INTC,126,ret_UUP,0.0
INTC,126,ret_SPY,0.0
