ticker,horizon,feature,mean_importance
LLY,21,rv_21d,0.126901
LLY,21,res_vol,0.068955
LLY,21,iv_atm_z_score,0.059337
LLY,21,ewma_vol,0.058344
LLY,21,rv_5d,0.046289
LLY,21,garch_cond_vol,0.043774
LLY,21,rv_10d,0.03808
LLY,21,rv_63d,0.036924
LLY,21,term_structure_slope,0.032478
LLY,21,macro_inflation_fwd_5y5y,0.030253
LLY,21,event_nfp_gravity,0.029611
LLY,21,macro_breakeven_5y,0.027393
LLY,21,macro_inflation_fwd_zscore,0.02164
LLY,21,event_fed_gravity,0.019198
LLY,21,mom21_VIXY,0.018887
LLY,21,corr_sector_252d,0.018857
LLY,21,event_cpi_gravity,0.018747
LLY,21,mom21_SPY,0.017146
LLY,21,put_call_skew_30d,0.016337
LLY,21,macro_hy_spread,0.016306
LLY,21,mom21_HYG,0.016279
LLY,21,macro_yield_curve_slope,0.016091
LLY,21,beta_spy,0.015908
LLY,21,vol_regime_zscore,0.01464
LLY,21,res_vol_vel,0.013392
LLY,21,rv_126d,0.013118
LLY,21,tech_MACD_hist,0.012734
LLY,21,vrp_wedge,0.01264
LLY,21,macro_inflation_fwd_chg_63d,0.011746
LLY,21,price_regime,0.011678
LLY,21,macro_inflation_fwd_chg_21d,0.011327
LLY,21,sector_wedge,0.01013
LLY,21,vol_vel,0.009967
LLY,21,mom21_USO,0.009839
LLY,21,macro_hy_spread_chg_5d,0.009777
LLY,21,vol_of_vol,0.009699
LLY,21,mom21_UUP,0.009279
LLY,21,corr_sector_21d,0.009256
LLY,21,vol_chg_21d,0.009115
LLY,21,mom21_TLT,0.00806
LLY,21,tech_RSI,0.007871
LLY,21,macro_inflation_fwd_abs_chg_21d,0.006626
LLY,21,ret_SPY,0.002804
LLY,21,ret_VIXY,0.00057
LLY,21,ret_UUP,0.000536
LLY,21,ret_TLT,0.000501
LLY,21,macro_dollar_ret,0.000372
LLY,21,ret_USO,0.000241
LLY,21,ret_TARGET,0.000175
LLY,21,ret_HYG,0.000169
LLY,21,event_earn_gravity,0.0
LLY,21,event_div_gravity,0.0
LLY,63,rv_21d,0.074395
LLY,63,iv_atm_z_score,0.061352
LLY,63,macro_inflation_fwd_5y5y,0.052155
LLY,63,rv_126d,0.04871
LLY,63,res_vol,0.043977
LLY,63,macro_breakeven_5y,0.043768
LLY,63,macro_yield_curve_slope,0.043635
LLY,63,event_nfp_gravity,0.038175
LLY,63,event_fed_gravity,0.036478
LLY,63,vol_chg_21d,0.036402
LLY,63,ewma_vol,0.036397
LLY,63,rv_10d,0.036282
LLY,63,garch_cond_vol,0.034605
LLY,63,event_cpi_gravity,0.033005
LLY,63,corr_sector_252d,0.026888
LLY,63,mom21_HYG,0.026811
LLY,63,rv_63d,0.026224
LLY,63,vol_regime_zscore,0.02593
LLY,63,macro_inflation_fwd_zscore,0.022252
LLY,63,macro_hy_spread,0.019728
LLY,63,beta_spy,0.017745
LLY,63,price_regime,0.017497
LLY,63,term_structure_slope,0.016844
LLY,63,macro_inflation_fwd_chg_63d,0.016478
LLY,63,vrp_wedge,0.015947
LLY,63,mom21_USO,0.014868
LLY,63,sector_wedge,0.014566
LLY,63,put_call_skew_30d,0.012286
LLY,63,rv_5d,0.012043
LLY,63,vol_of_vol,0.011681
LLY,63,mom21_VIXY,0.011394
LLY,63,corr_sector_21d,0.010475
LLY,63,tech_MACD_hist,0.009848
LLY,63,tech_RSI,0.008782
LLY,63,macro_inflation_fwd_chg_21d,0.00736
LLY,63,mom21_SPY,0.006488
LLY,63,mom21_TLT,0.00607
LLY,63,vol_vel,0.005391
LLY,63,macro_inflation_fwd_abs_chg_21d,0.004951
LLY,63,mom21_UUP,0.004696
LLY,63,macro_hy_spread_chg_5d,0.004381
LLY,63,res_vol_vel,0.002282
LLY,63,ret_SPY,0.000509
LLY,63,ret_TLT,0.000223
LLY,63,ret_VIXY,2.8e-05
LLY,63,ret_TARGET,0.0
LLY,63,ret_HYG,0.0
LLY,63,ret_USO,0.0
LLY,63,ret_UUP,0.0
LLY,63,event_earn_gravity,0.0
LLY,63,event_div_gravity,0.0
LLY,63,macro_dollar_ret,0.0
LLY,126,macro_yield_curve_slope,0.081061
LLY,126,macro_inflation_fwd_5y5y,0.073149
LLY,126,rv_126d,0.072385
LLY,126,event_cpi_gravity,0.054447
LLY,126,macro_breakeven_5y,0.053052
LLY,126,rv_63d,0.050584
LLY,126,event_nfp_gravity,0.048843
LLY,126,event_fed_gravity,0.046538
LLY,126,res_vol,0.045598
LLY,126,corr_sector_252d,0.04129
LLY,126,beta_spy,0.032179
LLY,126,garch_cond_vol,0.031492
LLY,126,macro_hy_spread,0.029765
LLY,126,mom21_TLT,0.028644
LLY,126,iv_atm_z_score,0.028134
LLY,126,macro_inflation_fwd_zscore,0.02673
LLY,126,vol_regime_zscore,0.025827
LLY,126,rv_21d,0.024865
LLY,126,mom21_HYG,0.022988
LLY,126,price_regime,0.021587
LLY,126,macro_inflation_fwd_chg_63d,0.017469
LLY,126,term_structure_slope,0.016589
LLY,126,vol_chg_21d,0.015805
LLY,126,rv_10d,0.015409
LLY,126,ewma_vol,0.01415
LLY,126,mom21_USO,0.013827
LLY,126,mom21_VIXY,0.010475
LLY,126,vol_of_vol,0.009681
LLY,126,vrp_wedge,0.008077
LLY,126,sector_wedge,0.006804
LLY,126,tech_RSI,0.004634
LLY,126,tech_MACD_hist,0.004554
LLY,126,mom21_UUP,0.004301
LLY,126,corr_sector_21d,0.004113
LLY,126,mom21_SPY,0.003742
LLY,126,rv_5d,0.003209
LLY,126,put_call_skew_30d,0.002041
LLY,126,vol_vel,0.001964
LLY,126,macro_hy_spread_chg_5d,0.001738
LLY,126,macro_inflation_fwd_chg_21d,0.001698
LLY,126,res_vol_vel,0.000454
LLY,126,macro_inflation_fwd_abs_chg_21d,0.000109
LLY,126,ret_TARGET,0.0
LLY,126,ret_VIXY,0.0
LLY,126,ret_HYG,0.0
LLY,126,ret_USO,0.0
LLY,126,ret_TLT,0.0
LLY,126,ret_UUP,0.0
LLY,126,ret_SPY,0.0
LLY,126,event_earn_gravity,0.0
LLY,126,event_div_gravity,0.0
LLY,126,macro_dollar_ret,0.0
