ticker,horizon,feature,mean_importance
LMT,21,rv_5d,0.118779
LMT,21,rv_10d,0.072356
LMT,21,ewma_vol,0.051616
LMT,21,term_structure_slope,0.048928
LMT,21,iv_atm_z_score,0.045866
LMT,21,rv_21d,0.037819
LMT,21,event_nfp_gravity,0.034406
LMT,21,event_cpi_gravity,0.033704
LMT,21,event_fed_gravity,0.032003
LMT,21,corr_sector_252d,0.031369
LMT,21,rv_63d,0.029743
LMT,21,mom21_USO,0.028742
LMT,21,mom21_SPY,0.025996
LMT,21,res_vol,0.025898
LMT,21,garch_cond_vol,0.021448
LMT,21,mom21_VIXY,0.019972
LMT,21,macro_yield_curve_slope,0.019021
LMT,21,macro_breakeven_5y,0.018694
LMT,21,tech_MACD_hist,0.018252
LMT,21,rv_126d,0.017988
LMT,21,macro_hy_spread,0.016574
LMT,21,vol_regime_zscore,0.016056
LMT,21,macro_inflation_fwd_chg_21d,0.015015
LMT,21,sector_wedge,0.014915
LMT,21,macro_hy_spread_chg_5d,0.014811
LMT,21,macro_inflation_fwd_zscore,0.014635
LMT,21,macro_inflation_fwd_5y5y,0.013997
LMT,21,mom21_TLT,0.013507
LMT,21,corr_sector_21d,0.013132
LMT,21,macro_inflation_fwd_abs_chg_21d,0.01307
LMT,21,macro_inflation_fwd_chg_63d,0.01288
LMT,21,vol_vel,0.012202
LMT,21,beta_spy,0.011667
LMT,21,vrp_wedge,0.011564
LMT,21,put_call_skew_30d,0.010828
LMT,21,vol_of_vol,0.01065
LMT,21,mom21_HYG,0.010549
LMT,21,price_regime,0.00991
LMT,21,mom21_UUP,0.008927
LMT,21,vol_chg_21d,0.007637
LMT,21,res_vol_vel,0.006987
LMT,21,tech_RSI,0.005094
LMT,21,ret_SPY,0.001616
LMT,21,ret_VIXY,0.000275
LMT,21,macro_dollar_ret,0.000223
LMT,21,ret_TARGET,0.000221
LMT,21,ret_USO,0.000168
LMT,21,ret_TLT,0.000118
LMT,21,ret_UUP,8.9e-05
LMT,21,ret_HYG,8.5e-05
LMT,21,event_earn_gravity,0.0
LMT,21,event_div_gravity,0.0
LMT,63,event_nfp_gravity,0.06767
LMT,63,event_fed_gravity,0.067616
LMT,63,event_cpi_gravity,0.062457
LMT,63,macro_yield_curve_slope,0.050899
LMT,63,corr_sector_252d,0.046522
LMT,63,rv_10d,0.044106
LMT,63,rv_21d,0.038581
LMT,63,res_vol,0.035304
LMT,63,mom21_VIXY,0.034575
LMT,63,ewma_vol,0.03418
LMT,63,rv_5d,0.031905
LMT,63,macro_breakeven_5y,0.03107
LMT,63,macro_inflation_fwd_5y5y,0.030651
LMT,63,rv_63d,0.030312
LMT,63,mom21_HYG,0.029643
LMT,63,mom21_USO,0.029292
LMT,63,macro_hy_spread,0.027341
LMT,63,rv_126d,0.026889
LMT,63,mom21_SPY,0.026094
LMT,63,iv_atm_z_score,0.024272
LMT,63,garch_cond_vol,0.019569
LMT,63,beta_spy,0.018885
LMT,63,macro_inflation_fwd_zscore,0.018472
LMT,63,macro_inflation_fwd_chg_63d,0.015095
LMT,63,vol_regime_zscore,0.013438
LMT,63,vol_of_vol,0.013223
LMT,63,tech_MACD_hist,0.013149
LMT,63,vol_vel,0.012963
LMT,63,mom21_TLT,0.012299
LMT,63,vol_chg_21d,0.011507
LMT,63,sector_wedge,0.009527
LMT,63,corr_sector_21d,0.009126
LMT,63,price_regime,0.009068
LMT,63,macro_hy_spread_chg_5d,0.008685
LMT,63,put_call_skew_30d,0.007863
LMT,63,mom21_UUP,0.007302
LMT,63,tech_RSI,0.006647
LMT,63,vrp_wedge,0.006268
LMT,63,term_structure_slope,0.005703
LMT,63,macro_inflation_fwd_chg_21d,0.00544
LMT,63,macro_inflation_fwd_abs_chg_21d,0.00295
LMT,63,ret_SPY,0.001819
LMT,63,res_vol_vel,0.001178
LMT,63,ret_VIXY,0.000256
LMT,63,ret_TARGET,0.000109
LMT,63,macro_dollar_ret,3.2e-05
LMT,63,ret_HYG,2.7e-05
LMT,63,ret_USO,2.3e-05
LMT,63,ret_TLT,0.0
LMT,63,ret_UUP,0.0
LMT,63,event_earn_gravity,0.0
LMT,63,event_div_gravity,0.0
LMT,126,event_nfp_gravity,0.090123
LMT,126,event_cpi_gravity,0.086786
LMT,126,event_fed_gravity,0.082697
LMT,126,macro_yield_curve_slope,0.062522
LMT,126,corr_sector_252d,0.051276
LMT,126,beta_spy,0.044172
LMT,126,macro_hy_spread,0.044148
LMT,126,macro_inflation_fwd_5y5y,0.040458
LMT,126,macro_breakeven_5y,0.039732
LMT,126,vol_chg_21d,0.037602
LMT,126,rv_126d,0.034667
LMT,126,rv_63d,0.031525
LMT,126,res_vol,0.02924
LMT,126,macro_inflation_fwd_zscore,0.02633
LMT,126,rv_21d,0.026172
LMT,126,rv_10d,0.016589
LMT,126,ewma_vol,0.016332
LMT,126,macro_inflation_fwd_chg_63d,0.016205
LMT,126,mom21_HYG,0.015747
LMT,126,rv_5d,0.015148
LMT,126,sector_wedge,0.014924
LMT,126,vol_regime_zscore,0.014452
LMT,126,mom21_TLT,0.014273
LMT,126,corr_sector_21d,0.013511
LMT,126,mom21_VIXY,0.013324
LMT,126,tech_MACD_hist,0.013201
LMT,126,put_call_skew_30d,0.012548
LMT,126,iv_atm_z_score,0.011979
LMT,126,tech_RSI,0.010599
LMT,126,vol_of_vol,0.010492
LMT,126,garch_cond_vol,0.008459
LMT,126,vol_vel,0.007654
LMT,126,price_regime,0.007619
LMT,126,mom21_USO,0.006949
LMT,126,macro_hy_spread_chg_5d,0.005029
LMT,126,term_structure_slope,0.004836
LMT,126,mom21_UUP,0.004716
LMT,126,vrp_wedge,0.004352
LMT,126,mom21_SPY,0.004265
LMT,126,macro_inflation_fwd_abs_chg_21d,0.003373
LMT,126,res_vol_vel,0.00292
LMT,126,macro_inflation_fwd_chg_21d,0.002578
LMT,126,ret_TLT,0.000378
LMT,126,ret_SPY,6.5e-05
LMT,126,ret_VIXY,3.1e-05
LMT,126,ret_TARGET,0.0
LMT,126,ret_HYG,0.0
LMT,126,ret_USO,0.0
LMT,126,ret_UUP,0.0
LMT,126,event_earn_gravity,0.0
LMT,126,event_div_gravity,0.0
LMT,126,macro_dollar_ret,0.0
