ticker,horizon,feature,mean_importance
MO,21,rv_21d,0.103374
MO,21,rv_63d,0.067141
MO,21,rv_10d,0.054835
MO,21,macro_yield_curve_slope,0.044183
MO,21,rv_5d,0.039678
MO,21,iv_atm_z_score,0.035821
MO,21,macro_inflation_fwd_zscore,0.035538
MO,21,macro_inflation_fwd_5y5y,0.035328
MO,21,res_vol,0.033687
MO,21,rv_126d,0.030906
MO,21,event_nfp_gravity,0.029468
MO,21,macro_breakeven_5y,0.025949
MO,21,mom21_USO,0.024743
MO,21,beta_spy,0.023189
MO,21,event_cpi_gravity,0.022322
MO,21,event_fed_gravity,0.022298
MO,21,mom21_VIXY,0.020226
MO,21,mom21_TLT,0.020198
MO,21,term_structure_slope,0.01949
MO,21,mom21_SPY,0.019395
MO,21,mom21_HYG,0.018533
MO,21,corr_sector_252d,0.018267
MO,21,tech_RSI,0.01738
MO,21,vol_of_vol,0.017371
MO,21,tech_MACD_hist,0.017081
MO,21,price_regime,0.016613
MO,21,vol_chg_21d,0.016125
MO,21,macro_hy_spread,0.015507
MO,21,macro_inflation_fwd_chg_21d,0.014721
MO,21,corr_sector_21d,0.014579
MO,21,macro_hy_spread_chg_5d,0.013397
MO,21,macro_inflation_fwd_chg_63d,0.013119
MO,21,garch_cond_vol,0.011817
MO,21,vrp_wedge,0.011481
MO,21,mom21_UUP,0.010602
MO,21,vol_regime_zscore,0.010515
MO,21,sector_wedge,0.008795
MO,21,ewma_vol,0.008091
MO,21,ret_SPY,0.006961
MO,21,res_vol_vel,0.006919
MO,21,macro_inflation_fwd_abs_chg_21d,0.006327
MO,21,put_call_skew_30d,0.005961
MO,21,ret_HYG,0.004108
MO,21,vol_vel,0.003278
MO,21,ret_TARGET,0.002276
MO,21,ret_TLT,0.000993
MO,21,ret_USO,0.000913
MO,21,ret_VIXY,0.000323
MO,21,ret_UUP,0.000135
MO,21,macro_dollar_ret,4e-05
MO,21,event_earn_gravity,0.0
MO,21,event_div_gravity,0.0
MO,63,rv_63d,0.072757
MO,63,macro_yield_curve_slope,0.05796
MO,63,event_nfp_gravity,0.055019
MO,63,price_regime,0.05429
MO,63,event_fed_gravity,0.052333
MO,63,event_cpi_gravity,0.046498
MO,63,res_vol,0.045215
MO,63,macro_inflation_fwd_zscore,0.044697
MO,63,macro_inflation_fwd_5y5y,0.043449
MO,63,rv_21d,0.039437
MO,63,corr_sector_252d,0.033755
MO,63,rv_126d,0.03238
MO,63,macro_breakeven_5y,0.030744
MO,63,rv_10d,0.03024
MO,63,mom21_HYG,0.027054
MO,63,iv_atm_z_score,0.026807
MO,63,beta_spy,0.026043
MO,63,ewma_vol,0.025562
MO,63,mom21_USO,0.023855
MO,63,vol_regime_zscore,0.020915
MO,63,rv_5d,0.020622
MO,63,mom21_TLT,0.019116
MO,63,macro_hy_spread,0.018675
MO,63,macro_inflation_fwd_chg_63d,0.017636
MO,63,vol_chg_21d,0.016953
MO,63,garch_cond_vol,0.014116
MO,63,term_structure_slope,0.012696
MO,63,mom21_VIXY,0.012655
MO,63,vol_of_vol,0.010416
MO,63,sector_wedge,0.008087
MO,63,vrp_wedge,0.007854
MO,63,corr_sector_21d,0.007783
MO,63,macro_hy_spread_chg_5d,0.006794
MO,63,mom21_UUP,0.006319
MO,63,macro_inflation_fwd_chg_21d,0.005321
MO,63,tech_RSI,0.004997
MO,63,macro_inflation_fwd_abs_chg_21d,0.004502
MO,63,tech_MACD_hist,0.004133
MO,63,mom21_SPY,0.003593
MO,63,put_call_skew_30d,0.002671
MO,63,res_vol_vel,0.00188
MO,63,vol_vel,0.001442
MO,63,ret_SPY,0.001147
MO,63,ret_TLT,0.001059
MO,63,ret_VIXY,0.00025
MO,63,ret_TARGET,0.000249
MO,63,macro_dollar_ret,2.8e-05
MO,63,ret_HYG,0.0
MO,63,ret_USO,0.0
MO,63,ret_UUP,0.0
MO,63,event_earn_gravity,0.0
MO,63,event_div_gravity,0.0
MO,126,price_regime,0.109259
MO,126,corr_sector_252d,0.080009
MO,126,macro_yield_curve_slope,0.07222
MO,126,macro_inflation_fwd_5y5y,0.055914
MO,126,event_fed_gravity,0.055677
MO,126,event_nfp_gravity,0.055347
MO,126,res_vol,0.052683
MO,126,macro_inflation_fwd_zscore,0.05218
MO,126,event_cpi_gravity,0.051943
MO,126,rv_63d,0.045178
MO,126,rv_126d,0.037767
MO,126,rv_21d,0.034572
MO,126,macro_breakeven_5y,0.032084
MO,126,macro_hy_spread,0.030773
MO,126,macro_inflation_fwd_chg_63d,0.028304
MO,126,beta_spy,0.02787
MO,126,vol_of_vol,0.016486
MO,126,sector_wedge,0.015751
MO,126,mom21_HYG,0.014483
MO,126,mom21_TLT,0.013813
MO,126,ewma_vol,0.013784
MO,126,vol_regime_zscore,0.012888
MO,126,corr_sector_21d,0.010271
MO,126,mom21_USO,0.009914
MO,126,vrp_wedge,0.008247
MO,126,rv_10d,0.008012
MO,126,vol_chg_21d,0.007272
MO,126,macro_inflation_fwd_chg_21d,0.007064
MO,126,mom21_VIXY,0.007025
MO,126,rv_5d,0.006437
MO,126,macro_hy_spread_chg_5d,0.004408
MO,126,mom21_SPY,0.004179
MO,126,tech_RSI,0.003249
MO,126,mom21_UUP,0.003185
MO,126,garch_cond_vol,0.003132
MO,126,put_call_skew_30d,0.002061
MO,126,vol_vel,0.001704
MO,126,tech_MACD_hist,0.001657
MO,126,term_structure_slope,0.001595
MO,126,iv_atm_z_score,0.001072
MO,126,res_vol_vel,0.000175
MO,126,ret_TARGET,0.000135
MO,126,macro_inflation_fwd_abs_chg_21d,8e-05
MO,126,ret_UUP,6.8e-05
MO,126,ret_TLT,4.8e-05
MO,126,ret_SPY,2.3e-05
MO,126,ret_VIXY,0.0
MO,126,ret_HYG,0.0
MO,126,ret_USO,0.0
MO,126,event_earn_gravity,0.0
MO,126,event_div_gravity,0.0
MO,126,macro_dollar_ret,0.0
