ticker,horizon,feature,mean_importance
MPC,21,rv_21d,0.122168
MPC,21,rv_63d,0.092424
MPC,21,ewma_vol,0.079667
MPC,21,event_fed_gravity,0.04695
MPC,21,event_cpi_gravity,0.046364
MPC,21,rv_10d,0.039531
MPC,21,event_nfp_gravity,0.038359
MPC,21,term_structure_slope,0.034261
MPC,21,macro_inflation_fwd_5y5y,0.031315
MPC,21,vol_vel,0.029107
MPC,21,price_regime,0.028556
MPC,21,iv_atm_z_score,0.024548
MPC,21,vol_of_vol,0.023348
MPC,21,rv_5d,0.022353
MPC,21,vol_chg_21d,0.020745
MPC,21,res_vol,0.020054
MPC,21,garch_cond_vol,0.019015
MPC,21,macro_hy_spread,0.018779
MPC,21,mom21_USO,0.018722
MPC,21,macro_inflation_fwd_chg_21d,0.016658
MPC,21,macro_inflation_fwd_zscore,0.015579
MPC,21,corr_sector_252d,0.015036
MPC,21,vol_regime_zscore,0.014925
MPC,21,mom21_TLT,0.014068
MPC,21,macro_breakeven_5y,0.01349
MPC,21,vrp_wedge,0.012908
MPC,21,mom21_VIXY,0.012614
MPC,21,rv_126d,0.011663
MPC,21,mom21_HYG,0.011139
MPC,21,tech_MACD_hist,0.009914
MPC,21,put_call_skew_30d,0.009817
MPC,21,mom21_SPY,0.00974
MPC,21,macro_yield_curve_slope,0.009333
MPC,21,macro_inflation_fwd_chg_63d,0.00931
MPC,21,corr_sector_21d,0.007914
MPC,21,mom21_UUP,0.00771
MPC,21,beta_spy,0.007088
MPC,21,macro_inflation_fwd_abs_chg_21d,0.006513
MPC,21,sector_wedge,0.006338
MPC,21,macro_hy_spread_chg_5d,0.006118
MPC,21,tech_RSI,0.00555
MPC,21,res_vol_vel,0.005045
MPC,21,ret_SPY,0.002785
MPC,21,ret_HYG,0.001762
MPC,21,ret_VIXY,0.000302
MPC,21,ret_TARGET,0.000149
MPC,21,ret_UUP,0.000138
MPC,21,ret_TLT,6.8e-05
MPC,21,macro_dollar_ret,4.1e-05
MPC,21,ret_USO,1.8e-05
MPC,21,event_earn_gravity,0.0
MPC,21,event_div_gravity,0.0
MPC,63,rv_21d,0.147908
MPC,63,rv_63d,0.063289
MPC,63,event_fed_gravity,0.063028
MPC,63,event_cpi_gravity,0.06145
MPC,63,ewma_vol,0.05975
MPC,63,event_nfp_gravity,0.057289
MPC,63,macro_inflation_fwd_5y5y,0.048282
MPC,63,price_regime,0.047495
MPC,63,macro_hy_spread,0.038915
MPC,63,corr_sector_252d,0.036824
MPC,63,garch_cond_vol,0.028251
MPC,63,res_vol,0.027789
MPC,63,rv_10d,0.026312
MPC,63,mom21_VIXY,0.021726
MPC,63,vol_regime_zscore,0.021404
MPC,63,vol_chg_21d,0.019152
MPC,63,vol_of_vol,0.017672
MPC,63,macro_breakeven_5y,0.017022
MPC,63,term_structure_slope,0.015147
MPC,63,rv_126d,0.015136
MPC,63,mom21_USO,0.015014
MPC,63,iv_atm_z_score,0.014814
MPC,63,beta_spy,0.014017
MPC,63,vol_vel,0.013754
MPC,63,macro_yield_curve_slope,0.013454
MPC,63,mom21_HYG,0.010896
MPC,63,sector_wedge,0.00874
MPC,63,vrp_wedge,0.007891
MPC,63,macro_inflation_fwd_zscore,0.007819
MPC,63,macro_inflation_fwd_chg_63d,0.006714
MPC,63,rv_5d,0.006397
MPC,63,macro_hy_spread_chg_5d,0.005728
MPC,63,corr_sector_21d,0.0055
MPC,63,put_call_skew_30d,0.004859
MPC,63,macro_inflation_fwd_chg_21d,0.004856
MPC,63,tech_MACD_hist,0.004646
MPC,63,mom21_TLT,0.004537
MPC,63,mom21_SPY,0.004025
MPC,63,res_vol_vel,0.003209
MPC,63,tech_RSI,0.002968
MPC,63,mom21_UUP,0.002298
MPC,63,ret_SPY,0.001431
MPC,63,macro_inflation_fwd_abs_chg_21d,0.001425
MPC,63,ret_VIXY,0.000675
MPC,63,macro_dollar_ret,0.000363
MPC,63,ret_UUP,7.7e-05
MPC,63,ret_TLT,3.7e-05
