ticker,horizon,feature,mean_importance
NFLX,21,rv_21d,0.163467
NFLX,21,rv_10d,0.158964
NFLX,21,rv_5d,0.109391
NFLX,21,iv_atm_z_score,0.035712
NFLX,21,corr_sector_252d,0.035629
NFLX,21,price_regime,0.034053
NFLX,21,macro_yield_curve_slope,0.032944
NFLX,21,event_nfp_gravity,0.029617
NFLX,21,res_vol,0.028143
NFLX,21,macro_hy_spread,0.027244
NFLX,21,rv_63d,0.023953
NFLX,21,event_fed_gravity,0.021053
NFLX,21,event_cpi_gravity,0.019124
NFLX,21,term_structure_slope,0.016504
NFLX,21,vrp_wedge,0.01644
NFLX,21,rv_126d,0.015714
NFLX,21,mom21_HYG,0.015707
NFLX,21,sector_wedge,0.014798
NFLX,21,vol_regime_zscore,0.013965
NFLX,21,macro_inflation_fwd_5y5y,0.013959
NFLX,21,mom21_VIXY,0.012185
NFLX,21,macro_inflation_fwd_zscore,0.01104
NFLX,21,tech_RSI,0.010664
NFLX,21,macro_breakeven_5y,0.010149
NFLX,21,corr_sector_21d,0.010138
NFLX,21,beta_spy,0.009882
NFLX,21,tech_MACD_hist,0.009593
NFLX,21,put_call_skew_30d,0.009558
NFLX,21,mom21_USO,0.009462
NFLX,21,macro_inflation_fwd_chg_21d,0.009087
NFLX,21,ewma_vol,0.009039
NFLX,21,vol_of_vol,0.008154
NFLX,21,mom21_UUP,0.006996
NFLX,21,macro_inflation_fwd_abs_chg_21d,0.006264
NFLX,21,mom21_TLT,0.005642
NFLX,21,macro_inflation_fwd_chg_63d,0.005149
NFLX,21,mom21_SPY,0.005145
NFLX,21,macro_hy_spread_chg_5d,0.005023
NFLX,21,vol_chg_21d,0.004837
NFLX,21,vol_vel,0.002834
NFLX,21,res_vol_vel,0.002791
NFLX,21,ret_TARGET,0.002681
NFLX,21,ret_VIXY,0.002431
NFLX,21,garch_cond_vol,0.002355
NFLX,21,ret_SPY,0.002123
NFLX,21,ret_USO,0.00028
NFLX,21,macro_dollar_ret,6.5e-05
NFLX,21,ret_UUP,5.2e-05
NFLX,21,ret_HYG,0.0
NFLX,21,ret_TLT,0.0
NFLX,21,event_earn_gravity,0.0
NFLX,21,event_div_gravity,0.0
NFLX,63,rv_10d,0.130143
NFLX,63,rv_21d,0.108335
NFLX,63,rv_5d,0.072567
NFLX,63,event_nfp_gravity,0.063443
NFLX,63,corr_sector_252d,0.056858
NFLX,63,macro_hy_spread,0.05607
NFLX,63,price_regime,0.054039
NFLX,63,event_fed_gravity,0.049421
NFLX,63,event_cpi_gravity,0.045705
NFLX,63,beta_spy,0.034927
NFLX,63,macro_yield_curve_slope,0.032024
NFLX,63,res_vol,0.030848
NFLX,63,vol_regime_zscore,0.027419
NFLX,63,macro_inflation_fwd_5y5y,0.020757
NFLX,63,rv_126d,0.01992
NFLX,63,macro_inflation_fwd_zscore,0.019852
NFLX,63,mom21_HYG,0.017579
NFLX,63,sector_wedge,0.014827
NFLX,63,rv_63d,0.014324
NFLX,63,ewma_vol,0.012853
NFLX,63,macro_breakeven_5y,0.011849
NFLX,63,mom21_VIXY,0.009776
NFLX,63,mom21_USO,0.009378
NFLX,63,iv_atm_z_score,0.008322
NFLX,63,corr_sector_21d,0.007834
NFLX,63,put_call_skew_30d,0.007621
NFLX,63,vol_of_vol,0.007524
NFLX,63,mom21_TLT,0.007394
NFLX,63,macro_inflation_fwd_chg_63d,0.006877
NFLX,63,mom21_SPY,0.005419
NFLX,63,vol_chg_21d,0.004969
NFLX,63,tech_MACD_hist,0.004349
NFLX,63,vrp_wedge,0.004232
NFLX,63,macro_inflation_fwd_chg_21d,0.003687
NFLX,63,tech_RSI,0.003281
NFLX,63,term_structure_slope,0.003185
NFLX,63,mom21_UUP,0.00312
NFLX,63,macro_hy_spread_chg_5d,0.00232
NFLX,63,macro_inflation_fwd_abs_chg_21d,0.002129
NFLX,63,ret_VIXY,0.001948
NFLX,63,res_vol_vel,0.001244
NFLX,63,ret_SPY,0.000772
NFLX,63,vol_vel,0.000422
NFLX,63,ret_TLT,0.000331
NFLX,63,garch_cond_vol,5.4e-05
NFLX,63,ret_USO,3.4e-05
NFLX,63,ret_TARGET,1.8e-05
NFLX,63,ret_HYG,0.0
NFLX,63,ret_UUP,0.0
NFLX,63,event_earn_gravity,0.0
NFLX,63,event_div_gravity,0.0
NFLX,63,macro_dollar_ret,0.0
NFLX,126,event_nfp_gravity,0.154375
NFLX,126,event_fed_gravity,0.116128
NFLX,126,event_cpi_gravity,0.109105
NFLX,126,price_regime,0.05144
NFLX,126,corr_sector_252d,0.048571
NFLX,126,macro_hy_spread,0.03874
NFLX,126,vol_regime_zscore,0.038676
NFLX,126,res_vol,0.033198
NFLX,126,macro_inflation_fwd_zscore,0.03096
NFLX,126,beta_spy,0.030765
NFLX,126,macro_breakeven_5y,0.029501
NFLX,126,macro_yield_curve_slope,0.028644
NFLX,126,macro_inflation_fwd_5y5y,0.027962
NFLX,126,rv_126d,0.024989
NFLX,126,macro_inflation_fwd_chg_63d,0.023453
NFLX,126,rv_21d,0.023451
NFLX,126,rv_10d,0.021402
NFLX,126,rv_5d,0.021305
NFLX,126,rv_63d,0.020123
NFLX,126,mom21_HYG,0.018445
NFLX,126,tech_RSI,0.011772
NFLX,126,ewma_vol,0.010468
NFLX,126,corr_sector_21d,0.009711
NFLX,126,mom21_TLT,0.009263
NFLX,126,mom21_USO,0.007606
NFLX,126,sector_wedge,0.007025
NFLX,126,vol_chg_21d,0.006671
NFLX,126,mom21_VIXY,0.005897
NFLX,126,mom21_UUP,0.005315
NFLX,126,tech_MACD_hist,0.00525
NFLX,126,iv_atm_z_score,0.005106
NFLX,126,mom21_SPY,0.005051
NFLX,126,vrp_wedge,0.003678
NFLX,126,vol_of_vol,0.0035
NFLX,126,term_structure_slope,0.002676
NFLX,126,put_call_skew_30d,0.00256
NFLX,126,macro_inflation_fwd_chg_21d,0.002421
NFLX,126,macro_inflation_fwd_abs_chg_21d,0.00165
NFLX,126,ret_UUP,0.00154
NFLX,126,macro_hy_spread_chg_5d,0.001195
NFLX,126,res_vol_vel,0.000224
NFLX,126,garch_cond_vol,0.000171
NFLX,126,ret_TARGET,1.9e-05
NFLX,126,ret_VIXY,0.0
NFLX,126,ret_HYG,0.0
NFLX,126,ret_USO,0.0
NFLX,126,ret_TLT,0.0
NFLX,126,ret_SPY,0.0
NFLX,126,vol_vel,0.0
NFLX,126,event_earn_gravity,0.0
NFLX,126,event_div_gravity,0.0
NFLX,126,macro_dollar_ret,0.0
