ticker,horizon,feature,mean_importance
PG,21,rv_21d,0.058223
PG,21,term_structure_slope,0.056389
PG,21,rv_5d,0.053081
PG,21,rv_63d,0.047113
PG,21,iv_atm_z_score,0.046852
PG,21,ewma_vol,0.040906
PG,21,garch_cond_vol,0.040183
PG,21,mom21_USO,0.03177
PG,21,tech_RSI,0.027108
PG,21,mom21_HYG,0.026943
PG,21,price_regime,0.026341
PG,21,vrp_wedge,0.025224
PG,21,vol_regime_zscore,0.024899
PG,21,macro_yield_curve_slope,0.02351
PG,21,beta_spy,0.023489
PG,21,macro_hy_spread,0.023477
PG,21,res_vol,0.023429
PG,21,macro_inflation_fwd_chg_63d,0.023404
PG,21,rv_126d,0.023347
PG,21,event_nfp_gravity,0.022485
PG,21,macro_inflation_fwd_zscore,0.022219
PG,21,macro_inflation_fwd_5y5y,0.021691
PG,21,mom21_TLT,0.021463
PG,21,macro_breakeven_5y,0.020106
PG,21,event_cpi_gravity,0.016908
PG,21,put_call_skew_30d,0.016744
PG,21,event_fed_gravity,0.016246
PG,21,mom21_VIXY,0.015871
PG,21,corr_sector_252d,0.015508
PG,21,macro_inflation_fwd_chg_21d,0.01517
PG,21,corr_sector_21d,0.01487
PG,21,tech_MACD_hist,0.01478
PG,21,rv_10d,0.013946
PG,21,vol_of_vol,0.013354
PG,21,sector_wedge,0.012358
PG,21,mom21_UUP,0.011698
PG,21,macro_hy_spread_chg_5d,0.011288
PG,21,mom21_SPY,0.010916
PG,21,res_vol_vel,0.010697
PG,21,vol_chg_21d,0.010476
PG,21,macro_inflation_fwd_abs_chg_21d,0.010273
PG,21,ret_SPY,0.00533
PG,21,vol_vel,0.004673
PG,21,ret_TARGET,0.001257
PG,21,ret_VIXY,0.00114
PG,21,ret_USO,0.000906
PG,21,macro_dollar_ret,0.000782
PG,21,ret_TLT,0.000619
PG,21,ret_UUP,0.00036
PG,21,ret_HYG,0.00018
PG,21,event_earn_gravity,0.0
PG,21,event_div_gravity,0.0
PG,63,mom21_HYG,0.083774
PG,63,macro_yield_curve_slope,0.053724
PG,63,beta_spy,0.043851
PG,63,rv_21d,0.042705
PG,63,price_regime,0.039704
PG,63,macro_hy_spread,0.036723
PG,63,event_cpi_gravity,0.034205
PG,63,event_fed_gravity,0.034165
PG,63,event_nfp_gravity,0.034095
PG,63,macro_inflation_fwd_zscore,0.032239
PG,63,rv_63d,0.030261
PG,63,mom21_VIXY,0.030197
PG,63,garch_cond_vol,0.030047
PG,63,vol_regime_zscore,0.030013
PG,63,macro_inflation_fwd_5y5y,0.029954
PG,63,corr_sector_252d,0.028731
PG,63,ewma_vol,0.026598
PG,63,macro_inflation_fwd_chg_63d,0.026592
PG,63,iv_atm_z_score,0.025174
PG,63,macro_breakeven_5y,0.024337
PG,63,rv_126d,0.023548
PG,63,macro_inflation_fwd_abs_chg_21d,0.022988
PG,63,mom21_USO,0.022771
PG,63,res_vol,0.021466
PG,63,sector_wedge,0.017958
PG,63,rv_5d,0.016209
PG,63,rv_10d,0.015475
PG,63,macro_hy_spread_chg_5d,0.014951
PG,63,mom21_UUP,0.013717
PG,63,vrp_wedge,0.01365
PG,63,vol_of_vol,0.013582
PG,63,macro_inflation_fwd_chg_21d,0.011986
PG,63,vol_chg_21d,0.010838
PG,63,corr_sector_21d,0.010815
PG,63,mom21_TLT,0.009522
PG,63,put_call_skew_30d,0.006756
PG,63,term_structure_slope,0.006456
PG,63,mom21_SPY,0.006455
PG,63,tech_RSI,0.005864
PG,63,res_vol_vel,0.005393
PG,63,tech_MACD_hist,0.00522
PG,63,ret_SPY,0.004718
PG,63,ret_VIXY,0.000871
PG,63,vol_vel,0.000791
PG,63,macro_dollar_ret,0.000664
PG,63,ret_USO,7.3e-05
PG,63,ret_HYG,6.5e-05
PG,63,ret_UUP,5.7e-05
PG,63,ret_TARGET,5.5e-05
PG,63,ret_TLT,0.0
PG,63,event_earn_gravity,0.0
PG,63,event_div_gravity,0.0
PG,126,price_regime,0.06635
PG,126,event_nfp_gravity,0.063024
PG,126,event_fed_gravity,0.059109
PG,126,beta_spy,0.055033
PG,126,macro_inflation_fwd_5y5y,0.054594
PG,126,macro_yield_curve_slope,0.052336
PG,126,event_cpi_gravity,0.051971
PG,126,corr_sector_252d,0.047798
PG,126,rv_21d,0.047746
PG,126,res_vol,0.044654
PG,126,rv_126d,0.043418
PG,126,vol_regime_zscore,0.042589
PG,126,macro_hy_spread,0.041448
PG,126,macro_inflation_fwd_zscore,0.04036
PG,126,macro_breakeven_5y,0.034877
PG,126,rv_63d,0.027136
PG,126,ewma_vol,0.026078
PG,126,macro_inflation_fwd_chg_63d,0.023125
PG,126,mom21_TLT,0.016243
PG,126,sector_wedge,0.016237
PG,126,rv_5d,0.014597
PG,126,mom21_HYG,0.014184
PG,126,mom21_VIXY,0.013448
PG,126,garch_cond_vol,0.013402
PG,126,rv_10d,0.011755
PG,126,corr_sector_21d,0.011605
PG,126,vrp_wedge,0.009964
PG,126,vol_of_vol,0.008126
PG,126,iv_atm_z_score,0.007382
PG,126,tech_MACD_hist,0.005717
PG,126,tech_RSI,0.005389
PG,126,macro_hy_spread_chg_5d,0.005073
PG,126,vol_chg_21d,0.004986
PG,126,macro_inflation_fwd_chg_21d,0.003801
PG,126,put_call_skew_30d,0.003601
PG,126,mom21_SPY,0.003112
PG,126,term_structure_slope,0.002567
PG,126,mom21_UUP,0.002469
PG,126,mom21_USO,0.002333
PG,126,vol_vel,0.000677
PG,126,res_vol_vel,0.000673
PG,126,macro_inflation_fwd_abs_chg_21d,0.000608
PG,126,ret_SPY,0.000248
PG,126,ret_UUP,0.000113
PG,126,macro_dollar_ret,4.7e-05
PG,126,ret_TARGET,0.0
PG,126,ret_VIXY,0.0
PG,126,ret_HYG,0.0
PG,126,ret_USO,0.0
PG,126,ret_TLT,0.0
PG,126,event_earn_gravity,0.0
PG,126,event_div_gravity,0.0
