ticker,horizon,feature,mean_importance
PLD,21,sector_wedge,0.119769
PLD,21,rv_21d,0.072847
PLD,21,ewma_vol,0.067539
PLD,21,price_regime,0.061443
PLD,21,rv_5d,0.051391
PLD,21,rv_10d,0.048436
PLD,21,garch_cond_vol,0.045445
PLD,21,event_fed_gravity,0.03552
PLD,21,rv_126d,0.035056
PLD,21,event_cpi_gravity,0.033099
PLD,21,res_vol,0.031902
PLD,21,beta_spy,0.023459
PLD,21,term_structure_slope,0.022144
PLD,21,mom21_HYG,0.020573
PLD,21,iv_atm_z_score,0.018083
PLD,21,rv_63d,0.017972
PLD,21,macro_hy_spread_chg_5d,0.016868
PLD,21,macro_inflation_fwd_5y5y,0.016823
PLD,21,tech_MACD_hist,0.016623
PLD,21,event_nfp_gravity,0.015975
PLD,21,mom21_UUP,0.015931
PLD,21,macro_inflation_fwd_zscore,0.015554
PLD,21,vol_regime_zscore,0.013854
PLD,21,macro_yield_curve_slope,0.013754
PLD,21,macro_breakeven_5y,0.013458
PLD,21,macro_hy_spread,0.01287
PLD,21,vrp_wedge,0.012704
PLD,21,mom21_USO,0.012332
PLD,21,mom21_TLT,0.010992
PLD,21,macro_inflation_fwd_abs_chg_21d,0.010614
PLD,21,corr_sector_252d,0.010269
PLD,21,vol_of_vol,0.00994
PLD,21,mom21_VIXY,0.009914
PLD,21,corr_sector_21d,0.009744
PLD,21,macro_inflation_fwd_chg_21d,0.008839
PLD,21,macro_inflation_fwd_chg_63d,0.008747
PLD,21,vol_vel,0.008226
PLD,21,mom21_SPY,0.007447
PLD,21,ret_SPY,0.005753
PLD,21,put_call_skew_30d,0.005486
PLD,21,tech_RSI,0.003807
PLD,21,vol_chg_21d,0.00313
PLD,21,res_vol_vel,0.002896
PLD,21,ret_VIXY,0.001465
PLD,21,ret_HYG,0.000514
PLD,21,ret_TARGET,0.000409
PLD,21,ret_USO,0.000232
PLD,21,ret_UUP,7.9e-05
PLD,21,macro_dollar_ret,4.5e-05
PLD,21,ret_TLT,2.3e-05
PLD,21,event_earn_gravity,0.0
PLD,21,event_div_gravity,0.0
PLD,63,event_fed_gravity,0.090726
PLD,63,event_nfp_gravity,0.080309
PLD,63,event_cpi_gravity,0.079248
PLD,63,res_vol,0.063137
PLD,63,beta_spy,0.04839
PLD,63,sector_wedge,0.048194
PLD,63,ewma_vol,0.047621
PLD,63,corr_sector_252d,0.043977
PLD,63,rv_63d,0.039664
PLD,63,rv_126d,0.038178
PLD,63,price_regime,0.035614
PLD,63,iv_atm_z_score,0.022167
PLD,63,rv_21d,0.022034
PLD,63,macro_inflation_fwd_5y5y,0.021412
PLD,63,macro_inflation_fwd_abs_chg_21d,0.020924
PLD,63,macro_yield_curve_slope,0.020325
PLD,63,rv_10d,0.019627
PLD,63,macro_hy_spread,0.01875
PLD,63,rv_5d,0.018223
PLD,63,macro_breakeven_5y,0.017573
PLD,63,macro_inflation_fwd_chg_21d,0.016927
PLD,63,macro_inflation_fwd_zscore,0.016756
PLD,63,vol_regime_zscore,0.016453
PLD,63,garch_cond_vol,0.013799
PLD,63,macro_hy_spread_chg_5d,0.013191
PLD,63,macro_inflation_fwd_chg_63d,0.012304
PLD,63,mom21_USO,0.011588
PLD,63,term_structure_slope,0.011259
PLD,63,tech_MACD_hist,0.010974
PLD,63,mom21_HYG,0.010547
PLD,63,mom21_VIXY,0.009213
PLD,63,mom21_TLT,0.007701
PLD,63,corr_sector_21d,0.007479
PLD,63,vol_of_vol,0.007431
PLD,63,vol_vel,0.007169
PLD,63,vrp_wedge,0.006626
PLD,63,mom21_SPY,0.006544
PLD,63,mom21_UUP,0.005121
PLD,63,vol_chg_21d,0.003454
PLD,63,ret_SPY,0.003283
PLD,63,tech_RSI,0.003164
PLD,63,ret_VIXY,0.001319
PLD,63,put_call_skew_30d,0.000827
PLD,63,res_vol_vel,0.000511
PLD,63,macro_dollar_ret,8.1e-05
PLD,63,ret_UUP,6.8e-05
PLD,63,ret_HYG,6.5e-05
PLD,63,ret_TARGET,5.2e-05
PLD,63,ret_USO,0.0
PLD,63,ret_TLT,0.0
PLD,63,event_earn_gravity,0.0
PLD,63,event_div_gravity,0.0
PLD,126,res_vol,0.152841
PLD,126,event_nfp_gravity,0.11486
PLD,126,event_cpi_gravity,0.096684
PLD,126,event_fed_gravity,0.096021
PLD,126,price_regime,0.057546
PLD,126,macro_inflation_fwd_5y5y,0.047927
PLD,126,rv_63d,0.044561
PLD,126,beta_spy,0.036043
PLD,126,macro_hy_spread,0.02985
PLD,126,macro_yield_curve_slope,0.029606
PLD,126,corr_sector_252d,0.027156
PLD,126,rv_126d,0.026826
PLD,126,ewma_vol,0.02624
PLD,126,macro_breakeven_5y,0.021507
PLD,126,rv_21d,0.020161
PLD,126,mom21_TLT,0.015811
PLD,126,vol_regime_zscore,0.01404
PLD,126,macro_inflation_fwd_zscore,0.013549
PLD,126,mom21_VIXY,0.012698
PLD,126,vol_chg_21d,0.012677
PLD,126,mom21_HYG,0.010699
PLD,126,macro_inflation_fwd_chg_63d,0.008852
PLD,126,mom21_SPY,0.008407
PLD,126,vol_of_vol,0.008195
PLD,126,sector_wedge,0.008042
PLD,126,iv_atm_z_score,0.006846
PLD,126,tech_MACD_hist,0.006346
PLD,126,vrp_wedge,0.005952
PLD,126,term_structure_slope,0.005854
PLD,126,mom21_USO,0.004705
PLD,126,corr_sector_21d,0.004035
PLD,126,rv_5d,0.003996
PLD,126,macro_hy_spread_chg_5d,0.003691
PLD,126,mom21_UUP,0.003423
PLD,126,rv_10d,0.002693
PLD,126,garch_cond_vol,0.002059
PLD,126,macro_inflation_fwd_chg_21d,0.001813
PLD,126,macro_inflation_fwd_abs_chg_21d,0.001758
PLD,126,res_vol_vel,0.001646
PLD,126,vol_vel,0.001619
PLD,126,tech_RSI,0.001391
PLD,126,put_call_skew_30d,0.000497
PLD,126,ret_SPY,0.000431
PLD,126,ret_USO,0.00026
PLD,126,macro_dollar_ret,8.9e-05
PLD,126,ret_HYG,4.6e-05
PLD,126,ret_VIXY,2.7e-05
PLD,126,ret_UUP,2.2e-05
PLD,126,ret_TARGET,0.0
PLD,126,ret_TLT,0.0
PLD,126,event_earn_gravity,0.0
PLD,126,event_div_gravity,0.0
