ticker,horizon,feature,mean_importance
PSX,21,rv_21d,0.143874
PSX,21,ewma_vol,0.135829
PSX,21,rv_10d,0.132403
PSX,21,rv_5d,0.101294
PSX,21,rv_126d,0.027925
PSX,21,price_regime,0.026503
PSX,21,iv_atm_z_score,0.025547
PSX,21,term_structure_slope,0.024646
PSX,21,rv_63d,0.023376
PSX,21,macro_inflation_fwd_5y5y,0.017813
PSX,21,event_nfp_gravity,0.017096
PSX,21,mom21_VIXY,0.017087
PSX,21,corr_sector_252d,0.016963
PSX,21,res_vol,0.016594
PSX,21,event_cpi_gravity,0.016089
PSX,21,mom21_USO,0.015702
PSX,21,macro_yield_curve_slope,0.015244
PSX,21,macro_hy_spread,0.01463
PSX,21,event_fed_gravity,0.014616
PSX,21,macro_inflation_fwd_zscore,0.014231
PSX,21,beta_spy,0.013395
PSX,21,mom21_SPY,0.012601
PSX,21,vol_regime_zscore,0.011254
PSX,21,mom21_HYG,0.011063
PSX,21,put_call_skew_30d,0.010785
PSX,21,vol_of_vol,0.010779
PSX,21,vrp_wedge,0.01066
PSX,21,macro_hy_spread_chg_5d,0.010281
PSX,21,macro_breakeven_5y,0.01024
PSX,21,sector_wedge,0.00878
PSX,21,tech_RSI,0.008436
PSX,21,tech_MACD_hist,0.007633
PSX,21,macro_inflation_fwd_chg_21d,0.007564
PSX,21,macro_inflation_fwd_abs_chg_21d,0.006466
PSX,21,corr_sector_21d,0.006432
PSX,21,res_vol_vel,0.006118
PSX,21,vol_chg_21d,0.005721
PSX,21,mom21_UUP,0.005714
PSX,21,macro_inflation_fwd_chg_63d,0.005453
PSX,21,mom21_TLT,0.004691
PSX,21,garch_cond_vol,0.004216
PSX,21,vol_vel,0.003133
PSX,21,ret_USO,0.00057
PSX,21,ret_SPY,0.000471
PSX,21,ret_VIXY,6e-05
PSX,21,ret_TARGET,2.2e-05
PSX,21,ret_HYG,0.0
PSX,21,ret_TLT,0.0
PSX,21,ret_UUP,0.0
PSX,21,event_earn_gravity,0.0
PSX,21,event_div_gravity,0.0
PSX,21,macro_dollar_ret,0.0
PSX,63,ewma_vol,0.140172
PSX,63,rv_21d,0.105817
PSX,63,rv_10d,0.100791
PSX,63,rv_126d,0.066193
PSX,63,rv_5d,0.040624
PSX,63,rv_63d,0.039235
PSX,63,corr_sector_252d,0.03131
PSX,63,macro_yield_curve_slope,0.030461
PSX,63,sector_wedge,0.025983
PSX,63,price_regime,0.024734
PSX,63,event_nfp_gravity,0.02449
PSX,63,macro_inflation_fwd_5y5y,0.02405
PSX,63,res_vol,0.02393
PSX,63,vol_regime_zscore,0.022885
PSX,63,event_cpi_gravity,0.022151
PSX,63,macro_inflation_fwd_zscore,0.021904
PSX,63,macro_hy_spread,0.02141
PSX,63,mom21_HYG,0.019665
PSX,63,mom21_VIXY,0.018481
PSX,63,event_fed_gravity,0.018203
PSX,63,macro_breakeven_5y,0.016008
PSX,63,iv_atm_z_score,0.015828
PSX,63,mom21_USO,0.015576
PSX,63,vol_chg_21d,0.013627
PSX,63,tech_RSI,0.012891
PSX,63,macro_inflation_fwd_chg_63d,0.012301
PSX,63,vol_of_vol,0.011535
PSX,63,beta_spy,0.011025
PSX,63,mom21_UUP,0.008511
PSX,63,macro_hy_spread_chg_5d,0.007391
PSX,63,term_structure_slope,0.006646
PSX,63,mom21_TLT,0.006598
PSX,63,corr_sector_21d,0.005977
PSX,63,vrp_wedge,0.005654
PSX,63,tech_MACD_hist,0.00565
PSX,63,res_vol_vel,0.005568
PSX,63,mom21_SPY,0.004248
PSX,63,garch_cond_vol,0.003022
