ticker,horizon,feature,mean_importance
SPG,21,rv_21d,0.136784
SPG,21,rv_10d,0.093876
SPG,21,ewma_vol,0.081676
SPG,21,garch_cond_vol,0.075861
SPG,21,rv_5d,0.073967
SPG,21,rv_63d,0.041978
SPG,21,rv_126d,0.036557
SPG,21,macro_inflation_fwd_zscore,0.031974
SPG,21,macro_inflation_fwd_5y5y,0.027362
SPG,21,event_nfp_gravity,0.024892
SPG,21,vol_regime_zscore,0.024543
SPG,21,iv_atm_z_score,0.023167
SPG,21,event_cpi_gravity,0.021774
SPG,21,event_fed_gravity,0.020028
SPG,21,price_regime,0.018522
SPG,21,macro_inflation_fwd_chg_63d,0.01771
SPG,21,macro_breakeven_5y,0.01754
SPG,21,corr_sector_252d,0.017399
SPG,21,beta_spy,0.01645
SPG,21,res_vol,0.016092
SPG,21,vol_of_vol,0.016059
SPG,21,vol_chg_21d,0.015207
SPG,21,vrp_wedge,0.013908
SPG,21,macro_hy_spread,0.011884
SPG,21,macro_yield_curve_slope,0.011877
SPG,21,term_structure_slope,0.00985
SPG,21,tech_MACD_hist,0.008648
SPG,21,mom21_USO,0.008547
SPG,21,mom21_HYG,0.008097
SPG,21,mom21_VIXY,0.007509
SPG,21,mom21_SPY,0.007506
SPG,21,res_vol_vel,0.007473
SPG,21,mom21_TLT,0.00692
SPG,21,macro_inflation_fwd_chg_21d,0.006837
SPG,21,tech_RSI,0.00577
SPG,21,put_call_skew_30d,0.005622
SPG,21,sector_wedge,0.005428
SPG,21,corr_sector_21d,0.005151
SPG,21,macro_inflation_fwd_abs_chg_21d,0.004807
SPG,21,vol_vel,0.004328
SPG,21,mom21_UUP,0.003735
SPG,21,ret_SPY,0.002746
SPG,21,macro_hy_spread_chg_5d,0.001862
SPG,21,ret_VIXY,0.000959
SPG,21,ret_HYG,0.000519
SPG,21,ret_TLT,0.00038
SPG,21,macro_dollar_ret,9.1e-05
SPG,21,ret_TARGET,8.9e-05
SPG,21,ret_USO,4e-05
SPG,21,ret_UUP,0.0
SPG,21,event_earn_gravity,0.0
SPG,21,event_div_gravity,0.0
SPG,63,rv_21d,0.139174
SPG,63,price_regime,0.061167
SPG,63,event_nfp_gravity,0.060193
SPG,63,event_fed_gravity,0.056667
SPG,63,garch_cond_vol,0.051867
SPG,63,event_cpi_gravity,0.05177
SPG,63,macro_inflation_fwd_5y5y,0.042689
SPG,63,rv_63d,0.041355
SPG,63,ewma_vol,0.037821
SPG,63,rv_5d,0.037036
SPG,63,rv_10d,0.035881
SPG,63,res_vol,0.031081
SPG,63,macro_inflation_fwd_zscore,0.029707
SPG,63,macro_hy_spread,0.028191
SPG,63,corr_sector_252d,0.027656
SPG,63,beta_spy,0.026097
SPG,63,vol_regime_zscore,0.023354
SPG,63,macro_inflation_fwd_chg_63d,0.022287
SPG,63,rv_126d,0.0216
SPG,63,macro_yield_curve_slope,0.020454
SPG,63,macro_breakeven_5y,0.019938
SPG,63,macro_inflation_fwd_chg_21d,0.016639
SPG,63,iv_atm_z_score,0.016339
SPG,63,mom21_VIXY,0.011106
SPG,63,vol_of_vol,0.010986
SPG,63,mom21_HYG,0.01059
SPG,63,mom21_USO,0.009894
SPG,63,mom21_TLT,0.0073
SPG,63,corr_sector_21d,0.006741
SPG,63,sector_wedge,0.006239
SPG,63,vrp_wedge,0.005606
SPG,63,tech_RSI,0.005352
SPG,63,vol_chg_21d,0.005247
SPG,63,macro_inflation_fwd_abs_chg_21d,0.004715
SPG,63,mom21_SPY,0.003304
SPG,63,mom21_UUP,0.003207
SPG,63,tech_MACD_hist,0.002366
SPG,63,term_structure_slope,0.001852
SPG,63,macro_hy_spread_chg_5d,0.001353
SPG,63,res_vol_vel,0.001324
SPG,63,vol_vel,0.001267
SPG,63,put_call_skew_30d,0.001018
SPG,63,ret_SPY,0.000849
SPG,63,ret_TARGET,0.000355
SPG,63,ret_VIXY,0.000147
SPG,63,macro_dollar_ret,0.00014
SPG,63,ret_TLT,7.3e-05
SPG,63,ret_UUP,1e-05
SPG,63,ret_HYG,0.0
SPG,63,ret_USO,0.0
SPG,63,event_earn_gravity,0.0
SPG,63,event_div_gravity,0.0
SPG,126,macro_inflation_fwd_5y5y,0.109513
SPG,126,price_regime,0.096255
SPG,126,event_nfp_gravity,0.081346
SPG,126,event_cpi_gravity,0.076076
SPG,126,event_fed_gravity,0.070263
SPG,126,res_vol,0.061064
SPG,126,macro_yield_curve_slope,0.057554
SPG,126,rv_63d,0.041754
SPG,126,corr_sector_252d,0.039849
SPG,126,rv_126d,0.038232
SPG,126,macro_breakeven_5y,0.036591
SPG,126,macro_hy_spread,0.030483
SPG,126,mom21_TLT,0.027415
SPG,126,macro_inflation_fwd_zscore,0.027079
SPG,126,vol_regime_zscore,0.02317
SPG,126,beta_spy,0.023104
SPG,126,rv_5d,0.018363
SPG,126,macro_inflation_fwd_chg_63d,0.016575
SPG,126,corr_sector_21d,0.015251
SPG,126,rv_21d,0.013769
SPG,126,put_call_skew_30d,0.013344
SPG,126,sector_wedge,0.012576
SPG,126,garch_cond_vol,0.011955
SPG,126,rv_10d,0.009768
SPG,126,ewma_vol,0.008684
SPG,126,iv_atm_z_score,0.004726
SPG,126,vol_of_vol,0.004502
SPG,126,vol_chg_21d,0.00391
SPG,126,mom21_USO,0.003374
SPG,126,mom21_HYG,0.003072
SPG,126,tech_MACD_hist,0.003029
SPG,126,macro_hy_spread_chg_5d,0.002856
SPG,126,mom21_VIXY,0.002809
SPG,126,vrp_wedge,0.002641
SPG,126,vol_vel,0.002322
SPG,126,macro_inflation_fwd_chg_21d,0.001824
SPG,126,mom21_UUP,0.001394
SPG,126,res_vol_vel,0.00108
SPG,126,term_structure_slope,0.000905
SPG,126,tech_RSI,0.000504
SPG,126,mom21_SPY,0.000377
SPG,126,ret_TLT,0.000191
SPG,126,macro_inflation_fwd_abs_chg_21d,0.000146
SPG,126,ret_HYG,0.000135
SPG,126,macro_dollar_ret,7.5e-05
SPG,126,ret_TARGET,6.5e-05
SPG,126,ret_UUP,2.8e-05
SPG,126,ret_VIXY,0.0
SPG,126,ret_USO,0.0
SPG,126,ret_SPY,0.0
SPG,126,event_earn_gravity,0.0
SPG,126,event_div_gravity,0.0
