ticker,horizon,feature,mean_importance
T,21,iv_atm_z_score,0.063154
T,21,res_vol,0.044545
T,21,rv_63d,0.044306
T,21,vol_regime_zscore,0.044053
T,21,price_regime,0.043201
T,21,event_nfp_gravity,0.03839
T,21,rv_10d,0.038322
T,21,rv_5d,0.037805
T,21,term_structure_slope,0.033293
T,21,beta_spy,0.028407
T,21,event_cpi_gravity,0.02788
T,21,mom21_USO,0.027069
T,21,event_fed_gravity,0.026609
T,21,rv_21d,0.026533
T,21,put_call_skew_30d,0.025515
T,21,macro_yield_curve_slope,0.024226
T,21,macro_inflation_fwd_5y5y,0.024077
T,21,rv_126d,0.021942
T,21,sector_wedge,0.021922
T,21,mom21_VIXY,0.021483
T,21,ewma_vol,0.021168
T,21,vol_chg_21d,0.020822
T,21,macro_inflation_fwd_zscore,0.020814
T,21,corr_sector_252d,0.020396
T,21,vol_of_vol,0.018096
T,21,vrp_wedge,0.017733
T,21,macro_hy_spread,0.01635
T,21,corr_sector_21d,0.016104
T,21,mom21_HYG,0.015744
T,21,tech_RSI,0.015547
T,21,macro_inflation_fwd_chg_63d,0.015458
T,21,mom21_SPY,0.014366
T,21,tech_MACD_hist,0.014232
T,21,macro_breakeven_5y,0.01419
T,21,macro_inflation_fwd_chg_21d,0.014165
T,21,macro_hy_spread_chg_5d,0.012449
T,21,mom21_TLT,0.012417
T,21,res_vol_vel,0.011044
T,21,macro_inflation_fwd_abs_chg_21d,0.01034
T,21,mom21_UUP,0.010197
T,21,ret_SPY,0.007978
T,21,garch_cond_vol,0.006699
T,21,vol_vel,0.005246
T,21,ret_TLT,0.002629
T,21,ret_TARGET,0.001329
T,21,ret_HYG,0.000829
T,21,ret_USO,0.000727
T,21,ret_UUP,0.000181
T,21,ret_VIXY,1.8e-05
T,21,event_earn_gravity,0.0
T,21,event_div_gravity,0.0
T,21,macro_dollar_ret,0.0
T,63,res_vol,0.069431
T,63,event_nfp_gravity,0.059867
T,63,event_fed_gravity,0.059123
T,63,price_regime,0.055407
T,63,event_cpi_gravity,0.053289
T,63,vol_regime_zscore,0.052863
T,63,rv_126d,0.04731
T,63,macro_yield_curve_slope,0.046377
T,63,beta_spy,0.033758
T,63,corr_sector_252d,0.031618
T,63,rv_10d,0.031493
T,63,macro_inflation_fwd_5y5y,0.029726
T,63,rv_21d,0.028305
T,63,macro_hy_spread,0.027882
T,63,macro_inflation_fwd_zscore,0.027859
T,63,rv_63d,0.026852
T,63,macro_breakeven_5y,0.022299
T,63,mom21_UUP,0.021895
T,63,iv_atm_z_score,0.021845
T,63,ewma_vol,0.019306
T,63,mom21_USO,0.01916
T,63,macro_inflation_fwd_chg_63d,0.017092
T,63,vol_chg_21d,0.016742
T,63,vol_of_vol,0.015264
T,63,rv_5d,0.014437
T,63,mom21_VIXY,0.013264
T,63,mom21_HYG,0.013225
T,63,term_structure_slope,0.013134
T,63,garch_cond_vol,0.011333
T,63,tech_RSI,0.010677
T,63,sector_wedge,0.010596
T,63,vrp_wedge,0.00991
T,63,macro_hy_spread_chg_5d,0.009848
T,63,corr_sector_21d,0.008636
T,63,mom21_TLT,0.008024
T,63,vol_vel,0.007835
T,63,tech_MACD_hist,0.006944
T,63,mom21_SPY,0.006557
T,63,put_call_skew_30d,0.006048
T,63,macro_inflation_fwd_chg_21d,0.004499
T,63,res_vol_vel,0.00328
T,63,ret_SPY,0.002506
T,63,macro_inflation_fwd_abs_chg_21d,0.00224
T,63,ret_VIXY,0.001317
T,63,ret_TLT,0.000763
T,63,ret_TARGET,7.5e-05
T,63,macro_dollar_ret,5.1e-05
T,63,ret_USO,4e-05
T,63,ret_HYG,0.0
T,63,ret_UUP,0.0
T,63,event_earn_gravity,0.0
T,63,event_div_gravity,0.0
T,126,event_nfp_gravity,0.084957
T,126,macro_yield_curve_slope,0.082119
T,126,res_vol,0.079868
T,126,event_cpi_gravity,0.07723
T,126,event_fed_gravity,0.076793
T,126,price_regime,0.064296
T,126,rv_126d,0.056732
T,126,corr_sector_252d,0.048776
T,126,rv_63d,0.04277
T,126,macro_hy_spread,0.041174
T,126,macro_inflation_fwd_5y5y,0.035933
T,126,beta_spy,0.026321
T,126,term_structure_slope,0.024851
T,126,vrp_wedge,0.021801
T,126,macro_breakeven_5y,0.019066
T,126,macro_inflation_fwd_zscore,0.018239
T,126,sector_wedge,0.018121
T,126,macro_inflation_fwd_chg_63d,0.017116
T,126,ewma_vol,0.015525
T,126,vol_regime_zscore,0.015347
T,126,iv_atm_z_score,0.015265
T,126,mom21_TLT,0.015128
T,126,corr_sector_21d,0.011028
